m,inv189_all,inv189_only,inv189_multi,pool189_only
2023-02,0,0,0,81
2025-01,576,0,576,11318
2024-09,8199,4274,3925,9266
2026-06,10152,5198,4954,9112
2024-02,0,0,0,995
2026-07,27,0,27,6945
2025-08,6749,3574,3175,10532
2026-01,601,0,601,9179
2025-05,770,0,770,9216
2025-09,112,0,112,8741
2024-03,0,0,0,1174
2024-12,567,0,567,7807
2025-02,447,0,447,8521
2024-11,15191,8230,6961,10221
2024-10,549,0,549,8157
2025-03,519,0,519,9111
2026-08,72,0,72,9381
2024-05,0,0,0,1444
2025-04,487,0,487,8690
2025-12,496,0,496,6786
2025-11,10206,5207,4999,12396
2026-02,710,0,710,8527
2025-06,519,0,519,7724
2025-07,0,0,0,8924
2024-08,0,0,0,3609
2025-10,181,0,181,11142
2024-07,0,0,0,2373
2026-05,785,0,785,8326
2023-03,0,0,0,135
2023-11,0,0,0,494
2026-04,806,0,806,7900
2023-06,0,0,0,163
2023-05,0,0,0,192
2024-04,0,0,0,1235
2024-06,0,0,0,1614
2026-03,835,0,835,7911
2023-07,0,0,0,265
2023-09,0,0,0,448
2022-10,0,0,0,4
2022-12,0,0,0,35
2023-04,0,0,0,156
2024-01,0,0,0,789
2023-10,0,0,0,419
2023-12,0,0,0,794
2023-08,0,0,0,317
2022-11,0,0,0,18
2023-01,0,0,0,40
