DoEMonth,band,eois
2026-09,below 85,1032
2026-09,85+,335
2026-08,below 85,24087
2026-08,85+,6948
2026-07,below 85,19321
2026-07,85+,5699
2026-06,below 85,18861
2026-06,85+,5270
2024-08,below 85,10
2024-08,85+,4
2024-09,below 85,2127
2024-09,85+,187
2024-07,below 85,1
2026-05,below 85,16512
2026-05,85+,4818
2024-10,below 85,2014
2024-10,85+,281
2024-12,below 85,2770
2024-12,85+,535
2024-11,below 85,2861
2024-11,85+,484
2025-01,below 85,3357
2025-01,85+,755
2025-03,below 85,4615
2025-03,85+,1034
2025-02,below 85,3456
2025-02,85+,826
2025-04,below 85,4899
2025-04,85+,1105
2025-05,below 85,5528
2025-05,85+,1313
2025-06,below 85,5528
2025-06,85+,1419
2025-07,below 85,6603
2025-07,85+,1748
2025-08,below 85,8508
2025-08,85+,2206
2025-09,below 85,9199
2025-09,85+,2605
2025-10,below 85,10418
2025-10,85+,3210
2025-12,below 85,10485
2025-12,85+,3221
2026-04,below 85,14959
2026-04,85+,4205
2025-11,below 85,12038
2025-11,85+,3440
2026-01,below 85,12429
2026-01,85+,3941
2026-02,below 85,12698
2026-02,85+,3943
2026-03,below 85,14034
2026-03,85+,4179
