StatusMonth,Score,n
2025-01,65,39
2025-01,75,134
2025-01,70,71
2025-01,80,159
2025-01,95,132
2025-01,90,190
2025-01,85,172
2025-01,110,7
2025-01,100,107
2025-01,105,55
2024-09,65,41
2024-09,75,60
2024-09,70,50
2024-09,80,129
2024-09,95,109
2024-09,90,78
2024-09,85,103
2024-09,110,10
2024-09,100,38
2024-09,105,14
2024-09,115,3
2026-06,65,149
2026-06,75,213
2026-06,70,182
2026-06,80,212
2026-06,95,326
2026-06,90,208
2026-06,85,190
2026-06,110,22
2026-06,100,229
2026-06,105,82
2026-06,115,8
2026-06,125,1
2024-02,80,1
2024-02,95,1
2026-07,65,45
2026-07,75,70
2026-07,70,72
2026-07,80,107
2026-07,95,139
2026-07,90,100
2026-07,85,82
2026-07,110,9
2026-07,100,116
2026-07,105,39
2026-07,115,4
2025-08,65,15
2025-08,75,22
2025-08,70,19
2025-08,80,60
2025-08,95,79
2025-08,90,72
2025-08,85,64
2025-08,110,12
2025-08,100,65
2025-08,105,27
2025-08,115,2
2026-01,65,54
2026-01,75,84
2026-01,70,57
2026-01,80,126
2026-01,95,108
2026-01,90,121
2026-01,85,131
2026-01,110,7
2026-01,100,87
2026-01,105,38
2026-01,115,3
2025-05,65,90
2025-05,75,191
2025-05,70,128
2025-05,80,218
2025-05,95,127
2025-05,90,192
2025-05,85,212
2025-05,110,7
2025-05,100,96
2025-05,105,26
2025-09,65,16
2025-09,75,27
2025-09,70,18
2025-09,80,72
2025-09,95,75
2025-09,90,38
2025-09,85,82
2025-09,110,14
2025-09,100,40
2025-09,105,45
2025-09,120,2
2025-09,115,8
2024-03,95,1
2024-12,65,63
2024-12,75,134
2024-12,70,88
2024-12,80,198
2024-12,95,161
2024-12,90,253
2024-12,85,196
2024-12,110,25
2024-12,100,77
2024-12,105,105
2024-12,115,2
2025-02,65,71
2025-02,75,140
2025-02,70,124
2025-02,80,168
2025-02,95,104
2025-02,90,157
2025-02,85,168
2025-02,110,4
2025-02,100,74
2025-02,105,30
2025-02,115,2
2024-11,65,60
2024-11,75,141
2024-11,70,84
2024-11,80,201
2024-11,95,173
2024-11,90,331
2024-11,85,228
2024-11,110,36
2024-11,100,105
2024-11,105,132
2024-11,115,5
2024-10,65,29
2024-10,75,78
2024-10,70,49
2024-10,80,127
2024-10,95,138
2024-10,90,107
2024-10,85,126
2024-10,110,8
2024-10,100,62
2024-10,105,21
2024-10,120,1
2025-03,65,116
2025-03,75,214
2025-03,70,174
2025-03,80,262
2025-03,95,121
2025-03,90,205
2025-03,85,271
2025-03,110,4
2025-03,100,86
2025-03,105,40
2025-03,115,2
2026-08,65,21
2026-08,75,49
2026-08,70,31
2026-08,80,36
2026-08,95,32
2026-08,90,32
2026-08,85,22
2026-08,110,2
2026-08,100,12
2026-08,105,8
2024-05,65,1
2025-04,65,95
2025-04,75,171
2025-04,70,156
2025-04,80,237
2025-04,95,100
2025-04,90,159
2025-04,85,202
2025-04,110,5
2025-04,100,69
2025-04,105,22
2025-12,65,42
2025-12,75,92
2025-12,70,48
2025-12,80,117
2025-12,95,118
2025-12,90,146
2025-12,85,109
2025-12,110,11
2025-12,100,107
2025-12,105,58
2025-12,115,2
2025-11,65,33
2025-11,75,41
2025-11,70,34
2025-11,80,85
2025-11,95,87
2025-11,90,96
2025-11,85,56
2025-11,110,10
2025-11,100,85
2025-11,105,39
2025-11,115,2
2026-02,65,59
2026-02,75,121
2026-02,70,85
2026-02,80,150
2026-02,95,102
2026-02,90,120
2026-02,85,133
2026-02,110,9
2026-02,100,68
2026-02,105,24
2026-02,115,1
2025-06,65,74
2025-06,75,180
2025-06,70,141
2025-06,80,303
2025-06,95,183
2025-06,90,291
2025-06,85,286
2025-06,110,17
2025-06,100,114
2025-06,105,51
2025-06,115,1
2025-07,65,47
2025-07,75,80
2025-07,70,83
2025-07,80,145
2025-07,95,117
2025-07,90,140
2025-07,85,138
2025-07,110,10
2025-07,100,77
2025-07,105,36
2025-07,115,5
2025-10,65,24
2025-10,75,52
2025-10,70,29
2025-10,80,82
2025-10,95,40
2025-10,90,52
2025-10,85,43
2025-10,110,18
2025-10,100,33
2025-10,105,24
2025-10,115,4
2026-05,65,108
2026-05,75,156
2026-05,70,169
2026-05,80,183
2026-05,95,141
2026-05,90,154
2026-05,85,169
2026-05,110,10
2026-05,100,87
2026-05,105,46
2026-05,115,8
2026-04,65,125
2026-04,75,191
2026-04,70,177
2026-04,80,192
2026-04,95,131
2026-04,90,158
2026-04,85,184
2026-04,110,12
2026-04,100,91
2026-04,105,36
2026-04,115,7
2024-04,75,1
2026-03,65,145
2026-03,75,236
2026-03,70,187
2026-03,80,263
2026-03,95,159
2026-03,90,220
2026-03,85,211
2026-03,110,16
2026-03,100,119
2026-03,105,61
2026-03,115,5
2023-07,95,1
2024-01,115,1
2023-12,70,1
