StatusMonth,Occupation,Score,n,maxsub,minsub
2024-09,254422 Registered Nurse (Mental Health),85,2,45457.34926238426,45356.53018943287
2024-09,254422 Registered Nurse (Mental Health),100,1,45499.76166130787,45499.76166130787
2024-09,312211 Civil Engineering Draftsperson,75,77,45245.16486134259,44812.67697060185
2024-09,312211 Civil Engineering Draftsperson,80,154,45538.65868599537,44828.93216940972
2024-09,312211 Civil Engineering Draftsperson,95,2,45510.96987372685,44905.999440625004
2024-09,312211 Civil Engineering Draftsperson,90,10,45520.99510130787,44913.61964513889
2024-09,312211 Civil Engineering Draftsperson,85,44,45538.9224121875,44910.843523877316
2024-09,321212 Diesel Motor Mechanic,90,1,44911.72643792824,44911.72643792824
2024-09,234511 Life Scientist (General),95,5,45503.57750633102,45045.93613275463
2024-09,234511 Life Scientist (General),90,2,44950.74905787037,44833.566654594906
2024-09,234511 Life Scientist (General),110,1,44911.73836122685,44911.73836122685
2024-09,234511 Life Scientist (General),100,1,45491.98822114583,45491.98822114583
2024-09,234511 Life Scientist (General),105,1,45159.953580208334,45159.953580208334
2024-09,254423 Registered Nurse (Perioperative),75,3,45197.738895636576,45156.977930520836
2024-09,254423 Registered Nurse (Perioperative),80,5,45400.586401967594,45182.48481686343
2024-09,233212 Geotechnical Engineer,75,3,45201.17890381944,44841.047727893514
2024-09,233212 Geotechnical Engineer,80,16,45496.99891200232,44842.78938715278
2024-09,233212 Geotechnical Engineer,95,2,45527.43918854167,45508.96484571759
2024-09,233212 Geotechnical Engineer,90,1,45493.50597511574,45493.50597511574
2024-09,233212 Geotechnical Engineer,85,3,45112.60713434028,44888.697173692126
2024-09,233212 Geotechnical Engineer,100,1,45414.40065679398,45414.40065679398
2024-09,232212 Surveyor,95,2,45396.304550891204,44955.63440003472
2024-09,232212 Surveyor,100,1,44992.551326851855,44992.551326851855
2024-09,254499 Registered Nurses nec,75,17,45230.50483993055,45071.56349216435
2024-09,254499 Registered Nurses nec,80,131,45540.21214699074,45071.50643125
2024-09,254499 Registered Nurses nec,90,3,45525.37833634259,45470.03337561343
2024-09,254499 Registered Nurses nec,85,22,45525.516699155094,45167.54875015046
2024-09,254499 Registered Nurses nec,115,1,45428.463421064815,45428.463421064815
2024-09,221113 Taxation Accountant,95,25,45538.5703477662,44903.83219976852
2024-09,221113 Taxation Accountant,90,9,44981.848881909726,44903.93109293981
2024-09,221113 Taxation Accountant,100,7,45513.7900525463,44903.50503043982
2024-09,224512 Valuer,95,1,45155.67531535879,45155.67531535879
2024-09,261311 Analyst Programmer,95,47,45532.45729012731,44903.48626574074
2024-09,261311 Analyst Programmer,90,14,44976.99142731482,44812.70883938657
2024-09,261311 Analyst Programmer,100,6,45419.51988313657,44988.69019112269
2024-09,261311 Analyst Programmer,105,2,45203.575196412035,44945.93475138889
2024-09,233215 Transport Engineer,75,6,45141.861339814815,44852.07005609954
2024-09,233215 Transport Engineer,80,13,45530.59728287037,44840.74471226852
2024-09,233215 Transport Engineer,95,1,45132.61253680556,45132.61253680556
2024-09,233215 Transport Engineer,90,1,45503.61633225695,45503.61633225695
2024-09,233215 Transport Engineer,85,2,45464.81099375,45020.62969487268
2024-09,233214 Structural Engineer,75,16,45246.00549228009,44841.998486226854
2024-09,233214 Structural Engineer,80,30,45526.53713938657,44840.720824421296
2024-09,233214 Structural Engineer,95,2,45515.55303553241,45394.772686840275
2024-09,233214 Structural Engineer,90,11,45506.42458425926,44830.767221215276
2024-09,233214 Structural Engineer,85,23,45497.92255899306,44829.960269710646
2024-09,233214 Structural Engineer,100,2,45242.158792789356,45114.77330528935
2024-09,233611 Mining Engineer (excluding Petroleum),105,1,45524.81105069444,45524.81105069444
2024-09,254417 Registered Nurse (Disability and Rehabilitation),80,1,45373.805275,45373.805275
2024-09,261211 Multimedia Specialist,95,4,45499.66024197917,45036.629673958334
2024-09,261211 Multimedia Specialist,90,3,44896.762676701386,44826.51829278935
2024-09,263311 Telecommunications Engineer,95,7,45319.07333996528,44857.40584922454
2024-09,263311 Telecommunications Engineer,90,13,44958.48844143518,44838.73154984954
2024-09,322313 Welder (First Class),80,9,45530.818768020836,44834.64844603009
2024-09,322313 Welder (First Class),90,1,45006.76727222222,45006.76727222222
2024-09,322313 Welder (First Class),85,6,45516.86374560185,45177.676908912035
2024-09,232214 Other Spatial Scientist,100,1,45007.855387268515,45007.855387268515
2024-09,133111 Construction Project Manager,75,74,45249.23128730324,44827.9174258912
2024-09,133111 Construction Project Manager,80,120,45536.84392565972,44825.78846319445
2024-09,133111 Construction Project Manager,95,1,45195.21961130787,45195.21961130787
2024-09,133111 Construction Project Manager,90,12,45527.62390428241,44958.672653738424
2024-09,133111 Construction Project Manager,85,38,45538.12283707176,44942.40042792824
2024-09,133111 Construction Project Manager,100,2,45511.8989528125,45499.748271909724
2024-09,253111 General Practitioner,75,6,45189.44854950231,45082.88548888889
2024-09,253111 General Practitioner,80,61,45538.67219201389,45076.5172090625
2024-09,253111 General Practitioner,90,8,45523.51162372685,45471.99290142361
2024-09,253111 General Practitioner,85,27,45532.69636292824,45316.41856550926
2024-09,253111 General Practitioner,110,1,45518.32723009259,45518.32723009259
2024-09,253111 General Practitioner,100,1,45485.857665972224,45485.857665972224
2024-09,234313 Environmental Research Scientist,95,1,45027.68128561343,45027.68128561343
2024-09,234313 Environmental Research Scientist,100,1,45302.540271527774,45302.540271527774
2024-09,233911 Aeronautical Engineer,95,1,45528.148555555556,45528.148555555556
2024-09,234112 Agricultural Scientist,95,2,45484.9121193287,45465.55444105324
2024-09,234112 Agricultural Scientist,100,4,45472.99193931713,45217.45918880787
2024-09,234112 Agricultural Scientist,105,1,45413.51076122685,45413.51076122685
2024-09,331212 Carpenter,65,111,45539.631297534725,44810.81991967592
2024-09,331212 Carpenter,75,40,45526.093789583334,44907.696903854165
2024-09,331212 Carpenter,70,62,45538.541005011575,44912.70213726852
2024-09,331212 Carpenter,80,20,45533.537115625004,44903.76261767361
2024-09,331212 Carpenter,85,3,45476.73656689815,45091.52442855324
2024-09,272511 Social Worker,75,3,45245.55134760417,45085.758129050926
2024-09,272511 Social Worker,80,52,45538.99786415509,45071.57059633102
2024-09,272511 Social Worker,90,1,45497.708881631945,45497.708881631945
2024-09,272511 Social Worker,85,26,45537.45224679398,45173.84512716435
2024-09,272511 Social Worker,100,1,45481.01169131944,45481.01169131944
2024-09,332211 Painting Trades Worker,65,97,45539.60950034722,44906.63163422454
2024-09,332211 Painting Trades Worker,75,34,45534.72522827546,44903.891749849536
2024-09,332211 Painting Trades Worker,70,64,45537.71573287037,44903.826409456015
2024-09,332211 Painting Trades Worker,80,15,45520.66057357639,44904.86892951389
2024-09,332211 Painting Trades Worker,90,2,45502.453611689816,45481.494898958335
2024-09,332211 Painting Trades Worker,85,2,45238.26507688657,44904.13747577547
2024-09,233612 Petroleum Engineer,95,2,45092.009353738424,45071.76114672454
2024-09,233612 Petroleum Engineer,100,2,45529.92805019676,45207.87105042824
2024-09,233612 Petroleum Engineer,115,1,44942.209746215274,44942.209746215274
2024-09,252111 Chiropractor,80,3,45534.627124074075,45280.9014196412
2024-09,233915 Environmental Engineer,95,1,45123.994231979166,45123.994231979166
2024-09,233915 Environmental Engineer,100,1,45142.64215231482,45142.64215231482
2024-09,394111 Cabinetmaker,65,7,45538.73200462963,44900.69052873843
2024-09,394111 Cabinetmaker,75,3,45504.73871747685,44976.753069756945
2024-09,394111 Cabinetmaker,70,4,45513.89276859954,45175.57901079861
2024-09,394111 Cabinetmaker,80,2,45502.86586574074,45063.74073784722
2024-09,394111 Cabinetmaker,85,3,45531.80188425926,45531.71987372685
2024-09,254415 Registered Nurse (Critical Care and Emergency),75,5,45244.75083121528,45075.61107071759
2024-09,254415 Registered Nurse (Critical Care and Emergency),80,16,45468.68487858796,45094.65772766204
2024-09,254415 Registered Nurse (Critical Care and Emergency),90,1,45349.50524745371,45349.50524745371
2024-09,254415 Registered Nurse (Critical Care and Emergency),85,8,45493.748297997685,45222.758766238425
2024-09,224311 Economist,95,2,45389.52527866898,44977.54581952546
2024-09,224311 Economist,90,1,44967.23428012732,44967.23428012732
2024-09,224311 Economist,100,1,45176.284997951385,45176.284997951385
2024-09,234514 Biotechnologist,95,4,45529.89122337963,44919.64031994213
2024-09,234514 Biotechnologist,90,2,44905.662187766204,44861.60347271991
2024-09,234514 Biotechnologist,100,2,45474.88304371528,45474.62356929398
2024-09,331111 Bricklayer,65,22,45533.31048518518,44903.79738645833
2024-09,331111 Bricklayer,75,2,45493.00949293982,45478.88174394676
2024-09,331111 Bricklayer,70,3,45524.16497121528,45105.713445138885
2024-09,331111 Bricklayer,80,2,45084.802345219905,44943.64162488426
2024-09,331111 Bricklayer,90,2,45483.372393287034,44931.44898730324
2024-09,331111 Bricklayer,85,1,45460.76716875,45460.76716875
2024-09,233511 Industrial Engineer,95,2,45231.9273400463,45056.61717114583
2024-09,233511 Industrial Engineer,90,1,44823.44970378472,44823.44970378472
2024-09,233511 Industrial Engineer,100,1,45002.38018950231,45002.38018950231
2024-09,254412 Registered Nurse (Aged Care),75,3,45160.890471527775,45091.88643958334
2024-09,254412 Registered Nurse (Aged Care),80,22,45539.84477600695,45071.47748364583
2024-09,254412 Registered Nurse (Aged Care),85,4,45498.69454452546,45135.594926122685
2024-09,253999 Medical Practitioners nec,75,2,45154.87968283565,45102.68295478009
2024-09,253999 Medical Practitioners nec,80,51,45536.21977476852,45071.78426956019
2024-09,253999 Medical Practitioners nec,95,1,45520.93354305555,45520.93354305555
2024-09,253999 Medical Practitioners nec,90,7,45513.63711200231,45337.606234108796
2024-09,253999 Medical Practitioners nec,85,23,45515.692505127314,45058.64900887731
2024-09,224113 Statistician,95,4,45203.75301327546,44937.844773495366
2024-09,224113 Statistician,90,1,44988.71033090277,44988.71033090277
2024-09,224113 Statistician,105,1,45067.80229918982,45067.80229918982
2024-09,341111 Electrician (General),65,24,45533.77570304398,44897.38636512731
2024-09,341111 Electrician (General),75,8,45534.8244471875,45019.81536875
2024-09,341111 Electrician (General),70,15,45520.21893753472,44982.596155590276
2024-09,341111 Electrician (General),80,3,45385.039289548615,45043.5361565162
2024-09,252511 Physiotherapist,75,5,45209.94059424769,45107.07232010417
2024-09,252511 Physiotherapist,80,46,45533.32184128472,45071.430918287035
2024-09,252511 Physiotherapist,90,2,45507.47318804398,45397.65207121528
2024-09,252511 Physiotherapist,85,12,45489.84745752315,45312.046346875
2024-09,251211 Medical Diagnostic Radiographer,75,2,45201.93941211805,45127.67984494213
2024-09,251211 Medical Diagnostic Radiographer,80,5,45483.12061114583,45239.51789618056
2024-09,251211 Medical Diagnostic Radiographer,85,1,45509.23740925926,45509.23740925926
2024-09,312212 Civil Engineering Technician,75,20,45230.61603792824,44887.79798969907
2024-09,312212 Civil Engineering Technician,80,41,45522.80984255787,44904.71259545139
2024-09,312212 Civil Engineering Technician,90,5,45453.5607130787,44973.63748055555
2024-09,312212 Civil Engineering Technician,85,7,45538.76547063657,45274.5938934838
2024-09,253912 Emergency Medicine Specialist,80,7,45449.96229618056,45112.49542623843
2024-09,253912 Emergency Medicine Specialist,90,1,45505.67634467593,45505.67634467593
2024-09,253912 Emergency Medicine Specialist,85,1,45513.810265775464,45513.810265775464
2024-09,234312 Environmental Consultant,95,2,45442.70449255787,45323.027912847225
2024-09,234312 Environmental Consultant,100,1,45265.85428738426,45265.85428738426
2024-09,234312 Environmental Consultant,105,1,45502.57631079861,45502.57631079861
2024-09,232112 Landscape Architect,75,8,45211.48126944444,44841.46035679398
2024-09,232112 Landscape Architect,80,18,45527.74112361111,44851.738068136576
2024-09,232112 Landscape Architect,95,2,44945.86130752315,44904.79728642361
2024-09,232112 Landscape Architect,90,8,45513.49472372685,44817.73400162037
2024-09,232112 Landscape Architect,85,13,45502.720575196756,44840.98823556713
2024-09,252712 Speech Pathologist,80,12,45539.6227190162,45104.9929471875
2024-09,252712 Speech Pathologist,85,4,45460.71928599537,45282.40644841435
2024-09,322311 Metal Fabricator,75,1,44967.94405640046,44967.94405640046
2024-09,322311 Metal Fabricator,80,4,45478.47798472222,44926.42811894676
2024-09,322311 Metal Fabricator,90,1,45367.18419965278,45367.18419965278
2024-09,322311 Metal Fabricator,85,2,45188.88001400463,44998.84330489583
2024-09,234914 Physicist,95,2,45261.83795170139,44993.77972615741
2024-09,234914 Physicist,100,1,45529.94422800926,45529.94422800926
2024-09,233112 Materials Engineer,95,3,45533.616481018515,45020.63497549768
2024-09,233112 Materials Engineer,90,3,44914.562570636575,44823.41999618056
2024-09,233112 Materials Engineer,100,3,45516.51329059028,44929.71535763889
2024-09,252411 Occupational Therapist,75,4,45191.82853885417,45090.671777083335
2024-09,252411 Occupational Therapist,80,35,45539.396904664354,45071.46748773148
2024-09,252411 Occupational Therapist,90,3,45531.60093518518,45371.87146608796
2024-09,252411 Occupational Therapist,85,7,45503.0835775463,45339.53216670139
2024-09,234611 Medical Laboratory Scientist,80,11,45533.730890590276,45071.665227314814
2024-09,234611 Medical Laboratory Scientist,85,4,45524.62890640047,45433.88065150463
2024-09,241511 Special Needs Teacher,80,1,45428.136212233796,45428.136212233796
2024-09,254425 Registered Nurse (Paediatrics),80,5,45442.252230555554,45282.812921840276
2024-09,254425 Registered Nurse (Paediatrics),85,1,45309.77874262731,45309.77874262731
2024-09,272399 Psychologists nec,80,10,45531.50650740741,45025.73839155093
2024-09,272399 Psychologists nec,90,3,45497.6065752662,45378.77368622685
2024-09,272399 Psychologists nec,85,6,45540.36666461806,45398.614428125
2024-09,251912 Orthotist or Prosthetist,80,1,45387.81713834491,45387.81713834491
2024-09,331211 Carpenter and Joiner,75,4,45456.580350034725,45116.49922997685
2024-09,331211 Carpenter and Joiner,70,4,45469.825841631944,44940.78825003472
2024-09,331211 Carpenter and Joiner,80,1,45467.49238329861,45467.49238329861
2024-09,254111 Midwife,75,2,45141.03549189815,45104.395900891206
2024-09,254111 Midwife,80,7,45510.67547248842,45436.73590173611
2024-09,254111 Midwife,90,1,45362.85305532407,45362.85305532407
2024-09,254111 Midwife,85,1,45511.797915393516,45511.797915393516
2024-09,233916 Naval Architect,95,1,45484.00333047454,45484.00333047454
2024-09,233916 Naval Architect,100,1,44962.67985289352,44962.67985289352
2024-09,334111 Plumber (General),65,5,45516.84079166667,45016.744350347224
2024-09,334111 Plumber (General),75,2,45500.700815972225,44988.94973295139
2024-09,334111 Plumber (General),70,3,45524.20926241898,45416.128051817126
2024-09,254421 Registered Nurse (Medical Practice),80,1,45534.87327149305,45534.87327149305
2024-09,254424 Registered Nurse (Surgical),75,3,45092.61383769676,45076.52955057871
2024-09,254424 Registered Nurse (Surgical),80,7,45530.67608133102,45173.74810844907
2024-09,254424 Registered Nurse (Surgical),85,3,45371.252998842596,45365.94123460648
2024-09,253312 Cardiologist,80,1,45325.40210535879,45325.40210535879
2024-09,333212 Solid Plasterer,65,4,45533.66783255787,45272.51231975695
2024-09,333411 Wall and Floor Tiler,65,12,45518.90310173611,44920.640402743054
2024-09,333411 Wall and Floor Tiler,75,3,45523.68245767361,45251.940616747685
2024-09,333411 Wall and Floor Tiler,70,17,45532.56021157408,44945.40375694445
2024-09,333411 Wall and Floor Tiler,80,2,45495.472424074076,45477.75562924769
2024-09,254413 Registered Nurse (Child and Family Health),80,1,45384.89071744213,45384.89071744213
2024-09,254413 Registered Nurse (Child and Family Health),85,1,45366.95568136574,45366.95568136574
2024-09,252711 Audiologist,75,2,45159.63176226852,45146.50451319444
2024-09,252711 Audiologist,80,11,45529.589899074075,45165.930514583335
2024-09,252711 Audiologist,85,4,45530.959909641206,45323.57004795139
2024-09,253321 Paediatrician,80,1,45445.45717577546,45445.45717577546
2024-09,253321 Paediatrician,85,1,45490.723548344904,45490.723548344904
2024-09,253317 Intensive Care Specialist,85,1,45344.57412005787,45344.57412005787
2024-09,253917 Diagnostic and Interventional Radiologist,80,1,45501.95229872685,45501.95229872685
2024-09,253917 Diagnostic and Interventional Radiologist,85,1,45530.405887071756,45530.405887071756
2024-09,331213 Joiner,65,2,45189.67529085648,44978.576082604166
2024-09,331213 Joiner,85,1,45433.91685069444,45433.91685069444
2024-09,341112 Electrician (Special Class),70,1,45105.84565494213,45105.84565494213
2024-09,234518 Zoologist,90,1,44926.946210104164,44926.946210104164
2024-09,399112 Shipwright,105,1,44956.001672488426,44956.001672488426
2024-09,253411 Psychiatrist,80,1,45330.06525940972,45330.06525940972
2024-09,253411 Psychiatrist,85,1,45151.88344452546,45151.88344452546
2024-09,251411 Optometrist,80,3,45329.92250760417,45309.774836956014
2024-09,251411 Optometrist,85,2,45434.64814583333,45423.786534722225
2024-09,251214 Sonographer,80,2,45414.7309415162,45191.59076438657
2024-09,334112 Airconditioning and Mechanical Services Plumber,65,6,45533.991120914354,45049.7178709838
2024-09,334112 Airconditioning and Mechanical Services Plumber,75,1,45505.92866651621,45505.92866651621
2024-09,334112 Airconditioning and Mechanical Services Plumber,70,3,45527.83302222222,45194.93799849537
2024-09,334112 Airconditioning and Mechanical Services Plumber,80,2,45363.92111130787,45109.98932653935
2024-09,334115 Roof Plumber,65,2,45512.51568344908,45137.32116554398
2024-09,272311 Clinical Psychologist,85,1,45495.98467827546,45495.98467827546
2024-09,254411 Nurse Practitioner,85,1,45506.07619332176,45506.07619332176
2024-09,341113 Lift Mechanic,65,1,45490.84575451389,45490.84575451389
2024-09,341113 Lift Mechanic,75,1,44904.04577751157,44904.04577751157
2024-09,252611 Podiatrist,80,1,45296.61971010417,45296.61971010417
2024-09,252611 Podiatrist,90,1,45503.959219826385,45503.959219826385
2024-09,252611 Podiatrist,85,1,45471.57089394676,45471.57089394676
2024-09,241599 Special Education Teachers nec,80,1,45530.03513318287,45530.03513318287
2024-09,253311 Specialist Physician (General Medicine),80,1,45231.752541284724,45231.752541284724
2024-09,333211 Fibrous Plasterer,65,1,45539.43003711806,45539.43003711806
2024-09,334113 Drainer,75,1,45513.00398059028,45513.00398059028
2024-09,334114 Gasfitter,65,1,45496.07425871528,45496.07425871528
2024-09,253316 Gastroenterologist,85,2,45504.994150694445,45205.84438996528
2024-09,331112 Stonemason,70,1,45537.50222392361,45537.50222392361
2024-09,253518 Urologist,80,1,45387.29899811342,45387.29899811342
2024-09,253914 Ophthalmologist,85,1,45527.593433912036,45527.593433912036
2026-06,234111 Agricultural Consultant,80,31,46094.82085019676,45450.92161716435
2026-06,234111 Agricultural Consultant,95,3,46170.90402670139,45970.542176469906
2026-06,234111 Agricultural Consultant,90,10,46169.59956947916,45498.683272106486
2026-06,234111 Agricultural Consultant,85,25,46136.57047118056,45457.17137696759
2026-06,254418 Registered Nurse (Medical),75,14,45767.471894675924,45447.63432508102
2026-06,254418 Registered Nurse (Medical),80,58,46176.684700694444,45570.51221288194
2026-06,254418 Registered Nurse (Medical),90,6,46177.023791354164,45463.475788854164
2026-06,254418 Registered Nurse (Medical),85,14,46164.69834027778,45946.08182719907
2026-06,233411 Electronics Engineer,95,3,45810.69508599537,45506.49001971065
2026-06,233411 Electronics Engineer,100,5,45988.54292137732,45590.53901126157
