StatusMonth,Occupation,Score,n,maxsub,minsub
2024-09,261312 Developer Programmer,100,24,45510.673667442126,44849.99277237269
2024-09,261312 Developer Programmer,105,2,45401.92913869213,45350.70143020833
2024-09,321211 Motor Mechanic (General),95,2,45459.54365771991,44904.4194278588
2024-09,321211 Motor Mechanic (General),90,1,44818.4939863426,44818.4939863426
2024-09,233211 Civil Engineer,95,45,45509.58901142361,44818.56438865741
2024-09,233211 Civil Engineer,90,24,44986.42861238426,44812.726169409725
2024-09,233211 Civil Engineer,100,11,45531.716317708335,44907.539652280095
2024-09,233211 Civil Engineer,105,2,45507.91466851852,45456.56754849537
2024-09,241111 Early Childhood (Pre-primary School) Teacher,75,11,45237.71588792824,45088.416488310184
2024-09,241111 Early Childhood (Pre-primary School) Teacher,80,186,45539.3353871875,45061.77568032408
2024-09,241111 Early Childhood (Pre-primary School) Teacher,90,6,45530.80727751157,45302.35130894676
2024-09,241111 Early Childhood (Pre-primary School) Teacher,85,58,45536.94564293981,45244.506214270834
2024-09,261111 ICT Business Analyst,95,1,44822.805539849534,44822.805539849534
2024-09,261111 ICT Business Analyst,110,1,45495.624203506944,45495.624203506944
2024-09,261111 ICT Business Analyst,100,33,45470.5349090625,44825.550221412035
2024-09,261111 ICT Business Analyst,105,1,45030.7294837963,45030.7294837963
2024-09,261313 Software Engineer,100,43,45469.55047299768,44820.52811087963
2024-09,261313 Software Engineer,105,3,45506.65744918981,45075.748099537035
2024-09,261313 Software Engineer,120,1,45344.962867442126,45344.962867442126
2024-09,221111 Accountant (General),95,1,44818.686970752315,44818.686970752315
2024-09,221111 Accountant (General),110,1,45085.19472746528,45085.19472746528
2024-09,221111 Accountant (General),100,91,45480.63841400463,44819.83707693287
2024-09,221111 Accountant (General),105,12,45043.454345289356,44903.85255454861
2024-09,262112 ICT Security Specialist,100,8,45498.53928506945,44872.39510193287
2024-09,221213 External Auditor,95,44,45499.49508202546,44847.68121292824
2024-09,221213 External Auditor,90,54,44982.643189699076,44811.615819212966
2024-09,221213 External Auditor,100,8,45261.829615625,44904.4836403125
2024-09,221213 External Auditor,105,2,44965.6708994213,44911.67542442129
2024-09,233512 Mechanical Engineer,95,47,45498.41395243056,44810.471593553244
2024-09,233512 Mechanical Engineer,90,51,44972.72011350695,44812.74623012732
2024-09,233512 Mechanical Engineer,100,4,45491.480127083334,44882.54614560185
2024-09,233999 Engineering Professionals nec,95,11,45530.67241180556,44811.89636701389
2024-09,233999 Engineering Professionals nec,90,2,44911.45634884259,44841.86171704861
2024-09,233999 Engineering Professionals nec,100,1,45032.91124976852,45032.91124976852
2024-09,233999 Engineering Professionals nec,105,1,45182.056862349535,45182.056862349535
2024-09,234111 Agricultural Consultant,95,1,45489.54048611111,45489.54048611111
2024-09,254418 Registered Nurse (Medical),75,6,45180.977421875,45076.48547612269
2024-09,254418 Registered Nurse (Medical),80,23,45534.73043561343,45083.86177546297
2024-09,254418 Registered Nurse (Medical),85,7,45520.453308564815,45320.42483483796
2024-09,351311 Chef,95,3,45377.67814251158,45021.759539502316
2024-09,351311 Chef,90,1,44905.941110879634,44905.941110879634
2024-09,233411 Electronics Engineer,95,12,45536.529258912036,44934.01501427083
2024-09,233411 Electronics Engineer,90,12,44960.602571875,44830.68593353009
2024-09,233411 Electronics Engineer,100,2,45266.47077581019,45188.75606820602
2024-09,233411 Electronics Engineer,105,2,45377.86367519676,44921.49888414352
2024-09,261112 Systems Analyst,100,14,45471.598847534726,44812.68850833333
2024-09,261112 Systems Analyst,105,2,44949.54476377315,44931.894900231484
2024-09,263111 Computer Network and Systems Engineer,100,18,45419.75204841435,44811.55879980324
2024-09,263111 Computer Network and Systems Engineer,105,1,44938.75080995371,44938.75080995371
2024-09,234211 Chemist,95,3,45508.68567005787,45026.39379371528
2024-09,234211 Chemist,100,1,45210.73683707176,45210.73683707176
2024-09,234211 Chemist,105,1,45166.07252769676,45166.07252769676
2024-09,271311 Solicitor,95,8,45314.89895231482,44962.95226805555
2024-09,271311 Solicitor,90,7,44982.94478510416,44844.96964228009
2024-09,233111 Chemical Engineer,95,13,45532.48507144676,44844.82936496528
2024-09,233111 Chemical Engineer,90,7,44986.63124390046,44841.50782804398
2024-09,233111 Chemical Engineer,100,1,45531.47379108796,45531.47379108796
2024-09,233111 Chemical Engineer,105,3,45042.94622237269,44868.588609375
2024-09,233914 Engineering Technologist,95,43,45534.67846755787,44834.55518622685
2024-09,233914 Engineering Technologist,90,31,44975.26362943287,44810.850184456016
2024-09,233914 Engineering Technologist,100,5,45482.692584062504,44909.652782986115
2024-09,233914 Engineering Technologist,105,2,45531.483466122685,45083.79162265046
2024-09,233913 Biomedical Engineer,95,4,45517.51405486111,44949.48230899306
2024-09,233913 Biomedical Engineer,90,2,44902.855471145835,44840.83471072916
2024-09,233913 Biomedical Engineer,100,1,45439.635676770835,45439.635676770835
2024-09,233913 Biomedical Engineer,105,1,45072.507682372685,45072.507682372685
2024-09,221214 Internal Auditor,95,4,45427.56857028935,44968.48334895833
2024-09,261399 Software and Applications Programmers nec,95,19,45535.04108776621,44935.56317962963
2024-09,261399 Software and Applications Programmers nec,90,4,44951.99993341435,44832.883755902774
2024-09,261399 Software and Applications Programmers nec,105,1,45512.48707164352,45512.48707164352
2024-09,233513 Production or Plant Engineer,95,5,45427.68728611111,44961.01340957176
2024-09,233513 Production or Plant Engineer,90,6,44984.779268715276,44841.903329085646
2024-09,233513 Production or Plant Engineer,100,1,45307.829086342594,45307.829086342594
2024-09,233311 Electrical Engineer,95,25,45270.480442245374,44823.51850100694
2024-09,233311 Electrical Engineer,90,20,44978.839699537035,44812.58696269676
2024-09,233311 Electrical Engineer,110,1,45196.75341373843,45196.75341373843
2024-09,233311 Electrical Engineer,100,4,45476.67352592593,44984.80161736111
2024-09,232111 Architect,75,54,45246.63890686342,44811.78005069445
2024-09,232111 Architect,80,122,45538.48632376157,44811.620955011575
2024-09,232111 Architect,95,4,45166.73985601852,44903.725072534726
2024-09,232111 Architect,90,32,45525.55792947917,44813.48458052083
2024-09,232111 Architect,85,73,45534.487904166665,44820.50861380787
2024-09,232111 Architect,105,1,45527.29932650463,45527.29932650463
2024-09,234212 Food Technologist,95,3,45518.8420965625,45121.1943866088
2024-09,234212 Food Technologist,90,1,44903.93385405093,44903.93385405093
2024-09,221112 Management Accountant,100,3,45513.80163445602,45012.83744988426
2024-09,221112 Management Accountant,105,1,45418.06610142361,45418.06610142361
2024-09,224711 Management Consultant,95,2,45245.794171215275,45093.709235381946
2024-09,224711 Management Consultant,90,1,44904.332194710645,44904.332194710645
2024-09,234711 Veterinarian,95,4,45448.89939837963,44862.560890243054
2024-09,234711 Veterinarian,115,2,45515.70188105324,45244.29742928241
2024-09,241411 Secondary School Teacher,75,8,45231.34613900463,45073.127576273146
2024-09,241411 Secondary School Teacher,80,63,45533.60257028935,45073.588500659724
2024-09,241411 Secondary School Teacher,85,16,45532.76702572917,45302.99144170139
2024-09,134111 Child Care Centre Manager,80,1,45192.412643055555,45192.412643055555
2024-09,134111 Child Care Centre Manager,90,1,45476.810768634256,45476.810768634256
2024-09,134111 Child Care Centre Manager,85,1,45490.51264140046,45490.51264140046
2024-09,224111 Actuary,95,3,45163.45606967593,44970.76547728009
2024-09,224111 Actuary,90,2,44984.57574714121,44961.683443368056
2024-09,333111 Glazier,65,1,44910.7249775463,44910.7249775463
2024-09,333111 Glazier,70,2,45490.57357083334,44910.73112592593
2024-09,242111 University Lecturer,95,13,45530.69765011574,44976.44388950231
2024-09,242111 University Lecturer,90,4,44976.935626273145,44907.96818950232
2024-09,242111 University Lecturer,100,12,45506.70359942129,45127.79763221065
2024-09,242111 University Lecturer,105,1,45073.525790706015,45073.525790706015
2024-09,263312 Telecommunications Network Engineer,95,2,45068.799822534726,44945.56048310185
2024-09,263312 Telecommunications Network Engineer,90,2,44908.70790008102,44846.51817943287
2024-09,233213 Quantity Surveyor,75,46,45245.54885752315,44814.69412190972
2024-09,233213 Quantity Surveyor,80,114,45527.04895497685,44840.59093738426
2024-09,233213 Quantity Surveyor,95,13,45121.734074803244,44853.56124571759
2024-09,233213 Quantity Surveyor,90,21,45506.5620002662,44840.87244788194
2024-09,233213 Quantity Surveyor,85,79,45540.07438599537,44837.99600332176
2024-09,233213 Quantity Surveyor,100,1,44908.80892873843,44908.80892873843
2024-09,233213 Quantity Surveyor,105,1,44945.67491021991,44945.67491021991
2024-09,234599 Life Scientists nec,95,1,44963.48181898148,44963.48181898148
2024-09,254422 Registered Nurse (Mental Health),75,3,45239.69235586806,45148.571377465276
2024-09,254422 Registered Nurse (Mental Health),80,3,45518.7367994213,45198.26552380787
2024-09,254422 Registered Nurse (Mental Health),90,1,45523.536124039354,45523.536124039354
