occupation,2024-09,2024-09_n,2024-11,2024-11_n,2025-08,2025-08_n,2025-11,2025-11_n,2026-06,2026-06_n,pool_total,pool_85,pool_gt85,inv_total
254499 Registered Nurses nec,75.0,174,70.0,512,80.0,626,75.0,876,75.0,912,7188,171,40,3100
241111 Early Childhood (Pre-primary School) Teacher,75.0,261,70.0,590,85.0,365,85.0,247,,0,12628,1998,386,1463
331212 Carpenter,65.0,236,65.0,89,65.0,386,65.0,318,65.0,350,1182,5,5,1379
133111 Construction Project Manager,75.0,247,70.0,411,90.0,10,85.0,78,80.0,281,2280,90,46,1027
312211 Civil Engineering Draftsperson,75.0,287,70.0,497,90.0,4,85.0,109,,0,5583,445,91,897
241411 Secondary School Teacher,75.0,87,70.0,144,85.0,52,75.0,280,75.0,308,2647,70,27,871
272511 Social Worker,75.0,83,70.0,123,85.0,67,75.0,284,75.0,277,1408,56,7,834
253111 General Practitioner,75.0,104,75.0,102,80.0,176,75.0,140,75.0,182,759,58,21,704
232111 Architect,75.0,286,70.0,231,90.0,7,85.0,68,85.0,62,1137,145,31,654
271311 Solicitor,90.0,15,85.0,66,90.0,60,85.0,163,80.0,240,680,77,30,544
253999 Medical Practitioners nec,75.0,84,75.0,70,80.0,133,75.0,107,75.0,133,575,57,19,527
252511 Physiotherapist,75.0,65,75.0,121,80.0,97,75.0,116,75.0,99,640,33,8,498
254412 Registered Nurse (Aged Care),75.0,29,70.0,64,80.0,76,75.0,158,75.0,162,1796,37,5,489
332211 Painting Trades Worker,65.0,214,65.0,60,70.0,96,70.0,90,,0,1348,22,5,460
233213 Quantity Surveyor,75.0,275,70.0,176,,0,,0,,0,1066,115,75,451
221213 External Auditor,90.0,108,85.0,324,,0,,0,,0,3518,577,486,432
233512 Mechanical Engineer,90.0,102,85.0,323,,0,,0,,0,7661,1008,870,425
221111 Accountant (General),95.0,105,95.0,289,,0,,0,,0,7377,948,1043,394
233211 Civil Engineer,90.0,82,85.0,295,,0,,0,,0,8858,1013,766,377
224711 Management Consultant,90.0,3,85.0,33,90.0,27,85.0,122,80.0,179,576,64,47,364
242111 University Lecturer,90.0,30,90.0,89,85.0,222,,0,,0,2458,253,376,341
254418 Registered Nurse (Medical),75.0,36,70.0,69,80.0,55,75.0,87,75.0,92,1608,29,6,339
224113 Statistician,90.0,6,90.0,41,90.0,56,85.0,123,90.0,94,670,129,128,320
252411 Occupational Therapist,75.0,49,75.0,79,80.0,51,75.0,71,75.0,56,516,15,6,306
261313 Software Engineer,100.0,47,95.0,257,,0,,0,,0,9603,1210,2072,304
254415 Registered Nurse (Critical Care and Emergency),75.0,30,70.0,64,80.0,51,75.0,80,75.0,78,1628,22,4,303
261111 ICT Business Analyst,95.0,36,95.0,262,,0,,0,,0,7885,1105,2021,298
312212 Civil Engineering Technician,75.0,73,70.0,149,90.0,3,85.0,64,,0,2213,190,108,289
233111 Chemical Engineer,90.0,24,85.0,58,90.0,52,85.0,151,,0,1513,165,134,285
261311 Analyst Programmer,90.0,69,85.0,215,,0,,0,,0,5536,871,1863,284
233914 Engineering Technologist,90.0,81,85.0,169,,0,,0,,0,5900,730,609,250
341111 Electrician (General),65.0,50,65.0,15,65.0,74,65.0,56,65.0,50,303,1,0,245
234312 Environmental Consultant,95.0,4,90.0,13,90.0,32,85.0,71,80.0,78,427,46,18,198
261312 Developer Programmer,100.0,26,95.0,161,,0,,0,,0,6776,969,1609,187
331111 Bricklayer,65.0,32,65.0,6,65.0,48,65.0,42,65.0,59,205,1,0,187
233311 Electrical Engineer,90.0,50,85.0,133,,0,,0,,0,4366,459,427,183
333411 Wall and Floor Tiler,65.0,34,65.0,11,65.0,53,65.0,38,65.0,45,187,3,0,181
262112 ICT Security Specialist,100.0,8,95.0,170,,0,,0,,0,3154,492,691,178
221113 Taxation Accountant,90.0,41,85.0,133,,0,,0,,0,2055,331,388,174
233214 Structural Engineer,75.0,84,70.0,88,,0,,0,,0,703,84,75,172
234611 Medical Laboratory Scientist,80.0,15,75.0,58,90.0,5,85.0,19,80.0,72,606,31,13,169
254424 Registered Nurse (Surgical),75.0,13,75.0,37,80.0,26,75.0,48,75.0,33,706,14,0,157
224111 Actuary,90.0,5,85.0,31,90.0,35,85.0,65,90.0,15,218,41,26,151
233411 Electronics Engineer,90.0,28,85.0,99,95.0,13,,0,95.0,9,2781,294,462,149
234711 Veterinarian,95.0,6,85.0,12,90.0,14,85.0,53,80.0,64,197,32,14,149
234212 Food Technologist,90.0,4,90.0,17,90.0,18,85.0,62,85.0,46,729,89,38,147
254422 Registered Nurse (Mental Health),75.0,10,75.0,23,80.0,31,75.0,41,75.0,41,379,11,2,146
234112 Agricultural Scientist,95.0,7,90.0,18,90.0,23,85.0,31,80.0,58,268,22,26,137
252712 Speech Pathologist,80.0,16,75.0,14,80.0,33,75.0,15,80.0,57,153,13,2,135
261399 Software and Applications Programmers nec,90.0,24,85.0,110,,0,,0,,0,3950,578,1358,134
234111 Agricultural Consultant,95.0,1,85.0,11,90.0,18,85.0,35,80.0,69,866,25,15,134
272399 Psychologists nec,80.0,19,75.0,24,85.0,8,75.0,36,75.0,46,181,10,3,133
254423 Registered Nurse (Perioperative),75.0,8,75.0,22,80.0,19,75.0,47,75.0,31,531,6,2,127
232112 Landscape Architect,75.0,49,70.0,40,90.0,3,85.0,16,85.0,14,243,25,5,122
234211 Chemist,95.0,5,90.0,11,90.0,19,85.0,58,85.0,28,631,64,26,121
263111 Computer Network and Systems Engineer,100.0,19,95.0,100,,0,,0,,0,3738,512,870,119
234514 Biotechnologist,90.0,8,90.0,25,90.0,23,85.0,56,95.0,5,485,72,82,117
263311 Telecommunications Engineer,90.0,20,85.0,60,,0,90.0,24,95.0,11,1157,137,108,115
234511 Life Scientist (General),90.0,10,90.0,21,90.0,33,85.0,42,95.0,8,295,55,58,114
322313 Welder (First Class),80.0,16,70.0,33,90.0,1,85.0,5,80.0,50,501,10,6,105
251211 Medical Diagnostic Radiographer,75.0,8,75.0,19,80.0,22,75.0,27,80.0,29,166,4,1,105
312312 Electrical Engineering Technician,,0,90.0,1,90.0,5,85.0,24,80.0,74,265,25,22,104
261211 Multimedia Specialist,90.0,7,85.0,40,,0,90.0,34,95.0,20,497,75,168,101
261112 Systems Analyst,100.0,16,95.0,77,,0,,0,,0,5184,767,1446,93
233611 Mining Engineer (excluding Petroleum),105.0,1,90.0,11,90.0,9,85.0,23,80.0,49,493,25,11,93
224311 Economist,90.0,4,90.0,11,90.0,8,85.0,20,80.0,49,192,18,11,92
334111 Plumber (General),65.0,10,65.0,7,65.0,27,65.0,26,65.0,18,50,1,0,88
233612 Petroleum Engineer,95.0,5,85.0,17,90.0,2,85.0,16,80.0,48,276,14,7,88
252711 Audiologist,75.0,17,75.0,23,80.0,11,75.0,15,75.0,19,125,3,1,85
233112 Materials Engineer,90.0,9,85.0,18,90.0,22,85.0,27,,0,297,42,30,76
