occupation,2024-09,2024-09_n,2024-11,2024-11_n,2025-08,2025-08_n,2025-11,2025-11_n,2026-06,2026-06_n,pool_total,pool_85,pool_gt85,inv_total
234313 Environmental Research Scientist,95.0,2,90.0,6,90.0,14,85.0,22,80.0,27,138,18,13,71
331211 Carpenter and Joiner,70.0,9,75.0,1,65.0,17,65.0,13,65.0,31,71,1,0,71
232214 Other Spatial Scientist,100.0,1,90.0,17,90.0,6,85.0,19,80.0,25,131,17,3,68
254111 Midwife,75.0,11,75.0,9,80.0,16,75.0,15,80.0,14,109,1,1,65
254425 Registered Nurse (Paediatrics),80.0,6,70.0,15,80.0,13,75.0,14,80.0,15,215,13,1,63
334112 Airconditioning and Mechanical Services Plumber,65.0,12,70.0,3,65.0,22,65.0,15,65.0,10,20,0,1,62
351311 Chef,90.0,4,85.0,56,,0,,0,,0,10982,542,349,60
233215 Transport Engineer,75.0,23,70.0,34,,0,,0,,0,195,21,14,57
133211 Engineering Manager,,0,90.0,1,90.0,1,85.0,20,80.0,34,292,6,1,56
233212 Geotechnical Engineer,75.0,26,70.0,29,,0,,0,,0,251,30,29,55
233999 Engineering Professionals nec,90.0,15,85.0,39,,0,,0,,0,1336,210,211,54
234914 Physicist,95.0,3,90.0,4,90.0,9,85.0,15,80.0,23,72,10,8,54
253912 Emergency Medicine Specialist,80.0,9,75.0,10,80.0,12,75.0,10,80.0,10,44,2,3,51
251214 Sonographer,80.0,2,75.0,5,80.0,20,75.0,21,85.0,1,13,0,1,49
233513 Production or Plant Engineer,90.0,12,90.0,36,,0,,0,,0,705,87,54,48
224512 Valuer,95.0,1,90.0,3,90.0,3,85.0,9,80.0,23,77,4,0,39
234599 Life Scientists nec,95.0,1,90.0,4,95.0,9,85.0,20,95.0,4,107,8,31,38
139912 Environmental Manager,,0,90.0,6,90.0,2,85.0,11,80.0,17,167,8,2,36
232212 Surveyor,95.0,3,90.0,1,95.0,1,85.0,12,80.0,17,180,7,2,34
221112 Management Accountant,100.0,4,95.0,28,,0,,0,,0,1741,225,270,32
233913 Biomedical Engineer,90.0,8,85.0,24,,0,,0,,0,526,86,74,32
234517 Microbiologist,,0,90.0,4,90.0,7,85.0,18,95.0,3,348,34,25,32
394111 Cabinetmaker,65.0,19,70.0,7,,0,,0,80.0,4,152,5,0,30
254421 Registered Nurse (Medical Practice),80.0,1,75.0,3,80.0,4,75.0,9,75.0,11,125,2,0,28
254414 Registered Nurse (Community Health),,0,75.0,5,80.0,8,75.0,8,75.0,7,112,5,0,28
322311 Metal Fabricator,75.0,8,75.0,8,,0,85.0,2,80.0,7,254,0,1,25
233511 Industrial Engineer,90.0,4,85.0,21,,0,,0,,0,710,79,67,25
234912 Metallurgist,,0,90.0,4,90.0,5,85.0,5,80.0,10,120,3,1,24
333212 Solid Plasterer,65.0,4,75.0,1,65.0,8,65.0,2,65.0,8,54,0,0,23
224511 Land Economist,,0,,0,90.0,1,85.0,9,80.0,12,25,1,1,22
342313 Electronic Equipment Trades Worker,,0,,0,110.0,1,85.0,7,80.0,13,222,2,1,21
251411 Optometrist,80.0,5,75.0,4,80.0,4,75.0,2,80.0,6,40,5,1,21
263312 Telecommunications Network Engineer,90.0,4,85.0,10,,0,90.0,5,95.0,2,320,44,35,21
333111 Glazier,65.0,3,,0,65.0,8,65.0,6,65.0,3,17,0,0,20
234513 Biochemist,,0,90.0,9,90.0,6,85.0,5,,0,110,13,16,20
252111 Chiropractor,80.0,3,75.0,4,,0,85.0,1,80.0,12,126,5,0,20
252611 Podiatrist,80.0,3,75.0,4,80.0,3,75.0,4,75.0,6,40,0,0,20
221214 Internal Auditor,95.0,4,90.0,15,,0,,0,,0,583,62,37,19
233915 Environmental Engineer,95.0,2,85.0,17,,0,,0,,0,432,62,58,19
233911 Aeronautical Engineer,95.0,1,85.0,18,,0,,0,,0,402,60,38,19
234516 Marine Biologist,,0,90.0,4,90.0,5,85.0,8,100.0,2,54,6,14,19
254417 Registered Nurse (Disability and Rehabilitation),80.0,1,75.0,3,80.0,2,75.0,6,80.0,6,107,3,0,18
139911 Arts Administrator or Manager,,0,,0,90.0,2,85.0,5,80.0,11,38,2,1,18
234399 Environmental Scientists nec,,0,90.0,1,,0,85.0,4,80.0,10,20,3,1,15
254413 Registered Nurse (Child and Family Health),80.0,2,75.0,4,80.0,2,75.0,3,80.0,3,30,0,3,14
234412 Geophysicist,,0,90.0,2,90.0,2,85.0,3,80.0,7,52,3,5,14
272311 Clinical Psychologist,85.0,1,75.0,2,85.0,2,80.0,4,80.0,4,17,1,2,13
253411 Psychiatrist,80.0,2,80.0,2,80.0,3,75.0,4,85.0,2,23,2,0,13
334115 Roof Plumber,65.0,2,,0,65.0,4,70.0,3,65.0,3,10,0,0,12
234113 Forester,,0,90.0,4,90.0,4,85.0,2,80.0,2,66,3,0,12
331213 Joiner,65.0,3,,0,65.0,4,65.0,2,65.0,3,10,0,0,12
321211 Motor Mechanic (General),90.0,3,90.0,9,,0,,0,,0,2995,135,79,12
312311 Electrical Engineering Draftsperson,,0,,0,90.0,1,85.0,5,80.0,4,156,12,2,10
253311 Specialist Physician (General Medicine),80.0,1,75.0,1,80.0,3,80.0,3,80.0,2,20,2,2,10
323211 Fitter (General),,0,,0,,0,85.0,2,80.0,8,298,4,0,10
234999 Natural and Physical Science Professionals nec,,0,90.0,2,90.0,1,85.0,4,85.0,2,20,6,2,9
241511 Special Needs Teacher,80.0,1,75.0,3,,0,75.0,2,75.0,3,69,0,0,9
134213 Primary Health Organisation Manager,,0,,0,90.0,1,90.0,2,80.0,5,81,0,0,8
134111 Child Care Centre Manager,80.0,3,75.0,1,,0,75.0,2,80.0,2,45,1,1,8
234518 Zoologist,90.0,1,90.0,1,90.0,2,85.0,4,,0,24,9,7,8
253917 Diagnostic and Interventional Radiologist,80.0,2,80.0,2,85.0,2,85.0,2,,0,11,1,0,8
253321 Paediatrician,80.0,2,75.0,1,85.0,1,80.0,1,80.0,2,14,1,0,7
334114 Gasfitter,65.0,1,,0,65.0,4,65.0,1,70.0,1,4,0,0,7
331112 Stonemason,70.0,1,,0,65.0,2,75.0,1,65.0,3,6,0,0,7
253317 Intensive Care Specialist,85.0,1,,0,80.0,3,80.0,2,80.0,1,6,0,0,7
234413 Hydrogeologist,,0,90.0,1,90.0,1,90.0,1,80.0,4,49,0,1,7
251212 Medical Radiation Therapist,,0,75.0,2,80.0,1,90.0,2,80.0,2,20,0,0,7
333211 Fibrous Plasterer,65.0,1,,0,65.0,2,,0,70.0,3,14,0,0,6
321111 Automotive Electrician,,0,,0,,0,85.0,1,80.0,5,100,0,1,6
399111 Boat Builder and Repairer,,0,90.0,1,90.0,1,90.0,1,80.0,3,22,0,0,6
452316 Tennis Coach,,0,,0,95.0,1,85.0,2,85.0,3,18,2,0,6
241599 Special Education Teachers nec,80.0,1,75.0,2,,0,75.0,2,85.0,1,21,0,0,6
253312 Cardiologist,80.0,1,,0,80.0,1,80.0,2,80.0,1,7,0,0,5
271111 Barrister,,0,,0,95.0,1,90.0,2,80.0,2,9,1,0,5
211112 Dancer or Choreographer,,0,90.0,1,,0,,0,80.0,4,12,1,0,5
253324 Thoracic Medicine Specialist,,0,75.0,2,80.0,1,80.0,1,95.0,1,1,0,0,5
253514 Orthopaedic Surgeon,,0,75.0,2,85.0,1,85.0,1,85.0,1,7,1,0,5
252112 Osteopath,,0,75.0,1,,0,,0,80.0,3,15,0,0,4
313213 Telecommunications Network Planner,,0,90.0,2,,0,90.0,2,,0,477,22,11,4
211213 Musician (Instrumental),,0,90.0,1,,0,,0,90.0,3,13,2,0,4
342315 Electronic Instrument Trades Worker (Special Class),,0,,0,,0,85.0,1,80.0,3,55,0,0,4
254411 Nurse Practitioner,85.0,1,100.0,1,85.0,2,,0,,0,15,0,0,4
253318 Neurologist,,0,75.0,1,80.0,2,80.0,1,,0,7,0,0,4
324111 Panelbeater,,0,,0,90.0,1,,0,80.0,3,18,1,0,4
341113 Lift Mechanic,65.0,2,65.0,1,,0,,0,80.0,1,12,0,0,4
334113 Drainer,75.0,1,,0,,0,,0,65.0,2,7,0,0,3
313212 Telecommunications Field Engineer,,0,85.0,2,,0,95.0,1,,0,154,10,13,3
253316 Gastroenterologist,85.0,2,,0,,0,,0,85.0,1,5,1,0,3
233916 Naval Architect,95.0,2,90.0,1,,0,,0,,0,43,2,4,3
233912 Agricultural Engineer,,0,90.0,3,,0,,0,,0,143,6,6,3
342314 Electronic Instrument Trades Worker (General),,0,,0,,0,85.0,1,80.0,2,105,2,0,3
253914 Ophthalmologist,85.0,1,,0,80.0,1,,0,80.0,1,3,1,0,3
232213 Cartographer,,0,,0,90.0,1,90.0,1,85.0,1,8,1,0,3
134214 Welfare Centre Manager,,0,,0,,0,85.0,1,85.0,1,10,0,0,2
272313 Organisational Psychologist,,0,,0,,0,80.0,1,80.0,1,2,0,0,2
251912 Orthotist or Prosthetist,80.0,1,75.0,1,,0,,0,,0,14,0,0,2
253399 Specialist Physicians nec,,0,80.0,1,,0,,0,80.0,1,11,2,1,2
253518 Urologist,80.0,1,,0,,0,,0,100.0,1,3,0,1,2
321212 Diesel Motor Mechanic,90.0,1,95.0,1,,0,,0,,0,243,4,6,2
254416 Registered Nurse (Developmental Disability),,0,,0,,0,,0,80.0,2,13,0,0,2
313214 Telecommunications Technical Officer or Technologist,,0,90.0,1,,0,95.0,1,,0,191,14,8,2
234913 Meteorologist,,0,90.0,1,,0,,0,,0,22,1,0,1
253511 Surgeon (General),,0,,0,,0,80.0,1,,0,7,0,1,1
341112 Electrician (Special Class),70.0,1,,0,,0,,0,,0,4,0,0,1
253521 Vascular Surgeon,,0,,0,,0,75.0,1,,0,0,0,0,1
342111 Airconditioning and Refrigeration Mechanic,,0,,0,,0,,0,80.0,1,52,0,0,1
323214 Metal Machinist (First Class),,0,90.0,1,,0,,0,,0,50,0,0,1
253913 Obstetrician and Gynaecologist,,0,,0,,0,75.0,1,,0,17,0,1,1
322211 Sheetmetal Trades Worker,,0,70.0,1,,0,,0,,0,13,1,0,1
399112 Shipwright,105.0,1,,0,,0,,0,,0,2,0,0,1
253314 Medical Oncologist,,0,,0,,0,80.0,1,,0,2,0,0,1
