Score,Eng,Partner,AusStudy,Regional,CommLang,Specialist,ProfYear,n
65,0,10,N,N,N,N,N,2
65,0,10,Y,-1,N,N,N,1
65,20,5,N,N,-1,N,N,1
65,10,0,N,N,N,N,N,2
65,10,5,N,N,N,N,N,2
65,10,5,N,N,-1,N,N,1
65,10,10,N,N,N,N,N,5
75,0,10,Y,N,N,-1,N,1
75,0,10,Y,-1,N,-1,N,1
75,0,10,Y,-1,-1,N,N,2
75,20,5,N,N,N,N,N,5
75,20,10,N,N,N,N,N,2
75,10,10,N,N,N,N,N,1
75,10,10,Y,N,N,N,N,3
70,20,0,Y,N,-1,N,N,1
70,10,0,Y,N,N,N,N,1
70,10,5,N,N,N,N,N,1
70,10,5,Y,N,-1,N,N,1
70,10,10,N,N,N,N,N,4
70,10,10,N,N,-1,N,N,2
70,10,10,Y,N,N,N,N,1
80,0,10,Y,N,N,-1,N,1
80,20,0,N,N,N,N,N,1
80,20,0,N,N,-1,N,N,1
80,20,5,N,N,N,N,N,1
80,20,10,N,N,N,N,N,2
80,20,10,Y,N,N,N,N,1
80,20,10,Y,N,-1,N,N,2
80,10,10,Y,-1,N,N,N,1
95,20,10,Y,N,N,-1,N,1
95,10,10,Y,N,-1,-1,N,1
90,20,10,Y,-1,-1,N,N,1
90,10,5,Y,N,-1,-1,N,1
85,20,5,N,N,N,N,N,1
85,20,5,Y,N,N,N,N,1
85,20,10,N,N,-1,N,N,1
85,20,10,Y,N,N,N,N,2
85,20,10,Y,N,-1,N,N,1
85,20,10,Y,-1,-1,N,N,1
85,10,5,Y,-1,N,-1,N,1
85,10,10,Y,N,N,-1,N,1
85,10,10,Y,-1,N,-1,N,1
55,0,10,N,N,N,N,N,1
55,10,0,N,N,N,N,N,1
60,10,0,N,N,N,N,N,1
60,10,0,Y,N,-1,N,N,1
100,20,10,Y,N,N,-1,N,2
100,20,10,Y,N,-1,-1,N,1
105,20,10,Y,N,-1,-1,N,1
