OccGroup,Score,AusStudy,n
3212 Motor Mechanics,55,N,34
3212 Motor Mechanics,55,Y,122
3212 Motor Mechanics,60,N,30
3212 Motor Mechanics,60,Y,338
3212 Motor Mechanics,50,N,11
3212 Motor Mechanics,50,Y,39
3212 Motor Mechanics,100,Y,2
3212 Motor Mechanics,40,N,3
3212 Motor Mechanics,45,N,4
3212 Motor Mechanics,45,Y,11
3212 Motor Mechanics,30,Y,1
3212 Motor Mechanics,125,Y,1
3212 Motor Mechanics,35,Y,2
2332 Civil Engineering Professionals,65,N,1114
2332 Civil Engineering Professionals,65,Y,809
2332 Civil Engineering Professionals,75,N,745
2332 Civil Engineering Professionals,75,Y,1255
2332 Civil Engineering Professionals,70,N,885
2332 Civil Engineering Professionals,70,Y,1179
2332 Civil Engineering Professionals,80,N,523
2332 Civil Engineering Professionals,80,Y,1096
2332 Civil Engineering Professionals,95,N,5
2332 Civil Engineering Professionals,95,Y,223
2332 Civil Engineering Professionals,90,N,92
2332 Civil Engineering Professionals,90,Y,581
2332 Civil Engineering Professionals,85,N,301
2332 Civil Engineering Professionals,85,Y,962
2332 Civil Engineering Professionals,55,N,270
2332 Civil Engineering Professionals,55,Y,117
2332 Civil Engineering Professionals,60,N,307
2332 Civil Engineering Professionals,60,Y,367
2332 Civil Engineering Professionals,50,N,94
2332 Civil Engineering Professionals,50,Y,40
2332 Civil Engineering Professionals,110,Y,3
2332 Civil Engineering Professionals,100,Y,50
2332 Civil Engineering Professionals,105,Y,4
2332 Civil Engineering Professionals,40,N,6
2332 Civil Engineering Professionals,40,Y,1
2332 Civil Engineering Professionals,45,N,29
2332 Civil Engineering Professionals,45,Y,12
2332 Civil Engineering Professionals,30,N,1
2332 Civil Engineering Professionals,25,N,1
2332 Civil Engineering Professionals,120,Y,1
2332 Civil Engineering Professionals,35,N,3
2411 Early Childhood (Pre-primary School) Teachers,65,N,171
2411 Early Childhood (Pre-primary School) Teachers,65,Y,1690
2411 Early Childhood (Pre-primary School) Teachers,75,N,139
2411 Early Childhood (Pre-primary School) Teachers,75,Y,2330
2411 Early Childhood (Pre-primary School) Teachers,70,N,149
2411 Early Childhood (Pre-primary School) Teachers,70,Y,2525
2411 Early Childhood (Pre-primary School) Teachers,80,N,153
2411 Early Childhood (Pre-primary School) Teachers,80,Y,1855
2411 Early Childhood (Pre-primary School) Teachers,95,Y,11
2411 Early Childhood (Pre-primary School) Teachers,90,N,3
2411 Early Childhood (Pre-primary School) Teachers,90,Y,371
2411 Early Childhood (Pre-primary School) Teachers,85,N,13
2411 Early Childhood (Pre-primary School) Teachers,85,Y,1985
2411 Early Childhood (Pre-primary School) Teachers,55,N,44
2411 Early Childhood (Pre-primary School) Teachers,55,Y,242
2411 Early Childhood (Pre-primary School) Teachers,60,N,68
2411 Early Childhood (Pre-primary School) Teachers,60,Y,736
2411 Early Childhood (Pre-primary School) Teachers,50,N,19
2411 Early Childhood (Pre-primary School) Teachers,50,Y,102
2411 Early Childhood (Pre-primary School) Teachers,40,N,2
2411 Early Childhood (Pre-primary School) Teachers,40,Y,3
2411 Early Childhood (Pre-primary School) Teachers,45,N,4
2411 Early Childhood (Pre-primary School) Teachers,45,Y,19
2411 Early Childhood (Pre-primary School) Teachers,30,N,1
2411 Early Childhood (Pre-primary School) Teachers,125,Y,1
2411 Early Childhood (Pre-primary School) Teachers,35,Y,1
2611 ICT Business and Systems Analysts,65,N,478
2611 ICT Business and Systems Analysts,65,Y,856
2611 ICT Business and Systems Analysts,75,N,507
2611 ICT Business and Systems Analysts,75,Y,1558
2611 ICT Business and Systems Analysts,70,N,536
2611 ICT Business and Systems Analysts,70,Y,1117
2611 ICT Business and Systems Analysts,80,N,393
2611 ICT Business and Systems Analysts,80,Y,1604
2611 ICT Business and Systems Analysts,95,N,30
2611 ICT Business and Systems Analysts,95,Y,1078
2611 ICT Business and Systems Analysts,90,N,156
2611 ICT Business and Systems Analysts,90,Y,1769
2611 ICT Business and Systems Analysts,85,N,294
2611 ICT Business and Systems Analysts,85,Y,1578
2611 ICT Business and Systems Analysts,55,N,110
2611 ICT Business and Systems Analysts,55,Y,86
2611 ICT Business and Systems Analysts,60,N,178
2611 ICT Business and Systems Analysts,60,Y,218
2611 ICT Business and Systems Analysts,50,N,40
2611 ICT Business and Systems Analysts,50,Y,20
2611 ICT Business and Systems Analysts,110,Y,4
2611 ICT Business and Systems Analysts,100,N,3
2611 ICT Business and Systems Analysts,100,Y,405
2611 ICT Business and Systems Analysts,105,Y,22
2611 ICT Business and Systems Analysts,40,N,6
2611 ICT Business and Systems Analysts,40,Y,2
2611 ICT Business and Systems Analysts,45,N,22
2611 ICT Business and Systems Analysts,45,Y,3
2611 ICT Business and Systems Analysts,30,N,1
2211 Accountants,65,N,404
2211 Accountants,65,Y,1048
2211 Accountants,75,N,492
2211 Accountants,75,Y,1589
2211 Accountants,70,N,518
2211 Accountants,70,Y,1533
2211 Accountants,80,N,392
2211 Accountants,80,Y,1343
2211 Accountants,95,N,41
2211 Accountants,95,Y,497
2211 Accountants,90,N,130
2211 Accountants,90,Y,843
2211 Accountants,85,N,327
2211 Accountants,85,Y,1177
2211 Accountants,55,N,50
2211 Accountants,55,Y,106
2211 Accountants,60,N,105
2211 Accountants,60,Y,302
2211 Accountants,50,N,15
2211 Accountants,50,Y,51
2211 Accountants,110,Y,2
2211 Accountants,100,N,2
2211 Accountants,100,Y,174
2211 Accountants,105,Y,11
2211 Accountants,40,N,2
2211 Accountants,40,Y,1
2211 Accountants,45,N,6
2211 Accountants,45,Y,7
2211 Accountants,115,Y,1
2211 Accountants,35,N,3
2211 Accountants,35,Y,1
2344 Geologists Geophysicists and Hydrogeologists,65,N,16
2344 Geologists Geophysicists and Hydrogeologists,65,Y,4
2344 Geologists Geophysicists and Hydrogeologists,75,N,21
2344 Geologists Geophysicists and Hydrogeologists,75,Y,2
2344 Geologists Geophysicists and Hydrogeologists,70,N,12
2344 Geologists Geophysicists and Hydrogeologists,70,Y,7
2344 Geologists Geophysicists and Hydrogeologists,80,N,5
2344 Geologists Geophysicists and Hydrogeologists,80,Y,5
2344 Geologists Geophysicists and Hydrogeologists,90,N,4
2344 Geologists Geophysicists and Hydrogeologists,90,Y,2
2344 Geologists Geophysicists and Hydrogeologists,85,N,2
2344 Geologists Geophysicists and Hydrogeologists,85,Y,1
2344 Geologists Geophysicists and Hydrogeologists,55,N,8
2344 Geologists Geophysicists and Hydrogeologists,60,N,11
2344 Geologists Geophysicists and Hydrogeologists,60,Y,1
"2621 Database and Systems Administrators, and ICT Security Specialists",65,N,81
"2621 Database and Systems Administrators, and ICT Security Specialists",65,Y,265
"2621 Database and Systems Administrators, and ICT Security Specialists",75,N,76
"2621 Database and Systems Administrators, and ICT Security Specialists",75,Y,443
"2621 Database and Systems Administrators, and ICT Security Specialists",70,N,86
"2621 Database and Systems Administrators, and ICT Security Specialists",70,Y,333
"2621 Database and Systems Administrators, and ICT Security Specialists",80,N,55
"2621 Database and Systems Administrators, and ICT Security Specialists",80,Y,456
"2621 Database and Systems Administrators, and ICT Security Specialists",95,N,2
"2621 Database and Systems Administrators, and ICT Security Specialists",95,Y,209
"2621 Database and Systems Administrators, and ICT Security Specialists",90,N,14
"2621 Database and Systems Administrators, and ICT Security Specialists",90,Y,388
"2621 Database and Systems Administrators, and ICT Security Specialists",85,N,87
"2621 Database and Systems Administrators, and ICT Security Specialists",85,Y,405
"2621 Database and Systems Administrators, and ICT Security Specialists",55,N,34
"2621 Database and Systems Administrators, and ICT Security Specialists",55,Y,24
"2621 Database and Systems Administrators, and ICT Security Specialists",60,N,38
"2621 Database and Systems Administrators, and ICT Security Specialists",60,Y,55
"2621 Database and Systems Administrators, and ICT Security Specialists",50,N,14
"2621 Database and Systems Administrators, and ICT Security Specialists",50,Y,5
"2621 Database and Systems Administrators, and ICT Security Specialists",110,Y,1
"2621 Database and Systems Administrators, and ICT Security Specialists",100,Y,72
"2621 Database and Systems Administrators, and ICT Security Specialists",105,Y,5
"2621 Database and Systems Administrators, and ICT Security Specialists",40,N,1
"2621 Database and Systems Administrators, and ICT Security Specialists",45,N,4
"2621 Database and Systems Administrators, and ICT Security Specialists",45,Y,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,N,252
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,Y,365
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,N,180
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,Y,523
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,N,192
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,Y,537
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,N,169
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,Y,484
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,N,5
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,Y,90
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,N,81
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,Y,328
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,N,148
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,Y,491
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,N,29
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,Y,29
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,N,48
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,Y,102
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,N,11
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,Y,13
"2212 Auditors, Company Secretaries and Corporate Treasurers",100,Y,18
"2212 Auditors, Company Secretaries and Corporate Treasurers",105,Y,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",40,N,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",45,N,3
"2212 Auditors, Company Secretaries and Corporate Treasurers",45,Y,2
2345 Life Scientists,65,N,168
2345 Life Scientists,65,Y,43
2345 Life Scientists,75,N,134
2345 Life Scientists,75,Y,121
2345 Life Scientists,70,N,137
2345 Life Scientists,70,Y,73
2345 Life Scientists,80,N,64
2345 Life Scientists,80,Y,120
2345 Life Scientists,95,N,3
2345 Life Scientists,95,Y,50
2345 Life Scientists,90,N,22
2345 Life Scientists,90,Y,137
2345 Life Scientists,85,N,50
2345 Life Scientists,85,Y,147
2345 Life Scientists,55,N,46
2345 Life Scientists,55,Y,5
2345 Life Scientists,60,N,67
2345 Life Scientists,60,Y,13
2345 Life Scientists,50,N,9
2345 Life Scientists,110,Y,2
2345 Life Scientists,100,Y,13
2345 Life Scientists,105,Y,6
2345 Life Scientists,45,N,11
"2335 Industrial, Mechanical and Production Engineers",65,N,937
"2335 Industrial, Mechanical and Production Engineers",65,Y,502
"2335 Industrial, Mechanical and Production Engineers",75,N,790
"2335 Industrial, Mechanical and Production Engineers",75,Y,825
"2335 Industrial, Mechanical and Production Engineers",70,N,706
"2335 Industrial, Mechanical and Production Engineers",70,Y,757
"2335 Industrial, Mechanical and Production Engineers",80,N,497
"2335 Industrial, Mechanical and Production Engineers",80,Y,752
"2335 Industrial, Mechanical and Production Engineers",95,N,27
"2335 Industrial, Mechanical and Production Engineers",95,Y,218
"2335 Industrial, Mechanical and Production Engineers",90,N,149
"2335 Industrial, Mechanical and Production Engineers",90,Y,542
"2335 Industrial, Mechanical and Production Engineers",85,N,403
"2335 Industrial, Mechanical and Production Engineers",85,Y,771
"2335 Industrial, Mechanical and Production Engineers",55,N,254
"2335 Industrial, Mechanical and Production Engineers",55,Y,70
"2335 Industrial, Mechanical and Production Engineers",60,N,376
"2335 Industrial, Mechanical and Production Engineers",60,Y,272
"2335 Industrial, Mechanical and Production Engineers",50,N,81
"2335 Industrial, Mechanical and Production Engineers",50,Y,37
"2335 Industrial, Mechanical and Production Engineers",100,Y,52
"2335 Industrial, Mechanical and Production Engineers",105,Y,3
"2335 Industrial, Mechanical and Production Engineers",40,N,7
"2335 Industrial, Mechanical and Production Engineers",40,Y,5
"2335 Industrial, Mechanical and Production Engineers",45,N,27
"2335 Industrial, Mechanical and Production Engineers",45,Y,10
"2335 Industrial, Mechanical and Production Engineers",30,N,2
"2335 Industrial, Mechanical and Production Engineers",25,Y,1
"2335 Industrial, Mechanical and Production Engineers",35,N,2
"2335 Industrial, Mechanical and Production Engineers",35,Y,2
2339 Other Engineering Professionals,65,N,802
2339 Other Engineering Professionals,65,Y,580
2339 Other Engineering Professionals,75,N,525
2339 Other Engineering Professionals,75,Y,872
2339 Other Engineering Professionals,70,N,603
2339 Other Engineering Professionals,70,Y,849
2339 Other Engineering Professionals,80,N,395
2339 Other Engineering Professionals,80,Y,859
2339 Other Engineering Professionals,95,N,11
2339 Other Engineering Professionals,95,Y,252
2339 Other Engineering Professionals,90,N,87
2339 Other Engineering Professionals,90,Y,552
2339 Other Engineering Professionals,85,N,285
2339 Other Engineering Professionals,85,Y,871
2339 Other Engineering Professionals,55,N,242
2339 Other Engineering Professionals,55,Y,122
2339 Other Engineering Professionals,60,N,260
2339 Other Engineering Professionals,60,Y,343
2339 Other Engineering Professionals,50,N,90
2339 Other Engineering Professionals,50,Y,31
2339 Other Engineering Professionals,100,N,1
2339 Other Engineering Professionals,100,Y,83
2339 Other Engineering Professionals,105,Y,14
2339 Other Engineering Professionals,40,N,7
2339 Other Engineering Professionals,45,N,30
2339 Other Engineering Professionals,45,Y,16
2339 Other Engineering Professionals,30,N,3
2339 Other Engineering Professionals,30,Y,1
2339 Other Engineering Professionals,35,N,1
2339 Other Engineering Professionals,35,Y,2
2341 Agricultural and Forestry Scientists,65,N,236
2341 Agricultural and Forestry Scientists,65,Y,114
2341 Agricultural and Forestry Scientists,75,N,108
2341 Agricultural and Forestry Scientists,75,Y,89
2341 Agricultural and Forestry Scientists,70,N,120
2341 Agricultural and Forestry Scientists,70,Y,128
2341 Agricultural and Forestry Scientists,80,N,54
2341 Agricultural and Forestry Scientists,80,Y,90
2341 Agricultural and Forestry Scientists,95,Y,15
2341 Agricultural and Forestry Scientists,90,N,2
2341 Agricultural and Forestry Scientists,90,Y,20
2341 Agricultural and Forestry Scientists,85,N,16
2341 Agricultural and Forestry Scientists,85,Y,34
2341 Agricultural and Forestry Scientists,55,N,37
2341 Agricultural and Forestry Scientists,55,Y,7
2341 Agricultural and Forestry Scientists,60,N,53
2341 Agricultural and Forestry Scientists,60,Y,40
2341 Agricultural and Forestry Scientists,50,N,20
2341 Agricultural and Forestry Scientists,50,Y,4
2341 Agricultural and Forestry Scientists,100,Y,4
2341 Agricultural and Forestry Scientists,40,N,1
2341 Agricultural and Forestry Scientists,45,N,7
2341 Agricultural and Forestry Scientists,30,N,1
2544 Registered Nurses,65,N,1895
2544 Registered Nurses,65,Y,1431
2544 Registered Nurses,75,N,1094
2544 Registered Nurses,75,Y,2731
2544 Registered Nurses,70,N,1458
2544 Registered Nurses,70,Y,2394
2544 Registered Nurses,80,N,205
2544 Registered Nurses,80,Y,1014
2544 Registered Nurses,95,N,1
2544 Registered Nurses,95,Y,4
2544 Registered Nurses,90,N,12
2544 Registered Nurses,90,Y,41
2544 Registered Nurses,85,N,63
2544 Registered Nurses,85,Y,250
2544 Registered Nurses,55,N,396
2544 Registered Nurses,55,Y,141
2544 Registered Nurses,60,N,637
2544 Registered Nurses,60,Y,403
2544 Registered Nurses,50,N,142
2544 Registered Nurses,50,Y,44
2544 Registered Nurses,110,Y,1
2544 Registered Nurses,100,N,1
2544 Registered Nurses,100,Y,1
2544 Registered Nurses,105,Y,1
2544 Registered Nurses,40,N,24
2544 Registered Nurses,40,Y,2
2544 Registered Nurses,45,N,47
2544 Registered Nurses,45,Y,14
2544 Registered Nurses,30,N,1
2544 Registered Nurses,120,Y,1
2544 Registered Nurses,35,N,7
2544 Registered Nurses,35,Y,4
3513 Chefs,65,N,196
3513 Chefs,65,Y,2244
3513 Chefs,75,N,115
3513 Chefs,75,Y,1904
3513 Chefs,70,N,152
3513 Chefs,70,Y,2283
3513 Chefs,80,N,77
3513 Chefs,80,Y,1052
3513 Chefs,95,N,1
3513 Chefs,95,Y,71
3513 Chefs,90,N,9
3513 Chefs,90,Y,257
3513 Chefs,85,N,51
3513 Chefs,85,Y,491
3513 Chefs,55,N,50
3513 Chefs,55,Y,499
3513 Chefs,60,N,110
3513 Chefs,60,Y,1134
3513 Chefs,50,N,16
3513 Chefs,50,Y,196
3513 Chefs,100,Y,8
3513 Chefs,105,Y,3
3513 Chefs,40,N,1
3513 Chefs,40,Y,7
3513 Chefs,45,N,8
3513 Chefs,45,Y,44
3513 Chefs,30,Y,1
3513 Chefs,35,Y,3
2334 Electronics Engineers,65,N,285
2334 Electronics Engineers,65,Y,170
2334 Electronics Engineers,75,N,203
2334 Electronics Engineers,75,Y,222
2334 Electronics Engineers,70,N,187
2334 Electronics Engineers,70,Y,227
2334 Electronics Engineers,80,N,134
2334 Electronics Engineers,80,Y,207
2334 Electronics Engineers,95,N,5
2334 Electronics Engineers,95,Y,297
2334 Electronics Engineers,90,N,36
2334 Electronics Engineers,90,Y,119
2334 Electronics Engineers,85,N,71
2334 Electronics Engineers,85,Y,223
2334 Electronics Engineers,55,N,103
2334 Electronics Engineers,55,Y,24
2334 Electronics Engineers,60,N,101
2334 Electronics Engineers,60,Y,105
2334 Electronics Engineers,50,N,30
2334 Electronics Engineers,50,Y,11
2334 Electronics Engineers,100,Y,5
2334 Electronics Engineers,40,N,6
2334 Electronics Engineers,45,N,10
2334 Electronics Engineers,25,N,1
2334 Electronics Engineers,35,N,1
3232 Metal Fitters and Machinists,65,N,61
3232 Metal Fitters and Machinists,65,Y,11
3232 Metal Fitters and Machinists,75,N,38
3232 Metal Fitters and Machinists,75,Y,4
3232 Metal Fitters and Machinists,70,N,56
3232 Metal Fitters and Machinists,70,Y,14
3232 Metal Fitters and Machinists,80,N,10
3232 Metal Fitters and Machinists,80,Y,5
3232 Metal Fitters and Machinists,85,N,3
3232 Metal Fitters and Machinists,85,Y,1
3232 Metal Fitters and Machinists,55,N,32
3232 Metal Fitters and Machinists,55,Y,5
3232 Metal Fitters and Machinists,60,N,72
3232 Metal Fitters and Machinists,60,Y,10
3232 Metal Fitters and Machinists,50,N,46
3232 Metal Fitters and Machinists,50,Y,3
3232 Metal Fitters and Machinists,40,N,5
3232 Metal Fitters and Machinists,40,Y,1
3232 Metal Fitters and Machinists,45,N,6
3232 Metal Fitters and Machinists,45,Y,5
3232 Metal Fitters and Machinists,30,N,1
3232 Metal Fitters and Machinists,35,N,1
3232 Metal Fitters and Machinists,35,Y,1
2631 Computer Network Professionals,65,N,134
2631 Computer Network Professionals,65,Y,278
2631 Computer Network Professionals,75,N,122
2631 Computer Network Professionals,75,Y,517
2631 Computer Network Professionals,70,N,141
2631 Computer Network Professionals,70,Y,346
2631 Computer Network Professionals,80,N,91
2631 Computer Network Professionals,80,Y,457
2631 Computer Network Professionals,95,Y,246
2631 Computer Network Professionals,90,N,37
2631 Computer Network Professionals,90,Y,452
2631 Computer Network Professionals,85,N,56
2631 Computer Network Professionals,85,Y,456
2631 Computer Network Professionals,55,N,48
2631 Computer Network Professionals,55,Y,34
2631 Computer Network Professionals,60,N,74
2631 Computer Network Professionals,60,Y,67
2631 Computer Network Professionals,50,N,16
2631 Computer Network Professionals,50,Y,10
2631 Computer Network Professionals,100,Y,129
2631 Computer Network Professionals,105,N,1
2631 Computer Network Professionals,105,Y,5
2631 Computer Network Professionals,40,N,3
2631 Computer Network Professionals,40,Y,1
2631 Computer Network Professionals,45,N,12
2631 Computer Network Professionals,45,Y,1
2631 Computer Network Professionals,30,N,1
2631 Computer Network Professionals,30,Y,1
2631 Computer Network Professionals,35,N,2
"2342 Chemists, and Food and Wine Scientists",65,N,189
"2342 Chemists, and Food and Wine Scientists",65,Y,92
"2342 Chemists, and Food and Wine Scientists",75,N,136
"2342 Chemists, and Food and Wine Scientists",75,Y,139
"2342 Chemists, and Food and Wine Scientists",70,N,136
"2342 Chemists, and Food and Wine Scientists",70,Y,90
"2342 Chemists, and Food and Wine Scientists",80,N,81
"2342 Chemists, and Food and Wine Scientists",80,Y,130
"2342 Chemists, and Food and Wine Scientists",95,Y,15
"2342 Chemists, and Food and Wine Scientists",90,N,10
"2342 Chemists, and Food and Wine Scientists",90,Y,37
"2342 Chemists, and Food and Wine Scientists",85,N,42
"2342 Chemists, and Food and Wine Scientists",85,Y,111
"2342 Chemists, and Food and Wine Scientists",55,N,40
"2342 Chemists, and Food and Wine Scientists",55,Y,6
"2342 Chemists, and Food and Wine Scientists",60,N,51
"2342 Chemists, and Food and Wine Scientists",60,Y,29
"2342 Chemists, and Food and Wine Scientists",50,N,14
"2342 Chemists, and Food and Wine Scientists",50,Y,3
"2342 Chemists, and Food and Wine Scientists",100,Y,2
"2342 Chemists, and Food and Wine Scientists",40,N,3
"2342 Chemists, and Food and Wine Scientists",45,N,4
"2342 Chemists, and Food and Wine Scientists",25,N,1
2713 Solicitors,65,N,23
2713 Solicitors,65,Y,94
2713 Solicitors,75,N,26
2713 Solicitors,75,Y,148
2713 Solicitors,70,N,24
2713 Solicitors,70,Y,96
2713 Solicitors,80,N,12
2713 Solicitors,80,Y,105
2713 Solicitors,95,Y,3
2713 Solicitors,90,N,2
2713 Solicitors,90,Y,24
2713 Solicitors,85,N,9
2713 Solicitors,85,Y,68
2713 Solicitors,55,N,6
2713 Solicitors,55,Y,6
2713 Solicitors,60,N,7
2713 Solicitors,60,Y,22
2713 Solicitors,50,N,2
2713 Solicitors,100,Y,1
2713 Solicitors,45,N,2
2331 Chemical and Materials Engineers,65,N,195
2331 Chemical and Materials Engineers,65,Y,79
2331 Chemical and Materials Engineers,75,N,184
2331 Chemical and Materials Engineers,75,Y,144
2331 Chemical and Materials Engineers,70,N,182
2331 Chemical and Materials Engineers,70,Y,135
2331 Chemical and Materials Engineers,80,N,150
2331 Chemical and Materials Engineers,80,Y,190
2331 Chemical and Materials Engineers,95,N,4
2331 Chemical and Materials Engineers,95,Y,32
2331 Chemical and Materials Engineers,90,N,14
2331 Chemical and Materials Engineers,90,Y,105
2331 Chemical and Materials Engineers,85,N,65
2331 Chemical and Materials Engineers,85,Y,142
2331 Chemical and Materials Engineers,55,N,39
2331 Chemical and Materials Engineers,55,Y,17
2331 Chemical and Materials Engineers,60,N,53
2331 Chemical and Materials Engineers,60,Y,39
2331 Chemical and Materials Engineers,50,N,18
2331 Chemical and Materials Engineers,50,Y,4
2331 Chemical and Materials Engineers,100,Y,8
2331 Chemical and Materials Engineers,105,Y,1
2331 Chemical and Materials Engineers,40,N,1
2331 Chemical and Materials Engineers,45,N,7
2331 Chemical and Materials Engineers,45,Y,2
2331 Chemical and Materials Engineers,30,N,1
3123 Electrical Engineering Draftspersons and Technicians,65,N,60
3123 Electrical Engineering Draftspersons and Technicians,65,Y,34
3123 Electrical Engineering Draftspersons and Technicians,75,N,42
3123 Electrical Engineering Draftspersons and Technicians,75,Y,25
3123 Electrical Engineering Draftspersons and Technicians,70,N,64
3123 Electrical Engineering Draftspersons and Technicians,70,Y,31
3123 Electrical Engineering Draftspersons and Technicians,80,N,13
3123 Electrical Engineering Draftspersons and Technicians,80,Y,12
3123 Electrical Engineering Draftspersons and Technicians,90,N,1
3123 Electrical Engineering Draftspersons and Technicians,90,Y,23
3123 Electrical Engineering Draftspersons and Technicians,85,N,1
3123 Electrical Engineering Draftspersons and Technicians,85,Y,36
3123 Electrical Engineering Draftspersons and Technicians,55,N,21
3123 Electrical Engineering Draftspersons and Technicians,55,Y,6
3123 Electrical Engineering Draftspersons and Technicians,60,N,25
3123 Electrical Engineering Draftspersons and Technicians,60,Y,14
3123 Electrical Engineering Draftspersons and Technicians,50,N,11
3123 Electrical Engineering Draftspersons and Technicians,40,N,1
3123 Electrical Engineering Draftspersons and Technicians,45,N,1
2333 Electrical Engineers,65,N,399
2333 Electrical Engineers,65,Y,324
2333 Electrical Engineers,75,N,303
2333 Electrical Engineers,75,Y,443
2333 Electrical Engineers,70,N,357
2333 Electrical Engineers,70,Y,390
2333 Electrical Engineers,80,N,234
2333 Electrical Engineers,80,Y,401
2333 Electrical Engineers,95,N,3
2333 Electrical Engineers,95,Y,99
2333 Electrical Engineers,90,N,52
2333 Electrical Engineers,90,Y,245
2333 Electrical Engineers,85,N,114
2333 Electrical Engineers,85,Y,345
2333 Electrical Engineers,55,N,159
2333 Electrical Engineers,55,Y,55
2333 Electrical Engineers,60,N,154
2333 Electrical Engineers,60,Y,160
2333 Electrical Engineers,50,N,48
2333 Electrical Engineers,50,Y,26
2333 Electrical Engineers,100,Y,24
2333 Electrical Engineers,105,Y,3
2333 Electrical Engineers,40,N,6
2333 Electrical Engineers,40,Y,1
2333 Electrical Engineers,45,N,17
2333 Electrical Engineers,45,Y,3
2333 Electrical Engineers,120,Y,1
2333 Electrical Engineers,35,N,1
2321 Architects and Landscape Architects,65,N,37
2321 Architects and Landscape Architects,65,Y,166
2321 Architects and Landscape Architects,75,N,49
2321 Architects and Landscape Architects,75,Y,262
2321 Architects and Landscape Architects,70,N,53
2321 Architects and Landscape Architects,70,Y,229
2321 Architects and Landscape Architects,80,N,39
2321 Architects and Landscape Architects,80,Y,221
2321 Architects and Landscape Architects,95,Y,3
2321 Architects and Landscape Architects,90,N,4
2321 Architects and Landscape Architects,90,Y,29
2321 Architects and Landscape Architects,85,N,24
2321 Architects and Landscape Architects,85,Y,146
2321 Architects and Landscape Architects,55,N,15
2321 Architects and Landscape Architects,55,Y,11
2321 Architects and Landscape Architects,60,N,24
2321 Architects and Landscape Architects,60,Y,62
2321 Architects and Landscape Architects,50,N,2
2321 Architects and Landscape Architects,50,Y,2
2321 Architects and Landscape Architects,45,N,3
2531 General Practitioners and Resident Medical officers,65,N,78
2531 General Practitioners and Resident Medical officers,65,Y,15
