OccGroup,Score,AusStudy,n
2613 Software and Applications Programmers,65,N,1916
2613 Software and Applications Programmers,65,Y,784
2613 Software and Applications Programmers,75,N,2407
2613 Software and Applications Programmers,75,Y,1614
2613 Software and Applications Programmers,70,N,2204
2613 Software and Applications Programmers,70,Y,1149
2613 Software and Applications Programmers,80,N,1844
2613 Software and Applications Programmers,80,Y,1882
2613 Software and Applications Programmers,95,N,256
2613 Software and Applications Programmers,95,Y,1870
2613 Software and Applications Programmers,90,N,1029
2613 Software and Applications Programmers,90,Y,2797
2613 Software and Applications Programmers,85,N,1570
2613 Software and Applications Programmers,85,Y,2061
2613 Software and Applications Programmers,55,N,345
2613 Software and Applications Programmers,55,Y,75
2613 Software and Applications Programmers,60,N,667
2613 Software and Applications Programmers,60,Y,227
2613 Software and Applications Programmers,50,N,114
2613 Software and Applications Programmers,50,Y,46
2613 Software and Applications Programmers,110,Y,13
2613 Software and Applications Programmers,100,N,11
2613 Software and Applications Programmers,100,Y,815
2613 Software and Applications Programmers,105,N,1
2613 Software and Applications Programmers,105,Y,107
2613 Software and Applications Programmers,40,N,10
2613 Software and Applications Programmers,40,Y,1
2613 Software and Applications Programmers,45,N,45
2613 Software and Applications Programmers,45,Y,3
2613 Software and Applications Programmers,30,N,7
2613 Software and Applications Programmers,25,N,1
2613 Software and Applications Programmers,25,Y,1
2613 Software and Applications Programmers,120,Y,2
2613 Software and Applications Programmers,115,Y,1
2613 Software and Applications Programmers,125,Y,1
2613 Software and Applications Programmers,35,N,2
3212 Motor Mechanics,65,N,50
3212 Motor Mechanics,65,Y,679
3212 Motor Mechanics,75,N,16
3212 Motor Mechanics,75,Y,569
3212 Motor Mechanics,70,N,19
3212 Motor Mechanics,70,Y,729
3212 Motor Mechanics,80,N,3
3212 Motor Mechanics,80,Y,357
3212 Motor Mechanics,95,Y,21
3212 Motor Mechanics,90,Y,61
3212 Motor Mechanics,85,N,2
3212 Motor Mechanics,85,Y,138
