Score,SubMonth,n
40,2025-08,16
40,2025-09,3
40,2025-10,4
40,2025-11,4
40,2025-12,4
40,2026-01,8
40,2026-02,13
40,2026-03,5
45,2026-07,9
45,2026-08,10
45,2026-06,29
45,2026-05,20
45,2026-04,16
45,2024-08,5
45,2024-09,24
45,2024-10,22
45,2024-11,16
45,2024-12,17
45,2025-01,39
45,2025-02,29
45,2025-03,28
45,2025-04,22
45,2025-05,20
45,2025-06,25
45,2025-07,9
45,2025-08,25
45,2025-09,21
45,2025-10,22
45,2025-11,25
45,2025-12,16
45,2026-01,14
45,2026-02,26
45,2026-03,32
30,2026-08,1
30,2026-05,2
30,2024-11,1
30,2024-12,1
30,2025-03,1
30,2025-10,1
30,2025-12,1
30,2026-01,2
25,2025-04,1
25,2025-07,1
120,2026-06,3
120,2024-10,1
115,2026-07,2
115,2026-08,5
115,2026-06,4
115,2026-04,3
115,2024-09,1
115,2024-10,1
115,2025-02,1
115,2025-10,2
115,2025-11,6
115,2026-01,8
115,2026-02,1
115,2026-03,1
125,2024-10,1
125,2025-04,2
35,2026-07,2
35,2026-06,1
35,2026-05,2
35,2026-04,4
35,2024-09,1
35,2024-10,1
35,2024-11,2
35,2024-12,1
35,2025-01,2
35,2025-02,1
35,2025-03,2
35,2025-04,1
35,2025-07,1
35,2025-08,2
35,2025-09,2
35,2025-11,4
35,2025-12,2
35,2026-01,5
35,2026-02,1
130,2026-07,1
130,2026-06,1
130,2024-12,1
