Score,SubMonth,n
65,2026-07,2081
65,2026-08,2475
65,2026-06,2161
65,2026-05,2076
65,2026-04,2500
65,2024-08,27
65,2024-09,2415
65,2024-10,2074
65,2024-11,1807
65,2024-12,1686
65,2025-01,1518
65,2025-02,1669
65,2025-03,2044
65,2025-04,1852
65,2025-05,2070
65,2025-06,1579
65,2025-07,2023
65,2025-08,2337
65,2025-09,2191
65,2025-10,2659
65,2025-11,2236
65,2025-12,1979
65,2026-01,1888
65,2026-02,2196
65,2026-03,2131
75,2026-07,2665
75,2026-08,2911
75,2026-06,2613
75,2026-05,2668
75,2026-04,3069
75,2024-08,58
75,2024-09,3934
75,2024-10,3072
75,2024-11,2904
75,2024-12,2695
75,2025-01,2516
75,2025-02,2643
75,2025-03,3059
75,2025-04,3169
75,2025-05,2911
75,2025-06,2437
75,2025-07,2927
75,2025-08,3574
75,2025-09,3548
75,2025-10,4248
75,2025-11,3243
75,2025-12,2418
75,2026-01,2592
75,2026-02,2997
75,2026-03,2979
70,2026-07,3561
70,2026-08,3736
70,2026-06,3260
70,2026-05,3227
70,2026-04,3490
70,2024-08,31
70,2024-09,4103
70,2024-10,3417
70,2024-11,3046
70,2024-12,2899
70,2025-01,2747
70,2025-02,2847
70,2025-03,3221
70,2025-04,3409
70,2025-05,3171
70,2025-06,2804
70,2025-07,3226
70,2025-08,3875
70,2025-09,3874
70,2025-10,4692
70,2025-11,3643
70,2025-12,3093
70,2026-01,2981
70,2026-02,3383
70,2026-03,3309
80,2026-07,2723
80,2026-08,2499
80,2026-06,2280
80,2026-05,2484
80,2026-04,2931
80,2023-09,1
80,2024-08,62
80,2024-09,3886
80,2024-10,3086
80,2024-11,3047
80,2024-12,2739
80,2025-01,2607
80,2025-02,2766
80,2025-03,2864
80,2025-04,3027
80,2025-05,2758
80,2025-06,2418
80,2025-07,2891
80,2025-08,3576
80,2025-09,3400
80,2025-10,4074
80,2025-11,3465
80,2025-12,2671
80,2026-01,2681
80,2026-02,3030
80,2026-03,2902
95,2026-07,644
95,2026-08,653
95,2026-06,569
95,2026-05,579
95,2026-04,788
95,2024-08,18
95,2024-09,1014
95,2024-10,856
95,2024-11,851
95,2024-12,808
95,2025-01,818
95,2025-02,788
95,2025-03,944
95,2025-04,895
95,2025-05,984
95,2025-06,739
95,2025-07,876
95,2025-08,1040
95,2025-09,1160
95,2025-10,1246
95,2025-11,984
95,2025-12,650
95,2026-01,770
95,2026-02,779
95,2026-03,880
90,2026-07,1250
90,2026-08,999
90,2026-06,1206
90,2026-05,1191
90,2026-04,1286
90,2024-08,22
90,2024-09,1780
90,2024-10,1514
90,2024-11,1486
90,2024-12,1355
90,2025-01,1371
90,2025-02,1409
90,2025-03,1556
90,2025-04,1487
90,2025-05,1423
90,2025-06,1348
90,2025-07,1436
90,2025-08,1803
90,2025-09,1772
90,2025-10,2369
90,2025-11,1566
90,2025-12,1224
90,2026-01,1284
90,2026-02,1536
90,2026-03,1539
85,2026-07,1697
85,2026-08,1782
85,2026-06,1658
85,2026-05,1582
85,2026-04,2038
85,2024-08,35
85,2024-09,2752
85,2024-10,2143
85,2024-11,1984
85,2024-12,1726
85,2025-01,1652
85,2025-02,1711
85,2025-03,1994
85,2025-04,1965
85,2025-05,1999
85,2025-06,1684
85,2025-07,1897
85,2025-08,2539
85,2025-09,2282
85,2025-10,2773
85,2025-11,2279
85,2025-12,1659
85,2026-01,1715
85,2026-02,1896
85,2026-03,1991
55,2026-07,205
55,2026-08,292
55,2026-06,218
55,2026-05,281
55,2026-04,271
55,2024-08,1
55,2024-09,331
55,2024-10,346
55,2024-11,348
55,2024-12,291
55,2025-01,229
55,2025-02,205
55,2025-03,247
55,2025-04,260
55,2025-05,296
55,2025-06,229
55,2025-07,237
55,2025-08,348
55,2025-09,341
55,2025-10,339
55,2025-11,334
55,2025-12,215
55,2026-01,300
55,2026-02,257
55,2026-03,264
60,2026-07,670
60,2026-08,812
60,2026-06,760
60,2026-05,675
60,2026-04,721
60,2024-08,23
60,2024-09,1206
60,2024-10,812
60,2024-11,749
60,2024-12,651
60,2025-01,654
60,2025-02,729
60,2025-03,769
60,2025-04,730
60,2025-05,798
60,2025-06,584
60,2025-07,934
60,2025-08,930
60,2025-09,783
60,2025-10,1029
60,2025-11,853
60,2025-12,756
60,2026-01,675
60,2026-02,542
60,2026-03,739
50,2026-07,63
50,2026-08,63
50,2026-06,67
50,2026-05,64
50,2026-04,93
50,2024-08,3
50,2024-09,122
50,2024-10,83
50,2024-11,104
50,2024-12,58
50,2025-01,80
50,2025-02,47
50,2025-03,101
50,2025-04,49
50,2025-05,75
50,2025-06,45
50,2025-07,87
50,2025-08,75
50,2025-09,56
50,2025-10,60
50,2025-11,76
50,2025-12,45
50,2026-01,91
50,2026-02,63
50,2026-03,59
110,2026-07,6
110,2026-08,15
110,2026-06,7
110,2026-05,6
110,2026-04,11
110,2024-09,10
110,2024-10,8
110,2024-11,15
110,2024-12,5
110,2025-01,5
110,2025-02,5
110,2025-03,14
110,2025-04,7
110,2025-05,4
110,2025-06,5
110,2025-07,3
110,2025-08,14
110,2025-09,17
110,2025-10,6
110,2025-11,11
110,2025-12,3
110,2026-01,19
110,2026-02,13
110,2026-03,14
100,2026-07,241
100,2026-08,271
100,2026-06,226
100,2026-05,234
100,2026-04,289
100,2024-08,3
100,2024-09,414
100,2024-10,302
100,2024-11,334
100,2024-12,315
100,2025-01,323
100,2025-02,265
100,2025-03,299
100,2025-04,294
100,2025-05,305
100,2025-06,228
100,2025-07,257
100,2025-08,316
100,2025-09,418
100,2025-10,421
100,2025-11,416
100,2025-12,264
100,2026-01,347
100,2026-02,339
100,2026-03,317
105,2026-07,67
105,2026-08,76
105,2026-06,50
105,2026-05,78
105,2026-04,116
105,2024-08,2
105,2024-09,121
105,2024-10,115
105,2024-11,113
105,2024-12,60
105,2025-01,79
105,2025-02,68
105,2025-03,97
105,2025-04,105
105,2025-05,90
105,2025-06,66
105,2025-07,81
105,2025-08,104
105,2025-09,127
105,2025-10,96
105,2025-11,140
105,2025-12,67
105,2026-01,99
105,2026-02,104
105,2026-03,96
40,2026-07,7
40,2026-08,3
40,2026-06,2
40,2026-05,3
40,2026-04,6
40,2024-09,5
40,2024-10,1
40,2024-11,2
40,2024-12,2
40,2025-01,5
40,2025-03,2
40,2025-04,3
40,2025-05,6
40,2025-06,3
40,2025-07,6
