Visa,Score,Status,n
190SAS Skilled Australian Sponsored,65,CLOSED,19
190SAS Skilled Australian Sponsored,65,SUBMITTED,17
190SAS Skilled Australian Sponsored,75,CLOSED,39
190SAS Skilled Australian Sponsored,75,SUBMITTED,16
190SAS Skilled Australian Sponsored,70,LODGED,1
190SAS Skilled Australian Sponsored,70,CLOSED,12
190SAS Skilled Australian Sponsored,70,SUBMITTED,18
190SAS Skilled Australian Sponsored,80,LODGED,2
190SAS Skilled Australian Sponsored,80,CLOSED,40
190SAS Skilled Australian Sponsored,80,SUBMITTED,22
190SAS Skilled Australian Sponsored,95,LODGED,5
190SAS Skilled Australian Sponsored,95,CLOSED,24
190SAS Skilled Australian Sponsored,95,SUBMITTED,13
190SAS Skilled Australian Sponsored,95,HOLD,1
190SAS Skilled Australian Sponsored,90,LODGED,6
190SAS Skilled Australian Sponsored,90,CLOSED,16
190SAS Skilled Australian Sponsored,90,SUBMITTED,12
190SAS Skilled Australian Sponsored,85,LODGED,7
190SAS Skilled Australian Sponsored,85,CLOSED,18
190SAS Skilled Australian Sponsored,85,SUBMITTED,23
190SAS Skilled Australian Sponsored,55,CLOSED,4
190SAS Skilled Australian Sponsored,60,CLOSED,21
190SAS Skilled Australian Sponsored,60,SUBMITTED,1
190SAS Skilled Australian Sponsored,110,CLOSED,4
190SAS Skilled Australian Sponsored,110,SUBMITTED,1
190SAS Skilled Australian Sponsored,100,LODGED,1
190SAS Skilled Australian Sponsored,100,CLOSED,12
190SAS Skilled Australian Sponsored,100,SUBMITTED,2
190SAS Skilled Australian Sponsored,105,CLOSED,7
190SAS Skilled Australian Sponsored,105,SUBMITTED,3
491SNR State or Territory Nominated - Regional,65,CLOSED,4
491SNR State or Territory Nominated - Regional,65,SUBMITTED,9
491SNR State or Territory Nominated - Regional,75,CLOSED,17
491SNR State or Territory Nominated - Regional,75,SUBMITTED,24
491SNR State or Territory Nominated - Regional,70,LODGED,1
491SNR State or Territory Nominated - Regional,70,CLOSED,23
491SNR State or Territory Nominated - Regional,70,SUBMITTED,8
491SNR State or Territory Nominated - Regional,80,CLOSED,15
491SNR State or Territory Nominated - Regional,80,SUBMITTED,21
491SNR State or Territory Nominated - Regional,95,LODGED,2
491SNR State or Territory Nominated - Regional,95,CLOSED,3
491SNR State or Territory Nominated - Regional,95,SUBMITTED,16
491SNR State or Territory Nominated - Regional,90,CLOSED,24
491SNR State or Territory Nominated - Regional,90,SUBMITTED,7
491SNR State or Territory Nominated - Regional,85,CLOSED,28
491SNR State or Territory Nominated - Regional,85,SUBMITTED,14
491SNR State or Territory Nominated - Regional,85,HOLD,1
491SNR State or Territory Nominated - Regional,55,CLOSED,1
491SNR State or Territory Nominated - Regional,60,CLOSED,9
491SNR State or Territory Nominated - Regional,60,SUBMITTED,1
491SNR State or Territory Nominated - Regional,100,LODGED,1
491SNR State or Territory Nominated - Regional,100,CLOSED,4
491SNR State or Territory Nominated - Regional,100,SUBMITTED,12
491SNR State or Territory Nominated - Regional,105,LODGED,1
491SNR State or Territory Nominated - Regional,105,CLOSED,1
491SNR State or Territory Nominated - Regional,105,SUBMITTED,8
491SNR State or Territory Nominated - Regional,105,HOLD,1
189PTS Points-Tested Stream,65,CLOSED,16
189PTS Points-Tested Stream,65,SUBMITTED,14
189PTS Points-Tested Stream,75,CLOSED,28
189PTS Points-Tested Stream,75,SUBMITTED,15
189PTS Points-Tested Stream,70,CLOSED,21
189PTS Points-Tested Stream,70,SUBMITTED,11
189PTS Points-Tested Stream,80,LODGED,11
189PTS Points-Tested Stream,80,CLOSED,7
189PTS Points-Tested Stream,80,SUBMITTED,10
189PTS Points-Tested Stream,95,LODGED,3
189PTS Points-Tested Stream,95,CLOSED,13
189PTS Points-Tested Stream,95,SUBMITTED,2
189PTS Points-Tested Stream,90,LODGED,8
189PTS Points-Tested Stream,90,CLOSED,26
189PTS Points-Tested Stream,90,SUBMITTED,2
189PTS Points-Tested Stream,85,LODGED,11
189PTS Points-Tested Stream,85,CLOSED,10
189PTS Points-Tested Stream,85,SUBMITTED,10
189PTS Points-Tested Stream,55,CLOSED,3
189PTS Points-Tested Stream,55,SUBMITTED,2
189PTS Points-Tested Stream,60,CLOSED,13
189PTS Points-Tested Stream,60,SUBMITTED,2
189PTS Points-Tested Stream,50,CLOSED,3
189PTS Points-Tested Stream,100,LODGED,2
189PTS Points-Tested Stream,100,CLOSED,10
189PTS Points-Tested Stream,100,SUBMITTED,3
189PTS Points-Tested Stream,105,CLOSED,2
189PTS Points-Tested Stream,105,SUBMITTED,1
189PTS Points-Tested Stream,115,CLOSED,1
491FSR Family Sponsored - Regional,75,SUBMITTED,1
491FSR Family Sponsored - Regional,70,CLOSED,1
491FSR Family Sponsored - Regional,80,CLOSED,6
491FSR Family Sponsored - Regional,80,SUBMITTED,2
491FSR Family Sponsored - Regional,90,CLOSED,2
491FSR Family Sponsored - Regional,85,CLOSED,1
491FSR Family Sponsored - Regional,85,SUBMITTED,1
491FSR Family Sponsored - Regional,100,SUBMITTED,1
