OccGroup,Score,pool_n,pm,n,im,state,round
1331 Construction Managers,50,1.0,2024-09-20 19:14:58.999999977,0.0,,UNTOUCHED,2024-09
1331 Construction Managers,55,3.0,2026-05-25 05:00:53.000000029,0.0,,UNTOUCHED,2024-09
1331 Construction Managers,60,5.0,2026-04-25 04:55:10.000000315,0.0,,UNTOUCHED,2024-09
1331 Construction Managers,65,39.0,2026-07-13 04:58:58.000000177,0.0,,UNTOUCHED,2024-09
1331 Construction Managers,70,25.0,2026-08-04 04:59:14.000000144,0.0,,UNTOUCHED,2024-09
1331 Construction Managers,75,28.0,2026-04-19 04:57:56.999999747,74.0,2024-11-05 04:56:36.999999905,PARTIAL,2024-09
1331 Construction Managers,80,9.0,2024-10-13 05:42:03.999999931,120.0,2025-11-10 18:31:29.000000265,CLEARED,2024-09
1331 Construction Managers,85,7.0,2024-10-23 04:59:43.000000010,38.0,2024-11-05 04:56:36.999999905,CLEARED,2024-09
1331 Construction Managers,90,0.0,,12.0,2024-08-23 14:58:24.000000191,PARTIAL,2024-09
1331 Construction Managers,95,0.0,,1.0,2024-05-09 04:48:35.999999994,PARTIAL,2024-09
1331 Construction Managers,100,0.0,,2.0,2024-08-07 21:34:29.000000228,PARTIAL,2024-09
1332 Engineering Managers,60,2.0,2024-09-30 04:56:33.999999829,0.0,,UNTOUCHED,2024-09
1332 Engineering Managers,65,5.0,2025-09-23 04:59:44.999999842,0.0,,UNTOUCHED,2024-09
1332 Engineering Managers,70,2.0,2025-05-29 04:54:08.000000280,0.0,,UNTOUCHED,2024-09
1332 Engineering Managers,75,5.0,2026-02-16 04:57:08.000000233,0.0,,UNTOUCHED,2024-09
1332 Engineering Managers,80,2.0,2026-08-06 04:55:26.999999886,0.0,,UNTOUCHED,2024-09
1341 Child Care Centre Managers,65,2.0,2025-09-25 04:55:09.000000079,0.0,,UNTOUCHED,2024-09
1341 Child Care Centre Managers,75,1.0,2024-09-30 17:02:31.000000300,0.0,,UNTOUCHED,2024-09
1341 Child Care Centre Managers,80,0.0,,1.0,2024-02-17 04:46:31.999999923,PARTIAL,2024-09
1341 Child Care Centre Managers,85,0.0,,1.0,2024-07-20 04:50:16.000000105,PARTIAL,2024-09
1341 Child Care Centre Managers,90,0.0,,1.0,2024-07-03 19:27:28.999999903,PARTIAL,2024-09
1342 Health and Welfare Services Managers,65,3.0,2026-06-05 04:55:23.999999810,0.0,,UNTOUCHED,2024-09
1342 Health and Welfare Services Managers,70,2.0,2024-10-12 05:28:11.999999691,0.0,,UNTOUCHED,2024-09
1342 Health and Welfare Services Managers,85,2.0,2024-11-08 04:55:28.999999727,0.0,,UNTOUCHED,2024-09
1399 Other Specialist Managers,65,2.0,2025-09-16 04:54:35.999999910,0.0,,UNTOUCHED,2024-09
1399 Other Specialist Managers,75,3.0,2026-03-07 04:56:03.000000131,0.0,,UNTOUCHED,2024-09
1399 Other Specialist Managers,80,3.0,2024-12-13 04:59:01.999999849,0.0,,UNTOUCHED,2024-09
1399 Other Specialist Managers,95,3.0,2024-09-24 04:52:50.000000278,0.0,,UNTOUCHED,2024-09
2112 Music Professionals,70,1.0,2024-08-27 04:52:37.999999983,0.0,,UNTOUCHED,2024-09
"2121 Artistic Directors, and Media Producers and Presenters",80,1.0,2025-02-24 06:14:27.000000248,0.0,,UNTOUCHED,2024-09
2211 Accountants,55,6.0,2025-08-04 04:54:53.000000112,0.0,,UNTOUCHED,2024-09
2211 Accountants,60,18.0,2026-07-25 05:03:03.000000242,0.0,,UNTOUCHED,2024-09
2211 Accountants,65,88.0,2026-07-28 05:01:53.999999829,0.0,,UNTOUCHED,2024-09
2211 Accountants,70,115.0,2026-08-28 04:55:18.999999903,0.0,,UNTOUCHED,2024-09
2211 Accountants,75,112.0,2026-07-08 04:55:23.000000206,0.0,,UNTOUCHED,2024-09
2211 Accountants,80,132.0,2026-07-20 04:55:50.999999836,0.0,,UNTOUCHED,2024-09
2211 Accountants,85,88.0,2026-09-02 05:00:32.000000146,0.0,,UNTOUCHED,2024-09
2211 Accountants,90,78.0,2026-07-03 04:57:08.000000233,9.0,2024-11-05 04:56:36.999999905,PARTIAL,2024-09
2211 Accountants,95,40.0,2026-05-12 04:54:29.000000154,26.0,2024-11-05 04:56:36.999999905,PARTIAL,2024-09
2211 Accountants,100,9.0,2026-08-28 04:55:18.999999903,101.0,2025-01-30 06:20:11.999999803,PARTIAL,2024-09
2211 Accountants,105,0.0,,13.0,2024-08-25 05:15:49.999999740,PARTIAL,2024-09
2211 Accountants,110,0.0,,1.0,2024-02-25 05:29:36.999999441,PARTIAL,2024-09
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,1.0,2024-09-07 15:17:48.999999690,0.0,,UNTOUCHED,2024-09
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,7.0,2026-03-02 05:00:43.000000205,0.0,,UNTOUCHED,2024-09
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,36.0,2026-08-09 05:00:56.999999701,0.0,,UNTOUCHED,2024-09
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,62.0,2026-08-22 04:57:27.000000276,0.0,,UNTOUCHED,2024-09
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,50.0,2026-08-22 04:57:27.000000276,0.0,,UNTOUCHED,2024-09
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,49.0,2026-08-01 05:01:39.999999694,0.0,,UNTOUCHED,2024-09
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,50.0,2026-05-19 04:54:53.999999717,0.0,,UNTOUCHED,2024-09
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,20.0,2026-06-11 04:57:27.000000276,54.0,2024-11-05 04:56:36.999999905,PARTIAL,2024-09
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,5.0,2025-10-12 05:02:30.000000073,48.0,2024-11-05 04:56:36.999999905,PARTIAL,2024-09
"2212 Auditors, Company Secretaries and Corporate Treasurers",100,0.0,,8.0,2024-02-28 04:38:23.000000029,PARTIAL,2024-09
"2212 Auditors, Company Secretaries and Corporate Treasurers",105,0.0,,2.0,2024-08-13 04:54:34.000000070,PARTIAL,2024-09
"2241 Actuaries, Mathematicians and Statisticians",65,6.0,2025-12-01 04:55:02.999999936,0.0,,UNTOUCHED,2024-09
"2241 Actuaries, Mathematicians and Statisticians",70,11.0,2026-01-08 04:55:47.000000156,0.0,,UNTOUCHED,2024-09
"2241 Actuaries, Mathematicians and Statisticians",75,9.0,2025-12-04 04:55:41.000000013,0.0,,UNTOUCHED,2024-09
"2241 Actuaries, Mathematicians and Statisticians",80,19.0,2026-06-04 04:55:44.999999693,0.0,,UNTOUCHED,2024-09
"2241 Actuaries, Mathematicians and Statisticians",85,13.0,2026-06-10 04:54:56.000000180,0.0,,UNTOUCHED,2024-09
"2241 Actuaries, Mathematicians and Statisticians",90,6.0,2024-10-02 04:56:17.000000257,3.0,2024-11-05 04:56:36.999999905,CLEARED,2024-09
"2241 Actuaries, Mathematicians and Statisticians",95,4.0,2024-10-09 06:03:52.000000165,7.0,2024-08-12 11:53:06.000000031,PARTIAL,2024-09
"2241 Actuaries, Mathematicians and Statisticians",105,0.0,,1.0,2023-09-17 01:31:54.000000246,PARTIAL,2024-09
2243 Economists,60,2.0,2025-08-27 04:55:13.999999987,0.0,,UNTOUCHED,2024-09
2243 Economists,65,1.0,2024-07-07 08:31:28.999999848,0.0,,UNTOUCHED,2024-09
2243 Economists,70,1.0,2024-09-19 04:54:37.000000137,0.0,,UNTOUCHED,2024-09
2243 Economists,75,1.0,2025-08-28 04:57:48.000000159,0.0,,UNTOUCHED,2024-09
2243 Economists,80,2.0,2025-11-26 04:56:55.999999947,0.0,,UNTOUCHED,2024-09
2243 Economists,85,1.0,2024-08-12 04:51:21.000000216,0.0,,UNTOUCHED,2024-09
2243 Economists,90,2.0,2024-10-10 05:56:17.000000044,1.0,2024-08-23 04:51:21.999999821,PARTIAL,2024-09
2243 Economists,95,0.0,,2.0,2024-08-13 20:51:59.999999693,PARTIAL,2024-09
2243 Economists,100,0.0,,1.0,2023-12-30 04:45:51.999999998,PARTIAL,2024-09
2245 Land Economists and Valuers,65,2.0,2024-11-19 04:55:36.000000105,0.0,,UNTOUCHED,2024-09
2245 Land Economists and Valuers,70,1.0,2024-12-15 06:33:21.000000049,0.0,,UNTOUCHED,2024-09
2245 Land Economists and Valuers,75,7.0,2025-07-02 05:20:51.999999933,0.0,,UNTOUCHED,2024-09
2245 Land Economists and Valuers,80,1.0,2024-09-09 19:47:14.999999916,0.0,,UNTOUCHED,2024-09
2245 Land Economists and Valuers,85,2.0,2025-10-24 04:54:40.000000213,0.0,,UNTOUCHED,2024-09
2245 Land Economists and Valuers,95,0.0,,1.0,2024-08-07 11:18:48.999999467,PARTIAL,2024-09
2247 Management and Organisation Analysts,65,2.0,2025-11-06 04:55:44.000000088,0.0,,UNTOUCHED,2024-09
2247 Management and Organisation Analysts,70,1.0,2025-08-05 04:55:15.999999827,0.0,,UNTOUCHED,2024-09
2247 Management and Organisation Analysts,75,6.0,2026-03-09 04:56:41.000000208,0.0,,UNTOUCHED,2024-09
2247 Management and Organisation Analysts,80,9.0,2025-05-03 05:23:45.000000139,0.0,,UNTOUCHED,2024-09
2247 Management and Organisation Analysts,85,12.0,2026-01-13 04:57:53.000000066,0.0,,UNTOUCHED,2024-09
2247 Management and Organisation Analysts,90,5.0,2024-10-30 05:02:54.000000024,1.0,2024-08-13 04:54:34.000000070,PARTIAL,2024-09
2247 Management and Organisation Analysts,95,1.0,2024-09-05 10:49:00.000000575,2.0,2024-08-11 05:07:46.999999989,PARTIAL,2024-09
2321 Architects and Landscape Architects,60,4.0,2026-07-03 04:57:08.000000233,0.0,,UNTOUCHED,2024-09
2321 Architects and Landscape Architects,65,16.0,2026-01-18 04:59:27.000000035,0.0,,UNTOUCHED,2024-09
2321 Architects and Landscape Architects,70,27.0,2026-08-27 04:59:08.000000001,0.0,,UNTOUCHED,2024-09
2321 Architects and Landscape Architects,75,31.0,2025-09-23 04:59:44.999999842,62.0,2025-02-12 06:09:09.999999694,PARTIAL,2024-09
2321 Architects and Landscape Architects,80,11.0,2024-09-30 00:35:01.000000161,140.0,2024-11-05 04:56:36.999999905,CLEARED,2024-09
2321 Architects and Landscape Architects,85,11.0,2025-09-29 04:54:13.999999792,86.0,2024-11-05 04:56:36.999999905,PARTIAL,2024-09
2321 Architects and Landscape Architects,90,0.0,,40.0,2024-08-30 04:51:05.000000250,PARTIAL,2024-09
2321 Architects and Landscape Architects,95,1.0,2024-09-11 20:40:31.999999794,6.0,2024-08-13 04:54:34.000000070,PARTIAL,2024-09
2321 Architects and Landscape Architects,105,0.0,,1.0,2024-08-23 07:11:01.000000291,PARTIAL,2024-09
2322 Cartographers and Surveyors,65,5.0,2026-07-10 04:55:47.999999769,0.0,,UNTOUCHED,2024-09
2322 Cartographers and Surveyors,70,1.0,2025-04-13 04:59:04.999999925,0.0,,UNTOUCHED,2024-09
2322 Cartographers and Surveyors,75,6.0,2025-12-08 04:56:57.999999788,0.0,,UNTOUCHED,2024-09
2322 Cartographers and Surveyors,80,5.0,2025-09-09 04:55:10.999999920,0.0,,UNTOUCHED,2024-09
2322 Cartographers and Surveyors,85,1.0,2024-09-06 18:56:50.000000009,0.0,,UNTOUCHED,2024-09
2322 Cartographers and Surveyors,90,1.0,2024-02-27 12:55:16.000000040,0.0,,UNTOUCHED,2024-09
2322 Cartographers and Surveyors,95,0.0,,2.0,2024-04-14 07:18:32.000000100,PARTIAL,2024-09
2322 Cartographers and Surveyors,100,0.0,,2.0,2024-08-13 04:54:34.000000070,PARTIAL,2024-09
2331 Chemical and Materials Engineers,45,1.0,2025-06-27 04:54:50.000000037,0.0,,UNTOUCHED,2024-09
2331 Chemical and Materials Engineers,55,1.0,2024-09-16 04:51:43.999999931,0.0,,UNTOUCHED,2024-09
2331 Chemical and Materials Engineers,60,2.0,2024-09-23 17:35:25.999999929,0.0,,UNTOUCHED,2024-09
2331 Chemical and Materials Engineers,65,19.0,2026-08-30 05:07:51.000000300,0.0,,UNTOUCHED,2024-09
2331 Chemical and Materials Engineers,70,28.0,2026-07-02 04:56:52.999999872,0.0,,UNTOUCHED,2024-09
2331 Chemical and Materials Engineers,75,16.0,2026-03-13 04:55:45.999999929,0.0,,UNTOUCHED,2024-09
2331 Chemical and Materials Engineers,80,30.0,2026-04-14 04:56:25.999999846,0.0,,UNTOUCHED,2024-09
2331 Chemical and Materials Engineers,85,13.0,2025-06-13 04:54:00.999999901,0.0,,UNTOUCHED,2024-09
2331 Chemical and Materials Engineers,90,6.0,2024-09-27 21:53:13.999999810,10.0,2024-11-05 04:56:36.999999905,CLEARED,2024-09
2331 Chemical and Materials Engineers,95,5.0,2024-10-27 05:37:57.000000025,16.0,2024-09-04 04:54:23.000000011,PARTIAL,2024-09
2331 Chemical and Materials Engineers,100,1.0,2024-09-20 13:34:06.000000300,4.0,2024-11-05 04:56:36.999999905,CLEARED,2024-09
2331 Chemical and Materials Engineers,105,0.0,,3.0,2024-06-25 19:10:23.999999810,PARTIAL,2024-09
2332 Civil Engineering Professionals,45,1.0,2026-01-03 04:57:06.999999998,0.0,,UNTOUCHED,2024-09
2332 Civil Engineering Professionals,50,3.0,2024-09-17 12:47:45.000000222,0.0,,UNTOUCHED,2024-09
2332 Civil Engineering Professionals,55,12.0,2026-08-02 05:01:45.000000240,0.0,,UNTOUCHED,2024-09
2332 Civil Engineering Professionals,60,16.0,2026-07-04 05:01:13.000000298,0.0,,UNTOUCHED,2024-09
2332 Civil Engineering Professionals,65,104.0,2026-08-27 04:59:08.000000001,0.0,,UNTOUCHED,2024-09
2332 Civil Engineering Professionals,70,129.0,2026-08-26 04:55:23.000000206,0.0,,UNTOUCHED,2024-09
2332 Civil Engineering Professionals,75,158.0,2026-08-24 04:55:15.999999827,71.0,2024-11-05 04:56:36.999999905,PARTIAL,2024-09
2332 Civil Engineering Professionals,80,130.0,2026-07-27 05:01:28.000000038,173.0,2024-11-07 04:58:15.000000185,PARTIAL,2024-09
2332 Civil Engineering Professionals,85,74.0,2026-08-20 04:58:58.999999782,107.0,2024-11-05 04:56:36.999999905,PARTIAL,2024-09
2332 Civil Engineering Professionals,90,32.0,2026-07-11 04:55:42.999999853,58.0,2024-11-05 04:56:36.999999905,PARTIAL,2024-09
2332 Civil Engineering Professionals,95,2.0,2024-09-23 11:07:18.000000131,63.0,2024-11-05 04:56:36.999999905,CLEARED,2024-09
2332 Civil Engineering Professionals,100,0.0,,15.0,2024-11-05 04:56:36.999999905,PARTIAL,2024-09
2332 Civil Engineering Professionals,105,0.0,,3.0,2024-08-13 04:54:34.000000070,PARTIAL,2024-09
2333 Electrical Engineers,50,1.0,2025-09-07 05:04:34.999999740,0.0,,UNTOUCHED,2024-09
2333 Electrical Engineers,55,4.0,2026-04-21 04:57:11.999999914,0.0,,UNTOUCHED,2024-09
2333 Electrical Engineers,60,14.0,2026-06-22 04:54:35.999999910,0.0,,UNTOUCHED,2024-09
2333 Electrical Engineers,65,46.0,2026-08-21 04:59:33.999999792,0.0,,UNTOUCHED,2024-09
2333 Electrical Engineers,70,44.0,2026-07-01 04:59:06.999999766,0.0,,UNTOUCHED,2024-09
2333 Electrical Engineers,75,56.0,2026-08-12 05:05:07.000000313,0.0,,UNTOUCHED,2024-09
2333 Electrical Engineers,80,44.0,2026-07-18 05:00:43.999999810,0.0,,UNTOUCHED,2024-09
2333 Electrical Engineers,85,31.0,2026-05-30 04:56:19.999999703,0.0,,UNTOUCHED,2024-09
2333 Electrical Engineers,90,10.0,2025-05-11 05:22:27.000000137,20.0,2024-07-24 05:23:15.000000046,PARTIAL,2024-09
2333 Electrical Engineers,95,4.0,2024-10-25 04:54:59.000000256,25.0,2024-08-13 04:54:34.000000070,PARTIAL,2024-09
2333 Electrical Engineers,100,0.0,,4.0,2024-08-13 04:54:34.000000070,PARTIAL,2024-09
2333 Electrical Engineers,110,0.0,,1.0,2024-03-17 05:15:30.999999706,PARTIAL,2024-09
2334 Electronics Engineers,50,1.0,2024-09-06 00:30:27.999999843,0.0,,UNTOUCHED,2024-09
2334 Electronics Engineers,55,2.0,2026-02-21 04:58:07.999999806,0.0,,UNTOUCHED,2024-09
2334 Electronics Engineers,60,9.0,2026-07-19 05:21:30.000000018,0.0,,UNTOUCHED,2024-09
2334 Electronics Engineers,65,34.0,2026-08-01 05:01:39.999999694,0.0,,UNTOUCHED,2024-09
2334 Electronics Engineers,70,23.0,2026-07-16 04:59:44.000000237,0.0,,UNTOUCHED,2024-09
2334 Electronics Engineers,75,27.0,2026-05-24 05:14:24.999999990,0.0,,UNTOUCHED,2024-09
2334 Electronics Engineers,80,36.0,2026-02-03 04:56:06.000000198,0.0,,UNTOUCHED,2024-09
2334 Electronics Engineers,85,24.0,2026-03-12 04:57:02.999999695,0.0,,UNTOUCHED,2024-09
2334 Electronics Engineers,90,11.0,2025-09-07 05:04:34.999999740,12.0,2024-08-01 04:50:22.000000257,PARTIAL,2024-09
2334 Electronics Engineers,95,5.0,2025-05-29 04:54:08.000000280,12.0,2024-09-01 12:42:06.999999793,PARTIAL,2024-09
2334 Electronics Engineers,100,0.0,,2.0,2024-08-14 05:21:34.999999925,PARTIAL,2024-09
2334 Electronics Engineers,105,0.0,,2.0,2024-05-25 04:45:39.999999712,PARTIAL,2024-09
"2335 Industrial, Mechanical and Production Engineers",40,1.0,2026-08-23 05:01:10.000000231,0.0,,UNTOUCHED,2024-09
"2335 Industrial, Mechanical and Production Engineers",50,1.0,2024-08-20 05:24:25.000000064,0.0,,UNTOUCHED,2024-09
"2335 Industrial, Mechanical and Production Engineers",55,7.0,2026-03-05 04:56:11.000000114,0.0,,UNTOUCHED,2024-09
"2335 Industrial, Mechanical and Production Engineers",60,14.0,2026-07-12 05:07:29.000000182,0.0,,UNTOUCHED,2024-09
"2335 Industrial, Mechanical and Production Engineers",65,98.0,2026-08-28 04:55:18.999999903,0.0,,UNTOUCHED,2024-09
"2335 Industrial, Mechanical and Production Engineers",70,105.0,2026-08-25 04:57:32.999999797,0.0,,UNTOUCHED,2024-09
"2335 Industrial, Mechanical and Production Engineers",75,123.0,2026-08-20 04:58:58.999999782,0.0,,UNTOUCHED,2024-09
"2335 Industrial, Mechanical and Production Engineers",80,78.0,2026-07-20 04:55:50.999999836,0.0,,UNTOUCHED,2024-09
"2335 Industrial, Mechanical and Production Engineers",85,76.0,2026-08-25 04:57:32.999999797,0.0,,UNTOUCHED,2024-09
"2335 Industrial, Mechanical and Production Engineers",90,33.0,2026-05-20 04:54:34.000000070,58.0,2024-11-05 04:56:36.999999905,PARTIAL,2024-09
"2335 Industrial, Mechanical and Production Engineers",95,10.0,2025-12-16 04:56:14.000000182,54.0,2024-11-07 04:58:15.000000185,PARTIAL,2024-09
"2335 Industrial, Mechanical and Production Engineers",100,1.0,2025-06-28 04:57:43.999999848,6.0,2024-08-13 04:54:34.000000070,PARTIAL,2024-09
2336 Mining Engineers,40,1.0,2026-04-17 04:58:23.999999773,0.0,,UNTOUCHED,2024-09
2336 Mining Engineers,55,1.0,2025-12-02 04:54:56.999999784,0.0,,UNTOUCHED,2024-09
2336 Mining Engineers,65,11.0,2026-08-11 05:03:38.000000252,0.0,,UNTOUCHED,2024-09
2336 Mining Engineers,70,7.0,2026-05-14 04:54:32.999999834,0.0,,UNTOUCHED,2024-09
2336 Mining Engineers,75,2.0,2026-06-18 04:55:59.999999424,0.0,,UNTOUCHED,2024-09
2336 Mining Engineers,80,4.0,2026-01-25 04:54:46.999999961,0.0,,UNTOUCHED,2024-09
2336 Mining Engineers,85,5.0,2025-07-13 05:15:55.000000287,0.0,,UNTOUCHED,2024-09
2336 Mining Engineers,90,5.0,2024-10-29 04:58:23.000000168,0.0,,UNTOUCHED,2024-09
2336 Mining Engineers,95,0.0,,2.0,2024-02-11 07:56:38.999999745,PARTIAL,2024-09
2336 Mining Engineers,100,0.0,,2.0,2024-08-25 22:16:23.000000122,PARTIAL,2024-09
2336 Mining Engineers,105,0.0,,1.0,2024-09-01 05:45:05.000000120,PARTIAL,2024-09
2336 Mining Engineers,115,0.0,,1.0,2023-10-08 04:46:31.000000319,PARTIAL,2024-09
2339 Other Engineering Professionals,50,2.0,2026-07-19 05:21:30.000000018,0.0,,UNTOUCHED,2024-09
2339 Other Engineering Professionals,55,7.0,2025-10-28 04:58:58.000000177,0.0,,UNTOUCHED,2024-09
2339 Other Engineering Professionals,60,15.0,2026-05-11 04:55:29.999999953,0.0,,UNTOUCHED,2024-09
2339 Other Engineering Professionals,65,79.0,2026-07-30 04:56:28.999999921,0.0,,UNTOUCHED,2024-09
2339 Other Engineering Professionals,70,85.0,2026-08-08 04:56:11.999999719,0.0,,UNTOUCHED,2024-09
2339 Other Engineering Professionals,75,102.0,2026-08-31 05:04:37.000000211,0.0,,UNTOUCHED,2024-09
2339 Other Engineering Professionals,80,76.0,2026-08-29 05:03:29.000000033,0.0,,UNTOUCHED,2024-09
2339 Other Engineering Professionals,85,66.0,2026-08-25 04:57:32.999999797,0.0,,UNTOUCHED,2024-09
2339 Other Engineering Professionals,90,34.0,2026-03-28 04:57:05.000000166,35.0,2024-11-05 04:56:36.999999905,PARTIAL,2024-09
2339 Other Engineering Professionals,95,1.0,2024-09-18 16:07:42.000000294,61.0,2024-09-02 08:09:03.000000159,PARTIAL,2024-09
2339 Other Engineering Professionals,100,0.0,,9.0,2024-09-03 06:15:42.000000174,PARTIAL,2024-09
2339 Other Engineering Professionals,105,0.0,,4.0,2024-11-05 04:56:36.999999905,PARTIAL,2024-09
2341 Agricultural and Forestry Scientists,50,1.0,2024-09-19 03:02:47.000000063,0.0,,UNTOUCHED,2024-09
2341 Agricultural and Forestry Scientists,60,3.0,2026-04-15 04:56:52.000000267,0.0,,UNTOUCHED,2024-09
2341 Agricultural and Forestry Scientists,65,16.0,2026-07-14 05:00:54.999999861,0.0,,UNTOUCHED,2024-09
2341 Agricultural and Forestry Scientists,70,14.0,2026-06-03 04:56:27.000000081,0.0,,UNTOUCHED,2024-09
2341 Agricultural and Forestry Scientists,75,8.0,2025-12-17 04:59:03.999999690,0.0,,UNTOUCHED,2024-09
2341 Agricultural and Forestry Scientists,80,6.0,2025-11-05 04:55:42.000000248,0.0,,UNTOUCHED,2024-09
2341 Agricultural and Forestry Scientists,85,4.0,2025-09-22 05:03:35.999999781,0.0,,UNTOUCHED,2024-09
2341 Agricultural and Forestry Scientists,90,3.0,2024-09-27 09:35:25.999999725,0.0,,UNTOUCHED,2024-09
2341 Agricultural and Forestry Scientists,95,2.0,2024-09-24 23:19:06.000000300,3.0,2024-07-16 12:58:17.000000230,PARTIAL,2024-09
2341 Agricultural and Forestry Scientists,100,1.0,2024-09-25 03:03:20.000000232,4.0,2024-07-20 04:50:16.000000105,PARTIAL,2024-09
2341 Agricultural and Forestry Scientists,105,0.0,,1.0,2024-08-29 15:09:31.000000207,PARTIAL,2024-09
"2342 Chemists, and Food and Wine Scientists",55,1.0,2025-05-15 04:54:56.999999784,0.0,,UNTOUCHED,2024-09
"2342 Chemists, and Food and Wine Scientists",60,2.0,2025-01-13 04:58:53.999999866,0.0,,UNTOUCHED,2024-09
"2342 Chemists, and Food and Wine Scientists",65,18.0,2026-04-12 05:07:00.999999929,0.0,,UNTOUCHED,2024-09
"2342 Chemists, and Food and Wine Scientists",70,19.0,2026-06-27 05:03:56.000000059,0.0,,UNTOUCHED,2024-09
"2342 Chemists, and Food and Wine Scientists",75,12.0,2025-10-13 04:56:08.000000039,0.0,,UNTOUCHED,2024-09
"2342 Chemists, and Food and Wine Scientists",80,9.0,2025-07-14 05:16:35.000000204,0.0,,UNTOUCHED,2024-09
"2342 Chemists, and Food and Wine Scientists",85,14.0,2025-09-11 04:54:13.000000187,0.0,,UNTOUCHED,2024-09
"2342 Chemists, and Food and Wine Scientists",90,7.0,2025-06-03 04:54:43.000000289,1.0,2024-11-05 04:56:36.999999905,PARTIAL,2024-09
"2342 Chemists, and Food and Wine Scientists",95,0.0,,6.0,2024-08-30 04:51:05.000000250,PARTIAL,2024-09
