OccGroup,Score,pool_n,pm,n,im,state,round
"2342 Chemists, and Food and Wine Scientists",100,1.0,2025-02-03 04:57:21.999999738,1.0,2024-01-11 04:46:11.000000040,PARTIAL,2024-09
"2342 Chemists, and Food and Wine Scientists",105,0.0,,1.0,2024-05-07 04:45:58.999999754,PARTIAL,2024-09
2343 Environmental Scientists,45,1.0,2025-11-10 04:55:12.999999751,0.0,,UNTOUCHED,2024-09
2343 Environmental Scientists,65,6.0,2026-02-17 04:54:03.999999968,0.0,,UNTOUCHED,2024-09
2343 Environmental Scientists,70,7.0,2025-10-29 04:54:48.999999801,0.0,,UNTOUCHED,2024-09
2343 Environmental Scientists,75,5.0,2026-04-05 04:56:33.000000224,0.0,,UNTOUCHED,2024-09
2343 Environmental Scientists,80,3.0,2025-05-02 05:20:02.999999797,0.0,,UNTOUCHED,2024-09
2343 Environmental Scientists,85,7.0,2025-09-19 18:01:48.000000103,0.0,,UNTOUCHED,2024-09
2343 Environmental Scientists,90,1.0,2024-09-25 02:20:35.999999966,0.0,,UNTOUCHED,2024-09
2343 Environmental Scientists,95,1.0,2024-09-24 12:47:28.000000020,3.0,2024-08-13 04:54:34.000000070,PARTIAL,2024-09
2343 Environmental Scientists,100,0.0,,2.0,2024-09-02 04:51:21.000000216,PARTIAL,2024-09
2343 Environmental Scientists,105,1.0,2024-09-24 12:41:18.999999885,1.0,2024-07-29 13:49:52.000000155,PARTIAL,2024-09
2344 Geologists Geophysicists and Hydrogeologists,65,2.0,2026-03-17 04:55:28.000000122,0.0,,UNTOUCHED,2024-09
2344 Geologists Geophysicists and Hydrogeologists,70,1.0,2024-08-03 12:41:23.999999801,0.0,,UNTOUCHED,2024-09
2344 Geologists Geophysicists and Hydrogeologists,75,5.0,2026-06-26 05:01:07.000000155,0.0,,UNTOUCHED,2024-09
2344 Geologists Geophysicists and Hydrogeologists,80,1.0,2024-09-08 14:30:48.999999931,0.0,,UNTOUCHED,2024-09
2344 Geologists Geophysicists and Hydrogeologists,85,2.0,2025-10-09 04:55:10.000000315,0.0,,UNTOUCHED,2024-09
2344 Geologists Geophysicists and Hydrogeologists,90,2.0,2024-09-28 16:48:15.999999716,0.0,,UNTOUCHED,2024-09
2345 Life Scientists,60,3.0,2025-09-13 04:55:28.999999727,0.0,,UNTOUCHED,2024-09
2345 Life Scientists,65,10.0,2025-12-28 04:58:13.000000344,0.0,,UNTOUCHED,2024-09
2345 Life Scientists,70,10.0,2026-02-03 04:56:06.000000198,0.0,,UNTOUCHED,2024-09
2345 Life Scientists,75,8.0,2026-08-09 05:00:56.999999701,0.0,,UNTOUCHED,2024-09
2345 Life Scientists,80,12.0,2026-05-16 14:29:05.999999743,0.0,,UNTOUCHED,2024-09
2345 Life Scientists,85,9.0,2025-03-23 04:56:52.000000267,0.0,,UNTOUCHED,2024-09
2345 Life Scientists,90,9.0,2025-05-18 04:55:51.999999441,5.0,2024-05-20 04:47:35.999999799,PARTIAL,2024-09
2345 Life Scientists,95,4.0,2025-08-03 04:58:45.999999883,10.0,2024-08-25 21:23:20.999999976,PARTIAL,2024-09
2345 Life Scientists,100,3.0,2024-10-15 04:55:58.999999820,3.0,2024-09-03 05:45:49.999999953,PARTIAL,2024-09
2345 Life Scientists,105,0.0,,1.0,2024-08-14 05:21:34.999999925,PARTIAL,2024-09
2345 Life Scientists,110,0.0,,1.0,2024-02-02 05:29:48.000000131,PARTIAL,2024-09
2346 Medical Laboratory Scientists,65,2.0,2025-04-01 05:21:53.999999968,0.0,,UNTOUCHED,2024-09
