Score,DoEMonth,n,all_legs
65,2026-08,3,7
65,2026-07,7,8
65,2026-06,7,11
65,2024-09,1,1
65,2026-05,0,12
65,2024-10,1,4
65,2024-12,1,1
65,2024-11,0,2
65,2025-01,2,3
65,2025-03,0,9
65,2025-04,1,1
65,2025-05,2,4
65,2025-06,4,4
65,2025-07,2,3
65,2025-08,5,5
65,2025-09,2,3
65,2025-10,2,13
65,2025-12,3,3
65,2026-04,5,6
65,2025-11,1,3
65,2026-01,4,6
65,2026-02,3,3
75,2026-08,2,4
75,2026-07,1,9
75,2026-06,2,4
75,2024-09,1,1
75,2026-05,2,5
75,2024-12,0,1
75,2025-01,0,1
75,2025-04,1,5
75,2025-05,2,5
75,2025-07,1,3
75,2025-08,0,1
75,2025-09,2,3
75,2025-10,2,12
75,2025-12,1,2
75,2026-04,2,3
75,2025-11,2,8
75,2026-01,1,3
75,2026-02,4,4
75,2026-03,2,8
70,2026-08,5,16
70,2026-07,2,2
70,2026-06,2,4
70,2024-09,0,3
70,2026-05,1,13
70,2024-10,0,1
70,2024-12,1,2
70,2025-03,0,2
70,2025-04,0,1
70,2025-05,1,1
70,2025-06,1,2
70,2025-07,1,1
70,2025-09,1,6
70,2025-10,4,6
70,2025-12,1,3
70,2025-11,3,7
70,2026-01,1,3
70,2026-02,3,3
70,2026-03,3,7
80,2026-09,1,2
80,2026-08,6,10
80,2026-07,1,2
80,2026-05,1,1
80,2024-12,1,1
80,2024-11,1,1
80,2025-04,1,1
80,2025-05,1,1
80,2025-06,1,2
80,2025-09,0,1
80,2025-10,2,4
80,2026-04,1,2
95,2026-06,1,2
95,2026-02,1,1
90,2026-08,1,1
90,2026-07,1,1
90,2026-04,1,1
85,2026-08,9,11
85,2026-07,0,1
85,2026-06,1,4
85,2026-05,2,2
85,2025-10,0,1
85,2025-12,2,2
85,2026-04,0,1
85,2025-11,2,2
85,2026-01,1,1
85,2026-03,0,2
55,2026-07,1,1
55,2026-06,0,1
55,2026-05,1,1
55,2025-07,1,1
55,2025-08,0,1
55,2025-10,0,1
55,2026-04,0,1
55,2026-03,1,1
60,2026-08,2,3
60,2026-05,2,3
60,2024-11,1,1
60,2025-02,1,2
60,2025-08,1,2
60,2025-09,1,2
60,2026-04,1,2
60,2025-11,2,2
60,2026-02,1,2
60,2026-03,0,1
50,2025-03,0,1
50,2025-09,0,1
50,2025-10,0,2
50,2025-11,0,2
50,2026-01,0,1
50,2026-02,0,1
100,2026-07,1,2
100,2026-05,1,1
105,2026-05,1,1
105,2026-04,1,1
40,2025-01,0,1
40,2025-04,0,1
40,2026-04,0,1
