StatusMonth,OccGroup,Score,n,inv_doe_max,inv_doe_min
2024-09,2613 Software and Applications Programmers,95,66,45601.205983796295,44963.49444444444
2024-09,2613 Software and Applications Programmers,90,18,45539.20443287037,44812.70883101852
2024-09,2613 Software and Applications Programmers,100,73,45611.2046875,44942.4402662037
2024-09,2613 Software and Applications Programmers,105,8,45535.20284722222,45203.57518518518
2024-09,2613 Software and Applications Programmers,120,1,45395.19876157407,45344.962858796294
2024-09,3212 Motor Mechanics,95,2,45534.20214120371,45509.458032407405
2024-09,3212 Motor Mechanics,90,2,45486.2006712963,44818.49396990741
2024-09,2332 Civil Engineering Professionals,75,71,45601.205983796295,44837.89224537037
2024-09,2332 Civil Engineering Professionals,80,173,45603.20711805556,44840.74469907407
2024-09,2332 Civil Engineering Professionals,95,63,45601.205983796295,44916.62204861111
2024-09,2332 Civil Engineering Professionals,90,58,45601.205983796295,44848.407789351855
2024-09,2332 Civil Engineering Professionals,85,107,45601.205983796295,44841.68035879629
2024-09,2332 Civil Engineering Professionals,100,15,45601.205983796295,45017.04162037037
2024-09,2332 Civil Engineering Professionals,105,3,45517.204560185186,45492.47681712963
2024-09,2411 Early Childhood (Pre-primary School) Teachers,75,11,45525.20342592592,45119.96436342593
2024-09,2411 Early Childhood (Pre-primary School) Teachers,80,186,45601.205983796295,45085.73903935185
2024-09,2411 Early Childhood (Pre-primary School) Teachers,90,6,45530.80725694444,45429.2299537037
2024-09,2411 Early Childhood (Pre-primary School) Teachers,85,58,45601.205983796295,45266.539872685185
2024-09,2611 ICT Business and Systems Analysts,95,1,45223.22435185185,44822.80553240741
2024-09,2611 ICT Business and Systems Analysts,110,1,45495.624189814815,45495.624189814815
2024-09,2611 ICT Business and Systems Analysts,100,47,45601.205983796295,44903.4480787037
2024-09,2611 ICT Business and Systems Analysts,105,3,45519.20203703704,45451.20040509259
2024-09,2211 Accountants,95,26,45601.205983796295,44818.686956018515
2024-09,2211 Accountants,90,9,45601.205983796295,44904.91013888889
2024-09,2211 Accountants,110,1,45347.228900462964,45347.228900462964
2024-09,2211 Accountants,100,101,45687.264027777775,44903.70730324074
2024-09,2211 Accountants,105,13,45529.2193287037,45188.05347222222
2024-09,"2621 Database and Systems Administrators, and ICT Security Specialists",100,8,45534.20214120371,45111.79880787037
2024-09,"2212 Auditors, Company Secretaries and Corporate Treasurers",95,48,45601.205983796295,44903.71388888889
2024-09,"2212 Auditors, Company Secretaries and Corporate Treasurers",90,54,45601.205983796295,44811.61581018518
2024-09,"2212 Auditors, Company Secretaries and Corporate Treasurers",100,8,45350.19332175926,45015.7578587963
2024-09,"2212 Auditors, Company Secretaries and Corporate Treasurers",105,2,45517.204560185186,45333.33100694444
2024-09,2345 Life Scientists,95,10,45529.89121527778,45060.33383101852
2024-09,2345 Life Scientists,90,5,45432.19972222222,44861.60346064815
2024-09,2345 Life Scientists,110,1,45324.22902777778,45324.22902777778
2024-09,2345 Life Scientists,100,3,45538.24016203704,45488.37857638889
2024-09,2345 Life Scientists,105,1,45518.22332175926,45518.22332175926
2024-09,"2335 Industrial, Mechanical and Production Engineers",95,54,45603.20711805556,44907.0090162037
2024-09,"2335 Industrial, Mechanical and Production Engineers",90,58,45601.205983796295,44817.966203703705
2024-09,"2335 Industrial, Mechanical and Production Engineers",100,6,45517.204560185186,45159.01537037037
2024-09,2339 Other Engineering Professionals,95,61,45537.33961805556,44910.686736111114
2024-09,2339 Other Engineering Professionals,90,35,45601.205983796295,44810.850173611114
2024-09,2339 Other Engineering Professionals,100,9,45538.26090277778,44962.67983796296
2024-09,2339 Other Engineering Professionals,105,4,45601.205983796295,45406.237395833334
2024-09,2341 Agricultural and Forestry Scientists,95,3,45489.54047453704,45484.85203703704
2024-09,2341 Agricultural and Forestry Scientists,100,4,45493.201574074075,45397.483935185184
2024-09,2341 Agricultural and Forestry Scientists,105,1,45533.6316087963,45533.6316087963
2024-09,2544 Registered Nurses,75,40,45537.20232638889,45071.563472222224
2024-09,2544 Registered Nurses,80,215,45757.20434027778,45071.527604166666
2024-09,2544 Registered Nurses,90,5,45601.205983796295,45488.89440972222
2024-09,2544 Registered Nurses,85,49,45538.837905092594,45309.77872685185
2024-09,2544 Registered Nurses,100,1,45499.76164351852,45499.76164351852
2024-09,2544 Registered Nurses,115,1,45428.46341435185,45428.46341435185
2024-09,3513 Chefs,95,3,45517.81422453704,45377.678136574075
2024-09,3513 Chefs,90,1,45324.22902777778,44959.01236111111
2024-09,2334 Electronics Engineers,95,12,45536.52924768518,45030.726585648146
2024-09,2334 Electronics Engineers,90,12,45505.20164351852,44846.59675925926
2024-09,2334 Electronics Engineers,100,2,45518.22332175926,45344.69090277778
2024-09,2334 Electronics Engineers,105,2,45437.198379629626,45366.487395833334
2024-09,2631 Computer Network Professionals,100,18,45539.20443287037,44963.77958333334
2024-09,2631 Computer Network Professionals,105,1,45517.204560185186,45435.20034722222
2024-09,"2342 Chemists, and Food and Wine Scientists",95,6,45534.20214120371,45121.194375
2024-09,"2342 Chemists, and Food and Wine Scientists",90,1,45601.205983796295,44903.933842592596
2024-09,"2342 Chemists, and Food and Wine Scientists",100,1,45302.19873842593,45302.19873842593
2024-09,"2342 Chemists, and Food and Wine Scientists",105,1,45419.198599537034,45419.198599537034
2024-09,2713 Solicitors,95,8,45525.153391203705,45296.19903935185
2024-09,2713 Solicitors,90,7,45601.205983796295,44844.96962962963
2024-09,2331 Chemical and Materials Engineers,95,16,45539.20443287037,45195.63266203704
2024-09,2331 Chemical and Materials Engineers,90,10,45601.205983796295,44881.81480324074
2024-09,2331 Chemical and Materials Engineers,100,4,45601.205983796295,45090.64381944444
2024-09,2331 Chemical and Materials Engineers,105,3,45468.79888888889,44984.83809027778
2024-09,2333 Electrical Engineers,95,25,45517.204560185186,44903.51043981482
2024-09,2333 Electrical Engineers,90,20,45497.22447916667,44812.58695601852
2024-09,2333 Electrical Engineers,110,1,45368.21910879629,45196.75340277778
2024-09,2333 Electrical Engineers,100,4,45517.204560185186,45173.48798611111
2024-09,2321 Architects and Landscape Architects,75,62,45700.25636574074,44840.869837962964
2024-09,2321 Architects and Landscape Architects,80,140,45601.205983796295,44840.94306712963
2024-09,2321 Architects and Landscape Architects,95,6,45517.204560185186,44943.05033564815
2024-09,2321 Architects and Landscape Architects,90,40,45534.20214120371,44903.933171296296
2024-09,2321 Architects and Landscape Architects,85,86,45601.205983796295,44840.988229166665
2024-09,2321 Architects and Landscape Architects,105,1,45527.29931712963,45527.29931712963
2024-09,2531 General Practitioners and Resident Medical officers,75,6,45460.19836805556,45082.88547453703
2024-09,2531 General Practitioners and Resident Medical officers,80,61,45601.205983796295,45093.419444444444
2024-09,2531 General Practitioners and Resident Medical officers,90,8,45532.87596064815,45471.992893518516
2024-09,2531 General Practitioners and Resident Medical officers,85,27,45535.20284722222,45316.41855324074
2024-09,2531 General Practitioners and Resident Medical officers,110,1,45518.32722222222,45518.32722222222
2024-09,2531 General Practitioners and Resident Medical officers,100,1,45485.85765046296,45485.85765046296
2024-09,2247 Management and Organisation Analysts,95,2,45515.213738425926,45187.016909722224
2024-09,2247 Management and Organisation Analysts,90,1,45517.204560185186,44904.3321875
2024-09,2347 Veterinarians,95,4,45539.981516203705,45274.210185185184
2024-09,2347 Veterinarians,115,2,45601.205983796295,45244.297418981485
2024-09,2414 Secondary School Teachers,75,8,45533.22555555555,45167.01965277778
2024-09,2414 Secondary School Teachers,80,63,45601.205983796295,45173.86292824074
2024-09,2414 Secondary School Teachers,85,16,45540.11361111111,45349.62443287037
2024-09,1341 Child Care Centre Managers,80,1,45339.19898148148,45192.412627314814
2024-09,1341 Child Care Centre Managers,90,1,45476.810752314814,45476.810752314814
2024-09,1341 Child Care Centre Managers,85,1,45493.201574074075,45490.51262731481
2024-09,"2241 Actuaries, Mathematicians and Statisticians",95,7,45516.495208333334,45147.035358796296
2024-09,"2241 Actuaries, Mathematicians and Statisticians",90,3,45601.205983796295,44984.57572916667
2024-09,"2241 Actuaries, Mathematicians and Statisticians",105,1,45186.06381944445,45186.06381944445
2024-09,3331 Glaziers,65,1,45533.22555555555,45167.01965277778
