SubMonth,pool_all,pool85,phys85
2026-07,7106,716,1
2026-08,8109,689,2
2026-06,8135,778,0
2026-05,7397,722,1
2026-04,7665,716,0
2023-09,1,0,0
2024-08,76,9,0
2024-09,7852,690,1
2024-10,6382,604,0
2024-11,7759,806,0
2024-12,6465,674,1
2025-01,6579,734,0
2025-02,6495,703,0
2025-03,7591,814,0
2025-04,7522,801,0
2025-05,7754,849,0
2025-06,6460,728,0
2025-07,7276,843,0
2025-08,8987,1021,0
2025-09,8160,924,0
2025-10,8982,1080,1
2025-11,10164,1116,1
2025-12,6026,696,1
2026-01,6829,718,0
2026-02,7534,854,1
2026-03,7345,776,0
