AsAt,rows,distinct
08/2026,777219,403252
07/2026,765982,391530
06/2026,754154,380793
05/2026,740931,369275
04/2026,728029,358227
03/2026,712809,346872
02/2026,695606,335113
01/2026,676911,323031
12/2025,657858,311147
11/2025,636296,299297
10/2025,605755,282041
09/2025,576129,266153
08/2025,543681,249957
07/2025,507174,232209
06/2025,475637,217245
05/2025,447503,204031
04/2025,409990,186867
03/2025,371670,169367
02/2025,328364,149806
01/2025,285738,130748
12/2024,241652,111313
11/2024,188096,88143
10/2024,126487,59828
09/2024,77589,37208
-,2336396,201662
