StatusMonth,Score,n
2024-09,65,296
2024-09,75,489
2024-09,70,179
2024-09,80,1479
2024-09,95,465
2024-09,90,429
2024-09,85,551
2024-09,110,5
2024-09,100,328
2024-09,105,48
2024-09,120,1
2024-09,115,4
2026-06,65,242
2026-06,75,300
2026-06,70,202
2026-06,80,2328
2026-06,95,128
2026-06,90,558
2026-06,85,1370
2026-06,110,2
2026-06,100,54
2026-06,105,14
2025-08,65,279
2025-08,75,146
2025-08,70,256
2025-08,80,964
2025-08,95,231
2025-08,90,598
2025-08,85,1006
2025-08,110,5
2025-08,100,76
2025-08,105,12
2025-08,115,1
2024-11,65,31
2024-11,75,2488
2024-11,70,255
2024-11,80,1001
2024-11,95,1484
2024-11,90,2361
2024-11,85,432
2024-11,110,3
2024-11,100,162
2024-11,105,12
2024-11,115,1
2025-11,65,237
2025-11,75,1015
2025-11,70,203
2025-11,80,1192
2025-11,95,158
2025-11,90,789
2025-11,85,1573
2025-11,110,3
2025-11,100,28
2025-11,105,8
2025-11,115,1
