StatusMonth,OccGroup,all189,no189
2025-01,2613 Software and Applications Programmers,54,68
2025-01,3212 Motor Mechanics,6,27
2025-01,2332 Civil Engineering Professionals,40,75
2025-01,2411 Early Childhood (Pre-primary School) Teachers,25,27
2025-01,2611 ICT Business and Systems Analysts,42,83
2025-01,2211 Accountants,41,131
2025-01,2344 Geologists Geophysicists and Hydrogeologists,1,6
2025-01,"2621 Database and Systems Administrators, and ICT Security Specialists",11,22
2025-01,4117 Welfare Support Workers,0,41
2025-01,"2212 Auditors, Company Secretaries and Corporate Treasurers",11,18
2025-01,2345 Life Scientists,3,5
2025-01,"2335 Industrial, Mechanical and Production Engineers",18,58
2025-01,2339 Other Engineering Professionals,16,41
2025-01,2341 Agricultural and Forestry Scientists,1,14
2025-01,2544 Registered Nurses,91,129
2025-01,3513 Chefs,55,146
2025-01,2334 Electronics Engineers,8,10
2025-01,3232 Metal Fitters and Machinists,1,12
2025-01,3114 Science Technicians,0,8
2025-01,"2324 Graphic and Web Designers, and Illustrators",0,8
2025-01,2631 Computer Network Professionals,5,23
2025-01,4116 Massage Therapists,0,3
2025-01,"2342 Chemists, and Food and Wine Scientists",5,6
2025-01,2713 Solicitors,2,3
2025-01,1311 Advertising and Sales Managers,0,15
2025-01,1322 Finance Managers,0,12
2025-01,"3121 Architectural, Building and Surveying Technicians",0,20
2025-01,2331 Chemical and Materials Engineers,3,6
2025-01,2251 Advertising and Marketing Professionals,0,51
2025-01,2254 Technical Sales Representatives,0,6
2025-01,3123 Electrical Engineering Draftspersons and Technicians,4,2
2025-01,2231 Human Resource Professionals,0,10
2025-01,3514 Cooks,0,31
2025-01,2333 Electrical Engineers,16,21
2025-01,2223 Financial Investment Advisers and Managers,0,7
2025-01,2321 Architects and Landscape Architects,4,11
2025-01,3112 Medical Technicians,0,30
2025-01,2531 General Practitioners and Resident Medical officers,6,26
2025-01,1323 Human Resource Managers,0,2
2025-01,1335 Production Managers,0,10
2025-01,2515 Pharmacists,0,36
2025-01,1351 ICT Managers,0,13
2025-01,2247 Management and Organisation Analysts,2,6
2025-01,2347 Veterinarians,3,2
2025-01,2414 Secondary School Teachers,8,8
2025-01,1341 Child Care Centre Managers,1,0
2025-01,3125 Mechanical Engineering Draftspersons and Technicians,0,2
2025-01,6112 Insurance Agents,0,1
