StatusMonth,OccGroup,all189,no189
2025-01,2412 Primary School Teachers,0,22
2025-01,"2241 Actuaries, Mathematicians and Statisticians",3,8
2025-01,2421 University Lecturers and Tutors,7,6
2025-01,1411 Cafe and Restaurant Managers,0,58
2025-01,2633 Telecommunications Engineering Professionals,5,6
2025-01,3511 Bakers and Pastrycooks,0,10
2025-01,1332 Engineering Managers,1,5
2025-01,"1499 Other Hospitality, Retail and Service Managers",0,4
2025-01,3122 Civil Engineering Draftspersons and Technicians,6,19
2025-01,1399 Other Specialist Managers,1,3
2025-01,"5111 Contract, Program and Project Administrators",0,14
2025-01,2322 Cartographers and Surveyors,1,3
2025-01,1325 Research and Development Managers,0,5
2025-01,2245 Land Economists and Valuers,1,0
2025-01,2252 ICT Sales Professionals,0,2
2025-01,2336 Mining Engineers,2,4
2025-01,2612 Multimedia Specialists and Web Developers,1,3
2025-01,3223 Structural Steel and Welding Trades Workers,0,6
2025-01,2349 Other Natural and Physical Science Professionals,1,5
2025-01,1321 Corporate Services Managers,0,1
2025-01,2326 Urban and Regional Planners,0,6
2025-01,2632 ICT Support and Test Engineers,0,19
2025-01,1331 Construction Managers,2,14
2025-01,2343 Environmental Scientists,4,11
2025-01,3132 Telecommunications Technical Specialists,1,4
2025-01,3312 Carpenters and Joiners,6,6
2025-01,1334 Manufacturers,0,1
2025-01,2725 Social Workers,5,13
2025-01,1413 Hotel and Motel Managers,0,31
2025-01,2249 Other Information and Organisation Professionals,0,33
2025-01,3322 Painting Trades Workers,0,8
2025-01,3423 Electronics Trades Workers,1,3
2025-01,2521 Chiropractors and Osteopaths,0,1
2025-01,2493 Teachers of English to Speakers of Other Languages,0,3
2025-01,2124 Journalists and Other Writers,0,4
2025-01,1212 Crop Farmers,0,2
2025-01,3941 Cabinetmakers,0,3
2025-01,2243 Economists,4,0
2025-01,6121 Real Estate Sales Agents,0,1
2025-01,3311 Bricklayers and Stonemasons,0,2
2025-01,"2726 Welfare, Recreation and Community Arts Workers",0,13
2025-01,"2323 Fashion, Industrial and Jewellery Designers",0,2
2025-01,1336 Supply and Distribution Managers,0,3
2025-01,1342 Health and Welfare Services Managers,0,13
2025-01,1492 Call or Contact Centre and Customer Service Managers,0,2
2025-01,2221 Financial Brokers,0,2
2025-01,2539 Other Medical Practitioners,5,2
2025-01,1419 Other Accommodation and Hospitality Managers,0,2
2025-01,3111 Agricultural Technicians,0,17
2025-01,4114 Enrolled and Mothercraft Nurses,0,41
2025-01,3411 Electricians,3,12
2025-01,2525 Physiotherapists,14,18
2025-01,2253 Public Relations Professionals,0,2
2025-01,2512 Medical Imaging Professionals,1,3
2025-01,3131 ICT Support Technicians,0,4
2025-01,"4523 Sports Coaches, Instructors and Officials",0,2
2025-01,3911 Hairdressers,0,5
2025-01,2513 Occupational and Environmental Health Professionals,0,7
2025-01,2527 Speech Professionals and Audiologists,1,9
2025-01,1213 Livestock Farmers,0,2
2025-01,"2242 Archivists, Curators and Records Managers",0,3
2025-01,3129 Other Building and Engineering Technicians,0,7
2025-01,2492 Private Tutors and Teachers,0,4
2025-01,2524 Occupational Therapists,4,10
2025-01,2519 Other Health Diagnostic and Promotion Professionals,0,9
2025-01,3421 Airconditioning and Refrigeration Mechanics,0,2
2025-01,2346 Medical Laboratory Scientists,4,1
2025-01,1493 Conference and Event Organisers,0,6
2025-01,2712 Judicial and Other Legal Professionals,0,1
2025-01,2723 Psychologists,1,11
2025-01,2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),0,1
2025-01,4111 Ambulance Officers and Paramedics,0,3
2025-01,2113 Photographers,0,1
2025-01,2541 Midwives,1,0
2025-01,3341 Plumbers,2,10
2025-01,2491 Education Advisers and Reviewers,0,1
2025-01,2511 Dietitians,0,3
2025-01,2244 Intelligence and Policy Analysts,0,1
2025-01,1421 Retail Managers,0,1
2025-01,2232 ICT Trainers,0,2
2025-01,3243 Vehicle Painters,0,1
2025-01,2721 Counsellors,0,10
2025-01,"1491 Amusement, Fitness and Sports Centre Managers",0,1
2025-01,4113 Diversional Therapists,0,4
2025-01,2533 Internal Medicine Specialists,3,0
2025-01,3332 Plasterers,0,3
2025-01,3334 Wall and Floor Tilers,1,2
2025-01,2522 Complementary Health Therapists,0,4
2025-01,5999 Other Miscellaneous Clerical and Administrative Workers,0,2
2025-01,2543 Nurse Managers,0,1
2025-01,2523 Dental Practitioners,0,5
2025-01,3211 Automotive Electricians,0,2
2025-01,1344 Other Education Managers,0,1
2025-01,2534 Psychiatrists,1,0
2025-01,"5996 Insurance Investigators, Loss Adjusters and Risk Surveyors",0,1
2025-01,3333 Roof Tilers,0,1
2025-01,4518 Other Personal Service Workers,0,4
2024-09,2613 Software and Applications Programmers,256,30
2024-09,3212 Motor Mechanics,10,15
2024-09,2332 Civil Engineering Professionals,823,46
2024-09,2411 Early Childhood (Pre-primary School) Teachers,499,46
2024-09,2611 ICT Business and Systems Analysts,107,25
2024-09,2211 Accountants,266,39
2024-09,2344 Geologists Geophysicists and Hydrogeologists,1,1
2024-09,"2621 Database and Systems Administrators, and ICT Security Specialists",12,12
2024-09,4117 Welfare Support Workers,0,30
2024-09,"2212 Auditors, Company Secretaries and Corporate Treasurers",139,5
2024-09,2345 Life Scientists,40,6
2024-09,"2335 Industrial, Mechanical and Production Engineers",183,20
2024-09,2339 Other Engineering Professionals,171,23
2024-09,2341 Agricultural and Forestry Scientists,15,6
2024-09,2544 Registered Nurses,724,84
2024-09,3513 Chefs,84,92
2024-09,2334 Electronics Engineers,55,4
2024-09,3232 Metal Fitters and Machinists,2,3
2024-09,3114 Science Technicians,0,3
2024-09,3622 Gardeners,0,2
2024-09,"2324 Graphic and Web Designers, and Illustrators",0,8
2024-09,2631 Computer Network Professionals,31,10
2024-09,4116 Massage Therapists,0,3
2024-09,"2342 Chemists, and Food and Wine Scientists",12,6
2024-09,2713 Solicitors,24,1
2024-09,1311 Advertising and Sales Managers,0,7
2024-09,1322 Finance Managers,0,5
2024-09,"3121 Architectural, Building and Surveying Technicians",0,13
2024-09,2331 Chemical and Materials Engineers,43,3
2024-09,2251 Advertising and Marketing Professionals,0,10
2024-09,2254 Technical Sales Representatives,0,1
2024-09,3123 Electrical Engineering Draftspersons and Technicians,1,1
2024-09,2231 Human Resource Professionals,0,7
2024-09,3514 Cooks,0,10
2024-09,2333 Electrical Engineers,78,22
2024-09,2223 Financial Investment Advisers and Managers,0,3
2024-09,2321 Architects and Landscape Architects,613,19
2024-09,3112 Medical Technicians,0,17
2024-09,2531 General Practitioners and Resident Medical officers,217,18
2024-09,1323 Human Resource Managers,0,3
2024-09,3113 Primary Products Inspectors,0,1
2024-09,1335 Production Managers,0,2
2024-09,2515 Pharmacists,0,24
2024-09,1351 ICT Managers,0,6
2024-09,2247 Management and Organisation Analysts,7,17
2024-09,2347 Veterinarians,8,0
2024-09,2414 Secondary School Teachers,213,68
2024-09,1341 Child Care Centre Managers,3,2
2024-09,3125 Mechanical Engineering Draftspersons and Technicians,0,1
2024-09,6112 Insurance Agents,0,1
2024-09,2412 Primary School Teachers,0,14
2024-09,"2241 Actuaries, Mathematicians and Statisticians",34,1
2024-09,3331 Glaziers,6,0
2024-09,2421 University Lecturers and Tutors,50,7
2024-09,1411 Cafe and Restaurant Managers,0,31
2024-09,2633 Telecommunications Engineering Professionals,37,1
2024-09,3511 Bakers and Pastrycooks,0,1
2024-09,1332 Engineering Managers,2,2
2024-09,"1499 Other Hospitality, Retail and Service Managers",0,1
2024-09,3122 Civil Engineering Draftspersons and Technicians,674,12
2024-09,1399 Other Specialist Managers,1,9
2024-09,"5111 Contract, Program and Project Administrators",0,5
2024-09,2322 Cartographers and Surveyors,10,2
2024-09,1325 Research and Development Managers,0,3
2024-09,2245 Land Economists and Valuers,1,0
2024-09,2252 ICT Sales Professionals,0,3
2024-09,2336 Mining Engineers,6,3
2024-09,2612 Multimedia Specialists and Web Developers,13,6
2024-09,3223 Structural Steel and Welding Trades Workers,56,17
2024-09,2349 Other Natural and Physical Science Professionals,5,3
2024-09,1321 Corporate Services Managers,0,5
2024-09,2326 Urban and Regional Planners,0,1
2024-09,2632 ICT Support and Test Engineers,0,11
2024-09,2325 Interior Designers,0,1
2024-09,1331 Construction Managers,387,17
2024-09,3613 Veterinary Nurses,0,1
2024-09,2343 Environmental Scientists,9,1
2024-09,2711 Barristers,0,1
2024-09,3132 Telecommunications Technical Specialists,1,3
2024-09,3312 Carpenters and Joiners,592,26
2024-09,2725 Social Workers,161,13
2024-09,1413 Hotel and Motel Managers,0,20
2024-09,2249 Other Information and Organisation Professionals,0,4
2024-09,3322 Painting Trades Workers,492,3
2024-09,3423 Electronics Trades Workers,0,2
2024-09,2542 Nurse Educators and Researchers,0,1
2024-09,2521 Chiropractors and Osteopaths,4,0
2024-09,2493 Teachers of English to Speakers of Other Languages,0,2
2024-09,2124 Journalists and Other Writers,0,3
2024-09,1212 Crop Farmers,0,5
2024-09,3941 Cabinetmakers,38,2
2024-09,2243 Economists,5,1
2024-09,3311 Bricklayers and Stonemasons,73,8
2024-09,"2726 Welfare, Recreation and Community Arts Workers",0,16
2024-09,1336 Supply and Distribution Managers,0,2
2024-09,1342 Health and Welfare Services Managers,3,8
2024-09,"2123 Film, Television, Radio and Stage Directors",0,1
2024-09,1492 Call or Contact Centre and Customer Service Managers,0,2
2024-09,2539 Other Medical Practitioners,203,1
2024-09,1419 Other Accommodation and Hospitality Managers,0,1
2024-09,2724 Social Professionals,0,2
2024-09,4114 Enrolled and Mothercraft Nurses,0,42
2024-09,3411 Electricians,108,11
2024-09,2525 Physiotherapists,124,13
2024-09,1494 Transport Services Managers,0,1
2024-09,2253 Public Relations Professionals,0,2
2024-09,2512 Medical Imaging Professionals,19,1
2024-09,3131 ICT Support Technicians,0,4
2024-09,"4523 Sports Coaches, Instructors and Officials",0,1
2024-09,3911 Hairdressers,0,3
2024-09,3222 Sheetmetal Trades Workers,6,0
2024-09,2513 Occupational and Environmental Health Professionals,0,5
2024-09,2527 Speech Professionals and Audiologists,56,2
2024-09,1213 Livestock Farmers,0,3
2024-09,"2242 Archivists, Curators and Records Managers",0,2
2024-09,3129 Other Building and Engineering Technicians,0,1
2024-09,2492 Private Tutors and Teachers,0,1
2024-09,2524 Occupational Therapists,93,16
2024-09,2519 Other Health Diagnostic and Promotion Professionals,1,5
2024-09,3421 Airconditioning and Refrigeration Mechanics,1,1
2024-09,2346 Medical Laboratory Scientists,40,2
2024-09,2415 Special Education Teachers,5,0
2024-09,1493 Conference and Event Organisers,0,3
2024-09,2712 Judicial and Other Legal Professionals,0,1
2024-09,2222 Financial Dealers,0,1
2024-09,2723 Psychologists,34,8
2024-09,2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),0,1
2024-09,4111 Ambulance Officers and Paramedics,0,1
2024-09,2541 Midwives,19,6
2024-09,3341 Plumbers,46,7
2024-09,2491 Education Advisers and Reviewers,0,2
2024-09,2511 Dietitians,0,6
2024-09,3241 Panelbeaters,0,1
2024-09,2721 Counsellors,0,8
2024-09,3991 Boat Builders and Shipwrights,1,0
2024-09,4113 Diversional Therapists,0,1
2024-09,2533 Internal Medicine Specialists,14,0
2024-09,3332 Plasterers,20,3
2024-09,3611 Animal Attendants and Trainers,0,1
2024-09,3334 Wall and Floor Tilers,91,5
2024-09,2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ),0,4
2024-09,2522 Complementary Health Therapists,0,2
2024-09,2523 Dental Practitioners,0,7
2024-09,1343 School Principals,0,2
2024-09,3211 Automotive Electricians,1,0
2024-09,3995 Performing Arts Technicians,0,1
2024-09,1344 Other Education Managers,0,1
2024-09,2534 Psychiatrists,7,0
2024-09,2514 Optometrists and Orthoptists,5,0
2024-09,2535 Surgeons,4,0
2024-09,2526 Podiatrists,4,0
2024-09,3333 Roof Tilers,0,1
2024-09,4512 Driving Instructors,0,1
2026-06,2613 Software and Applications Programmers,9,24
2026-06,3212 Motor Mechanics,7,23
2026-06,2332 Civil Engineering Professionals,29,51
2026-06,2411 Early Childhood (Pre-primary School) Teachers,30,61
2026-06,2611 ICT Business and Systems Analysts,5,27
2026-06,2211 Accountants,11,47
2026-06,2344 Geologists Geophysicists and Hydrogeologists,25,8
2026-06,"2621 Database and Systems Administrators, and ICT Security Specialists",0,17
2026-06,4117 Welfare Support Workers,0,16
2026-06,"2212 Auditors, Company Secretaries and Corporate Treasurers",1,6
2026-06,2345 Life Scientists,49,5
2026-06,"2335 Industrial, Mechanical and Production Engineers",9,50
2026-06,2339 Other Engineering Professionals,9,20
2026-06,2341 Agricultural and Forestry Scientists,272,7
2026-06,2544 Registered Nurses,2771,106
2026-06,3513 Chefs,14,56
2026-06,2334 Electronics Engineers,18,10
2026-06,3232 Metal Fitters and Machinists,35,12
2026-06,3114 Science Technicians,0,7
2026-06,"2324 Graphic and Web Designers, and Illustrators",0,1
2026-06,2631 Computer Network Professionals,1,6
2026-06,4116 Massage Therapists,0,10
2026-06,"2342 Chemists, and Food and Wine Scientists",136,2
2026-06,2713 Solicitors,419,2
2026-06,1311 Advertising and Sales Managers,0,1
2026-06,1322 Finance Managers,0,1
2026-06,"3121 Architectural, Building and Surveying Technicians",0,19
2026-06,2331 Chemical and Materials Engineers,4,5
2026-06,2251 Advertising and Marketing Professionals,0,13
2026-06,3123 Electrical Engineering Draftspersons and Technicians,96,4
2026-06,2231 Human Resource Professionals,0,9
2026-06,3514 Cooks,0,36
2026-06,2333 Electrical Engineers,9,19
2026-06,2223 Financial Investment Advisers and Managers,0,1
2026-06,2321 Architects and Landscape Architects,125,11
2026-06,3112 Medical Technicians,0,9
2026-06,2531 General Practitioners and Resident Medical officers,375,25
2026-06,3113 Primary Products Inspectors,0,1
2026-06,1335 Production Managers,0,6
2026-06,2515 Pharmacists,0,33
2026-06,1351 ICT Managers,0,2
2026-06,2247 Management and Organisation Analysts,293,1
2026-06,2347 Veterinarians,136,0
2026-06,2414 Secondary School Teachers,593,17
2026-06,1341 Child Care Centre Managers,5,0
2026-06,3125 Mechanical Engineering Draftspersons and Technicians,0,4
2026-06,6112 Insurance Agents,0,1
2026-06,2412 Primary School Teachers,0,20
2026-06,"2241 Actuaries, Mathematicians and Statisticians",148,3
2026-06,3331 Glaziers,11,0
2026-06,2421 University Lecturers and Tutors,1,3
2026-06,1411 Cafe and Restaurant Managers,0,34
2026-06,2633 Telecommunications Engineering Professionals,25,3
2026-06,3511 Bakers and Pastrycooks,0,5
2026-06,1332 Engineering Managers,47,10
2026-06,"1499 Other Hospitality, Retail and Service Managers",0,1
2026-06,3122 Civil Engineering Draftspersons and Technicians,22,19
2026-06,1399 Other Specialist Managers,56,3
2026-06,"5111 Contract, Program and Project Administrators",0,11
2026-06,2322 Cartographers and Surveyors,68,1
2026-06,2245 Land Economists and Valuers,47,0
2026-06,2252 ICT Sales Professionals,0,3
2026-06,2336 Mining Engineers,214,2
2026-06,2612 Multimedia Specialists and Web Developers,25,0
2026-06,3223 Structural Steel and Welding Trades Workers,92,6
2026-06,2349 Other Natural and Physical Science Professionals,87,1
2026-06,1321 Corporate Services Managers,0,1
2026-06,2326 Urban and Regional Planners,0,3
2026-06,2632 ICT Support and Test Engineers,0,12
2026-06,1331 Construction Managers,433,23
2026-06,3613 Veterinary Nurses,0,1
2026-06,2343 Environmental Scientists,244,3
2026-06,2711 Barristers,2,0
2026-06,3132 Telecommunications Technical Specialists,0,4
2026-06,3312 Carpenters and Joiners,865,34
2026-06,1334 Manufacturers,0,2
2026-06,2725 Social Workers,486,9
2026-06,1413 Hotel and Motel Managers,0,13
2026-06,2249 Other Information and Organisation Professionals,0,3
2026-06,3322 Painting Trades Workers,12,19
2026-06,3423 Electronics Trades Workers,29,0
2026-06,2521 Chiropractors and Osteopaths,25,0
2026-06,2493 Teachers of English to Speakers of Other Languages,0,3
2026-06,2124 Journalists and Other Writers,0,2
2026-06,1212 Crop Farmers,0,1
2026-06,3941 Cabinetmakers,8,1
2026-06,2243 Economists,99,0
2026-06,6121 Real Estate Sales Agents,0,2
2026-06,3311 Bricklayers and Stonemasons,107,10
2026-06,"2726 Welfare, Recreation and Community Arts Workers",0,6
2026-06,1336 Supply and Distribution Managers,0,1
2026-06,1342 Health and Welfare Services Managers,12,22
2026-06,1324 Policy and Planning Managers,0,1
2026-06,1492 Call or Contact Centre and Customer Service Managers,0,4
2026-06,2539 Other Medical Practitioners,316,1
2026-06,1419 Other Accommodation and Hospitality Managers,0,3
2026-06,2724 Social Professionals,0,1
2026-06,4114 Enrolled and Mothercraft Nurses,0,24
2026-06,3411 Electricians,133,19
2026-06,2525 Physiotherapists,185,5
2026-06,1494 Transport Services Managers,0,2
2026-06,2253 Public Relations Professionals,0,4
2026-06,2512 Medical Imaging Professionals,49,2
2026-06,3131 ICT Support Technicians,0,2
2026-06,"4523 Sports Coaches, Instructors and Officials",7,0
2026-06,3911 Hairdressers,0,2
2026-06,3222 Sheetmetal Trades Workers,1,0
2026-06,2513 Occupational and Environmental Health Professionals,0,6
2026-06,2527 Speech Professionals and Audiologists,108,3
2026-06,3129 Other Building and Engineering Technicians,0,7
2026-06,2524 Occupational Therapists,123,4
2026-06,2519 Other Health Diagnostic and Promotion Professionals,1,12
2026-06,3421 Airconditioning and Refrigeration Mechanics,3,1
2026-06,2346 Medical Laboratory Scientists,150,2
2026-06,2415 Special Education Teachers,9,0
2026-06,1493 Conference and Event Organisers,0,15
2026-06,2712 Judicial and Other Legal Professionals,0,2
2026-06,2723 Psychologists,96,1
2026-06,2541 Midwives,30,1
2026-06,3341 Plumbers,55,8
2026-06,2511 Dietitians,0,4
2026-06,2244 Intelligence and Policy Analysts,0,5
2026-06,3241 Panelbeaters,4,0
2026-06,2311 Air Transport Professionals,0,1
2026-06,3424 Telecommunications Trades Workers,0,1
2026-06,2721 Counsellors,0,14
2026-06,3991 Boat Builders and Shipwrights,9,0
2026-06,4113 Diversional Therapists,0,2
2026-06,2533 Internal Medicine Specialists,18,0
2026-06,3332 Plasterers,34,2
2026-06,3611 Animal Attendants and Trainers,0,1
2026-06,3334 Wall and Floor Tilers,117,7
2026-06,2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ),0,2
2026-06,2522 Complementary Health Therapists,0,2
2026-06,2523 Dental Practitioners,0,5
2026-06,1343 School Principals,0,1
2026-06,2112 Music Professionals,8,1
2026-06,3211 Automotive Electricians,8,2
2026-06,2534 Psychiatrists,9,0
2026-06,2514 Optometrists and Orthoptists,10,0
2026-06,2535 Surgeons,4,0
2026-06,2526 Podiatrists,8,0
2026-06,"2111 Actors, Dancers and Other Entertainers",5,0
2026-06,4524 Sportspersons,1,1
2026-06,4518 Other Personal Service Workers,0,1
2026-07,2613 Software and Applications Programmers,1,3
2026-07,3212 Motor Mechanics,1,3
2026-07,2332 Civil Engineering Professionals,0,1
2026-07,2411 Early Childhood (Pre-primary School) Teachers,0,1
2026-07,2611 ICT Business and Systems Analysts,0,4
2026-07,2211 Accountants,1,5
2026-07,"2621 Database and Systems Administrators, and ICT Security Specialists",0,1
2026-07,"2212 Auditors, Company Secretaries and Corporate Treasurers",1,3
2026-07,2345 Life Scientists,0,1
2026-07,"2335 Industrial, Mechanical and Production Engineers",0,2
2026-07,2339 Other Engineering Professionals,0,1
2026-07,2341 Agricultural and Forestry Scientists,0,5
2026-07,2544 Registered Nurses,3,13
2026-07,3513 Chefs,10,42
2026-07,2334 Electronics Engineers,0,1
2026-07,3114 Science Technicians,0,2
2026-07,4116 Massage Therapists,0,4
2026-07,"2342 Chemists, and Food and Wine Scientists",3,1
2026-07,1311 Advertising and Sales Managers,0,1
2026-07,1322 Finance Managers,0,1
2026-07,3514 Cooks,0,6
2026-07,2321 Architects and Landscape Architects,2,2
2026-07,3112 Medical Technicians,0,4
2026-07,2531 General Practitioners and Resident Medical officers,0,2
2026-07,3113 Primary Products Inspectors,0,1
2026-07,2515 Pharmacists,0,2
2026-07,1351 ICT Managers,0,1
2026-07,2414 Secondary School Teachers,0,1
2026-07,2421 University Lecturers and Tutors,0,2
2026-07,1411 Cafe and Restaurant Managers,0,4
2026-07,2633 Telecommunications Engineering Professionals,0,1
2026-07,3122 Civil Engineering Draftspersons and Technicians,0,1
2026-07,3132 Telecommunications Technical Specialists,0,1
2026-07,3312 Carpenters and Joiners,0,2
2026-07,2725 Social Workers,0,5
2026-07,1413 Hotel and Motel Managers,0,1
2026-07,3322 Painting Trades Workers,0,2
2026-07,3311 Bricklayers and Stonemasons,1,0
2026-07,1419 Other Accommodation and Hospitality Managers,0,1
2026-07,4114 Enrolled and Mothercraft Nurses,0,14
2026-07,2525 Physiotherapists,1,0
2026-07,2524 Occupational Therapists,1,0
2026-07,2519 Other Health Diagnostic and Promotion Professionals,0,1
2026-07,2346 Medical Laboratory Scientists,0,1
2026-07,2491 Education Advisers and Reviewers,0,1
2026-07,3334 Wall and Floor Tilers,2,0
2025-08,2411 Early Childhood (Pre-primary School) Teachers,580,13
2025-08,2344 Geologists Geophysicists and Hydrogeologists,3,0
2025-08,2345 Life Scientists,152,0
2025-08,2341 Agricultural and Forestry Scientists,65,0
2025-08,2544 Registered Nurses,1803,49
2025-08,2334 Electronics Engineers,25,0
2025-08,3232 Metal Fitters and Machinists,1,0
2025-08,"2342 Chemists, and Food and Wine Scientists",57,0
2025-08,2713 Solicitors,92,0
2025-08,2331 Chemical and Materials Engineers,123,0
2025-08,3123 Electrical Engineering Draftspersons and Technicians,9,0
2025-08,2321 Architects and Landscape Architects,23,0
2025-08,2531 General Practitioners and Resident Medical officers,365,0
2025-08,2247 Management and Organisation Analysts,51,0
2025-08,2347 Veterinarians,29,0
2025-08,2414 Secondary School Teachers,83,7
2025-08,1341 Child Care Centre Managers,1,0
2025-08,"2241 Actuaries, Mathematicians and Statisticians",115,0
2025-08,3331 Glaziers,13,0
2025-08,2421 University Lecturers and Tutors,366,45
2025-08,1332 Engineering Managers,2,0
2025-08,3122 Civil Engineering Draftspersons and Technicians,19,0
2025-08,1399 Other Specialist Managers,7,0
2025-08,2322 Cartographers and Surveyors,10,0
2025-08,2245 Land Economists and Valuers,8,0
2025-08,2336 Mining Engineers,26,0
2025-08,3223 Structural Steel and Welding Trades Workers,5,0
2025-08,2349 Other Natural and Physical Science Professionals,29,0
2025-08,1331 Construction Managers,12,0
2025-08,2343 Environmental Scientists,72,0
2025-08,2711 Barristers,1,0
2025-08,3312 Carpenters and Joiners,890,0
2025-08,2725 Social Workers,109,9
2025-08,3322 Painting Trades Workers,225,0
2025-08,3423 Electronics Trades Workers,2,0
2025-08,2243 Economists,20,0
2025-08,3311 Bricklayers and Stonemasons,108,2
2025-08,1342 Health and Welfare Services Managers,1,0
2025-08,2539 Other Medical Practitioners,308,0
2025-08,3411 Electricians,197,2
2025-08,2525 Physiotherapists,174,2
2025-08,2512 Medical Imaging Professionals,66,2
2025-08,"4523 Sports Coaches, Instructors and Officials",1,0
2025-08,2527 Speech Professionals and Audiologists,66,3
2025-08,2524 Occupational Therapists,94,0
2025-08,2346 Medical Laboratory Scientists,7,0
2025-08,2415 Special Education Teachers,3,1
2025-08,2723 Psychologists,23,0
2025-08,2541 Midwives,30,1
2025-08,3341 Plumbers,71,3
2025-08,3241 Panelbeaters,1,0
2025-08,3991 Boat Builders and Shipwrights,3,0
2025-08,2533 Internal Medicine Specialists,21,1
2025-08,3332 Plasterers,22,0
2025-08,3334 Wall and Floor Tilers,133,2
2025-08,2112 Music Professionals,1,0
2025-08,2534 Psychiatrists,6,0
2025-08,2514 Optometrists and Orthoptists,9,0
2025-08,2535 Surgeons,4,0
2025-08,2526 Podiatrists,7,0
2026-01,2613 Software and Applications Programmers,30,64
2026-01,3212 Motor Mechanics,9,21
2026-01,2332 Civil Engineering Professionals,45,112
2026-01,2411 Early Childhood (Pre-primary School) Teachers,60,65
2026-01,2611 ICT Business and Systems Analysts,10,30
2026-01,2211 Accountants,14,51
2026-01,2344 Geologists Geophysicists and Hydrogeologists,1,1
2026-01,"2621 Database and Systems Administrators, and ICT Security Specialists",4,19
2026-01,4117 Welfare Support Workers,0,46
2026-01,"2212 Auditors, Company Secretaries and Corporate Treasurers",6,7
2026-01,2345 Life Scientists,1,5
2026-01,"2335 Industrial, Mechanical and Production Engineers",15,33
2026-01,2339 Other Engineering Professionals,12,30
2026-01,2341 Agricultural and Forestry Scientists,1,2
2026-01,2544 Registered Nurses,95,119
2026-01,3513 Chefs,34,101
2026-01,2334 Electronics Engineers,4,5
2026-01,3232 Metal Fitters and Machinists,3,11
2026-01,3114 Science Technicians,0,1
2026-01,3622 Gardeners,0,1
2026-01,"2324 Graphic and Web Designers, and Illustrators",0,6
2026-01,2631 Computer Network Professionals,4,13
2026-01,4116 Massage Therapists,0,1
2026-01,"2342 Chemists, and Food and Wine Scientists",1,1
2026-01,2713 Solicitors,3,3
2026-01,1311 Advertising and Sales Managers,0,3
2026-01,1322 Finance Managers,0,2
2026-01,"3121 Architectural, Building and Surveying Technicians",0,35
2026-01,2331 Chemical and Materials Engineers,2,1
2026-01,2251 Advertising and Marketing Professionals,0,8
2026-01,3123 Electrical Engineering Draftspersons and Technicians,2,7
2026-01,2231 Human Resource Professionals,0,3
2026-01,6392 Retail and Wool Buyers,0,1
2026-01,3514 Cooks,0,32
2026-01,2333 Electrical Engineers,5,25
2026-01,2321 Architects and Landscape Architects,3,5
2026-01,3112 Medical Technicians,0,23
2026-01,2531 General Practitioners and Resident Medical officers,14,26
