m,inv_189,inv_190,inv_491,inv_ANYVISA,inv_189_ONLYLEG
2025-01,576,1787,1295,2526,576
2024-09,8199,4801,1735,9461,3918
2026-06,10152,5511,2310,11465,4801
2026-07,27,166,60,178,27
2025-08,6749,3020,894,6893,3082
2026-01,601,1715,1015,2241,601
2025-05,770,2977,1376,3597,770
2025-09,112,548,409,800,112
2024-12,567,1826,955,2324,567
2025-02,447,1767,1369,2516,447
2024-11,15191,8163,3322,17445,6871
2024-10,549,1669,915,2054,549
2025-03,519,1800,1410,2574,519
2026-08,72,247,204,358,72
2025-04,487,1832,1272,2589,487
2025-12,496,1424,604,1647,496
2025-11,10206,5526,1987,11505,4856
2026-02,710,2071,1704,3055,710
2025-06,519,1574,1756,2677,519
2025-10,181,388,330,589,181
2026-05,785,2136,1665,3031,785
2026-04,806,2443,940,2835,806
2026-03,835,2212,1404,3013,835
