StatusMonth,Score,n
2025-01,65,177
2025-01,75,300
2025-01,70,260
2025-01,80,255
2025-01,95,160
2025-01,90,314
2025-01,85,250
2025-01,55,4
2025-01,60,18
2025-01,100,38
2025-01,105,11
2024-09,65,165
2024-09,75,464
2024-09,70,604
2024-09,80,675
2024-09,95,346
2024-09,90,584
2024-09,85,1449
2024-09,55,3
2024-09,60,17
2024-09,110,63
2024-09,100,228
2024-09,105,167
2024-09,120,10
2024-09,115,7
2024-09,125,15
2024-09,130,3
2024-09,135,1
2026-06,65,206
2026-06,75,405
2026-06,70,509
2026-06,80,504
2026-06,95,394
2026-06,90,1127
2026-06,85,2178
2026-06,55,10
2026-06,60,17
2026-06,110,3
2026-06,100,118
2026-06,105,32
2026-06,120,3
2026-06,115,4
2026-06,130,1
2026-07,65,75
2026-07,75,14
2026-07,70,40
2026-07,80,22
2026-07,95,1
2026-07,90,3
2026-07,85,7
2026-07,55,1
2026-07,60,3
2025-08,75,298
2025-08,70,306
2025-08,80,163
2025-08,95,406
2025-08,90,753
2025-08,85,898
2025-08,110,13
2025-08,100,141
2025-08,105,40
2025-08,115,1
2025-08,125,1
2026-01,65,206
2026-01,75,263
2026-01,70,244
2026-01,80,306
2026-01,95,129
2026-01,90,183
2026-01,85,305
2026-01,55,8
2026-01,60,11
2026-01,110,1
2026-01,100,45
2026-01,105,13
2026-01,115,1
2025-05,65,343
2025-05,75,491
2025-05,70,545
2025-05,80,505
2025-05,95,211
2025-05,90,377
2025-05,85,394
2025-05,55,9
2025-05,60,23
2025-05,110,3
2025-05,100,68
2025-05,105,8
2025-09,65,113
2025-09,75,89
2025-09,70,116
2025-09,80,89
2025-09,95,25
2025-09,90,40
2025-09,85,49
2025-09,55,3
2025-09,60,6
2025-09,110,1
2025-09,100,14
2025-09,105,3
2024-12,65,170
2024-12,75,297
2024-12,70,241
2024-12,80,278
2024-12,95,154
2024-12,90,368
2024-12,85,265
2024-12,55,6
2024-12,60,13
2024-12,100,31
2024-12,105,3
2025-02,65,249
2025-02,75,379
2025-02,70,368
2025-02,80,286
2025-02,95,69
2025-02,90,126
2025-02,85,221
2025-02,55,11
2025-02,60,35
2025-02,100,19
2025-02,105,4
2024-11,65,249
2024-11,75,526
2024-11,70,397
2024-11,80,2453
2024-11,95,1682
2024-11,90,737
2024-11,85,1244
2024-11,55,8
2024-11,60,18
2024-11,110,7
2024-11,100,745
2024-11,105,86
2024-11,120,8
2024-11,115,3
2024-10,65,146
2024-10,75,265
2024-10,70,216
2024-10,80,343
2024-10,95,165
2024-10,90,229
2024-10,85,248
2024-10,55,5
2024-10,60,8
2024-10,100,40
2024-10,105,4
2025-03,65,255
2025-03,75,372
2025-03,70,346
2025-03,80,340
2025-03,95,61
2025-03,90,138
2025-03,85,237
2025-03,55,10
2025-03,60,24
2025-03,110,1
2025-03,100,12
2025-03,105,4
2026-08,65,61
2026-08,75,41
2026-08,70,48
2026-08,80,40
2026-08,95,6
2026-08,90,17
2026-08,85,22
2026-08,55,3
2026-08,60,4
2026-08,100,5
2025-04,65,224
2025-04,75,310
2025-04,70,292
2025-04,80,316
2025-04,95,149
2025-04,90,232
2025-04,85,265
2025-04,55,6
2025-04,60,17
2025-04,100,19
2025-04,105,2
2025-12,65,170
2025-12,75,292
2025-12,70,216
2025-12,80,328
2025-12,95,64
2025-12,90,108
2025-12,85,183
2025-12,55,2
2025-12,60,5
2025-12,110,1
2025-12,100,47
2025-12,105,8
2025-11,65,180
2025-11,75,430
2025-11,70,494
2025-11,80,1150
2025-11,95,598
2025-11,90,1208
2025-11,85,1268
2025-11,55,6
2025-11,60,14
2025-11,110,2
2025-11,100,144
2025-11,105,31
2025-11,125,1
2026-02,65,319
2026-02,75,309
2026-02,70,318
2026-02,80,347
2026-02,95,143
2026-02,90,204
2026-02,85,290
2026-02,55,21
2026-02,60,24
2026-02,110,5
2026-02,100,71
2026-02,105,20
2025-06,65,193
2025-06,75,318
2025-06,70,317
2025-06,80,255
2025-06,95,97
2025-06,90,123
2025-06,85,197
2025-06,55,12
2025-06,60,20
2025-06,110,1
2025-06,100,31
2025-06,105,8
2025-06,115,2
2025-10,65,19
2025-10,75,40
2025-10,70,36
2025-10,80,52
2025-10,95,69
2025-10,90,83
2025-10,85,41
2025-10,55,1
2025-10,60,5
2025-10,110,2
2025-10,100,30
2025-10,105,10
2026-05,65,291
2026-05,75,320
2026-05,70,323
2026-05,80,379
2026-05,95,160
2026-05,90,243
2026-05,85,287
2026-05,55,13
2026-05,60,30
2026-05,110,1
2026-05,100,65
2026-05,105,24
2026-04,65,320
2026-04,75,327
2026-04,70,388
2026-04,80,359
2026-04,95,223
2026-04,90,314
2026-04,85,352
2026-04,55,5
2026-04,60,18
2026-04,110,5
2026-04,100,87
2026-04,105,44
2026-04,115,1
2026-03,65,340
2026-03,75,298
2026-03,70,315
2026-03,80,325
2026-03,95,195
2026-03,90,253
2026-03,85,287
2026-03,55,19
2026-03,60,40
2026-03,110,7
2026-03,100,95
2026-03,105,38
