StatusMonth,OccGroup,Score,n,maxsub,minsub
2024-09,2613 Software and Applications Programmers,95,66,45535.04108776621,44903.48626574074
2024-09,2613 Software and Applications Programmers,90,18,44976.99142731482,44812.70883938657
2024-09,2613 Software and Applications Programmers,100,73,45510.673667442126,44820.52811087963
2024-09,2613 Software and Applications Programmers,105,8,45512.48707164352,44945.93475138889
2024-09,2613 Software and Applications Programmers,120,1,45344.962867442126,45344.962867442126
2024-09,3212 Motor Mechanics,95,2,45459.54365771991,44904.4194278588
2024-09,3212 Motor Mechanics,90,2,44911.72643792824,44818.4939863426
2024-09,2332 Civil Engineering Professionals,75,71,45246.00549228009,44814.69412190972
2024-09,2332 Civil Engineering Professionals,80,173,45530.59728287037,44840.59093738426
2024-09,2332 Civil Engineering Professionals,95,63,45527.43918854167,44818.56438865741
2024-09,2332 Civil Engineering Professionals,90,58,45506.5620002662,44812.726169409725
2024-09,2332 Civil Engineering Professionals,85,107,45540.07438599537,44829.960269710646
2024-09,2332 Civil Engineering Professionals,100,15,45531.716317708335,44907.539652280095
2024-09,2332 Civil Engineering Professionals,105,3,45507.91466851852,44945.67491021991
2024-09,2411 Early Childhood (Pre-primary School) Teachers,75,11,45237.71588792824,45088.416488310184
2024-09,2411 Early Childhood (Pre-primary School) Teachers,80,186,45539.3353871875,45061.77568032408
2024-09,2411 Early Childhood (Pre-primary School) Teachers,90,6,45530.80727751157,45302.35130894676
2024-09,2411 Early Childhood (Pre-primary School) Teachers,85,58,45536.94564293981,45244.506214270834
2024-09,2611 ICT Business and Systems Analysts,95,1,44822.805539849534,44822.805539849534
2024-09,2611 ICT Business and Systems Analysts,110,1,45495.624203506944,45495.624203506944
2024-09,2611 ICT Business and Systems Analysts,100,47,45471.598847534726,44812.68850833333
2024-09,2611 ICT Business and Systems Analysts,105,3,45030.7294837963,44931.894900231484
2024-09,2211 Accountants,95,26,45538.5703477662,44818.686970752315
2024-09,2211 Accountants,90,9,44981.848881909726,44903.93109293981
2024-09,2211 Accountants,110,1,45085.19472746528,45085.19472746528
2024-09,2211 Accountants,100,101,45513.80163445602,44819.83707693287
2024-09,2211 Accountants,105,13,45418.06610142361,44903.85255454861
2024-09,"2621 Database and Systems Administrators, and ICT Security Specialists",100,8,45498.53928506945,44872.39510193287
2024-09,"2212 Auditors, Company Secretaries and Corporate Treasurers",95,48,45499.49508202546,44847.68121292824
2024-09,"2212 Auditors, Company Secretaries and Corporate Treasurers",90,54,44982.643189699076,44811.615819212966
2024-09,"2212 Auditors, Company Secretaries and Corporate Treasurers",100,8,45261.829615625,44904.4836403125
2024-09,"2212 Auditors, Company Secretaries and Corporate Treasurers",105,2,44965.6708994213,44911.67542442129
2024-09,2345 Life Scientists,95,10,45529.89122337963,44919.64031994213
2024-09,2345 Life Scientists,90,5,44950.74905787037,44833.566654594906
2024-09,2345 Life Scientists,110,1,44911.73836122685,44911.73836122685
2024-09,2345 Life Scientists,100,3,45491.98822114583,45474.62356929398
2024-09,2345 Life Scientists,105,1,45159.953580208334,45159.953580208334
2024-09,"2335 Industrial, Mechanical and Production Engineers",95,54,45498.41395243056,44810.471593553244
2024-09,"2335 Industrial, Mechanical and Production Engineers",90,58,44984.779268715276,44812.74623012732
2024-09,"2335 Industrial, Mechanical and Production Engineers",100,6,45491.480127083334,44882.54614560185
2024-09,2339 Other Engineering Professionals,95,61,45534.67846755787,44811.89636701389
2024-09,2339 Other Engineering Professionals,90,35,44975.26362943287,44810.850184456016
2024-09,2339 Other Engineering Professionals,100,9,45482.692584062504,44909.652782986115
2024-09,2339 Other Engineering Professionals,105,4,45531.483466122685,45072.507682372685
2024-09,2341 Agricultural and Forestry Scientists,95,3,45489.54048611111,45465.55444105324
2024-09,2341 Agricultural and Forestry Scientists,100,4,45472.99193931713,45217.45918880787
2024-09,2341 Agricultural and Forestry Scientists,105,1,45413.51076122685,45413.51076122685
2024-09,2544 Registered Nurses,75,40,45244.75083121528,45071.56349216435
2024-09,2544 Registered Nurses,80,215,45540.21214699074,45071.47748364583
2024-09,2544 Registered Nurses,90,5,45525.37833634259,45349.50524745371
2024-09,2544 Registered Nurses,85,49,45525.516699155094,45135.594926122685
2024-09,2544 Registered Nurses,100,1,45499.76166130787,45499.76166130787
2024-09,2544 Registered Nurses,115,1,45428.463421064815,45428.463421064815
2024-09,3513 Chefs,95,3,45377.67814251158,45021.759539502316
2024-09,3513 Chefs,90,1,44905.941110879634,44905.941110879634
2024-09,2334 Electronics Engineers,95,12,45536.529258912036,44934.01501427083
2024-09,2334 Electronics Engineers,90,12,44960.602571875,44830.68593353009
2024-09,2334 Electronics Engineers,100,2,45266.47077581019,45188.75606820602
2024-09,2334 Electronics Engineers,105,2,45377.86367519676,44921.49888414352
2024-09,2631 Computer Network Professionals,100,18,45419.75204841435,44811.55879980324
2024-09,2631 Computer Network Professionals,105,1,44938.75080995371,44938.75080995371
