Score,SubMonth,n
65,2026-05,791
65,2026-04,676
65,2024-05,2
65,2024-06,118
65,2024-07,179
65,2024-08,209
65,2024-09,548
65,2024-10,461
65,2024-11,593
65,2024-12,465
65,2025-01,454
65,2025-02,487
65,2025-03,574
65,2025-04,581
65,2025-05,594
65,2025-06,502
65,2025-07,608
65,2025-08,750
65,2025-09,613
65,2025-10,665
65,2025-11,953
65,2025-12,519
65,2026-01,584
65,2026-02,672
65,2026-03,624
75,2026-05,669
75,2026-04,618
75,2024-05,10
75,2024-06,202
75,2024-07,304
75,2024-08,393
75,2024-09,754
75,2024-10,569
75,2024-11,778
75,2024-12,654
75,2025-01,715
75,2025-02,705
75,2025-03,734
75,2025-04,701
75,2025-05,753
75,2025-06,639
75,2025-07,718
75,2025-08,927
75,2025-09,710
75,2025-10,775
75,2025-11,1087
75,2025-12,551
75,2026-01,661
75,2026-02,663
75,2026-03,668
70,2026-05,749
70,2026-04,704
70,2024-05,10
70,2024-06,183
70,2024-07,274
70,2024-08,322
70,2024-09,725
70,2024-10,600
70,2024-11,711
70,2024-12,542
70,2025-01,669
70,2025-02,636
70,2025-03,701
70,2025-04,651
70,2025-05,738
70,2025-06,633
70,2025-07,699
70,2025-08,905
70,2025-09,696
70,2025-10,716
70,2025-11,1032
70,2025-12,520
70,2026-01,626
70,2026-02,677
70,2026-03,672
80,2026-05,549
80,2026-04,504
80,2024-05,5
80,2024-06,196
80,2024-07,225
80,2024-08,294
80,2024-09,535
80,2024-10,439
80,2024-11,598
80,2024-12,513
80,2025-01,505
80,2025-02,539
80,2025-03,570
80,2025-04,626
80,2025-05,633
80,2025-06,489
80,2025-07,570
80,2025-08,679
80,2025-09,608
80,2025-10,564
80,2025-11,809
80,2025-12,475
80,2026-01,665
80,2026-02,601
80,2026-03,546
95,2026-05,136
95,2026-04,110
95,2024-05,5
95,2024-06,66
95,2024-07,52
95,2024-08,86
95,2024-09,90
95,2024-10,84
95,2024-11,193
95,2024-12,142
95,2025-01,160
95,2025-02,130
95,2025-03,188
95,2025-04,151
95,2025-05,184
95,2025-06,145
95,2025-07,168
95,2025-08,204
95,2025-09,185
95,2025-10,145
95,2025-11,213
95,2025-12,118
95,2026-01,141
95,2026-02,128
95,2026-03,80
90,2026-05,259
90,2026-04,251
90,2024-05,7
90,2024-06,119
90,2024-07,129
90,2024-08,154
90,2024-09,226
90,2024-10,275
90,2024-11,408
90,2024-12,361
90,2025-01,381
90,2025-02,315
90,2025-03,396
90,2025-04,341
90,2025-05,400
90,2025-06,295
90,2025-07,341
90,2025-08,427
90,2025-09,394
90,2025-10,403
90,2025-11,505
90,2025-12,248
90,2026-01,291
90,2026-02,282
90,2026-03,255
85,2026-05,440
85,2026-04,376
85,2024-05,8
85,2024-06,136
85,2024-07,175
85,2024-08,251
85,2024-09,353
85,2024-10,329
85,2024-11,526
85,2024-12,415
85,2025-01,456
85,2025-02,433
85,2025-03,502
85,2025-04,473
85,2025-05,576
85,2025-06,454
85,2025-07,466
85,2025-08,634
85,2025-09,536
85,2025-10,598
85,2025-11,766
85,2025-12,443
85,2026-01,505
85,2026-02,568
85,2026-03,488
55,2026-05,46
55,2026-04,58
55,2024-05,1
55,2024-06,10
55,2024-07,24
55,2024-08,17
55,2024-09,79
55,2024-10,50
55,2024-11,71
55,2024-12,64
55,2025-01,59
55,2025-02,64
55,2025-03,70
55,2025-04,66
55,2025-05,71
55,2025-06,60
55,2025-07,72
55,2025-08,80
55,2025-09,66
55,2025-10,68
55,2025-11,77
55,2025-12,54
55,2026-01,47
55,2026-02,56
55,2026-03,52
60,2026-05,148
60,2026-04,169
60,2024-06,37
60,2024-07,60
60,2024-08,54
60,2024-09,190
60,2024-10,154
60,2024-11,149
60,2024-12,117
60,2025-01,131
60,2025-02,101
60,2025-03,149
60,2025-04,162
60,2025-05,173
60,2025-06,115
60,2025-07,150
60,2025-08,156
60,2025-09,143
60,2025-10,160
60,2025-11,211
60,2025-12,103
60,2026-01,116
60,2026-02,126
60,2026-03,130
50,2026-05,20
50,2026-04,30
50,2024-06,5
50,2024-07,8
50,2024-08,3
50,2024-09,17
50,2024-10,17
50,2024-11,28
50,2024-12,14
50,2025-01,17
50,2025-02,19
50,2025-03,20
50,2025-04,16
50,2025-05,16
50,2025-06,11
50,2025-07,20
50,2025-08,16
50,2025-09,22
50,2025-10,16
50,2025-11,33
50,2025-12,16
50,2026-01,13
50,2026-02,24
50,2026-03,24
110,2026-04,2
110,2025-02,1
110,2025-06,1
110,2025-09,1
110,2025-11,3
110,2026-03,1
100,2026-05,46
100,2026-04,38
100,2024-05,3
100,2024-06,13
100,2024-07,19
100,2024-08,25
100,2024-09,21
100,2024-10,33
100,2024-11,68
100,2024-12,53
100,2025-01,40
100,2025-02,40
100,2025-03,50
100,2025-04,51
100,2025-05,77
100,2025-06,96
100,2025-07,51
100,2025-08,63
100,2025-09,67
100,2025-10,56
100,2025-11,70
100,2025-12,35
100,2026-01,47
100,2026-02,53
100,2026-03,40
105,2026-05,5
105,2026-04,4
105,2024-06,1
105,2024-07,2
105,2024-09,6
105,2024-10,2
105,2024-11,2
105,2024-12,4
105,2025-01,2
105,2025-02,3
105,2025-03,8
105,2025-04,7
105,2025-05,13
105,2025-06,11
105,2025-07,2
105,2025-08,6
105,2025-09,1
105,2025-10,4
105,2025-11,12
105,2025-12,3
105,2026-01,7
105,2026-02,5
105,2026-03,3
40,2026-05,1
40,2024-09,4
40,2024-10,1
40,2024-11,1
40,2024-12,3
40,2025-02,5
40,2025-03,1
40,2025-04,3
40,2025-08,2
40,2025-09,3
40,2025-10,2
40,2025-11,4
40,2025-12,1
40,2026-01,1
40,2026-02,2
40,2026-03,3
45,2026-05,3
45,2026-04,7
45,2024-06,1
45,2024-08,3
45,2024-09,11
45,2024-10,7
45,2024-11,4
45,2024-12,4
45,2025-01,8
45,2025-02,5
45,2025-03,5
45,2025-04,6
45,2025-05,6
45,2025-06,2
45,2025-07,4
45,2025-08,8
45,2025-09,5
45,2025-10,6
45,2025-11,10
45,2025-12,4
45,2026-01,6
45,2026-02,8
45,2026-03,9
30,2026-04,1
30,2025-10,1
30,2025-11,2
30,2025-12,1
30,2026-01,3
25,2026-04,1
25,2025-11,1
115,2024-11,1
125,2026-05,1
35,2026-04,1
35,2024-11,1
35,2025-09,1
