occupation,round,lowest_cleared_score,boundary_score,boundary_state,newest_invited,invited_n,pool_n
233612 Petroleum Engineer,2024-09,,95,PARTIAL,2023-06-15,5,16
233911 Aeronautical Engineer,2024-09,,95,PARTIAL,2024-08-24,1,30
233913 Biomedical Engineer,2024-09,,90,PARTIAL,2022-12-07,8,30
233914 Engineering Technologist,2024-09,,90,PARTIAL,2023-02-18,81,304
233915 Environmental Engineer,2024-09,,95,PARTIAL,2023-07-16,2,26
233916 Naval Architect,2024-09,,95,PARTIAL,2024-07-11,2,0
233999 Engineering Professionals nec,2024-09,,90,PARTIAL,2022-12-16,15,72
234111 Agricultural Consultant,2024-09,,95,PARTIAL,2024-07-16,1,42
234112 Agricultural Scientist,2024-09,95.0,95,CLEARED,2024-07-11,7,14
234211 Chemist,2024-09,,95,PARTIAL,2024-08-04,5,41
234212 Food Technologist,2024-09,,90,PARTIAL,2022-12-08,4,42
234312 Environmental Consultant,2024-09,,95,PARTIAL,2024-05-30,4,27
234313 Environmental Research Scientist,2024-09,,95,PARTIAL,2023-04-11,2,5
234511 Life Scientist (General),2024-09,,90,PARTIAL,2023-01-24,10,21
234514 Biotechnologist,2024-09,95.0,90,PARTIAL,2022-12-10,8,13
234518 Zoologist,2024-09,,90,PARTIAL,2022-12-31,1,0
234599 Life Scientists nec,2024-09,,95,PARTIAL,2023-02-06,1,4
234611 Medical Laboratory Scientist,2024-09,,80,PARTIAL,2024-08-29,15,13
234711 Veterinarian,2024-09,,95,PARTIAL,2024-06-05,6,6
234914 Physicist,2024-09,,95,PARTIAL,2023-12-01,3,7
241111 Early Childhood (Pre-primary School) Teacher,2024-09,,75,PARTIAL,2023-11-07,261,402
241411 Secondary School Teacher,2024-09,,75,PARTIAL,2023-11-01,87,53
241511 Special Needs Teacher,2024-09,,80,PARTIAL,2024-05-16,1,1
241599 Special Education Teachers nec,2024-09,,80,PARTIAL,2024-08-26,1,0
242111 University Lecturer,2024-09,100.0,90,PARTIAL,2023-02-19,30,121
251211 Medical Diagnostic Radiographer,2024-09,,75,PARTIAL,2023-10-02,8,6
251214 Sonographer,2024-09,,80,PARTIAL,2024-05-02,2,0
251411 Optometrist,2024-09,,80,PARTIAL,2024-02-07,5,2
251912 Orthotist or Prosthetist,2024-09,,80,PARTIAL,2024-04-05,1,1
252111 Chiropractor,2024-09,,80,PARTIAL,2024-08-30,3,0
252411 Occupational Therapist,2024-09,,75,PARTIAL,2023-09-22,49,27
252511 Physiotherapist,2024-09,,75,PARTIAL,2023-10-10,65,49
252611 Podiatrist,2024-09,,80,PARTIAL,2024-01-05,3,1
252711 Audiologist,2024-09,,75,PARTIAL,2023-08-21,17,16
252712 Speech Pathologist,2024-09,80.0,80,CLEARED,2024-09-04,16,4
253111 General Practitioner,2024-09,,75,PARTIAL,2023-09-20,104,34
253311 Specialist Physician (General Medicine),2024-09,,80,PARTIAL,2023-11-01,1,0
253312 Cardiologist,2024-09,,80,PARTIAL,2024-02-03,1,0
253316 Gastroenterologist,2024-09,,85,PARTIAL,2024-07-31,2,0
253317 Intensive Care Specialist,2024-09,,85,PARTIAL,2024-02-22,1,0
253321 Paediatrician,2024-09,,80,PARTIAL,2024-06-02,2,0
253411 Psychiatrist,2024-09,,80,PARTIAL,2024-02-08,2,1
253518 Urologist,2024-09,,80,PARTIAL,2024-04-05,1,0
253912 Emergency Medicine Specialist,2024-09,85.0,80,PARTIAL,2024-06-06,9,3
253914 Ophthalmologist,2024-09,,85,PARTIAL,2024-08-23,1,0
253917 Diagnostic and Interventional Radiologist,2024-09,80.0,80,CLEARED,2024-07-28,2,1
253999 Medical Practitioners nec,2024-09,,75,PARTIAL,2023-08-16,84,23
254111 Midwife,2024-09,,75,PARTIAL,2023-08-03,11,4
254411 Nurse Practitioner,2024-09,,85,PARTIAL,2024-08-02,1,2
254412 Registered Nurse (Aged Care),2024-09,80.0,75,PARTIAL,2023-08-22,29,44
254413 Registered Nurse (Child and Family Health),2024-09,,80,PARTIAL,2024-04-02,2,1
254415 Registered Nurse (Critical Care and Emergency),2024-09,,75,PARTIAL,2023-11-14,30,42
254417 Registered Nurse (Disability and Rehabilitation),2024-09,,80,PARTIAL,2024-03-22,1,1
254418 Registered Nurse (Medical),2024-09,,75,PARTIAL,2023-09-11,36,48
254421 Registered Nurse (Medical Practice),2024-09,,80,PARTIAL,2024-08-30,1,0
254422 Registered Nurse (Mental Health),2024-09,,75,PARTIAL,2023-11-09,10,10
254423 Registered Nurse (Perioperative),2024-09,,75,PARTIAL,2023-09-28,8,14
254424 Registered Nurse (Surgical),2024-09,,75,PARTIAL,2023-06-15,13,15
254425 Registered Nurse (Paediatrics),2024-09,,80,PARTIAL,2024-05-30,6,7
254499 Registered Nurses nec,2024-09,,75,PARTIAL,2023-10-31,174,327
261111 ICT Business Analyst,2024-09,,95,PARTIAL,2022-09-18,36,468
261112 Systems Analyst,2024-09,,100,PARTIAL,2024-06-28,16,215
261211 Multimedia Specialist,2024-09,,90,PARTIAL,2022-12-01,7,13
261311 Analyst Programmer,2024-09,100.0,90,PARTIAL,2023-02-19,69,121
261312 Developer Programmer,2024-09,,100,PARTIAL,2024-08-06,26,286
261313 Software Engineer,2024-09,,100,PARTIAL,2024-06-26,47,506
261399 Software and Applications Programmers nec,2024-09,,90,PARTIAL,2023-01-25,24,80
262112 ICT Security Specialist,2024-09,,100,PARTIAL,2024-07-25,8,170
263111 Computer Network and Systems Engineer,2024-09,,100,PARTIAL,2024-05-07,19,256
263311 Telecommunications Engineer,2024-09,,90,PARTIAL,2023-02-01,20,97
263312 Telecommunications Network Engineer,2024-09,,90,PARTIAL,2022-12-13,4,27
271311 Solicitor,2024-09,95.0,90,PARTIAL,2023-02-25,15,53
272311 Clinical Psychologist,2024-09,,85,PARTIAL,2024-07-22,1,0
272399 Psychologists nec,2024-09,80.0,80,CLEARED,2024-08-27,19,4
272511 Social Worker,2024-09,85.0,75,PARTIAL,2023-11-15,83,71
312211 Civil Engineering Draftsperson,2024-09,,75,PARTIAL,2023-11-15,287,396
312212 Civil Engineering Technician,2024-09,,75,PARTIAL,2023-10-31,73,67
321211 Motor Mechanic (General),2024-09,,90,PARTIAL,2022-09-14,3,135
321212 Diesel Motor Mechanic,2024-09,,90,PARTIAL,2022-12-16,1,8
322311 Metal Fabricator,2024-09,,75,PARTIAL,2023-02-10,8,4
322313 Welder (First Class),2024-09,80.0,80,CLEARED,2024-08-26,16,19
331111 Bricklayer,2024-09,,65,PARTIAL,2024-08-29,32,4
331112 Stonemason,2024-09,,70,PARTIAL,2024-09-02,1,0
331211 Carpenter and Joiner,2024-09,,70,PARTIAL,2024-06-26,9,1
331212 Carpenter,2024-09,,65,PARTIAL,2024-09-04,236,63
331213 Joiner,2024-09,,65,PARTIAL,2023-09-20,3,1
332211 Painting Trades Worker,2024-09,,65,PARTIAL,2024-09-04,214,45
333111 Glazier,2024-09,,65,PARTIAL,2022-12-15,3,0
333211 Fibrous Plasterer,2024-09,,65,PARTIAL,2024-09-04,1,0
333212 Solid Plasterer,2024-09,,65,PARTIAL,2024-08-29,4,2
333411 Wall and Floor Tiler,2024-09,,65,PARTIAL,2024-08-14,34,6
334111 Plumber (General),2024-09,70.0,65,PARTIAL,2024-08-12,10,2
334112 Airconditioning and Mechanical Services Plumber,2024-09,,65,PARTIAL,2024-08-29,12,1
334113 Drainer,2024-09,,75,PARTIAL,2024-08-09,1,0
334114 Gasfitter,2024-09,,65,PARTIAL,2024-07-23,1,1
334115 Roof Plumber,2024-09,,65,PARTIAL,2024-08-08,2,1
341111 Electrician (General),2024-09,,65,PARTIAL,2024-08-29,50,13
341112 Electrician (Special Class),2024-09,,70,PARTIAL,2023-06-28,1,0
341113 Lift Mechanic,2024-09,,65,PARTIAL,2024-07-17,2,0
351311 Chef,2024-09,,90,PARTIAL,2022-12-10,4,478
394111 Cabinetmaker,2024-09,,65,PARTIAL,2024-09-03,19,2
399112 Shipwright,2024-09,,105,PARTIAL,2023-01-30,1,0
133111 Construction Project Manager,2024-11,75.0,70,PARTIAL,2023-06-13,411,222
133211 Engineering Manager,2024-11,,90,PARTIAL,2024-02-20,1,41
134111 Child Care Centre Manager,2024-11,,75,PARTIAL,2024-01-03,1,3
139912 Environmental Manager,2024-11,90.0,90,CLEARED,2024-10-18,6,18
211112 Dancer or Choreographer,2024-11,,90,PARTIAL,2023-05-23,1,1
211213 Musician (Instrumental),2024-11,,90,PARTIAL,2023-08-04,1,2
221111 Accountant (General),2024-11,95.0,95,CLEARED,2024-10-07,289,744
221112 Management Accountant,2024-11,100.0,95,PARTIAL,2024-09-17,28,170
221113 Taxation Accountant,2024-11,90.0,85,PARTIAL,2022-12-15,133,200
221213 External Auditor,2024-11,90.0,85,PARTIAL,2022-12-20,324,426
221214 Internal Auditor,2024-11,90.0,90,CLEARED,2024-11-02,15,42
224111 Actuary,2024-11,90.0,85,PARTIAL,2022-12-19,31,36
224113 Statistician,2024-11,90.0,90,CLEARED,2024-10-15,41,72
224311 Economist,2024-11,90.0,90,CLEARED,2024-04-30,11,21
224512 Valuer,2024-11,,90,PARTIAL,2023-08-26,3,15
224711 Management Consultant,2024-11,90.0,85,PARTIAL,2022-12-17,33,69
232111 Architect,2024-11,75.0,70,PARTIAL,2023-05-19,231,136
232112 Landscape Architect,2024-11,75.0,70,PARTIAL,2023-06-08,40,27
232212 Surveyor,2024-11,,90,PARTIAL,2024-05-01,1,19
232214 Other Spatial Scientist,2024-11,90.0,90,CLEARED,2024-06-15,17,23
233111 Chemical Engineer,2024-11,90.0,85,PARTIAL,2022-12-15,58,156
233112 Materials Engineer,2024-11,90.0,85,PARTIAL,2022-11-19,18,34
233211 Civil Engineer,2024-11,90.0,85,PARTIAL,2022-12-16,295,911
233212 Geotechnical Engineer,2024-11,75.0,70,PARTIAL,2023-05-12,29,16
233213 Quantity Surveyor,2024-11,75.0,70,PARTIAL,2023-06-01,176,110
233214 Structural Engineer,2024-11,75.0,70,PARTIAL,2023-04-27,88,58
233215 Transport Engineer,2024-11,75.0,70,PARTIAL,2023-02-01,34,23
233311 Electrical Engineer,2024-11,90.0,85,PARTIAL,2022-12-12,133,402
233411 Electronics Engineer,2024-11,90.0,85,PARTIAL,2022-12-19,99,304
233511 Industrial Engineer,2024-11,90.0,85,PARTIAL,2022-11-18,21,59
233512 Mechanical Engineer,2024-11,90.0,85,PARTIAL,2022-12-20,323,757
233513 Production or Plant Engineer,2024-11,90.0,90,CLEARED,2024-11-01,36,83
233611 Mining Engineer (excluding Petroleum),2024-11,90.0,90,CLEARED,2024-08-26,11,36
233612 Petroleum Engineer,2024-11,90.0,85,PARTIAL,2022-12-19,17,27
233911 Aeronautical Engineer,2024-11,90.0,85,PARTIAL,2022-11-19,18,44
233912 Agricultural Engineer,2024-11,,90,PARTIAL,2024-07-04,3,9
233913 Biomedical Engineer,2024-11,90.0,85,PARTIAL,2022-11-11,24,48
233914 Engineering Technologist,2024-11,90.0,85,PARTIAL,2022-12-20,169,497
233915 Environmental Engineer,2024-11,90.0,85,PARTIAL,2022-12-19,17,39
233916 Naval Architect,2024-11,,90,PARTIAL,2024-05-01,1,2
233999 Engineering Professionals nec,2024-11,90.0,85,PARTIAL,2022-12-10,39,118
234111 Agricultural Consultant,2024-11,90.0,85,PARTIAL,2022-12-17,11,64
234112 Agricultural Scientist,2024-11,90.0,90,CLEARED,2024-10-08,18,21
234113 Forester,2024-11,105.0,90,PARTIAL,2024-02-26,4,4
234211 Chemist,2024-11,90.0,90,CLEARED,2024-10-28,11,64
234212 Food Technologist,2024-11,90.0,90,CLEARED,2024-09-18,17,77
234312 Environmental Consultant,2024-11,95.0,90,PARTIAL,2024-02-04,13,44
234313 Environmental Research Scientist,2024-11,90.0,90,CLEARED,2024-09-25,6,14
234399 Environmental Scientists nec,2024-11,,90,PARTIAL,2024-11-06,1,1
234412 Geophysicist,2024-11,90.0,90,CLEARED,2024-09-18,2,11
234413 Hydrogeologist,2024-11,90.0,90,CLEARED,2024-09-28,1,5
234511 Life Scientist (General),2024-11,90.0,90,CLEARED,2024-09-27,21,33
234513 Biochemist,2024-11,90.0,90,CLEARED,2024-10-01,9,18
234514 Biotechnologist,2024-11,90.0,90,CLEARED,2024-10-18,25,36
234516 Marine Biologist,2024-11,90.0,90,CLEARED,2024-05-09,4,7
234517 Microbiologist,2024-11,,90,PARTIAL,2024-05-25,4,22
234518 Zoologist,2024-11,,90,PARTIAL,2022-12-31,1,2
234599 Life Scientists nec,2024-11,90.0,90,CLEARED,2024-09-20,4,6
234611 Medical Laboratory Scientist,2024-11,75.0,75,CLEARED,2024-11-05,58,28
234711 Veterinarian,2024-11,90.0,85,PARTIAL,2022-11-13,12,13
234912 Metallurgist,2024-11,100.0,90,PARTIAL,2024-03-03,4,8
234913 Meteorologist,2024-11,,90,PARTIAL,2023-10-27,1,0
234914 Physicist,2024-11,,90,PARTIAL,2024-07-08,4,12
234999 Natural and Physical Science Professionals nec,2024-11,,90,PARTIAL,2024-06-11,2,3
241111 Early Childhood (Pre-primary School) Teacher,2024-11,75.0,70,PARTIAL,2023-06-15,590,690
241411 Secondary School Teacher,2024-11,75.0,70,PARTIAL,2023-06-13,144,122
241511 Special Needs Teacher,2024-11,,75,PARTIAL,2024-08-23,3,1
241599 Special Education Teachers nec,2024-11,,75,PARTIAL,2024-03-08,2,0
242111 University Lecturer,2024-11,90.0,90,CLEARED,2024-11-03,89,248
251211 Medical Diagnostic Radiographer,2024-11,85.0,75,PARTIAL,2024-11-06,19,6
251212 Medical Radiation Therapist,2024-11,75.0,75,CLEARED,2024-09-15,2,3
251214 Sonographer,2024-11,85.0,75,PARTIAL,2024-11-03,5,2
251411 Optometrist,2024-11,75.0,75,CLEARED,2024-10-02,4,6
251912 Orthotist or Prosthetist,2024-11,75.0,75,CLEARED,2024-03-18,1,1
252111 Chiropractor,2024-11,75.0,75,CLEARED,2024-10-04,4,4
252112 Osteopath,2024-11,,75,PARTIAL,2024-08-07,1,0
252411 Occupational Therapist,2024-11,75.0,75,CLEARED,2024-10-27,79,53
252511 Physiotherapist,2024-11,75.0,75,CLEARED,2024-11-04,121,102
252611 Podiatrist,2024-11,75.0,75,CLEARED,2024-10-05,4,3
252711 Audiologist,2024-11,75.0,75,CLEARED,2024-10-17,23,27
252712 Speech Pathologist,2024-11,75.0,75,CLEARED,2024-09-27,14,11
253111 General Practitioner,2024-11,75.0,75,CLEARED,2024-11-01,102,60
253311 Specialist Physician (General Medicine),2024-11,,75,PARTIAL,2024-07-31,1,1
253318 Neurologist,2024-11,75.0,75,CLEARED,2024-10-29,1,3
253321 Paediatrician,2024-11,,75,PARTIAL,2024-07-04,1,0
253324 Thoracic Medicine Specialist,2024-11,75.0,75,CLEARED,2024-10-21,2,1
253399 Specialist Physicians nec,2024-11,80.0,80,CLEARED,2024-10-08,1,1
253411 Psychiatrist,2024-11,80.0,80,CLEARED,2024-10-28,2,2
253514 Orthopaedic Surgeon,2024-11,95.0,75,PARTIAL,2024-08-19,2,1
253912 Emergency Medicine Specialist,2024-11,75.0,75,CLEARED,2024-08-08,10,4
253917 Diagnostic and Interventional Radiologist,2024-11,80.0,80,CLEARED,2024-01-31,2,2
253999 Medical Practitioners nec,2024-11,75.0,75,CLEARED,2024-10-04,70,44
254111 Midwife,2024-11,75.0,75,CLEARED,2024-11-03,9,6
254411 Nurse Practitioner,2024-11,100.0,100,CLEARED,2024-09-30,1,3
254412 Registered Nurse (Aged Care),2024-11,75.0,70,PARTIAL,2023-06-03,64,80
254413 Registered Nurse (Child and Family Health),2024-11,80.0,75,PARTIAL,2024-07-04,4,1
254414 Registered Nurse (Community Health),2024-11,75.0,75,CLEARED,2024-10-15,5,4
254415 Registered Nurse (Critical Care and Emergency),2024-11,75.0,70,PARTIAL,2023-06-06,64,74
254417 Registered Nurse (Disability and Rehabilitation),2024-11,75.0,75,CLEARED,2024-10-17,3,2
254418 Registered Nurse (Medical),2024-11,75.0,70,PARTIAL,2023-06-01,69,104
254421 Registered Nurse (Medical Practice),2024-11,80.0,75,PARTIAL,2024-01-22,3,5
254422 Registered Nurse (Mental Health),2024-11,75.0,75,CLEARED,2024-10-26,23,15
254423 Registered Nurse (Perioperative),2024-11,75.0,75,CLEARED,2024-11-07,22,31
254424 Registered Nurse (Surgical),2024-11,75.0,75,CLEARED,2024-11-06,37,33
254425 Registered Nurse (Paediatrics),2024-11,75.0,70,PARTIAL,2023-06-09,15,14
254499 Registered Nurses nec,2024-11,75.0,70,PARTIAL,2023-06-05,512,550
261111 ICT Business Analyst,2024-11,100.0,95,PARTIAL,2024-10-14,262,860
261112 Systems Analyst,2024-11,,95,PARTIAL,2024-10-08,77,419
261211 Multimedia Specialist,2024-11,90.0,85,PARTIAL,2022-12-19,40,31
261311 Analyst Programmer,2024-11,90.0,85,PARTIAL,2022-12-12,215,295
261312 Developer Programmer,2024-11,100.0,95,PARTIAL,2024-10-17,161,574
261313 Software Engineer,2024-11,100.0,95,PARTIAL,2024-10-16,257,977
261399 Software and Applications Programmers nec,2024-11,90.0,85,PARTIAL,2022-12-20,110,173
262112 ICT Security Specialist,2024-11,95.0,95,CLEARED,2024-10-05,170,311
263111 Computer Network and Systems Engineer,2024-11,100.0,95,PARTIAL,2024-10-01,100,461
263311 Telecommunications Engineer,2024-11,90.0,85,PARTIAL,2022-12-16,60,161
263312 Telecommunications Network Engineer,2024-11,95.0,85,PARTIAL,2022-12-08,10,42
271311 Solicitor,2024-11,90.0,85,PARTIAL,2022-12-14,66,100
272311 Clinical Psychologist,2024-11,90.0,75,PARTIAL,2024-03-23,2,2
272399 Psychologists nec,2024-11,75.0,75,CLEARED,2024-11-06,24,17
272511 Social Worker,2024-11,75.0,70,PARTIAL,2023-06-02,123,126
312211 Civil Engineering Draftsperson,2024-11,75.0,70,PARTIAL,2023-06-15,497,586
312212 Civil Engineering Technician,2024-11,75.0,70,PARTIAL,2023-04-03,149,122
312312 Electrical Engineering Technician,2024-11,,90,PARTIAL,2024-07-21,1,43
313212 Telecommunications Field Engineer,2024-11,90.0,85,PARTIAL,2022-12-07,2,23
313213 Telecommunications Network Planner,2024-11,,90,PARTIAL,2023-11-30,2,46
313214 Telecommunications Technical Officer or Technologist,2024-11,,90,PARTIAL,2024-06-25,1,12
321211 Motor Mechanic (General),2024-11,90.0,90,CLEARED,2024-09-18,9,228
321212 Diesel Motor Mechanic,2024-11,,95,PARTIAL,2022-12-16,1,13
322211 Sheetmetal Trades Worker,2024-11,,70,PARTIAL,2022-12-13,1,0
322311 Metal Fabricator,2024-11,75.0,75,CLEARED,2024-10-09,8,6
322313 Welder (First Class),2024-11,75.0,70,PARTIAL,2023-06-05,33,34
323214 Metal Machinist (First Class),2024-11,,90,PARTIAL,2022-12-25,1,5
331111 Bricklayer,2024-11,70.0,65,PARTIAL,2024-08-29,6,7
331211 Carpenter and Joiner,2024-11,,75,PARTIAL,2024-10-08,1,2
331212 Carpenter,2024-11,70.0,65,PARTIAL,2024-09-05,89,129
332211 Painting Trades Worker,2024-11,70.0,65,PARTIAL,2024-09-05,60,95
333212 Solid Plasterer,2024-11,75.0,75,CLEARED,2024-09-10,1,2
333411 Wall and Floor Tiler,2024-11,70.0,65,PARTIAL,2024-09-05,11,19
334111 Plumber (General),2024-11,70.0,65,PARTIAL,2024-08-12,7,8
334112 Airconditioning and Mechanical Services Plumber,2024-11,70.0,70,CLEARED,2024-10-22,3,4
341111 Electrician (General),2024-11,70.0,65,PARTIAL,2024-09-06,15,20
341113 Lift Mechanic,2024-11,,65,PARTIAL,2024-07-17,1,2
351311 Chef,2024-11,90.0,85,PARTIAL,2022-11-25,56,772
394111 Cabinetmaker,2024-11,70.0,70,CLEARED,2024-10-28,7,9
399111 Boat Builder and Repairer,2024-11,,90,PARTIAL,2023-08-08,1,3
133111 Construction Project Manager,2025-08,95.0,90,PARTIAL,2025-05-08,10,849
133211 Engineering Manager,2025-08,90.0,90,CLEARED,2024-02-20,1,157
134213 Primary Health Organisation Manager,2025-08,,90,PARTIAL,2024-04-12,1,24
139911 Arts Administrator or Manager,2025-08,95.0,90,PARTIAL,2024-03-21,2,18
139912 Environmental Manager,2025-08,95.0,90,PARTIAL,2024-01-05,2,57
224111 Actuary,2025-08,95.0,90,PARTIAL,2025-05-08,35,124
224113 Statistician,2025-08,95.0,90,PARTIAL,2025-05-05,56,244
224311 Economist,2025-08,95.0,90,PARTIAL,2025-01-30,8,75
224511 Land Economist,2025-08,90.0,90,CLEARED,2025-04-16,1,18
224512 Valuer,2025-08,90.0,90,CLEARED,2025-03-12,3,40
224711 Management Consultant,2025-08,95.0,90,PARTIAL,2025-03-23,27,261
232111 Architect,2025-08,110.0,90,PARTIAL,2025-03-31,7,424
232112 Landscape Architect,2025-08,,90,PARTIAL,2025-05-04,3,100
232212 Surveyor,2025-08,95.0,95,CLEARED,2025-02-23,1,69
232213 Cartographer,2025-08,90.0,90,CLEARED,2025-01-30,1,4
232214 Other Spatial Scientist,2025-08,,90,PARTIAL,2025-03-30,6,77
233111 Chemical Engineer,2025-08,95.0,90,PARTIAL,2025-05-04,52,492
233112 Materials Engineer,2025-08,95.0,90,PARTIAL,2025-04-05,22,122
233411 Electronics Engineer,2025-08,100.0,95,PARTIAL,2025-01-31,13,901
233611 Mining Engineer (excluding Petroleum),2025-08,90.0,90,CLEARED,2025-03-28,9,109
233612 Petroleum Engineer,2025-08,95.0,90,PARTIAL,2023-09-09,2,99
234111 Agricultural Consultant,2025-08,95.0,90,PARTIAL,2025-04-04,18,229
234112 Agricultural Scientist,2025-08,95.0,90,PARTIAL,2025-05-08,23,119
234113 Forester,2025-08,95.0,90,PARTIAL,2024-12-01,4,10
234211 Chemist,2025-08,95.0,90,PARTIAL,2025-02-16,19,196
234212 Food Technologist,2025-08,95.0,90,PARTIAL,2025-05-08,18,217
234312 Environmental Consultant,2025-08,95.0,90,PARTIAL,2025-04-10,32,147
234313 Environmental Research Scientist,2025-08,95.0,90,PARTIAL,2025-04-02,14,57
234412 Geophysicist,2025-08,90.0,90,CLEARED,2024-10-20,2,23
234413 Hydrogeologist,2025-08,90.0,90,CLEARED,2025-01-06,1,10
234511 Life Scientist (General),2025-08,95.0,90,PARTIAL,2025-02-17,33,121
234513 Biochemist,2025-08,95.0,90,PARTIAL,2025-01-23,6,36
234514 Biotechnologist,2025-08,95.0,90,PARTIAL,2025-02-25,23,135
234516 Marine Biologist,2025-08,90.0,90,CLEARED,2025-02-28,5,20
234517 Microbiologist,2025-08,95.0,90,PARTIAL,2024-11-20,7,91
234518 Zoologist,2025-08,90.0,90,CLEARED,2025-03-04,2,10
234599 Life Scientists nec,2025-08,95.0,95,CLEARED,2025-07-14,9,33
234611 Medical Laboratory Scientist,2025-08,90.0,90,CLEARED,2025-02-04,5,163
234711 Veterinarian,2025-08,95.0,90,PARTIAL,2025-05-05,14,89
234912 Metallurgist,2025-08,90.0,90,CLEARED,2024-01-08,5,41
234914 Physicist,2025-08,95.0,90,PARTIAL,2025-05-01,9,41
234999 Natural and Physical Science Professionals nec,2025-08,90.0,90,CLEARED,2024-09-26,1,8
241111 Early Childhood (Pre-primary School) Teacher,2025-08,90.0,85,PARTIAL,2025-07-12,365,3129
241411 Secondary School Teacher,2025-08,90.0,85,PARTIAL,2025-06-26,52,585
242111 University Lecturer,2025-08,90.0,85,PARTIAL,2025-07-13,222,782
251211 Medical Diagnostic Radiographer,2025-08,80.0,80,CLEARED,2025-06-24,22,91
251212 Medical Radiation Therapist,2025-08,80.0,80,CLEARED,2025-05-15,1,7
251214 Sonographer,2025-08,80.0,80,CLEARED,2025-04-25,20,26
251411 Optometrist,2025-08,80.0,80,CLEARED,2025-06-20,4,8
252411 Occupational Therapist,2025-08,85.0,80,PARTIAL,2025-06-17,51,189
252511 Physiotherapist,2025-08,85.0,80,PARTIAL,2025-07-12,97,313
252611 Podiatrist,2025-08,80.0,80,CLEARED,2025-06-02,3,13
252711 Audiologist,2025-08,80.0,80,CLEARED,2025-07-03,11,64
252712 Speech Pathologist,2025-08,85.0,80,PARTIAL,2025-07-03,33,68
253111 General Practitioner,2025-08,85.0,80,PARTIAL,2025-07-06,176,306
253311 Specialist Physician (General Medicine),2025-08,90.0,80,PARTIAL,2025-04-09,3,10
253312 Cardiologist,2025-08,80.0,80,CLEARED,2025-04-27,1,1
253317 Intensive Care Specialist,2025-08,80.0,80,CLEARED,2025-02-17,3,4
253318 Neurologist,2025-08,80.0,80,CLEARED,2024-09-16,2,3
253321 Paediatrician,2025-08,85.0,85,CLEARED,2025-02-24,1,2
253324 Thoracic Medicine Specialist,2025-08,,80,PARTIAL,2024-12-27,1,3
253411 Psychiatrist,2025-08,80.0,80,CLEARED,2025-06-03,3,8
253514 Orthopaedic Surgeon,2025-08,85.0,85,CLEARED,2025-02-22,1,2
253912 Emergency Medicine Specialist,2025-08,85.0,80,PARTIAL,2025-07-03,12,27
253914 Ophthalmologist,2025-08,80.0,80,CLEARED,2025-06-11,1,1
253917 Diagnostic and Interventional Radiologist,2025-08,85.0,85,CLEARED,2025-05-19,2,3
253999 Medical Practitioners nec,2025-08,85.0,80,PARTIAL,2025-07-08,133,236
254111 Midwife,2025-08,85.0,80,PARTIAL,2025-07-08,16,37
254411 Nurse Practitioner,2025-08,85.0,85,CLEARED,2024-11-15,2,7
254412 Registered Nurse (Aged Care),2025-08,85.0,80,PARTIAL,2025-07-11,76,443
