occupation,round,lowest_cleared_score,boundary_score,boundary_state,newest_invited,invited_n,pool_n
133111 Construction Project Manager,2024-09,,75,PARTIAL,2023-11-19,247,117
134111 Child Care Centre Manager,2024-09,,80,PARTIAL,2023-09-23,3,3
221111 Accountant (General),2024-09,,95,PARTIAL,2022-09-14,105,460
221112 Management Accountant,2024-09,100.0,100,CLEARED,2024-08-09,4,100
221113 Taxation Accountant,2024-09,,90,PARTIAL,2023-02-24,41,126
221213 External Auditor,2024-09,,90,PARTIAL,2023-02-25,108,255
221214 Internal Auditor,2024-09,95.0,95,CLEARED,2024-05-15,4,25
224111 Actuary,2024-09,,90,PARTIAL,2023-02-27,5,25
224113 Statistician,2024-09,95.0,90,PARTIAL,2023-03-03,6,43
224311 Economist,2024-09,,90,PARTIAL,2023-02-10,4,10
224512 Valuer,2024-09,,95,PARTIAL,2023-08-17,1,11
224711 Management Consultant,2024-09,,90,PARTIAL,2022-12-09,3,36
232111 Architect,2024-09,,75,PARTIAL,2023-11-16,286,89
232112 Landscape Architect,2024-09,,75,PARTIAL,2023-10-12,49,12
232212 Surveyor,2024-09,,95,PARTIAL,2024-04-14,3,8
232214 Other Spatial Scientist,2024-09,,100,PARTIAL,2023-03-22,1,10
233111 Chemical Engineer,2024-09,,90,PARTIAL,2023-03-01,24,104
233112 Materials Engineer,2024-09,,90,PARTIAL,2022-12-19,9,18
233211 Civil Engineer,2024-09,95.0,90,PARTIAL,2023-03-01,82,544
233212 Geotechnical Engineer,2024-09,,75,PARTIAL,2023-10-02,26,7
233213 Quantity Surveyor,2024-09,,75,PARTIAL,2023-11-15,275,68
233214 Structural Engineer,2024-09,,75,PARTIAL,2023-11-16,84,32
233215 Transport Engineer,2024-09,80.0,75,PARTIAL,2023-08-03,23,10
233311 Electrical Engineer,2024-09,,90,PARTIAL,2023-02-21,50,254
233411 Electronics Engineer,2024-09,,90,PARTIAL,2023-02-03,28,172
233511 Industrial Engineer,2024-09,,90,PARTIAL,2022-09-19,4,35
233512 Mechanical Engineer,2024-09,,90,PARTIAL,2023-02-15,102,463
233513 Production or Plant Engineer,2024-09,,90,PARTIAL,2023-02-27,12,49
233611 Mining Engineer (excluding Petroleum),2024-09,,105,PARTIAL,2024-08-20,1,20
