StatusMonth,Score,SubMonth,n
2024-09,65,2022-09,2
2024-09,65,2022-12,15
2024-09,65,2023-01,10
2024-09,65,2023-02,7
2024-09,65,2023-03,8
2024-09,65,2023-04,4
2024-09,65,2023-05,3
2024-09,65,2023-06,6
2024-09,65,2023-07,3
2024-09,65,2023-08,8
2024-09,65,2023-09,7
2024-09,65,2023-10,5
2024-09,65,2023-11,4
2024-09,65,2023-12,7
2024-09,65,2024-01,6
2024-09,65,2024-02,7
2024-09,65,2024-03,2
2024-09,65,2024-04,7
2024-09,65,2024-05,8
2024-09,65,2024-06,43
2024-09,65,2024-07,64
2024-09,65,2024-08,59
2024-09,65,2024-09,11
2024-09,75,2022-09,5
2024-09,75,2022-10,26
2024-09,75,2022-12,25
2024-09,75,2022-11,6
2024-09,75,2023-01,21
2024-09,75,2023-02,34
2024-09,75,2023-03,24
2024-09,75,2023-04,27
2024-09,75,2023-05,27
2024-09,75,2023-06,47
2024-09,75,2023-07,40
2024-09,75,2023-08,43
2024-09,75,2023-09,47
2024-09,75,2023-10,42
2024-09,75,2023-11,18
2024-09,75,2023-12,3
2024-09,75,2024-01,3
2024-09,75,2024-02,6
2024-09,75,2024-03,4
2024-09,75,2024-05,1
2024-09,75,2024-06,4
2024-09,75,2024-07,22
2024-09,75,2024-08,14
2024-09,70,2022-12,10
2024-09,70,2023-01,11
2024-09,70,2023-02,8
2024-09,70,2023-03,5
2024-09,70,2023-04,6
2024-09,70,2023-05,5
2024-09,70,2023-06,3
2024-09,70,2023-07,2
2024-09,70,2023-08,6
2024-09,70,2023-09,5
2024-09,70,2023-10,6
2024-09,70,2023-11,3
2024-09,70,2023-12,10
2024-09,70,2024-01,3
2024-09,70,2024-02,6
2024-09,70,2024-03,3
2024-09,70,2024-04,1
2024-09,70,2024-05,3
2024-09,70,2024-06,13
2024-09,70,2024-07,40
2024-09,70,2024-08,25
2024-09,70,2024-09,5
2024-09,80,2022-09,7
2024-09,80,2022-10,24
2024-09,80,2022-12,25
2024-09,80,2022-11,14
2024-09,80,2023-01,32
2024-09,80,2023-02,34
2024-09,80,2023-03,29
2024-09,80,2023-04,35
2024-09,80,2023-05,42
2024-09,80,2023-06,38
2024-09,80,2023-07,42
2024-09,80,2023-08,53
2024-09,80,2023-09,45
2024-09,80,2023-10,40
2024-09,80,2023-11,31
2024-09,80,2023-12,56
2024-09,80,2024-01,126
2024-09,80,2024-02,144
2024-09,80,2024-03,110
2024-09,80,2024-04,107
2024-09,80,2024-05,104
2024-09,80,2024-06,95
2024-09,80,2024-07,115
2024-09,80,2024-08,108
2024-09,80,2024-09,23
2024-09,95,2022-09,7
2024-09,95,2022-10,17
2024-09,95,2022-12,61
2024-09,95,2022-11,3
2024-09,95,2023-01,43
2024-09,95,2023-02,41
2024-09,95,2023-03,14
2024-09,95,2023-04,33
2024-09,95,2023-05,20
2024-09,95,2023-06,22
2024-09,95,2023-07,20
2024-09,95,2023-08,18
2024-09,95,2023-09,13
2024-09,95,2023-10,13
2024-09,95,2023-11,16
2024-09,95,2023-12,16
2024-09,95,2024-01,13
2024-09,95,2024-02,6
2024-09,95,2024-03,7
2024-09,95,2024-04,10
2024-09,95,2024-05,9
2024-09,95,2024-06,7
2024-09,95,2024-07,19
2024-09,95,2024-08,34
2024-09,95,2024-09,3
2024-09,90,2022-09,29
2024-09,90,2022-10,80
2024-09,90,2022-12,77
2024-09,90,2022-11,23
2024-09,90,2023-01,44
2024-09,90,2023-02,70
2024-09,90,2023-03,10
2024-09,90,2023-04,3
2024-09,90,2023-06,8
2024-09,90,2023-07,3
2024-09,90,2023-08,3
2024-09,90,2023-09,1
2024-09,90,2023-10,3
2024-09,90,2023-11,2
2024-09,90,2023-12,1
2024-09,90,2024-01,3
2024-09,90,2024-02,5
2024-09,90,2024-03,8
2024-09,90,2024-04,2
2024-09,90,2024-06,11
2024-09,90,2024-07,24
2024-09,90,2024-08,19
2024-09,85,2022-09,5
2024-09,85,2022-10,21
2024-09,85,2022-12,15
2024-09,85,2022-11,17
2024-09,85,2023-01,20
2024-09,85,2023-02,12
2024-09,85,2023-03,9
2024-09,85,2023-04,9
2024-09,85,2023-05,9
2024-09,85,2023-06,8
2024-09,85,2023-07,12
2024-09,85,2023-08,17
2024-09,85,2023-09,16
2024-09,85,2023-10,13
2024-09,85,2023-11,12
2024-09,85,2023-12,17
2024-09,85,2024-01,35
2024-09,85,2024-02,49
2024-09,85,2024-03,28
2024-09,85,2024-04,16
2024-09,85,2024-05,18
2024-09,85,2024-06,42
2024-09,85,2024-07,70
2024-09,85,2024-08,73
2024-09,85,2024-09,8
2024-09,110,2022-12,1
2024-09,110,2023-06,1
2024-09,110,2023-09,1
2024-09,110,2024-07,1
2024-09,110,2024-08,1
2024-09,100,2022-09,7
2024-09,100,2022-10,9
2024-09,100,2022-12,66
2024-09,100,2022-11,8
2024-09,100,2023-01,18
2024-09,100,2023-02,27
2024-09,100,2023-03,38
2024-09,100,2023-04,13
2024-09,100,2023-05,12
2024-09,100,2023-06,10
2024-09,100,2023-07,9
2024-09,100,2023-08,7
2024-09,100,2023-09,8
2024-09,100,2023-10,12
2024-09,100,2023-11,5
2024-09,100,2023-12,13
2024-09,100,2024-01,7
2024-09,100,2024-02,2
2024-09,100,2024-03,3
2024-09,100,2024-04,6
2024-09,100,2024-05,11
2024-09,100,2024-06,12
2024-09,100,2024-07,15
2024-09,100,2024-08,10
2024-09,105,2022-12,7
2024-09,105,2022-11,1
2024-09,105,2023-01,7
2024-09,105,2023-02,7
2024-09,105,2023-04,3
2024-09,105,2023-05,4
2024-09,105,2023-06,1
2024-09,105,2023-08,2
2024-09,105,2023-09,2
2024-09,105,2023-10,1
2024-09,105,2024-02,1
2024-09,105,2024-03,1
2024-09,105,2024-04,1
2024-09,105,2024-05,2
2024-09,105,2024-06,1
2024-09,105,2024-07,1
2024-09,105,2024-08,6
2024-09,120,2024-02,1
2024-09,115,2023-01,1
2024-09,115,2023-11,1
2024-09,115,2024-05,1
2024-09,115,2024-08,1
2026-06,65,2026-04,37
2026-06,65,2024-06,2
2026-06,65,2024-07,1
2026-06,65,2024-08,2
2026-06,65,2024-09,1
2026-06,65,2024-11,2
2026-06,65,2024-12,1
2026-06,65,2025-01,2
2026-06,65,2025-04,2
2026-06,65,2025-05,2
2026-06,65,2025-06,1
2026-06,65,2025-07,6
2026-06,65,2025-08,3
2026-06,65,2025-09,8
2026-06,65,2025-10,8
2026-06,65,2025-11,42
2026-06,65,2025-12,28
2026-06,65,2026-01,24
2026-06,65,2026-02,38
2026-06,65,2026-03,32
2026-06,75,2026-06,5
2026-06,75,2026-05,13
2026-06,75,2026-04,13
2026-06,75,2024-06,3
2026-06,75,2024-07,10
2026-06,75,2024-08,14
2026-06,75,2024-09,10
2026-06,75,2024-10,4
2026-06,75,2024-11,28
2026-06,75,2024-12,12
2026-06,75,2025-01,19
2026-06,75,2025-02,32
2026-06,75,2025-03,30
2026-06,75,2025-04,26
2026-06,75,2025-05,11
2026-06,75,2025-06,9
2026-06,75,2025-07,4
2026-06,75,2025-08,2
2026-06,75,2025-09,3
2026-06,75,2025-10,5
2026-06,75,2025-11,3
2026-06,75,2025-12,13
2026-06,75,2026-01,8
2026-06,75,2026-02,7
2026-06,75,2026-03,16
2026-06,70,2026-06,17
2026-06,70,2026-05,33
2026-06,70,2026-04,22
2026-06,70,2024-11,1
2026-06,70,2025-01,1
2026-06,70,2025-06,1
2026-06,70,2025-07,1
2026-06,70,2025-08,8
2026-06,70,2025-09,8
2026-06,70,2025-10,7
2026-06,70,2025-11,20
2026-06,70,2025-12,15
2026-06,70,2026-01,19
2026-06,70,2026-02,26
2026-06,70,2026-03,23
2026-06,80,2026-06,66
2026-06,80,2026-05,102
2026-06,80,2026-04,109
2026-06,80,2024-06,22
2026-06,80,2024-07,31
2026-06,80,2024-08,29
2026-06,80,2024-09,38
2026-06,80,2024-10,39
2026-06,80,2024-11,47
2026-06,80,2024-12,57
2026-06,80,2025-01,76
2026-06,80,2025-02,105
2026-06,80,2025-03,66
2026-06,80,2025-04,73
2026-06,80,2025-05,91
2026-06,80,2025-06,60
2026-06,80,2025-07,84
2026-06,80,2025-08,83
2026-06,80,2025-09,92
2026-06,80,2025-10,77
2026-06,80,2025-11,145
2026-06,80,2025-12,154
2026-06,80,2026-01,287
2026-06,80,2026-02,211
2026-06,80,2026-03,184
2026-06,95,2026-06,13
2026-06,95,2026-05,8
2026-06,95,2026-04,6
2026-06,95,2024-08,2
2026-06,95,2024-09,2
2026-06,95,2024-10,1
2026-06,95,2024-11,1
2026-06,95,2024-12,1
2026-06,95,2025-02,1
2026-06,95,2025-03,1
2026-06,95,2025-04,4
2026-06,95,2025-05,5
2026-06,95,2025-06,4
2026-06,95,2025-07,1
2026-06,95,2025-08,7
2026-06,95,2025-09,7
2026-06,95,2025-10,4
2026-06,95,2025-11,12
2026-06,95,2025-12,16
2026-06,95,2026-01,15
2026-06,95,2026-02,11
2026-06,95,2026-03,6
2026-06,90,2026-06,15
2026-06,90,2026-05,42
2026-06,90,2026-04,41
2026-06,90,2024-06,3
2026-06,90,2024-07,4
2026-06,90,2024-08,9
2026-06,90,2024-09,6
2026-06,90,2024-10,5
2026-06,90,2024-11,7
2026-06,90,2024-12,7
2026-06,90,2025-01,10
2026-06,90,2025-02,12
2026-06,90,2025-03,16
2026-06,90,2025-04,10
2026-06,90,2025-05,16
2026-06,90,2025-06,13
2026-06,90,2025-07,12
2026-06,90,2025-08,30
2026-06,90,2025-09,19
2026-06,90,2025-10,25
