StatusMonth,Score,SubMonth,n
2026-06,90,2025-11,49
2026-06,90,2025-12,49
2026-06,90,2026-01,69
2026-06,90,2026-02,51
2026-06,90,2026-03,38
2026-06,85,2026-06,24
2026-06,85,2026-05,79
2026-06,85,2026-04,79
2026-06,85,2024-06,8
2026-06,85,2024-07,14
2026-06,85,2024-08,16
2026-06,85,2024-09,14
2026-06,85,2024-10,19
2026-06,85,2024-11,30
2026-06,85,2024-12,21
2026-06,85,2025-01,30
2026-06,85,2025-02,39
2026-06,85,2025-03,42
2026-06,85,2025-04,28
2026-06,85,2025-05,31
2026-06,85,2025-06,47
2026-06,85,2025-07,39
2026-06,85,2025-08,48
2026-06,85,2025-09,57
2026-06,85,2025-10,64
2026-06,85,2025-11,112
2026-06,85,2025-12,118
2026-06,85,2026-01,167
2026-06,85,2026-02,130
2026-06,85,2026-03,114
2026-06,110,2026-04,2
2026-06,100,2026-06,6
2026-06,100,2026-05,10
2026-06,100,2026-04,5
2026-06,100,2024-10,2
2026-06,100,2024-11,1
2026-06,100,2025-05,2
2026-06,100,2025-08,2
2026-06,100,2025-09,3
2026-06,100,2025-10,2
2026-06,100,2025-11,5
2026-06,100,2025-12,2
2026-06,100,2026-01,7
2026-06,100,2026-02,6
2026-06,100,2026-03,1
2026-06,105,2026-05,2
2026-06,105,2026-04,3
2026-06,105,2025-08,1
2026-06,105,2025-09,1
2026-06,105,2025-12,2
2026-06,105,2026-01,2
2026-06,105,2026-02,2
2026-06,105,2026-03,1
2025-08,65,2023-10,1
2025-08,65,2024-02,1
2025-08,65,2024-07,1
2025-08,65,2024-08,4
2025-08,65,2024-09,24
2025-08,65,2024-10,29
2025-08,65,2024-11,15
2025-08,65,2024-12,26
2025-08,65,2025-01,20
2025-08,65,2025-02,23
2025-08,65,2025-03,38
2025-08,65,2025-04,18
2025-08,65,2025-05,39
2025-08,65,2025-06,15
2025-08,65,2025-07,11
2025-08,65,2025-08,14
2025-08,75,2023-09,1
2025-08,75,2024-06,1
2025-08,75,2024-08,1
2025-08,75,2024-09,11
2025-08,75,2024-10,9
2025-08,75,2024-11,15
2025-08,75,2024-12,13
2025-08,75,2025-01,8
2025-08,75,2025-02,12
2025-08,75,2025-03,12
2025-08,75,2025-04,13
2025-08,75,2025-05,22
2025-08,75,2025-06,4
2025-08,75,2025-07,16
2025-08,75,2025-08,8
2025-08,70,2024-07,1
2025-08,70,2024-08,3
2025-08,70,2024-09,12
2025-08,70,2024-10,19
2025-08,70,2024-11,32
2025-08,70,2024-12,25
2025-08,70,2025-01,16
2025-08,70,2025-02,25
2025-08,70,2025-03,21
2025-08,70,2025-04,21
2025-08,70,2025-05,21
2025-08,70,2025-06,9
2025-08,70,2025-07,35
2025-08,70,2025-08,16
2025-08,80,2023-09,1
2025-08,80,2023-12,11
2025-08,80,2024-01,24
2025-08,80,2024-02,53
2025-08,80,2024-03,31
2025-08,80,2024-04,31
2025-08,80,2024-05,11
2025-08,80,2024-06,13
2025-08,80,2024-07,13
2025-08,80,2024-08,11
2025-08,80,2024-09,24
2025-08,80,2024-10,24
2025-08,80,2024-11,54
2025-08,80,2024-12,86
2025-08,80,2025-01,100
2025-08,80,2025-02,136
2025-08,80,2025-03,90
2025-08,80,2025-04,80
2025-08,80,2025-05,80
2025-08,80,2025-06,55
2025-08,80,2025-07,33
2025-08,80,2025-08,3
2025-08,95,2023-08,1
2025-08,95,2023-09,1
2025-08,95,2023-10,3
2025-08,95,2023-11,5
2025-08,95,2023-12,6
2025-08,95,2024-01,3
2025-08,95,2024-02,4
2025-08,95,2024-03,6
2025-08,95,2024-04,2
2025-08,95,2024-05,6
2025-08,95,2024-06,5
2025-08,95,2024-07,1
2025-08,95,2024-08,5
2025-08,95,2024-09,12
2025-08,95,2024-10,3
2025-08,95,2024-11,14
2025-08,95,2024-12,14
2025-08,95,2025-01,12
2025-08,95,2025-02,23
2025-08,95,2025-03,22
2025-08,95,2025-04,21
2025-08,95,2025-05,17
2025-08,95,2025-06,17
2025-08,95,2025-07,18
2025-08,95,2025-08,10
2025-08,90,2023-08,5
2025-08,90,2023-09,14
2025-08,90,2023-10,22
2025-08,90,2023-11,9
2025-08,90,2023-12,18
2025-08,90,2024-01,13
2025-08,90,2024-02,26
2025-08,90,2024-03,18
2025-08,90,2024-04,11
2025-08,90,2024-05,24
2025-08,90,2024-06,17
2025-08,90,2024-07,14
2025-08,90,2024-08,11
2025-08,90,2024-09,31
2025-08,90,2024-10,20
2025-08,90,2024-11,47
2025-08,90,2024-12,42
2025-08,90,2025-01,54
2025-08,90,2025-02,46
2025-08,90,2025-03,45
2025-08,90,2025-04,42
2025-08,90,2025-05,28
2025-08,90,2025-06,18
2025-08,90,2025-07,14
2025-08,90,2025-08,9
2025-08,85,2023-08,1
2025-08,85,2023-09,4
2025-08,85,2023-10,3
2025-08,85,2023-11,2
2025-08,85,2023-12,7
2025-08,85,2024-01,20
2025-08,85,2024-02,20
2025-08,85,2024-03,20
2025-08,85,2024-04,35
2025-08,85,2024-05,22
2025-08,85,2024-06,9
2025-08,85,2024-07,14
2025-08,85,2024-08,20
2025-08,85,2024-09,19
2025-08,85,2024-10,16
2025-08,85,2024-11,69
2025-08,85,2024-12,71
2025-08,85,2025-01,89
2025-08,85,2025-02,137
2025-08,85,2025-03,89
2025-08,85,2025-04,85
2025-08,85,2025-05,124
2025-08,85,2025-06,72
2025-08,85,2025-07,39
2025-08,85,2025-08,19
2025-08,110,2024-09,2
2025-08,110,2025-03,3
2025-08,100,2023-09,1
2025-08,100,2024-01,1
2025-08,100,2024-02,1
2025-08,100,2024-04,1
2025-08,100,2024-05,2
2025-08,100,2024-06,2
2025-08,100,2024-07,2
2025-08,100,2024-08,2
2025-08,100,2024-09,3
2025-08,100,2024-10,3
2025-08,100,2024-11,4
2025-08,100,2024-12,6
2025-08,100,2025-01,6
2025-08,100,2025-02,6
2025-08,100,2025-03,9
2025-08,100,2025-04,4
2025-08,100,2025-05,9
2025-08,100,2025-06,3
2025-08,100,2025-07,6
2025-08,100,2025-08,5
2025-08,105,2023-12,1
2025-08,105,2024-01,1
2025-08,105,2024-04,1
2025-08,105,2024-09,1
2025-08,105,2024-11,2
2025-08,105,2024-12,1
2025-08,105,2025-02,2
2025-08,105,2025-03,1
2025-08,105,2025-07,1
2025-08,105,2025-08,1
2025-08,115,2025-04,1
2024-11,65,2023-12,1
2024-11,65,2024-05,1
2024-11,65,2024-06,11
2024-11,65,2024-07,6
2024-11,65,2024-08,8
2024-11,65,2024-09,4
2024-11,75,2022-12,15
2024-11,75,2022-11,5
2024-11,75,2023-01,21
2024-11,75,2023-02,32
2024-11,75,2023-03,21
2024-11,75,2023-04,29
2024-11,75,2023-05,28
2024-11,75,2023-06,41
2024-11,75,2023-07,41
2024-11,75,2023-08,51
2024-11,75,2023-09,36
2024-11,75,2023-10,46
2024-11,75,2023-11,46
2024-11,75,2023-12,105
2024-11,75,2024-01,189
2024-11,75,2024-02,206
2024-11,75,2024-03,183
2024-11,75,2024-04,160
2024-11,75,2024-05,175
2024-11,75,2024-06,142
2024-11,75,2024-07,181
2024-11,75,2024-08,193
2024-11,75,2024-09,267
2024-11,75,2024-10,224
2024-11,75,2024-11,51
2024-11,70,2022-12,19
2024-11,70,2022-11,6
2024-11,70,2023-01,17
2024-11,70,2023-02,26
2024-11,70,2023-03,34
2024-11,70,2023-04,15
2024-11,70,2023-05,26
2024-11,70,2023-06,17
2024-11,70,2023-12,1
2024-11,70,2024-06,2
2024-11,70,2024-07,9
2024-11,70,2024-08,7
2024-11,70,2024-09,33
2024-11,70,2024-10,39
2024-11,70,2024-11,4
2024-11,80,2022-12,14
2024-11,80,2022-11,6
2024-11,80,2023-01,14
2024-11,80,2023-02,20
2024-11,80,2023-03,19
2024-11,80,2023-04,16
2024-11,80,2023-05,12
2024-11,80,2023-06,15
2024-11,80,2023-07,9
2024-11,80,2023-08,13
2024-11,80,2023-09,16
2024-11,80,2023-10,17
2024-11,80,2023-11,16
2024-11,80,2023-12,32
2024-11,80,2024-01,60
2024-11,80,2024-02,71
2024-11,80,2024-03,60
2024-11,80,2024-04,43
2024-11,80,2024-05,37
2024-11,80,2024-06,54
2024-11,80,2024-07,59
2024-11,80,2024-08,54
2024-11,80,2024-09,179
2024-11,80,2024-10,141
2024-11,80,2024-11,24
2024-11,95,2022-12,148
2024-11,95,2022-11,17
2024-11,95,2023-01,87
2024-11,95,2023-02,207
2024-11,95,2023-03,72
2024-11,95,2023-04,45
2024-11,95,2023-05,71
2024-11,95,2023-06,46
2024-11,95,2023-07,46
2024-11,95,2023-08,55
2024-11,95,2023-09,40
2024-11,95,2023-10,59
2024-11,95,2023-11,30
2024-11,95,2023-12,67
2024-11,95,2024-01,38
2024-11,95,2024-02,35
2024-11,95,2024-03,30
2024-11,95,2024-04,27
2024-11,95,2024-05,63
2024-11,95,2024-06,39
2024-11,95,2024-07,34
2024-11,95,2024-08,63
2024-11,95,2024-09,84
2024-11,95,2024-10,64
2024-11,95,2024-11,17
2024-11,90,2022-12,161
2024-11,90,2022-11,33
2024-11,90,2023-01,126
2024-11,90,2023-02,173
2024-11,90,2023-03,126
2024-11,90,2023-04,105
2024-11,90,2023-05,118
2024-11,90,2023-06,70
2024-11,90,2023-07,93
2024-11,90,2023-08,108
2024-11,90,2023-09,99
2024-11,90,2023-10,91
2024-11,90,2023-11,89
2024-11,90,2023-12,71
2024-11,90,2024-01,68
2024-11,90,2024-02,70
2024-11,90,2024-03,63
2024-11,90,2024-04,67
2024-11,90,2024-05,74
2024-11,90,2024-06,81
2024-11,90,2024-07,89
2024-11,90,2024-08,96
2024-11,90,2024-09,141
2024-11,90,2024-10,105
2024-11,90,2024-11,44
2024-11,85,2022-12,101
2024-11,85,2022-11,40
2024-11,85,2023-01,3
2024-11,85,2023-03,2
2024-11,85,2023-04,2
2024-11,85,2023-05,2
2024-11,85,2023-06,2
2024-11,85,2023-08,4
2024-11,85,2023-09,4
2024-11,85,2023-10,1
2024-11,85,2023-11,4
2024-11,85,2023-12,9
2024-11,85,2024-01,14
2024-11,85,2024-02,11
2024-11,85,2024-03,8
2024-11,85,2024-04,6
2024-11,85,2024-05,10
2024-11,85,2024-06,16
2024-11,85,2024-07,24
2024-11,85,2024-08,22
2024-11,85,2024-09,72
2024-11,85,2024-10,58
2024-11,85,2024-11,17
2024-11,110,2024-07,1
2024-11,110,2024-08,1
2024-11,110,2024-09,1
2024-11,100,2022-12,21
2024-11,100,2023-01,8
2024-11,100,2023-02,6
2024-11,100,2023-03,11
2024-11,100,2023-04,6
2024-11,100,2023-05,5
2024-11,100,2023-06,8
2024-11,100,2023-07,4
2024-11,100,2023-08,6
2024-11,100,2023-09,6
2024-11,100,2023-10,4
2024-11,100,2023-11,5
2024-11,100,2023-12,6
2024-11,100,2024-01,3
2024-11,100,2024-02,5
2024-11,100,2024-03,2
2024-11,100,2024-04,5
2024-11,100,2024-05,2
2024-11,100,2024-06,6
2024-11,100,2024-07,4
2024-11,100,2024-08,7
2024-11,100,2024-09,22
2024-11,100,2024-10,9
2024-11,100,2024-11,1
2024-11,105,2024-03,1
2024-11,105,2024-04,1
2024-11,105,2024-08,5
2024-11,105,2024-09,1
2024-11,105,2024-10,4
2024-11,115,2024-08,1
2025-11,65,2024-02,2
2025-11,65,2024-03,1
2025-11,65,2024-08,1
2025-11,65,2024-09,12
2025-11,65,2024-10,14
2025-11,65,2024-11,7
2025-11,65,2024-12,10
2025-11,65,2025-01,7
2025-11,65,2025-02,13
2025-11,65,2025-03,13
2025-11,65,2025-04,6
2025-11,65,2025-05,17
2025-11,65,2025-06,10
2025-11,65,2025-07,13
2025-11,65,2025-08,24
2025-11,65,2025-09,36
2025-11,65,2025-10,44
2025-11,65,2025-11,7
2025-11,75,2023-11,2
2025-11,75,2023-12,20
2025-11,75,2024-01,51
2025-11,75,2024-02,95
2025-11,75,2024-03,64
2025-11,75,2024-04,52
2025-11,75,2024-05,40
2025-11,75,2024-06,20
2025-11,75,2024-07,35
2025-11,75,2024-08,37
2025-11,75,2024-09,37
2025-11,75,2024-10,20
2025-11,75,2024-11,66
2025-11,75,2024-12,66
2025-11,75,2025-01,93
2025-11,75,2025-02,147
2025-11,75,2025-03,73
2025-11,75,2025-04,28
2025-11,75,2025-05,6
2025-11,75,2025-06,4
2025-11,75,2025-07,5
2025-11,75,2025-08,8
2025-11,75,2025-09,9
2025-11,75,2025-10,22
2025-11,75,2025-11,15
2025-11,70,2024-07,1
2025-11,70,2024-08,3
2025-11,70,2024-09,7
2025-11,70,2024-10,4
2025-11,70,2024-11,16
2025-11,70,2024-12,9
2025-11,70,2025-01,8
2025-11,70,2025-02,13
2025-11,70,2025-03,5
2025-11,70,2025-04,15
2025-11,70,2025-05,12
2025-11,70,2025-06,4
2025-11,70,2025-07,11
2025-11,70,2025-08,26
2025-11,70,2025-09,28
2025-11,70,2025-10,27
2025-11,70,2025-11,14
2025-11,80,2023-12,13
2025-11,80,2024-01,20
2025-11,80,2024-02,39
2025-11,80,2024-03,26
2025-11,80,2024-04,16
2025-11,80,2024-05,15
2025-11,80,2024-06,13
2025-11,80,2024-07,16
2025-11,80,2024-08,9
2025-11,80,2024-09,20
2025-11,80,2024-10,16
2025-11,80,2024-11,61
2025-11,80,2024-12,56
2025-11,80,2025-01,73
2025-11,80,2025-02,108
2025-11,80,2025-03,83
2025-11,80,2025-04,73
2025-11,80,2025-05,60
2025-11,80,2025-06,50
2025-11,80,2025-07,66
2025-11,80,2025-08,95
2025-11,80,2025-09,119
2025-11,80,2025-10,90
2025-11,80,2025-11,55
2025-11,95,2023-12,1
2025-11,95,2024-01,3
2025-11,95,2024-02,3
2025-11,95,2024-03,3
2025-11,95,2024-04,2
2025-11,95,2024-05,3
2025-11,95,2024-06,1
2025-11,95,2024-07,2
2025-11,95,2024-08,4
2025-11,95,2024-09,2
2025-11,95,2024-10,1
2025-11,95,2024-11,4
2025-11,95,2024-12,6
2025-11,95,2025-01,8
2025-11,95,2025-02,7
2025-11,95,2025-03,9
2025-11,95,2025-04,12
2025-11,95,2025-05,10
2025-11,95,2025-06,12
2025-11,95,2025-07,6
2025-11,95,2025-08,15
2025-11,95,2025-09,12
2025-11,95,2025-10,17
2025-11,95,2025-11,15
2025-11,90,2023-11,4
2025-11,90,2023-12,16
2025-11,90,2024-01,12
2025-11,90,2024-02,18
2025-11,90,2024-03,9
2025-11,90,2024-04,15
2025-11,90,2024-05,16
2025-11,90,2024-06,13
2025-11,90,2024-07,10
2025-11,90,2024-08,25
2025-11,90,2024-09,29
2025-11,90,2024-10,13
2025-11,90,2024-11,44
2025-11,90,2024-12,35
2025-11,90,2025-01,39
2025-11,90,2025-02,28
2025-11,90,2025-03,42
2025-11,90,2025-04,34
2025-11,90,2025-05,63
2025-11,90,2025-06,44
2025-11,90,2025-07,43
2025-11,90,2025-08,60
2025-11,90,2025-09,56
2025-11,90,2025-10,64
2025-11,90,2025-11,57
2025-11,85,2023-11,24
2025-11,85,2023-12,38
2025-11,85,2024-01,34
2025-11,85,2024-02,39
2025-11,85,2024-03,34
2025-11,85,2024-04,47
2025-11,85,2024-05,37
2025-11,85,2024-06,30
2025-11,85,2024-07,45
2025-11,85,2024-08,49
2025-11,85,2024-09,60
2025-11,85,2024-10,39
2025-11,85,2024-11,83
2025-11,85,2024-12,69
2025-11,85,2025-01,89
2025-11,85,2025-02,102
2025-11,85,2025-03,109
2025-11,85,2025-04,93
2025-11,85,2025-05,112
2025-11,85,2025-06,94
2025-11,85,2025-07,93
2025-11,85,2025-08,126
2025-11,85,2025-09,49
2025-11,85,2025-10,44
2025-11,85,2025-11,34
2025-11,110,2025-03,2
2025-11,110,2025-09,1
2025-11,100,2024-09,1
2025-11,100,2024-12,2
2025-11,100,2025-02,2
2025-11,100,2025-03,5
2025-11,100,2025-04,1
2025-11,100,2025-05,1
2025-11,100,2025-07,3
2025-11,100,2025-08,3
2025-11,100,2025-09,2
2025-11,100,2025-10,6
2025-11,100,2025-11,2
2025-11,105,2024-01,1
2025-11,105,2024-11,1
2025-11,105,2024-12,1
2025-11,105,2025-02,1
2025-11,105,2025-09,3
2025-11,105,2025-10,1
2025-11,115,2025-04,1
