StatusMonth,Score,n
2025-01,65,82
2025-01,75,93
2025-01,70,108
2025-01,80,98
2025-01,95,11
2025-01,90,44
2025-01,85,108
2025-01,55,3
2025-01,60,24
2025-01,50,3
2025-01,100,2
2024-09,65,745
2024-09,75,1016
2024-09,70,511
2024-09,80,2819
2024-09,95,681
2024-09,90,726
2024-09,85,1015
2024-09,55,10
2024-09,60,22
2024-09,50,1
2024-09,110,12
2024-09,100,516
2024-09,105,91
2024-09,120,16
2024-09,115,14
2024-09,125,3
2024-09,130,1
2026-06,65,629
2026-06,75,671
2026-06,70,506
2026-06,80,4520
2026-06,95,232
2026-06,90,921
2026-06,85,2497
2026-06,55,10
2026-06,60,54
2026-06,50,5
2026-06,110,6
2026-06,100,78
2026-06,105,19
2026-06,115,3
2026-06,125,1
2026-07,65,9
2026-07,75,4
2026-07,70,5
2026-07,80,2
2026-07,55,2
2026-07,60,5
2025-08,65,614
2025-08,75,317
2025-08,70,581
2025-08,80,1892
2025-08,95,382
2025-08,90,1020
2025-08,85,1794
2025-08,110,6
2025-08,100,115
2025-08,105,26
2025-08,120,1
2025-08,115,1
2026-01,65,98
2026-01,75,123
2026-01,70,110
2026-01,80,112
2026-01,95,15
2026-01,90,35
2026-01,85,56
2026-01,55,8
2026-01,60,38
2026-01,50,2
2026-01,100,3
2026-01,105,1
2025-05,65,135
2025-05,75,155
2025-05,70,135
2025-05,80,114
2025-05,95,17
2025-05,90,48
2025-05,85,105
2025-05,55,16
2025-05,60,38
2025-05,50,3
2025-05,100,2
2025-05,105,2
2025-09,65,20
2025-09,75,24
2025-09,70,19
2025-09,80,10
2025-09,95,5
2025-09,90,10
2025-09,85,6
2025-09,55,1
2025-09,60,16
2025-09,100,1
2024-12,65,79
2024-12,75,95
2024-12,70,116
2024-12,80,80
2024-12,95,5
2024-12,90,47
2024-12,85,112
2024-12,55,10
2024-12,60,20
2024-12,50,2
2024-12,100,1
2025-02,65,101
2025-02,75,73
2025-02,70,115
2025-02,80,59
2025-02,95,4
2025-02,90,18
2025-02,85,29
2025-02,55,13
2025-02,60,29
2025-02,50,5
2025-02,100,1
2024-11,65,235
2024-11,75,4848
2024-11,70,585
2024-11,80,2003
2024-11,95,2344
2024-11,90,3956
2024-11,85,879
2024-11,55,11
2024-11,60,38
2024-11,50,7
2024-11,110,8
2024-11,100,248
2024-11,105,19
2024-11,115,10
2024-10,65,76
2024-10,75,136
2024-10,70,107
2024-10,80,61
2024-10,95,13
2024-10,90,37
2024-10,85,81
2024-10,55,6
2024-10,60,29
2024-10,50,3
2025-03,65,97
2025-03,75,115
2025-03,70,132
2025-03,80,70
2025-03,95,5
2025-03,90,16
2025-03,85,39
2025-03,55,7
2025-03,60,34
2025-03,50,4
2026-08,65,11
2026-08,75,15
2026-08,70,13
2026-08,80,15
2026-08,95,4
2026-08,90,3
2026-08,85,7
2026-08,55,1
2026-08,60,3
2025-04,65,83
2025-04,75,85
2025-04,70,95
2025-04,80,76
2025-04,95,7
2025-04,90,35
2025-04,85,74
2025-04,55,8
2025-04,60,22
2025-04,50,2
2025-12,65,74
2025-12,75,137
2025-12,70,134
2025-12,80,60
2025-12,95,12
2025-12,90,8
2025-12,85,26
2025-12,55,3
2025-12,60,38
2025-12,100,4
2025-11,65,656
2025-11,75,2096
2025-11,70,525
2025-11,80,2421
2025-11,95,273
2025-11,90,1358
2025-11,85,2764
2025-11,55,8
2025-11,60,36
2025-11,50,6
2025-11,110,3
2025-11,100,50
2025-11,105,8
2025-11,120,1
2025-11,115,1
2026-02,65,118
2026-02,75,115
2026-02,70,141
2026-02,80,103
2026-02,95,24
2026-02,90,48
2026-02,85,70
2026-02,55,14
2026-02,60,60
2026-02,50,14
2026-02,100,3
2025-06,65,100
2025-06,75,97
2025-06,70,102
2025-06,80,72
2025-06,95,16
2025-06,90,40
2025-06,85,49
2025-06,55,10
2025-06,60,24
2025-06,50,7
2025-06,100,2
2025-10,65,18
2025-10,75,26
2025-10,70,23
2025-10,80,19
2025-10,95,17
2025-10,90,32
2025-10,85,35
2025-10,55,2
2025-10,60,4
2025-10,50,2
2025-10,100,2
2025-10,105,1
2026-05,65,97
2026-05,75,159
2026-05,70,129
2026-05,80,103
2026-05,95,25
2026-05,90,59
2026-05,85,112
2026-05,55,19
2026-05,60,67
2026-05,50,8
2026-05,100,6
2026-05,105,1
2026-04,65,114
2026-04,75,136
2026-04,70,101
2026-04,80,140
2026-04,95,30
2026-04,90,78
2026-04,85,125
2026-04,55,14
2026-04,60,51
2026-04,50,3
2026-04,110,1
2026-04,100,13
2026-03,65,119
2026-03,75,141
2026-03,70,123
2026-03,80,114
2026-03,95,39
2026-03,90,76
2026-03,85,106
2026-03,55,24
2026-03,60,62
2026-03,50,13
2026-03,100,16
2026-03,105,2
