AsAt,OccGroup,Score,n,maxsub,minsub
08/2026,2332 Civil Engineering Professionals,100,40,46224.02875193287,45574.685022025464
08/2026,2332 Civil Engineering Professionals,105,1,45768.50243807871,45768.50243807871
08/2026,2332 Civil Engineering Professionals,40,1,45966.81000358796,45966.81000358796
08/2026,2332 Civil Engineering Professionals,45,10,46233.935964895834,45561.79087604167
08/2026,2332 Civil Engineering Professionals,30,1,46023.79353796296,46023.79353796296
08/2026,2411 Early Childhood (Pre-primary School) Teachers,65,885,46265.744752893515,45540.55316207176
08/2026,2411 Early Childhood (Pre-primary School) Teachers,75,1222,46265.69482762732,45536.86832152778
08/2026,2411 Early Childhood (Pre-primary School) Teachers,70,1376,46265.727197025466,45537.421324421295
08/2026,2411 Early Childhood (Pre-primary School) Teachers,80,1044,46265.869870752314,45538.67899684027
08/2026,2411 Early Childhood (Pre-primary School) Teachers,95,4,46025.450912500004,45616.76508252315
08/2026,2411 Early Childhood (Pre-primary School) Teachers,90,241,46265.78493873843,45537.76328190972
08/2026,2411 Early Childhood (Pre-primary School) Teachers,85,1226,46265.94729001157,45535.65218510417
08/2026,2411 Early Childhood (Pre-primary School) Teachers,55,70,46249.46062369213,45538.00276403935
08/2026,2411 Early Childhood (Pre-primary School) Teachers,60,268,46265.47689082176,45553.71928935185
08/2026,2411 Early Childhood (Pre-primary School) Teachers,50,25,46264.82516820602,45720.443121296295
08/2026,2411 Early Childhood (Pre-primary School) Teachers,40,2,46147.729611689814,45941.90580482639
08/2026,2411 Early Childhood (Pre-primary School) Teachers,45,5,46255.57178978009,45699.637062615744
08/2026,2411 Early Childhood (Pre-primary School) Teachers,30,1,46197.449707673615,46197.449707673615
08/2026,2411 Early Childhood (Pre-primary School) Teachers,125,1,46171.94125744213,46171.94125744213
08/2026,2611 ICT Business and Systems Analysts,65,687,46262.84282496528,45537.71208287037
08/2026,2611 ICT Business and Systems Analysts,75,1152,46263.849612465274,45537.684704942134
08/2026,2611 ICT Business and Systems Analysts,70,853,46265.92756585648,45536.43650763889
08/2026,2611 ICT Business and Systems Analysts,80,1185,46265.94905292824,45538.62480694444
08/2026,2611 ICT Business and Systems Analysts,95,667,46265.74259725695,45537.642822685186
08/2026,2611 ICT Business and Systems Analysts,90,1166,46265.88767491898,45536.90956056713
08/2026,2611 ICT Business and Systems Analysts,85,1027,46264.321410069446,45540.479566863425
08/2026,2611 ICT Business and Systems Analysts,55,70,46253.608144247686,45560.58631863426
08/2026,2611 ICT Business and Systems Analysts,60,152,46263.64985239583,45537.556244363426
08/2026,2611 ICT Business and Systems Analysts,50,21,46220.70947484954,45588.47508159722
08/2026,2611 ICT Business and Systems Analysts,110,2,45969.06711350694,45816.884143981486
08/2026,2611 ICT Business and Systems Analysts,100,271,46251.73954996528,45540.64629320602
08/2026,2611 ICT Business and Systems Analysts,105,16,46217.9475784375,45594.7884193287
08/2026,2611 ICT Business and Systems Analysts,40,1,46087.10635609954,46087.10635609954
08/2026,2611 ICT Business and Systems Analysts,45,3,46238.77946527778,45774.478677280094
08/2026,2211 Accountants,65,596,46263.13935107639,45537.6392772338
08/2026,2211 Accountants,75,855,46261.49542519676,45535.46230829861
08/2026,2211 Accountants,70,895,46263.54370949074,45537.574836886575
08/2026,2211 Accountants,80,712,46265.83681403935,45536.64119401621
08/2026,2211 Accountants,95,297,46264.34183009259,45537.94706936343
08/2026,2211 Accountants,90,501,46265.95993024306,45537.70224517361
08/2026,2211 Accountants,85,699,46259.61172511574,45537.587432175926
08/2026,2211 Accountants,55,48,46253.866347766205,45538.7126309838
08/2026,2211 Accountants,60,130,46262.13593984954,45541.76535046296
08/2026,2211 Accountants,50,9,46190.45739571759,45539.9245959838
08/2026,2211 Accountants,110,1,46101.24581180555,46101.24581180555
08/2026,2211 Accountants,100,111,46252.45869197917,45540.59134788194
08/2026,2211 Accountants,105,4,46254.29311875,45557.917431828704
08/2026,2211 Accountants,45,7,46023.80487291666,45546.19469340278
08/2026,2211 Accountants,35,1,45614.67377908565,45614.67377908565
08/2026,2344 Geologists Geophysicists and Hydrogeologists,65,6,45924.794443900464,45614.51607392361
08/2026,2344 Geologists Geophysicists and Hydrogeologists,75,4,46114.91461273148,45753.955262881944
08/2026,2344 Geologists Geophysicists and Hydrogeologists,70,6,46217.70269814815,45809.659272997684
08/2026,2344 Geologists Geophysicists and Hydrogeologists,80,5,46200.118908599536,45560.69191565972
08/2026,2344 Geologists Geophysicists and Hydrogeologists,90,3,46218.94230844907,46174.84843383102
08/2026,2344 Geologists Geophysicists and Hydrogeologists,85,1,46261.208944328704,46261.208944328704
08/2026,2344 Geologists Geophysicists and Hydrogeologists,55,2,46242.88137361111,45749.47464594907
08/2026,2344 Geologists Geophysicists and Hydrogeologists,60,4,46066.68936099537,45544.07039432871
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",65,184,46255.99636443287,45540.68775
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",75,260,46259.70499482639,45536.16024244213
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",70,225,46264.60197025463,45540.610703784725
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",80,258,46258.75145243056,45540.72468649306
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",95,130,46260.87079085648,45540.623120833334
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",90,232,46265.63748387732,45537.58598741898
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",85,223,46262.72045763889,45538.676779166664
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",55,26,46252.58890844908,45565.506375694444
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",60,43,46247.86303232639,45573.6883803588
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",50,5,45973.632375,45624.55836851852
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",100,44,46224.92182739583,45565.74873880787
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",105,1,45734.53776064815,45734.53776064815
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",65,300,46263.81838773148,45537.53676643519
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",75,374,46252.66813457176,45535.526824155095
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",70,394,46261.63714348379,45535.810159953704
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",80,381,46263.77353792824,45536.97662581019
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",95,58,46243.53895096065,45539.90594938657
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",90,230,46261.050549340274,45544.73085436343
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",85,389,46265.59984765046,45537.95691084491
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",55,24,46262.40864267361,45538.65042488426
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",60,67,46177.77091103009,45541.453664699075
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",50,2,46186.58819730324,45938.648917592596
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",100,13,46197.72313179398,45540.60145107639
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",45,1,45574.86311643518,45574.86311643518
08/2026,2345 Life Scientists,65,109,46260.44984980324,45541.140804201386
08/2026,2345 Life Scientists,75,128,46262.47826423611,45536.89258321759
08/2026,2345 Life Scientists,70,97,46264.10516929398,45544.023300960645
08/2026,2345 Life Scientists,80,86,46253.8043105324,45548.59370204861
08/2026,2345 Life Scientists,95,30,46262.48125408565,45797.66450721065
08/2026,2345 Life Scientists,90,82,46260.807150347224,45544.53808556713
08/2026,2345 Life Scientists,85,93,46259.40895644676,45540.735022106484
08/2026,2345 Life Scientists,55,17,46244.68404568287,45535.647138078704
08/2026,2345 Life Scientists,60,35,46265.52375940972,45605.90761469907
08/2026,2345 Life Scientists,50,6,46232.731803622686,45606.06451087963
08/2026,2345 Life Scientists,100,8,46265.81377091435,46052.537752083335
08/2026,2345 Life Scientists,105,2,46208.66189733797,46207.61354456018
08/2026,2345 Life Scientists,45,1,45681.89098113426,45681.89098113426
08/2026,"2335 Industrial, Mechanical and Production Engineers",65,688,46265.937966666665,45537.85662572917
08/2026,"2335 Industrial, Mechanical and Production Engineers",75,780,46265.76647604167,45537.20523695602
08/2026,"2335 Industrial, Mechanical and Production Engineers",70,681,46265.58808966435,45536.88496362269
08/2026,"2335 Industrial, Mechanical and Production Engineers",80,622,46263.64035462963,45535.64432989583
08/2026,"2335 Industrial, Mechanical and Production Engineers",95,135,46247.95755972222,45539.676133333334
08/2026,"2335 Industrial, Mechanical and Production Engineers",90,409,46264.50088885416,45536.6945778125
08/2026,"2335 Industrial, Mechanical and Production Engineers",85,623,46264.93093275463,45537.76961412037
08/2026,"2335 Industrial, Mechanical and Production Engineers",55,101,46253.817038657406,45538.690348993056
08/2026,"2335 Industrial, Mechanical and Production Engineers",60,255,46265.545513425925,45540.442833483794
08/2026,"2335 Industrial, Mechanical and Production Engineers",50,33,46261.780606712964,45544.725686226855
08/2026,"2335 Industrial, Mechanical and Production Engineers",100,31,46239.788365625,45538.82686246528
08/2026,"2335 Industrial, Mechanical and Production Engineers",105,2,45727.532409988424,45546.7210565162
08/2026,"2335 Industrial, Mechanical and Production Engineers",40,4,45777.39887048611,45560.7808008912
08/2026,"2335 Industrial, Mechanical and Production Engineers",45,4,46022.63324174769,45799.90601825232
08/2026,"2335 Industrial, Mechanical and Production Engineers",35,1,45650.08781157408,45650.08781157408
08/2026,2339 Other Engineering Professionals,65,695,46265.768655127315,45536.98384876158
08/2026,2339 Other Engineering Professionals,75,730,46265.90675887732,45537.521621099535
08/2026,2339 Other Engineering Professionals,70,760,46264.88448125,45535.86978815972
08/2026,2339 Other Engineering Professionals,80,672,46265.84034012732,45536.646326469905
08/2026,2339 Other Engineering Professionals,95,154,46264.60933788194,45536.98344667824
08/2026,2339 Other Engineering Professionals,90,425,46260.721970370374,45536.980848645835
08/2026,2339 Other Engineering Professionals,85,678,46264.45558958333,45536.92750983796
08/2026,2339 Other Engineering Professionals,55,93,46262.695925,45536.68515528935
08/2026,2339 Other Engineering Professionals,60,195,46260.955693599535,45537.038959108795
08/2026,2339 Other Engineering Professionals,50,27,46177.00465844908,45545.48310813657
08/2026,2339 Other Engineering Professionals,100,53,46256.7874378125,45536.97833935185
08/2026,2339 Other Engineering Professionals,105,9,46111.51361015046,45606.52658113426
08/2026,2339 Other Engineering Professionals,40,1,45774.72333059028,45774.72333059028
08/2026,2339 Other Engineering Professionals,45,12,46247.75356917824,45546.71359811343
08/2026,2339 Other Engineering Professionals,30,1,46004.84164690972,46004.84164690972
08/2026,2341 Agricultural and Forestry Scientists,65,133,46263.68353920139,45541.75277303241
08/2026,2341 Agricultural and Forestry Scientists,75,102,46265.877412037036,45543.982599537034
08/2026,2341 Agricultural and Forestry Scientists,70,109,46262.81056820602,45537.28096929398
08/2026,2341 Agricultural and Forestry Scientists,80,64,46264.96486577546,45643.74475138889
08/2026,2341 Agricultural and Forestry Scientists,95,10,46265.98858984954,46005.870924965275
08/2026,2341 Agricultural and Forestry Scientists,90,14,46260.65230659722,45830.84975026621
08/2026,2341 Agricultural and Forestry Scientists,85,21,46234.73020239583,45540.64737943287
08/2026,2341 Agricultural and Forestry Scientists,55,22,46259.53864950231,45540.96120347222
08/2026,2341 Agricultural and Forestry Scientists,60,27,46249.99614513889,45542.68947341435
08/2026,2341 Agricultural and Forestry Scientists,50,6,46229.61553055556,45715.473654016205
08/2026,2341 Agricultural and Forestry Scientists,100,2,46237.518888425926,45611.278867280096
08/2026,2341 Agricultural and Forestry Scientists,45,3,46205.65544120371,45787.89513576389
08/2026,2544 Registered Nurses,65,1567,46265.780314814816,45537.595407291665
08/2026,2544 Registered Nurses,75,1730,46265.727871875,45537.52841373843
08/2026,2544 Registered Nurses,70,1748,46265.76735462963,45538.6288216088
08/2026,2544 Registered Nurses,80,597,46265.71927931713,45548.622838738425
08/2026,2544 Registered Nurses,95,2,46251.58316354167,46242.86090072917
08/2026,2544 Registered Nurses,90,30,46248.53020821759,45636.48079170139
08/2026,2544 Registered Nurses,85,162,46265.82252346065,45545.65819123843
08/2026,2544 Registered Nurses,55,171,46262.800893900465,45537.7515997338
08/2026,2544 Registered Nurses,60,332,46265.68973402778,45537.525522881944
08/2026,2544 Registered Nurses,50,51,46259.55297866898,45544.78610211806
08/2026,2544 Registered Nurses,110,1,46127.77865439815,46127.77865439815
08/2026,2544 Registered Nurses,100,2,46177.00904016204,45936.58734684028
08/2026,2544 Registered Nurses,105,1,46173.5415128125,46173.5415128125
08/2026,2544 Registered Nurses,40,3,46175.65039247685,45971.76950451389
08/2026,2544 Registered Nurses,45,14,46245.65352179398,45591.50560065972
08/2026,2544 Registered Nurses,120,1,46248.930710960645,46248.930710960645
08/2026,3513 Chefs,65,778,46263.83767418982,45538.79378688657
08/2026,3513 Chefs,75,696,46265.719482754634,45535.52533414352
08/2026,3513 Chefs,70,868,46265.42107306713,45537.69647924769
08/2026,3513 Chefs,80,468,46265.54349563657,45535.7762028125
08/2026,3513 Chefs,95,44,46256.94902908565,45555.697260960646
08/2026,3513 Chefs,90,136,46261.824104942134,45540.5700128125
08/2026,3513 Chefs,85,211,46265.58227604166,45537.57784375
08/2026,3513 Chefs,55,72,46260.6253528588,45540.41588325232
08/2026,3513 Chefs,60,194,46261.53303792824,45540.44357040509
08/2026,3513 Chefs,50,31,46239.59379818287,45552.83194826389
08/2026,3513 Chefs,100,3,45902.65436003472,45609.80225983796
08/2026,3513 Chefs,105,3,45706.760803240744,45540.96098070602
08/2026,3513 Chefs,40,1,45924.01809907408,45924.01809907408
08/2026,3513 Chefs,45,6,46258.54641026621,45721.458614780095
08/2026,2334 Electronics Engineers,65,223,46265.89148900463,45539.5260193287
08/2026,2334 Electronics Engineers,75,214,46258.854666747684,45536.81737592592
08/2026,2334 Electronics Engineers,70,214,46265.79332237269,45538.14254741898
08/2026,2334 Electronics Engineers,80,187,46259.85123556713,45540.59217581018
08/2026,2334 Electronics Engineers,95,36,46244.65745540509,45543.78296331019
08/2026,2334 Electronics Engineers,90,90,46257.89889085648,45540.74291153935
08/2026,2334 Electronics Engineers,85,172,46261.78841006944,45538.917374108794
08/2026,2334 Electronics Engineers,55,29,46205.62775385417,45548.182129085646
08/2026,2334 Electronics Engineers,60,79,46241.72618182871,45538.70817508102
08/2026,2334 Electronics Engineers,50,13,46253.84760177083,45559.684389849535
08/2026,2334 Electronics Engineers,100,2,46234.81314297454,45894.832375659724
08/2026,2334 Electronics Engineers,40,3,45615.868754745374,45553.65431871528
08/2026,2334 Electronics Engineers,45,2,45847.726243206016,45588.487697337965
08/2026,2334 Electronics Engineers,25,1,45967.730278090276,45967.730278090276
08/2026,3232 Metal Fitters and Machinists,65,33,46258.911120833334,45558.84248028935
08/2026,3232 Metal Fitters and Machinists,75,16,46218.19605327546,45603.43214938657
08/2026,3232 Metal Fitters and Machinists,70,29,46246.83307199074,45552.71256724537
08/2026,3232 Metal Fitters and Machinists,80,4,46244.77466570602,45586.774872141206
08/2026,3232 Metal Fitters and Machinists,85,3,46256.76472299769,45918.5292875
08/2026,3232 Metal Fitters and Machinists,55,6,46216.88405775463,45570.58091423611
08/2026,3232 Metal Fitters and Machinists,60,16,46258.80279209491,45552.60175119213
08/2026,3232 Metal Fitters and Machinists,50,3,45930.6869996875,45548.9662494213
08/2026,3232 Metal Fitters and Machinists,40,2,46070.7915627662,45873.66949212963
08/2026,3232 Metal Fitters and Machinists,45,2,46191.80355324074,45645.13128263889
08/2026,3232 Metal Fitters and Machinists,35,1,45904.36619170139,45904.36619170139
08/2026,2631 Computer Network Professionals,65,241,46261.89429105324,45540.45336547454
08/2026,2631 Computer Network Professionals,75,388,46259.72854293982,45535.613987268516
08/2026,2631 Computer Network Professionals,70,252,46264.623796064814,45535.60426184028
08/2026,2631 Computer Network Professionals,80,295,46258.34970983796,45536.4809474537
08/2026,2631 Computer Network Professionals,95,138,46261.6817571412,45540.37797939815
08/2026,2631 Computer Network Professionals,90,282,46262.703324270835,45537.53114741898
08/2026,2631 Computer Network Professionals,85,260,46258.66427800926,45538.570942164355
08/2026,2631 Computer Network Professionals,55,31,46252.553658680554,45572.747315162036
08/2026,2631 Computer Network Professionals,60,61,46253.95462739583,45546.57172615741
08/2026,2631 Computer Network Professionals,50,11,46251.87197167824,45561.72595980324
08/2026,2631 Computer Network Professionals,100,76,46262.5287837963,45543.47333892361
08/2026,2631 Computer Network Professionals,105,4,45931.46099302083,45630.64641944444
08/2026,2631 Computer Network Professionals,40,1,45552.13451230324,45552.13451230324
08/2026,2631 Computer Network Professionals,45,1,45785.72973391204,45785.72973391204
08/2026,2631 Computer Network Professionals,30,1,45946.531965625,45946.531965625
08/2026,"2342 Chemists, and Food and Wine Scientists",65,134,46257.74313283565,45536.99804861111
08/2026,"2342 Chemists, and Food and Wine Scientists",75,163,46263.636224305556,45538.918116203706
08/2026,"2342 Chemists, and Food and Wine Scientists",70,108,46260.97142403935,45540.870886226854
08/2026,"2342 Chemists, and Food and Wine Scientists",80,118,46258.754959224534,45557.58547766204
08/2026,"2342 Chemists, and Food and Wine Scientists",95,12,46244.37431443287,46030.23273981482
08/2026,"2342 Chemists, and Food and Wine Scientists",90,32,46250.87721508102,45550.79964128472
08/2026,"2342 Chemists, and Food and Wine Scientists",85,81,46262.76574699074,45540.471994444444
08/2026,"2342 Chemists, and Food and Wine Scientists",55,18,46194.69331863426,45585.93845046296
08/2026,"2342 Chemists, and Food and Wine Scientists",60,29,46248.99843726852,45574.874010416665
08/2026,"2342 Chemists, and Food and Wine Scientists",50,7,46207.813364664355,45638.74913082176
08/2026,"2342 Chemists, and Food and Wine Scientists",100,1,45986.72086554398,45986.72086554398
08/2026,"2342 Chemists, and Food and Wine Scientists",45,1,46124.76088148148,46124.76088148148
08/2026,2713 Solicitors,65,55,46265.2866033912,45542.50981940972
08/2026,2713 Solicitors,75,80,46265.91320350695,45536.91493429398
08/2026,2713 Solicitors,70,60,46253.92295856481,45537.658654432875
08/2026,2713 Solicitors,80,71,46258.70848900463,45571.548034837964
08/2026,2713 Solicitors,95,3,46265.8795434375,46002.98175767361
08/2026,2713 Solicitors,90,13,46248.74530258102,45846.50975478009
08/2026,2713 Solicitors,85,42,46258.87030983796,45616.52529791667
08/2026,2713 Solicitors,55,6,46238.93873857639,45672.68475216435
08/2026,2713 Solicitors,60,16,46264.74780034722,45574.85400798611
08/2026,2713 Solicitors,50,1,45570.23593244213,45570.23593244213
08/2026,2713 Solicitors,45,1,45974.79804444444,45974.79804444444
08/2026,2331 Chemical and Materials Engineers,65,110,46265.88816096065,45540.57876952546
08/2026,2331 Chemical and Materials Engineers,75,165,46261.90517291667,45540.46416658565
08/2026,2331 Chemical and Materials Engineers,70,140,46255.63818746528,45536.89226061343
08/2026,2331 Chemical and Materials Engineers,80,154,46258.75849074074,45544.81097121528
08/2026,2331 Chemical and Materials Engineers,95,18,46235.77696681713,45777.646760497686
08/2026,2331 Chemical and Materials Engineers,90,59,46263.92719621528,45545.31776203704
08/2026,2331 Chemical and Materials Engineers,85,99,46264.47902881944,45537.66011643519
08/2026,2331 Chemical and Materials Engineers,55,17,46230.69172870371,45540.84981947917
08/2026,2331 Chemical and Materials Engineers,60,37,46251.92691180555,45569.99279684028
08/2026,2331 Chemical and Materials Engineers,50,6,46260.893906944446,45814.015420254625
08/2026,2331 Chemical and Materials Engineers,100,4,46201.40353460648,46008.863471840275
08/2026,2331 Chemical and Materials Engineers,40,1,45892.695323148146,45892.695323148146
08/2026,2331 Chemical and Materials Engineers,45,1,46055.80352615741,46055.80352615741
08/2026,3123 Electrical Engineering Draftspersons and Technicians,65,47,46265.77828113426,45537.044982175925
08/2026,3123 Electrical Engineering Draftspersons and Technicians,75,48,46254.60802878472,45538.70062878472
08/2026,3123 Electrical Engineering Draftspersons and Technicians,70,52,46260.9713125,45559.70733020833
08/2026,3123 Electrical Engineering Draftspersons and Technicians,80,16,46255.64616068287,45555.902133993055
08/2026,3123 Electrical Engineering Draftspersons and Technicians,90,23,46076.85593333333,45993.54037739583
08/2026,3123 Electrical Engineering Draftspersons and Technicians,85,29,46255.57674771991,45543.75982986111
08/2026,3123 Electrical Engineering Draftspersons and Technicians,55,8,46264.437918668984,45559.67003429398
08/2026,3123 Electrical Engineering Draftspersons and Technicians,60,19,46190.62995616898,45560.55260451389
08/2026,3123 Electrical Engineering Draftspersons and Technicians,50,1,46174.91571670139,46174.91571670139
08/2026,3123 Electrical Engineering Draftspersons and Technicians,40,1,45974.842356712965,45974.842356712965
08/2026,2333 Electrical Engineers,65,310,46265.98383159722,45537.707924305556
08/2026,2333 Electrical Engineers,75,374,46263.837341122686,45535.181378622685
08/2026,2333 Electrical Engineers,70,378,46262.90536145833,45535.958823229164
08/2026,2333 Electrical Engineers,80,314,46259.878861377314,45535.13170061343
08/2026,2333 Electrical Engineers,95,58,46254.459742673615,45563.70898920139
08/2026,2333 Electrical Engineers,90,153,46258.69991207176,45537.54394591435
08/2026,2333 Electrical Engineers,85,258,46265.39453244213,45537.664494247685
08/2026,2333 Electrical Engineers,55,62,46262.41719811343,45544.936755358794
08/2026,2333 Electrical Engineers,60,106,46265.41935474537,45550.88664413194
08/2026,2333 Electrical Engineers,50,12,46259.657249421296,45576.4882628125
08/2026,2333 Electrical Engineers,100,16,46254.7103309838,45639.011145717595
08/2026,2333 Electrical Engineers,105,1,45843.66417754629,45843.66417754629
08/2026,2333 Electrical Engineers,45,9,46058.683782789354,45560.609310381944
08/2026,2321 Architects and Landscape Architects,65,110,46257.71047480324,45540.47050810185
08/2026,2321 Architects and Landscape Architects,75,180,46264.915387534726,45537.79971840278
08/2026,2321 Architects and Landscape Architects,70,150,46265.01252037037,45536.04720609954
08/2026,2321 Architects and Landscape Architects,80,122,46265.81135899306,45540.494452314815
08/2026,2321 Architects and Landscape Architects,95,2,46174.05077410879,46055.627553321756
08/2026,2321 Architects and Landscape Architects,90,21,46237.82706084491,45553.703995717595
08/2026,2321 Architects and Landscape Architects,85,103,46265.01808819445,45567.830457523145
08/2026,2321 Architects and Landscape Architects,55,9,46252.78313101852,45606.448346840276
08/2026,2321 Architects and Landscape Architects,60,33,46168.9827622338,45537.25189533565
08/2026,2531 General Practitioners and Resident Medical officers,65,39,46258.839736608796,45544.92223318287
08/2026,2531 General Practitioners and Resident Medical officers,75,96,46265.53836157407,45540.501378125
08/2026,2531 General Practitioners and Resident Medical officers,70,68,46265.353776655094,45558.38639375
08/2026,2531 General Practitioners and Resident Medical officers,80,65,46265.89433746527,45802.01466971065
08/2026,2531 General Practitioners and Resident Medical officers,95,1,46038.855083449074,46038.855083449074
08/2026,2531 General Practitioners and Resident Medical officers,90,9,46218.349058368054,46006.566289236114
08/2026,2531 General Practitioners and Resident Medical officers,85,29,46265.84032311343,45973.44500127315
08/2026,2531 General Practitioners and Resident Medical officers,55,5,46146.484401469905,45628.05807103009
08/2026,2531 General Practitioners and Resident Medical officers,60,9,46239.48667017361,45680.26062538195
08/2026,2531 General Practitioners and Resident Medical officers,50,3,46130.42083425926,45636.7699900463
08/2026,2247 Management and Organisation Analysts,65,38,46265.8162278588,45553.658637071756
08/2026,2247 Management and Organisation Analysts,75,77,46265.45123672453,45542.14839336806
08/2026,2247 Management and Organisation Analysts,70,50,46265.84466693287,45538.43642271991
08/2026,2247 Management and Organisation Analysts,80,49,46265.98526223379,45563.733169907406
08/2026,2247 Management and Organisation Analysts,95,5,46259.897344791665,46177.02309398148
08/2026,2247 Management and Organisation Analysts,90,23,46254.92421670139,45894.945333449075
08/2026,2247 Management and Organisation Analysts,85,40,46257.87202445602,45563.85343700231
08/2026,2247 Management and Organisation Analysts,55,2,46046.91275798611,45986.05753715278
08/2026,2247 Management and Organisation Analysts,60,13,46256.288849108794,45763.647211076386
08/2026,2247 Management and Organisation Analysts,50,2,46197.579436458334,45851.95322361111
08/2026,2247 Management and Organisation Analysts,45,1,46075.120726423615,46075.120726423615
08/2026,2347 Veterinarians,65,11,46183.71016663194,45601.46138399305
08/2026,2347 Veterinarians,75,26,46252.52648434028,45545.66037399306
08/2026,2347 Veterinarians,70,8,46233.57374424768,45638.519576770836
08/2026,2347 Veterinarians,80,9,46265.768550925925,45642.63144614583
08/2026,2347 Veterinarians,95,1,46206.98306744213,46206.98306744213
08/2026,2347 Veterinarians,90,9,46251.9092122338,45925.38563912037
08/2026,2347 Veterinarians,85,17,46264.97149776621,45562.487990625
