AsAt,OccGroup,Score,n,maxsub,minsub
08/2026,2613 Software and Applications Programmers,65,1455,46265.9301462963,45537.7717633912
08/2026,2613 Software and Applications Programmers,75,2322,46265.960943784725,45536.82774105324
08/2026,2613 Software and Applications Programmers,70,1882,46265.89854355324,45535.828290081015
08/2026,2613 Software and Applications Programmers,80,2024,46265.89701704861,45536.033502465274
08/2026,2613 Software and Applications Programmers,95,1404,46264.72775740741,45538.70560454861
08/2026,2613 Software and Applications Programmers,90,2394,46265.63145925926,45538.69795219907
08/2026,2613 Software and Applications Programmers,85,2208,46265.67593457176,45536.91707766204
08/2026,2613 Software and Applications Programmers,55,155,46265.87503978009,45540.6238934838
08/2026,2613 Software and Applications Programmers,60,362,46262.90041408565,45546.564767627315
08/2026,2613 Software and Applications Programmers,50,50,46255.161613738426,45555.85712508102
08/2026,2613 Software and Applications Programmers,110,10,46029.98897653935,45722.55653915509
08/2026,2613 Software and Applications Programmers,100,586,46252.4665158912,45555.64925462963
08/2026,2613 Software and Applications Programmers,105,71,46255.547946956016,45551.5833119213
08/2026,2613 Software and Applications Programmers,45,13,46233.640869016206,45553.82069984954
08/2026,2613 Software and Applications Programmers,30,2,46039.65834603009,46039.22455416666
08/2026,2613 Software and Applications Programmers,25,1,46126.88979386574,46126.88979386574
08/2026,2613 Software and Applications Programmers,115,1,45603.902996875,45603.902996875
08/2026,2613 Software and Applications Programmers,35,1,46177.63912908565,46177.63912908565
08/2026,3212 Motor Mechanics,65,252,46265.506858761575,45535.62213649305
08/2026,3212 Motor Mechanics,75,247,46261.759551041665,45535.63780309028
08/2026,3212 Motor Mechanics,70,292,46252.60504884259,45537.645501770836
08/2026,3212 Motor Mechanics,80,138,46237.693906863424,45537.6790178588
08/2026,3212 Motor Mechanics,95,12,46133.85612777778,45614.88259247685
08/2026,3212 Motor Mechanics,90,32,46176.37560216435,45547.8421721412
08/2026,3212 Motor Mechanics,85,67,46244.980358182875,45540.5467369213
08/2026,3212 Motor Mechanics,55,24,46257.29576076389,45546.74332314815
08/2026,3212 Motor Mechanics,60,73,46262.77232207176,45562.563173726856
08/2026,3212 Motor Mechanics,50,7,46253.78753394676,45785.52942306713
08/2026,3212 Motor Mechanics,45,2,45945.334142858796,45933.98849513889
08/2026,3212 Motor Mechanics,30,1,45973.33527789352,45973.33527789352
08/2026,2332 Civil Engineering Professionals,65,857,46265.75596693287,45536.906075659725
08/2026,2332 Civil Engineering Professionals,75,986,46265.92659915509,45537.64208637732
08/2026,2332 Civil Engineering Professionals,70,966,46265.87776508102,45536.52639961806
08/2026,2332 Civil Engineering Professionals,80,863,46263.909425,45536.16833020833
08/2026,2332 Civil Engineering Professionals,95,150,46259.5624962963,45537.445771099534
08/2026,2332 Civil Engineering Professionals,90,379,46265.86762650463,45538.517065011576
08/2026,2332 Civil Engineering Professionals,85,695,46265.80491003472,45535.80221365741
08/2026,2332 Civil Engineering Professionals,55,84,46255.75007195602,45542.47094186343
08/2026,2332 Civil Engineering Professionals,60,213,46263.96535679398,45539.8495959838
08/2026,2332 Civil Engineering Professionals,50,27,46253.28708217593,45538.36933032407
08/2026,2332 Civil Engineering Professionals,110,2,46265.7132309838,45707.536374386575
