g,name,share,pool,last_alloc,hist,s5000,s7500,s10000,s12500,s15000
3211,3211 Automotive Electricians,0.00096,30,5,"[0, 0, 0, 1, 5]",80.0,80.0,80.0,75.0,75.0
3212,3212 Motor Mechanics,0.0,1147,0,"[4, 10, 0, 0, 0]",,,,,
3222,3222 Sheetmetal Trades Workers,0.0,2,0,"[0, 1, 0, 0, 0]",,,,,
3223,3223 Structural Steel and Welding Trades Workers,0.01097,333,57,"[24, 41, 1, 7, 57]",80.0,80.0,75.0,75.0,75.0
3232,3232 Metal Fitters and Machinists,0.00154,115,8,"[0, 1, 0, 2, 8]",80.0,80.0,75.0,75.0,75.0
3241,3241 Panelbeaters,0.00058,9,3,"[0, 0, 1, 0, 3]",80.0,80.0,70.0,65.0,65.0
3311,3311 Bricklayers and Stonemasons,0.01193,97,62,"[33, 6, 50, 43, 62]",70.0,65.0,65.0,65.0,65.0
3312,3312 Carpenters and Joiners,0.07387,502,384,"[248, 90, 407, 333, 384]",65.0,65.0,65.0,65.0,65.0
3322,3322 Painting Trades Workers,0.0,530,0,"[214, 60, 96, 90, 0]",,,,,
3331,3331 Glaziers,0.00058,6,3,"[3, 0, 8, 6, 3]",75.0,75.0,65.0,65.0,65.0
3332,3332 Plasterers,0.00212,31,11,"[5, 1, 10, 2, 11]",75.0,70.0,70.0,70.0,65.0
3334,3334 Wall and Floor Tilers,0.00866,73,45,"[34, 11, 53, 38, 45]",70.0,70.0,65.0,65.0,65.0
3341,3341 Plumbers,0.00654,48,34,"[26, 10, 57, 45, 34]",65.0,65.0,65.0,65.0,65.0
3411,3411 Electricians,0.00981,108,51,"[53, 16, 74, 56, 51]",70.0,65.0,65.0,65.0,65.0
3421,3421 Airconditioning and Refrigeration Mechanics,0.00019,22,1,"[0, 0, 0, 0, 1]",80.0,80.0,80.0,80.0,75.0
3423,3423 Electronics Trades Workers,0.00346,184,18,"[0, 0, 1, 9, 18]",80.0,75.0,75.0,75.0,75.0
3513,3513 Chefs,0.0,3511,0,"[4, 56, 0, 0, 0]",,,,,
3941,3941 Cabinetmakers,0.00077,76,4,"[19, 7, 0, 0, 4]",85.0,85.0,85.0,80.0,80.0
3991,3991 Boat Builders and Shipwrights,0.00058,4,3,"[1, 1, 1, 1, 3]",75.0,75.0,70.0,65.0,65.0
4523,"4523 Sports Coaches, Instructors and Officials",0.00058,9,3,"[0, 0, 1, 2, 3]",85.0,85.0,75.0,75.0,75.0
