g,name,share,pool,last_alloc,hist,s5000,s7500,s10000,s12500,s15000
1331,1331 Construction Managers,0.05406,1363,281,"[247, 411, 10, 78, 281]",80.0,80.0,75.0,75.0,75.0
1332,1332 Engineering Managers,0.00654,221,34,"[0, 1, 1, 20, 34]",80.0,75.0,75.0,75.0,75.0
1341,1341 Child Care Centre Managers,0.00038,9,2,"[3, 1, 0, 2, 2]",75.0,70.0,70.0,70.0,70.0
1342,1342 Health and Welfare Services Managers,0.00115,45,6,"[0, 0, 1, 3, 6]",80.0,80.0,75.0,75.0,75.0
1399,1399 Other Specialist Managers,0.00539,99,28,"[0, 6, 4, 16, 28]",80.0,75.0,75.0,75.0,75.0
2111,"2111 Actors, Dancers and Other Entertainers",0.00077,6,4,"[0, 1, 0, 0, 4]",80.0,75.0,75.0,65.0,65.0
2112,2112 Music Professionals,0.00058,6,3,"[0, 1, 0, 0, 3]",85.0,85.0,75.0,70.0,70.0
2211,2211 Accountants,0.0,4866,0,"[150, 450, 0, 0, 0]",,,,,
2212,"2212 Auditors, Company Secretaries and Corporate Treasurers",0.0,2233,0,"[112, 339, 0, 0, 0]",,,,,
2241,"2241 Actuaries, Mathematicians and Statisticians",0.02097,492,109,"[11, 72, 91, 188, 109]",90.0,90.0,85.0,85.0,85.0
2243,2243 Economists,0.00943,90,49,"[4, 11, 8, 20, 49]",80.0,80.0,75.0,70.0,65.0
2245,2245 Land Economists and Valuers,0.00673,53,35,"[1, 3, 4, 18, 35]",75.0,75.0,70.0,65.0,65.0
2247,2247 Management and Organisation Analysts,0.03444,300,179,"[3, 33, 27, 122, 179]",80.0,75.0,75.0,70.0,65.0
2321,2321 Architects and Landscape Architects,0.01462,730,76,"[335, 271, 10, 84, 76]",85.0,85.0,85.0,85.0,85.0
2322,2322 Cartographers and Surveyors,0.00827,145,43,"[4, 18, 8, 32, 43]",80.0,80.0,75.0,75.0,75.0
2331,2331 Chemical and Materials Engineers,0.0,811,0,"[33, 76, 74, 178, 0]",,,,,
2332,2332 Civil Engineering Professionals,0.0,5275,0,"[490, 622, 0, 0, 0]",,,,,
2333,2333 Electrical Engineers,0.0,2051,0,"[50, 133, 0, 0, 0]",,,,,
2334,2334 Electronics Engineers,0.00173,1265,9,"[28, 99, 13, 0, 9]",95.0,95.0,95.0,95.0,95.0
2335,"2335 Industrial, Mechanical and Production Engineers",0.0,4369,0,"[118, 380, 0, 0, 0]",,,,,
2336,2336 Mining Engineers,0.01866,296,97,"[6, 28, 11, 39, 97]",80.0,75.0,75.0,75.0,70.0
2339,2339 Other Engineering Professionals,0.0,4505,0,"[109, 271, 0, 0, 0]",,,,,
2341,2341 Agricultural and Forestry Scientists,0.02482,513,129,"[8, 33, 45, 68, 129]",80.0,80.0,75.0,75.0,75.0
2342,"2342 Chemists, and Food and Wine Scientists",0.01424,704,74,"[9, 28, 37, 120, 74]",90.0,85.0,85.0,85.0,85.0
2343,2343 Environmental Scientists,0.02212,237,115,"[6, 20, 46, 97, 115]",80.0,75.0,75.0,70.0,70.0
2344,2344 Geologists Geophysicists and Hydrogeologists,0.00212,31,11,"[0, 3, 3, 4, 11]",80.0,80.0,75.0,70.0,70.0
2345,2345 Life Scientists,0.00423,694,22,"[20, 68, 85, 153, 22]",95.0,95.0,95.0,95.0,95.0
2346,2346 Medical Laboratory Scientists,0.01385,276,72,"[15, 58, 5, 19, 72]",80.0,80.0,75.0,75.0,75.0
2347,2347 Veterinarians,0.01231,83,64,"[6, 12, 14, 53, 64]",80.0,75.0,70.0,65.0,65.0
2349,2349 Other Natural and Physical Science Professionals,0.00673,108,35,"[3, 11, 15, 24, 35]",85.0,80.0,75.0,75.0,70.0
2411,2411 Early Childhood (Pre-primary School) Teachers,0.0,6370,0,"[261, 590, 365, 247, 0]",,,,,
2414,2414 Secondary School Teachers,0.05925,1179,308,"[87, 144, 52, 280, 308]",80.0,75.0,75.0,75.0,75.0
2415,2415 Special Education Teachers,0.00077,27,4,"[2, 5, 0, 4, 4]",80.0,80.0,75.0,75.0,75.0
2421,2421 University Lecturers and Tutors,0.0,1199,0,"[30, 89, 222, 0, 0]",,,,,
2512,2512 Medical Imaging Professionals,0.00616,92,32,"[10, 26, 43, 50, 32]",75.0,75.0,75.0,75.0,75.0
2514,2514 Optometrists and Orthoptists,0.00115,19,6,"[5, 4, 4, 2, 6]",80.0,80.0,75.0,75.0,75.0
2519,2519 Other Health Diagnostic and Promotion Professionals,0.0,6,0,"[1, 1, 0, 0, 0]",,,,,
2521,2521 Chiropractors and Osteopaths,0.00289,97,15,"[3, 5, 0, 1, 15]",80.0,75.0,75.0,75.0,75.0
2524,2524 Occupational Therapists,0.01077,216,56,"[49, 79, 51, 71, 56]",80.0,75.0,75.0,75.0,75.0
2525,2525 Physiotherapists,0.01905,292,99,"[65, 121, 97, 116, 99]",80.0,75.0,75.0,75.0,70.0
2526,2526 Podiatrists,0.00115,14,6,"[3, 4, 3, 4, 6]",80.0,75.0,75.0,75.0,70.0
2527,2527 Speech Professionals and Audiologists,0.01462,142,76,"[33, 37, 44, 30, 76]",75.0,75.0,70.0,70.0,65.0
2531,2531 General Practitioners and Resident Medical officers,0.03501,324,182,"[104, 102, 176, 140, 182]",80.0,75.0,75.0,70.0,65.0
2533,2533 Internal Medicine Specialists,0.00173,34,9,"[7, 6, 11, 11, 9]",80.0,75.0,75.0,75.0,70.0
2534,2534 Psychiatrists,0.00038,5,2,"[2, 2, 3, 4, 2]",75.0,75.0,75.0,70.0,70.0
2535,2535 Surgeons,0.00038,9,2,"[1, 2, 1, 3, 2]",100.0,85.0,85.0,80.0,80.0
2539,2539 Other Medical Practitioners,0.0277,283,144,"[96, 82, 148, 120, 144]",80.0,75.0,75.0,70.0,70.0
2541,2541 Midwives,0.00269,44,14,"[11, 9, 16, 15, 14]",80.0,80.0,75.0,75.0,75.0
2544,2544 Registered Nurses,0.26799,6412,1393,"[311, 822, 915, 1377, 1393]",80.0,75.0,75.0,75.0,75.0
2611,2611 ICT Business and Systems Analysts,0.0,7273,0,"[52, 339, 0, 0, 0]",,,,,
2612,2612 Multimedia Specialists and Web Developers,0.00385,291,20,"[7, 40, 0, 34, 20]",95.0,95.0,95.0,95.0,95.0
2613,2613 Software and Applications Programmers,0.0,14941,0,"[166, 743, 0, 0, 0]",,,,,
2621,"2621 Database and Systems Administrators, and ICT Security Specialists",0.0,1631,0,"[8, 170, 0, 0, 0]",,,,,
2631,2631 Computer Network Professionals,0.0,2042,0,"[19, 100, 0, 0, 0]",,,,,
2633,2633 Telecommunications Engineering Professionals,0.0025,773,13,"[24, 70, 0, 29, 13]",95.0,95.0,95.0,90.0,90.0
2711,2711 Barristers,0.00038,8,2,"[0, 0, 1, 2, 2]",85.0,80.0,80.0,80.0,80.0
2713,2713 Solicitors,0.04617,348,240,"[15, 66, 60, 163, 240]",80.0,75.0,70.0,65.0,65.0
2723,2723 Psychologists,0.00981,80,51,"[20, 26, 10, 41, 51]",75.0,75.0,70.0,65.0,65.0
2725,2725 Social Workers,0.05329,737,277,"[83, 123, 67, 284, 277]",75.0,75.0,75.0,75.0,70.0
3122,3122 Civil Engineering Draftspersons and Technicians,0.0,3955,0,"[360, 646, 7, 173, 0]",,,,,
3123,3123 Electrical Engineering Draftspersons and Technicians,0.01501,244,78,"[0, 1, 6, 29, 78]",85.0,80.0,75.0,75.0,70.0
3132,3132 Telecommunications Technical Specialists,0.0,458,0,"[0, 5, 0, 4, 0]",,,,,
