Score,SubMonth,n
65,2026-07,1354
65,2026-08,1664
65,2026-06,1643
65,2026-05,1416
65,2026-04,1388
65,2024-08,8
65,2024-09,1306
65,2024-10,1081
65,2024-11,1231
65,2024-12,1003
65,2025-01,975
65,2025-02,995
65,2025-03,1173
65,2025-04,1161
65,2025-05,1140
65,2025-06,995
65,2025-07,1068
65,2025-08,1327
65,2025-09,1214
65,2025-10,1406
65,2025-11,1603
65,2025-12,1024
65,2026-01,1130
65,2026-02,1300
65,2026-03,1241
75,2026-07,1342
75,2026-08,1383
75,2026-06,1384
75,2026-05,1339
75,2026-04,1374
75,2023-09,1
75,2024-08,19
75,2024-09,1517
75,2024-10,1140
75,2024-11,1416
75,2024-12,1166
75,2025-01,1207
75,2025-02,1290
75,2025-03,1386
75,2025-04,1445
75,2025-05,1431
75,2025-06,1194
75,2025-07,1327
75,2025-08,1764
75,2025-09,1451
75,2025-10,1646
75,2025-11,1923
75,2025-12,1159
75,2026-01,1375
75,2026-02,1431
75,2026-03,1374
70,2026-07,1258
70,2026-08,1539
70,2026-06,1437
70,2026-05,1415
70,2026-04,1470
70,2024-08,19
70,2024-09,1616
70,2024-10,1183
70,2024-11,1391
70,2024-12,1142
70,2025-01,1240
70,2025-02,1212
70,2025-03,1446
70,2025-04,1320
70,2025-05,1423
70,2025-06,1181
70,2025-07,1352
70,2025-08,1672
70,2025-09,1437
70,2025-10,1564
70,2025-11,1879
70,2025-12,1064
70,2026-01,1218
70,2026-02,1417
70,2026-03,1380
80,2026-07,955
80,2026-08,1089
80,2026-06,1130
80,2026-05,922
80,2026-04,1019
80,2024-08,10
80,2024-09,1026
80,2024-10,861
80,2024-11,1065
80,2024-12,877
80,2025-01,840
80,2025-02,887
80,2025-03,1050
80,2025-04,1056
80,2025-05,1092
80,2025-06,826
80,2025-07,965
80,2025-08,1224
80,2025-09,1094
80,2025-10,1175
80,2025-11,1298
80,2025-12,792
80,2026-01,859
80,2026-02,919
80,2026-03,916
95,2026-07,200
95,2026-08,228
95,2026-06,210
95,2026-05,220
95,2026-04,208
95,2024-08,2
95,2024-09,183
95,2024-10,185
95,2024-11,310
95,2024-12,239
95,2025-01,255
95,2025-02,216
95,2025-03,260
95,2025-04,250
95,2025-05,319
95,2025-06,233
95,2025-07,243
95,2025-08,297
95,2025-09,367
95,2025-10,290
95,2025-11,351
95,2025-12,204
95,2026-01,271
95,2026-02,232
95,2026-03,206
90,2026-07,410
90,2026-08,416
90,2026-06,467
90,2026-05,388
90,2026-04,390
90,2024-08,2
90,2024-09,428
90,2024-10,461
90,2024-11,625
90,2024-12,563
90,2025-01,554
90,2025-02,471
90,2025-03,571
90,2025-04,586
90,2025-05,597
90,2025-06,508
90,2025-07,590
90,2025-08,695
90,2025-09,706
90,2025-10,702
90,2025-11,772
90,2025-12,386
90,2026-01,426
90,2026-02,469
90,2026-03,499
85,2026-07,716
85,2026-08,689
85,2026-06,778
85,2026-05,722
85,2026-04,716
85,2024-08,9
85,2024-09,690
85,2024-10,604
85,2024-11,806
85,2024-12,674
85,2025-01,734
85,2025-02,703
85,2025-03,814
85,2025-04,801
85,2025-05,849
85,2025-06,728
85,2025-07,843
85,2025-08,1021
85,2025-09,924
85,2025-10,1080
85,2025-11,1116
85,2025-12,696
85,2026-01,718
85,2026-02,854
85,2026-03,776
55,2026-07,237
55,2026-08,318
55,2026-06,304
55,2026-05,234
55,2026-04,244
55,2024-08,2
55,2024-09,302
55,2024-10,231
55,2024-11,217
55,2024-12,171
55,2025-01,194
55,2025-02,198
55,2025-03,223
55,2025-04,204
55,2025-05,241
55,2025-06,199
55,2025-07,255
55,2025-08,271
55,2025-09,255
55,2025-10,315
55,2025-11,270
55,2025-12,178
55,2026-01,193
55,2026-02,203
55,2026-03,246
60,2026-07,409
60,2026-08,560
60,2026-06,560
60,2026-05,513
60,2026-04,607
60,2024-08,5
60,2024-09,570
60,2024-10,437
60,2024-11,429
60,2024-12,415
60,2025-01,387
60,2025-02,337
60,2025-03,449
60,2025-04,498
60,2025-05,441
60,2025-06,374
60,2025-07,450
60,2025-08,470
60,2025-09,477
60,2025-10,566
60,2025-11,634
60,2025-12,371
60,2026-01,433
60,2026-02,488
60,2026-03,484
50,2026-07,113
50,2026-08,114
50,2026-06,105
50,2026-05,92
50,2026-04,125
50,2024-09,94
50,2024-10,100
50,2024-11,96
50,2024-12,111
50,2025-01,61
50,2025-02,68
50,2025-03,71
50,2025-04,73
50,2025-05,73
50,2025-06,57
50,2025-07,68
50,2025-08,74
50,2025-09,103
50,2025-10,102
50,2025-11,122
50,2025-12,62
50,2026-01,83
50,2026-02,87
50,2026-03,101
110,2026-07,1
110,2026-08,2
110,2026-06,2
110,2026-04,3
110,2024-09,2
110,2025-02,1
110,2025-03,1
110,2025-06,1
110,2025-09,1
110,2025-10,2
110,2025-11,8
110,2026-01,2
110,2026-03,1
100,2026-07,54
100,2026-08,56
100,2026-06,62
100,2026-05,70
100,2026-04,81
100,2024-09,58
100,2024-10,59
100,2024-11,122
100,2024-12,69
100,2025-01,74
100,2025-02,69
100,2025-03,87
100,2025-04,84
100,2025-05,102
100,2025-06,123
100,2025-07,88
100,2025-08,114
100,2025-09,94
100,2025-10,85
100,2025-11,126
100,2025-12,54
100,2026-01,78
100,2026-02,84
100,2026-03,74
105,2026-07,9
105,2026-08,9
105,2026-06,8
105,2026-05,10
105,2026-04,6
105,2024-09,8
105,2024-10,6
105,2024-11,10
105,2024-12,8
105,2025-01,6
105,2025-02,9
105,2025-03,15
105,2025-04,11
105,2025-05,18
105,2025-06,11
105,2025-07,3
105,2025-08,9
105,2025-09,11
105,2025-10,7
105,2025-11,10
105,2025-12,3
105,2026-01,9
105,2026-02,4
105,2026-03,9
40,2026-07,3
40,2026-08,5
40,2026-06,11
40,2026-05,12
40,2026-04,4
40,2024-09,12
40,2024-10,5
40,2024-11,10
40,2024-12,3
40,2025-01,11
40,2025-02,12
40,2025-03,6
40,2025-04,12
40,2025-05,7
40,2025-06,14
40,2025-07,5
40,2025-08,13
40,2025-09,4
40,2025-10,12
40,2025-11,14
40,2025-12,6
40,2026-01,7
40,2026-02,10
40,2026-03,8
45,2026-07,37
45,2026-08,35
45,2026-06,25
45,2026-05,40
45,2026-04,25
45,2024-09,36
45,2024-10,24
45,2024-11,27
45,2024-12,22
45,2025-01,38
45,2025-02,26
45,2025-03,35
45,2025-04,16
45,2025-05,20
45,2025-06,14
45,2025-07,17
45,2025-08,33
45,2025-09,20
45,2025-10,26
45,2025-11,29
45,2025-12,19
45,2026-01,16
45,2026-02,34
45,2026-03,27
30,2026-07,2
30,2026-06,1
30,2026-05,1
30,2026-04,2
30,2024-10,1
30,2024-11,1
30,2025-01,1
30,2025-02,1
30,2025-03,1
30,2025-04,1
30,2025-08,1
30,2025-10,2
30,2025-11,4
30,2025-12,3
30,2026-01,6
30,2026-03,1
25,2026-05,1
25,2026-04,1
25,2024-11,1
25,2025-03,1
25,2025-11,1
25,2025-12,1
25,2026-01,1
120,2026-08,1
120,2024-10,2
120,2025-04,2
115,2026-06,3
115,2024-10,1
115,2024-11,1
125,2026-07,1
125,2026-06,1
125,2026-05,1
125,2024-12,1
35,2026-07,5
35,2026-08,1
35,2026-06,4
35,2026-05,1
