Occupation,Score,n
233912 Agricultural Engineer,50,3
233912 Agricultural Engineer,45,1
263111 Computer Network and Systems Engineer,65,412
263111 Computer Network and Systems Engineer,75,639
263111 Computer Network and Systems Engineer,70,487
263111 Computer Network and Systems Engineer,80,548
263111 Computer Network and Systems Engineer,95,246
263111 Computer Network and Systems Engineer,90,489
263111 Computer Network and Systems Engineer,85,512
263111 Computer Network and Systems Engineer,55,82
263111 Computer Network and Systems Engineer,60,141
263111 Computer Network and Systems Engineer,50,26
263111 Computer Network and Systems Engineer,100,129
263111 Computer Network and Systems Engineer,105,6
263111 Computer Network and Systems Engineer,40,4
263111 Computer Network and Systems Engineer,45,13
263111 Computer Network and Systems Engineer,30,2
263111 Computer Network and Systems Engineer,35,2
234211 Chemist,65,165
234211 Chemist,75,116
234211 Chemist,70,92
234211 Chemist,80,100
234211 Chemist,95,7
234211 Chemist,90,17
234211 Chemist,85,64
234211 Chemist,55,25
234211 Chemist,60,27
234211 Chemist,50,10
234211 Chemist,100,2
234211 Chemist,40,2
234211 Chemist,45,3
234211 Chemist,25,1
271311 Solicitor,65,117
271311 Solicitor,75,174
271311 Solicitor,70,120
271311 Solicitor,80,117
271311 Solicitor,95,3
271311 Solicitor,90,26
271311 Solicitor,85,77
271311 Solicitor,55,12
271311 Solicitor,60,29
271311 Solicitor,50,2
271311 Solicitor,100,1
271311 Solicitor,45,2
233111 Chemical Engineer,65,222
233111 Chemical Engineer,75,284
233111 Chemical Engineer,70,278
233111 Chemical Engineer,80,278
233111 Chemical Engineer,95,29
233111 Chemical Engineer,90,98
233111 Chemical Engineer,85,165
233111 Chemical Engineer,55,51
233111 Chemical Engineer,60,74
233111 Chemical Engineer,50,18
233111 Chemical Engineer,100,6
233111 Chemical Engineer,105,1
233111 Chemical Engineer,40,1
233111 Chemical Engineer,45,7
233111 Chemical Engineer,30,1
233914 Engineering Technologist,65,971
233914 Engineering Technologist,75,947
233914 Engineering Technologist,70,1043
233914 Engineering Technologist,80,759
233914 Engineering Technologist,95,146
233914 Engineering Technologist,90,409
233914 Engineering Technologist,85,730
233914 Engineering Technologist,55,258
233914 Engineering Technologist,60,452
233914 Engineering Technologist,50,81
233914 Engineering Technologist,100,52
233914 Engineering Technologist,105,2
233914 Engineering Technologist,40,6
233914 Engineering Technologist,45,38
233914 Engineering Technologist,30,3
233914 Engineering Technologist,35,3
312312 Electrical Engineering Technician,65,61
312312 Electrical Engineering Technician,75,41
312312 Electrical Engineering Technician,70,49
312312 Electrical Engineering Technician,80,13
312312 Electrical Engineering Technician,90,22
312312 Electrical Engineering Technician,85,25
312312 Electrical Engineering Technician,55,21
312312 Electrical Engineering Technician,60,25
312312 Electrical Engineering Technician,50,7
312312 Electrical Engineering Technician,40,1
233913 Biomedical Engineer,65,74
233913 Biomedical Engineer,75,72
233913 Biomedical Engineer,70,83
233913 Biomedical Engineer,80,86
233913 Biomedical Engineer,95,22
233913 Biomedical Engineer,90,41
233913 Biomedical Engineer,85,86
233913 Biomedical Engineer,55,17
233913 Biomedical Engineer,60,25
233913 Biomedical Engineer,50,7
233913 Biomedical Engineer,100,9
233913 Biomedical Engineer,105,2
233913 Biomedical Engineer,45,2
221214 Internal Auditor,65,151
221214 Internal Auditor,75,83
221214 Internal Auditor,70,112
221214 Internal Auditor,80,72
221214 Internal Auditor,95,11
221214 Internal Auditor,90,24
221214 Internal Auditor,85,62
221214 Internal Auditor,55,25
221214 Internal Auditor,60,28
221214 Internal Auditor,50,9
221214 Internal Auditor,100,2
221214 Internal Auditor,40,1
221214 Internal Auditor,45,3
323211 Fitter (General),65,53
323211 Fitter (General),75,32
323211 Fitter (General),70,58
323211 Fitter (General),80,12
323211 Fitter (General),85,4
323211 Fitter (General),55,24
323211 Fitter (General),60,65
323211 Fitter (General),50,37
323211 Fitter (General),40,3
323211 Fitter (General),45,7
323211 Fitter (General),30,1
323211 Fitter (General),35,2
261399 Software and Applications Programmers nec,65,345
261399 Software and Applications Programmers nec,75,546
261399 Software and Applications Programmers nec,70,433
261399 Software and Applications Programmers nec,80,536
261399 Software and Applications Programmers nec,95,424
261399 Software and Applications Programmers nec,90,701
261399 Software and Applications Programmers nec,85,578
261399 Software and Applications Programmers nec,55,42
261399 Software and Applications Programmers nec,60,87
261399 Software and Applications Programmers nec,50,18
261399 Software and Applications Programmers nec,110,1
261399 Software and Applications Programmers nec,100,197
261399 Software and Applications Programmers nec,105,35
261399 Software and Applications Programmers nec,40,1
261399 Software and Applications Programmers nec,45,6
233513 Production or Plant Engineer,65,127
233513 Production or Plant Engineer,75,132
233513 Production or Plant Engineer,70,128
233513 Production or Plant Engineer,80,90
233513 Production or Plant Engineer,95,18
233513 Production or Plant Engineer,90,36
233513 Production or Plant Engineer,85,87
233513 Production or Plant Engineer,55,26
233513 Production or Plant Engineer,60,41
233513 Production or Plant Engineer,50,15
233513 Production or Plant Engineer,40,2
233513 Production or Plant Engineer,45,2
233513 Production or Plant Engineer,30,1
233311 Electrical Engineer,65,723
233311 Electrical Engineer,75,746
233311 Electrical Engineer,70,747
233311 Electrical Engineer,80,634
233311 Electrical Engineer,95,102
233311 Electrical Engineer,90,297
233311 Electrical Engineer,85,459
233311 Electrical Engineer,55,214
233311 Electrical Engineer,60,314
233311 Electrical Engineer,50,74
233311 Electrical Engineer,100,24
233311 Electrical Engineer,105,3
233311 Electrical Engineer,40,7
233311 Electrical Engineer,45,20
233311 Electrical Engineer,120,1
233311 Electrical Engineer,35,1
232111 Architect,65,159
232111 Architect,75,260
232111 Architect,70,226
232111 Architect,80,223
232111 Architect,95,3
232111 Architect,90,28
232111 Architect,85,145
232111 Architect,55,22
232111 Architect,60,66
232111 Architect,50,2
232111 Architect,45,3
234212 Food Technologist,65,116
234212 Food Technologist,75,159
234212 Food Technologist,70,133
234212 Food Technologist,80,111
234212 Food Technologist,95,8
234212 Food Technologist,90,30
234212 Food Technologist,85,89
234212 Food Technologist,55,21
234212 Food Technologist,60,53
234212 Food Technologist,50,7
234212 Food Technologist,40,1
234212 Food Technologist,45,1
221112 Management Accountant,65,222
221112 Management Accountant,75,341
221112 Management Accountant,70,318
221112 Management Accountant,80,272
221112 Management Accountant,95,74
221112 Management Accountant,90,163
221112 Management Accountant,85,225
221112 Management Accountant,55,21
221112 Management Accountant,60,51
221112 Management Accountant,50,18
221112 Management Accountant,100,32
221112 Management Accountant,105,1
221112 Management Accountant,45,2
221112 Management Accountant,35,1
312311 Electrical Engineering Draftsperson,65,33
312311 Electrical Engineering Draftsperson,75,26
312311 Electrical Engineering Draftsperson,70,46
312311 Electrical Engineering Draftsperson,80,12
312311 Electrical Engineering Draftsperson,90,2
312311 Electrical Engineering Draftsperson,85,12
312311 Electrical Engineering Draftsperson,55,6
312311 Electrical Engineering Draftsperson,60,14
312311 Electrical Engineering Draftsperson,50,4
312311 Electrical Engineering Draftsperson,45,1
224711 Management Consultant,65,90
224711 Management Consultant,75,136
224711 Management Consultant,70,95
224711 Management Consultant,80,100
224711 Management Consultant,95,10
224711 Management Consultant,90,36
224711 Management Consultant,85,64
224711 Management Consultant,55,13
224711 Management Consultant,60,25
224711 Management Consultant,50,3
224711 Management Consultant,105,1
224711 Management Consultant,45,3
234711 Veterinarian,65,22
234711 Veterinarian,75,55
234711 Veterinarian,70,29
234711 Veterinarian,80,30
234711 Veterinarian,95,1
234711 Veterinarian,90,13
234711 Veterinarian,85,32
234711 Veterinarian,55,7
234711 Veterinarian,60,8
241411 Secondary School Teacher,65,617
241411 Secondary School Teacher,75,657
241411 Secondary School Teacher,70,665
241411 Secondary School Teacher,80,257
241411 Secondary School Teacher,95,3
241411 Secondary School Teacher,90,23
241411 Secondary School Teacher,85,70
241411 Secondary School Teacher,55,91
241411 Secondary School Teacher,60,218
241411 Secondary School Teacher,50,33
241411 Secondary School Teacher,100,1
241411 Secondary School Teacher,40,3
241411 Secondary School Teacher,45,9
134111 Child Care Centre Manager,65,11
134111 Child Care Centre Manager,75,6
134111 Child Care Centre Manager,70,9
134111 Child Care Centre Manager,95,1
134111 Child Care Centre Manager,85,1
134111 Child Care Centre Manager,55,2
134111 Child Care Centre Manager,60,7
134111 Child Care Centre Manager,50,8
224111 Actuary,65,10
224111 Actuary,75,45
224111 Actuary,70,32
224111 Actuary,80,55
224111 Actuary,95,4
224111 Actuary,90,22
224111 Actuary,85,41
224111 Actuary,55,1
224111 Actuary,60,7
224111 Actuary,45,1
333111 Glazier,65,5
333111 Glazier,75,8
333111 Glazier,70,1
333111 Glazier,80,1
333111 Glazier,55,1
333111 Glazier,60,1
242111 University Lecturer,65,431
242111 University Lecturer,75,380
242111 University Lecturer,70,436
242111 University Lecturer,80,287
242111 University Lecturer,95,100
242111 University Lecturer,90,212
242111 University Lecturer,85,253
242111 University Lecturer,55,74
242111 University Lecturer,60,176
242111 University Lecturer,50,37
242111 University Lecturer,110,1
242111 University Lecturer,100,51
242111 University Lecturer,105,12
242111 University Lecturer,40,2
242111 University Lecturer,45,6
263312 Telecommunications Network Engineer,65,54
263312 Telecommunications Network Engineer,75,47
263312 Telecommunications Network Engineer,70,58
263312 Telecommunications Network Engineer,80,46
263312 Telecommunications Network Engineer,95,8
263312 Telecommunications Network Engineer,90,26
263312 Telecommunications Network Engineer,85,44
263312 Telecommunications Network Engineer,55,7
263312 Telecommunications Network Engineer,60,27
263312 Telecommunications Network Engineer,50,2
263312 Telecommunications Network Engineer,100,1
133211 Engineering Manager,65,75
133211 Engineering Manager,75,56
133211 Engineering Manager,70,69
133211 Engineering Manager,80,21
133211 Engineering Manager,90,1
133211 Engineering Manager,85,6
133211 Engineering Manager,55,30
133211 Engineering Manager,60,26
133211 Engineering Manager,50,2
133211 Engineering Manager,40,2
133211 Engineering Manager,45,4
233213 Quantity Surveyor,65,179
233213 Quantity Surveyor,75,216
233213 Quantity Surveyor,70,215
233213 Quantity Surveyor,80,158
233213 Quantity Surveyor,95,9
233213 Quantity Surveyor,90,64
233213 Quantity Surveyor,85,115
233213 Quantity Surveyor,55,35
233213 Quantity Surveyor,60,64
233213 Quantity Surveyor,50,6
233213 Quantity Surveyor,100,2
233213 Quantity Surveyor,45,3
234599 Life Scientists nec,65,13
234599 Life Scientists nec,75,15
234599 Life Scientists nec,70,15
234599 Life Scientists nec,80,18
234599 Life Scientists nec,95,8
234599 Life Scientists nec,90,21
234599 Life Scientists nec,85,8
234599 Life Scientists nec,55,3
234599 Life Scientists nec,60,2
234599 Life Scientists nec,50,2
234599 Life Scientists nec,110,1
234599 Life Scientists nec,100,1
254422 Registered Nurse (Mental Health),65,46
254422 Registered Nurse (Mental Health),75,134
254422 Registered Nurse (Mental Health),70,98
254422 Registered Nurse (Mental Health),80,38
254422 Registered Nurse (Mental Health),90,2
254422 Registered Nurse (Mental Health),85,11
254422 Registered Nurse (Mental Health),55,22
254422 Registered Nurse (Mental Health),60,25
254422 Registered Nurse (Mental Health),50,2
254422 Registered Nurse (Mental Health),45,1
312211 Civil Engineering Draftsperson,65,1150
312211 Civil Engineering Draftsperson,75,994
312211 Civil Engineering Draftsperson,70,1298
312211 Civil Engineering Draftsperson,80,605
312211 Civil Engineering Draftsperson,95,12
312211 Civil Engineering Draftsperson,90,78
312211 Civil Engineering Draftsperson,85,445
312211 Civil Engineering Draftsperson,55,274
312211 Civil Engineering Draftsperson,60,544
312211 Civil Engineering Draftsperson,50,126
312211 Civil Engineering Draftsperson,100,1
312211 Civil Engineering Draftsperson,40,23
312211 Civil Engineering Draftsperson,45,28
312211 Civil Engineering Draftsperson,25,1
312211 Civil Engineering Draftsperson,35,4
321212 Diesel Motor Mechanic,65,59
321212 Diesel Motor Mechanic,75,36
321212 Diesel Motor Mechanic,70,32
321212 Diesel Motor Mechanic,80,16
321212 Diesel Motor Mechanic,95,4
321212 Diesel Motor Mechanic,90,1
321212 Diesel Motor Mechanic,85,4
321212 Diesel Motor Mechanic,55,39
321212 Diesel Motor Mechanic,60,35
321212 Diesel Motor Mechanic,50,9
321212 Diesel Motor Mechanic,40,3
321212 Diesel Motor Mechanic,45,4
321212 Diesel Motor Mechanic,125,1
234511 Life Scientist (General),65,36
234511 Life Scientist (General),75,48
234511 Life Scientist (General),70,34
234511 Life Scientist (General),80,38
234511 Life Scientist (General),95,12
234511 Life Scientist (General),90,37
234511 Life Scientist (General),85,55
234511 Life Scientist (General),55,7
234511 Life Scientist (General),60,17
234511 Life Scientist (General),50,1
234511 Life Scientist (General),110,1
234511 Life Scientist (General),100,5
234511 Life Scientist (General),105,3
234511 Life Scientist (General),45,1
254423 Registered Nurse (Perioperative),65,159
254423 Registered Nurse (Perioperative),75,117
254423 Registered Nurse (Perioperative),70,121
254423 Registered Nurse (Perioperative),80,35
254423 Registered Nurse (Perioperative),95,1
254423 Registered Nurse (Perioperative),90,1
254423 Registered Nurse (Perioperative),85,6
254423 Registered Nurse (Perioperative),55,25
254423 Registered Nurse (Perioperative),60,53
254423 Registered Nurse (Perioperative),50,10
254423 Registered Nurse (Perioperative),40,2
254423 Registered Nurse (Perioperative),45,1
233212 Geotechnical Engineer,65,30
233212 Geotechnical Engineer,75,53
233212 Geotechnical Engineer,70,56
233212 Geotechnical Engineer,80,35
233212 Geotechnical Engineer,95,5
233212 Geotechnical Engineer,90,22
233212 Geotechnical Engineer,85,30
233212 Geotechnical Engineer,55,1
233212 Geotechnical Engineer,60,14
233212 Geotechnical Engineer,50,2
233212 Geotechnical Engineer,100,2
233212 Geotechnical Engineer,40,1
232212 Surveyor,65,59
232212 Surveyor,75,24
232212 Surveyor,70,39
232212 Surveyor,80,6
232212 Surveyor,90,2
232212 Surveyor,85,7
232212 Surveyor,55,14
232212 Surveyor,60,27
232212 Surveyor,50,1
232212 Surveyor,40,1
254499 Registered Nurses nec,65,1493
254499 Registered Nurses nec,75,2006
254499 Registered Nurses nec,70,2015
254499 Registered Nurses nec,80,719
254499 Registered Nurses nec,95,2
254499 Registered Nurses nec,90,36
254499 Registered Nurses nec,85,171
254499 Registered Nurses nec,55,172
254499 Registered Nurses nec,60,473
254499 Registered Nurses nec,50,68
254499 Registered Nurses nec,100,1
254499 Registered Nurses nec,40,7
254499 Registered Nurses nec,45,19
254499 Registered Nurses nec,30,1
254499 Registered Nurses nec,120,1
254499 Registered Nurses nec,35,4
221113 Taxation Accountant,65,221
221113 Taxation Accountant,75,377
221113 Taxation Accountant,70,356
221113 Taxation Accountant,80,304
221113 Taxation Accountant,95,124
221113 Taxation Accountant,90,222
221113 Taxation Accountant,85,331
221113 Taxation Accountant,55,13
221113 Taxation Accountant,60,51
221113 Taxation Accountant,50,13
221113 Taxation Accountant,100,40
221113 Taxation Accountant,105,2
221113 Taxation Accountant,45,1
323313 Locksmith,65,3
323313 Locksmith,75,2
323313 Locksmith,70,3
323313 Locksmith,55,2
323313 Locksmith,60,1
323313 Locksmith,45,1
224512 Valuer,65,16
224512 Valuer,75,28
224512 Valuer,70,12
224512 Valuer,80,11
224512 Valuer,85,4
224512 Valuer,55,2
224512 Valuer,60,1
224512 Valuer,50,1
224512 Valuer,40,1
224512 Valuer,30,1
261311 Analyst Programmer,65,450
261311 Analyst Programmer,75,761
261311 Analyst Programmer,70,555
261311 Analyst Programmer,80,796
261311 Analyst Programmer,95,561
261311 Analyst Programmer,90,1069
261311 Analyst Programmer,85,871
261311 Analyst Programmer,55,53
261311 Analyst Programmer,60,153
261311 Analyst Programmer,50,31
261311 Analyst Programmer,110,2
261311 Analyst Programmer,100,212
261311 Analyst Programmer,105,19
261311 Analyst Programmer,45,2
261311 Analyst Programmer,30,1
234516 Marine Biologist,65,10
234516 Marine Biologist,75,6
234516 Marine Biologist,70,3
234516 Marine Biologist,80,12
234516 Marine Biologist,95,4
234516 Marine Biologist,90,8
234516 Marine Biologist,85,6
234516 Marine Biologist,55,1
234516 Marine Biologist,60,2
234516 Marine Biologist,105,2
233215 Transport Engineer,65,42
233215 Transport Engineer,75,41
233215 Transport Engineer,70,27
233215 Transport Engineer,80,36
233215 Transport Engineer,95,6
233215 Transport Engineer,90,5
233215 Transport Engineer,85,21
233215 Transport Engineer,55,7
233215 Transport Engineer,60,7
233215 Transport Engineer,100,3
233214 Structural Engineer,65,119
233214 Structural Engineer,75,131
233214 Structural Engineer,70,131
233214 Structural Engineer,80,103
233214 Structural Engineer,95,11
233214 Structural Engineer,90,60
233214 Structural Engineer,85,84
233214 Structural Engineer,55,14
233214 Structural Engineer,60,28
233214 Structural Engineer,50,14
233214 Structural Engineer,110,1
233214 Structural Engineer,100,3
233214 Structural Engineer,45,4
233611 Mining Engineer (excluding Petroleum),65,142
233611 Mining Engineer (excluding Petroleum),75,97
233611 Mining Engineer (excluding Petroleum),70,100
233611 Mining Engineer (excluding Petroleum),80,50
233611 Mining Engineer (excluding Petroleum),95,3
233611 Mining Engineer (excluding Petroleum),90,8
233611 Mining Engineer (excluding Petroleum),85,25
233611 Mining Engineer (excluding Petroleum),55,17
233611 Mining Engineer (excluding Petroleum),60,35
233611 Mining Engineer (excluding Petroleum),50,12
233611 Mining Engineer (excluding Petroleum),45,4
254417 Registered Nurse (Disability and Rehabilitation),65,29
254417 Registered Nurse (Disability and Rehabilitation),75,29
254417 Registered Nurse (Disability and Rehabilitation),70,23
254417 Registered Nurse (Disability and Rehabilitation),80,12
254417 Registered Nurse (Disability and Rehabilitation),85,3
254417 Registered Nurse (Disability and Rehabilitation),55,3
254417 Registered Nurse (Disability and Rehabilitation),60,5
254417 Registered Nurse (Disability and Rehabilitation),50,1
254417 Registered Nurse (Disability and Rehabilitation),45,2
261211 Multimedia Specialist,65,45
261211 Multimedia Specialist,75,60
261211 Multimedia Specialist,70,68
261211 Multimedia Specialist,80,52
261211 Multimedia Specialist,95,44
261211 Multimedia Specialist,90,116
261211 Multimedia Specialist,85,75
261211 Multimedia Specialist,55,6
261211 Multimedia Specialist,60,10
261211 Multimedia Specialist,50,12
261211 Multimedia Specialist,100,8
261211 Multimedia Specialist,40,1
263311 Telecommunications Engineer,65,164
263311 Telecommunications Engineer,75,243
263311 Telecommunications Engineer,70,146
263311 Telecommunications Engineer,80,169
263311 Telecommunications Engineer,95,21
263311 Telecommunications Engineer,90,83
263311 Telecommunications Engineer,85,137
263311 Telecommunications Engineer,55,63
263311 Telecommunications Engineer,60,91
263311 Telecommunications Engineer,50,22
263311 Telecommunications Engineer,100,4
263311 Telecommunications Engineer,40,5
263311 Telecommunications Engineer,45,8
263311 Telecommunications Engineer,35,1
322313 Welder (First Class),65,138
322313 Welder (First Class),75,96
322313 Welder (First Class),70,106
322313 Welder (First Class),80,55
322313 Welder (First Class),90,6
322313 Welder (First Class),85,10
322313 Welder (First Class),55,25
322313 Welder (First Class),60,55
322313 Welder (First Class),50,5
322313 Welder (First Class),45,3
322313 Welder (First Class),30,2
234912 Metallurgist,65,33
234912 Metallurgist,75,30
234912 Metallurgist,70,29
234912 Metallurgist,80,7
234912 Metallurgist,85,3
234912 Metallurgist,55,4
