Occupation,Score,n
261312 Developer Programmer,65,738
261312 Developer Programmer,75,1101
261312 Developer Programmer,70,931
261312 Developer Programmer,80,1017
261312 Developer Programmer,95,527
261312 Developer Programmer,90,857
261312 Developer Programmer,85,969
261312 Developer Programmer,55,120
261312 Developer Programmer,60,233
261312 Developer Programmer,50,36
261312 Developer Programmer,110,3
261312 Developer Programmer,100,199
261312 Developer Programmer,105,19
261312 Developer Programmer,40,7
261312 Developer Programmer,45,13
261312 Developer Programmer,30,1
261312 Developer Programmer,120,2
261312 Developer Programmer,115,1
261312 Developer Programmer,125,1
261312 Developer Programmer,35,1
321211 Motor Mechanic (General),65,668
321211 Motor Mechanic (General),75,549
321211 Motor Mechanic (General),70,715
321211 Motor Mechanic (General),80,344
321211 Motor Mechanic (General),95,17
321211 Motor Mechanic (General),90,60
321211 Motor Mechanic (General),85,135
321211 Motor Mechanic (General),55,117
321211 Motor Mechanic (General),60,333
321211 Motor Mechanic (General),50,41
321211 Motor Mechanic (General),100,2
321211 Motor Mechanic (General),45,11
321211 Motor Mechanic (General),30,1
321211 Motor Mechanic (General),35,2
233211 Civil Engineer,65,1553
233211 Civil Engineer,75,1558
233211 Civil Engineer,70,1635
233211 Civil Engineer,80,1286
233211 Civil Engineer,95,197
233211 Civil Engineer,90,522
233211 Civil Engineer,85,1013
233211 Civil Engineer,55,330
233211 Civil Engineer,60,560
233211 Civil Engineer,50,112
233211 Civil Engineer,110,2
233211 Civil Engineer,100,40
233211 Civil Engineer,105,4
233211 Civil Engineer,40,6
233211 Civil Engineer,45,34
233211 Civil Engineer,30,1
233211 Civil Engineer,25,1
233211 Civil Engineer,120,1
233211 Civil Engineer,35,3
241111 Early Childhood (Pre-primary School) Teacher,65,1860
241111 Early Childhood (Pre-primary School) Teacher,75,2465
241111 Early Childhood (Pre-primary School) Teacher,70,2673
241111 Early Childhood (Pre-primary School) Teacher,80,2005
241111 Early Childhood (Pre-primary School) Teacher,95,11
241111 Early Childhood (Pre-primary School) Teacher,90,374
241111 Early Childhood (Pre-primary School) Teacher,85,1998
241111 Early Childhood (Pre-primary School) Teacher,55,286
241111 Early Childhood (Pre-primary School) Teacher,60,804
241111 Early Childhood (Pre-primary School) Teacher,50,121
241111 Early Childhood (Pre-primary School) Teacher,40,5
241111 Early Childhood (Pre-primary School) Teacher,45,23
241111 Early Childhood (Pre-primary School) Teacher,30,1
241111 Early Childhood (Pre-primary School) Teacher,125,1
241111 Early Childhood (Pre-primary School) Teacher,35,1
261111 ICT Business Analyst,65,857
261111 ICT Business Analyst,75,1256
261111 ICT Business Analyst,70,1011
261111 ICT Business Analyst,80,1196
261111 ICT Business Analyst,95,638
261111 ICT Business Analyst,90,1137
261111 ICT Business Analyst,85,1105
261111 ICT Business Analyst,55,128
261111 ICT Business Analyst,60,247
261111 ICT Business Analyst,50,39
261111 ICT Business Analyst,110,3
261111 ICT Business Analyst,100,230
261111 ICT Business Analyst,105,13
261111 ICT Business Analyst,40,5
261111 ICT Business Analyst,45,20
261313 Software Engineer,65,1165
261313 Software Engineer,75,1611
261313 Software Engineer,70,1432
261313 Software Engineer,80,1375
261313 Software Engineer,95,613
261313 Software Engineer,90,1199
261313 Software Engineer,85,1210
261313 Software Engineer,55,204
261313 Software Engineer,60,421
261313 Software Engineer,50,75
261313 Software Engineer,110,7
261313 Software Engineer,100,218
261313 Software Engineer,105,35
261313 Software Engineer,40,3
261313 Software Engineer,45,27
261313 Software Engineer,30,5
261313 Software Engineer,25,2
261313 Software Engineer,35,1
221111 Accountant (General),65,1009
221111 Accountant (General),75,1363
221111 Accountant (General),70,1377
221111 Accountant (General),80,1159
221111 Accountant (General),95,340
221111 Accountant (General),90,588
221111 Accountant (General),85,948
221111 Accountant (General),55,122
221111 Accountant (General),60,305
221111 Accountant (General),50,35
221111 Accountant (General),110,2
221111 Accountant (General),100,104
221111 Accountant (General),105,8
221111 Accountant (General),40,3
221111 Accountant (General),45,10
221111 Accountant (General),115,1
221111 Accountant (General),35,3
262112 ICT Security Specialist,65,346
262112 ICT Security Specialist,75,519
262112 ICT Security Specialist,70,419
262112 ICT Security Specialist,80,511
262112 ICT Security Specialist,95,211
262112 ICT Security Specialist,90,402
262112 ICT Security Specialist,85,492
262112 ICT Security Specialist,55,58
262112 ICT Security Specialist,60,93
262112 ICT Security Specialist,50,19
262112 ICT Security Specialist,110,1
262112 ICT Security Specialist,100,72
262112 ICT Security Specialist,105,5
262112 ICT Security Specialist,40,1
262112 ICT Security Specialist,45,5
221213 External Auditor,65,465
221213 External Auditor,75,620
221213 External Auditor,70,617
221213 External Auditor,80,581
221213 External Auditor,95,84
221213 External Auditor,90,385
221213 External Auditor,85,577
221213 External Auditor,55,33
221213 External Auditor,60,122
221213 External Auditor,50,15
221213 External Auditor,100,16
221213 External Auditor,105,1
221213 External Auditor,45,2
234515 Botanist,65,7
234515 Botanist,75,2
234515 Botanist,70,2
234515 Botanist,80,3
234515 Botanist,60,3
234515 Botanist,50,1
233512 Mechanical Engineer,65,1161
233512 Mechanical Engineer,75,1362
233512 Mechanical Engineer,70,1215
233512 Mechanical Engineer,80,1065
233512 Mechanical Engineer,95,209
233512 Mechanical Engineer,90,607
233512 Mechanical Engineer,85,1008
233512 Mechanical Engineer,55,275
233512 Mechanical Engineer,60,566
233512 Mechanical Engineer,50,94
233512 Mechanical Engineer,100,51
233512 Mechanical Engineer,105,3
233512 Mechanical Engineer,40,8
233512 Mechanical Engineer,45,31
233512 Mechanical Engineer,30,1
233512 Mechanical Engineer,25,1
233512 Mechanical Engineer,35,4
233999 Engineering Professionals nec,65,167
233999 Engineering Professionals nec,75,207
233999 Engineering Professionals nec,70,177
233999 Engineering Professionals nec,80,237
233999 Engineering Professionals nec,95,68
233999 Engineering Professionals nec,90,116
233999 Engineering Professionals nec,85,210
233999 Engineering Professionals nec,55,50
233999 Engineering Professionals nec,60,63
233999 Engineering Professionals nec,50,12
233999 Engineering Professionals nec,100,20
233999 Engineering Professionals nec,105,7
233999 Engineering Professionals nec,40,1
233999 Engineering Professionals nec,45,1
234111 Agricultural Consultant,65,277
234111 Agricultural Consultant,75,137
234111 Agricultural Consultant,70,177
234111 Agricultural Consultant,80,100
234111 Agricultural Consultant,95,6
234111 Agricultural Consultant,90,9
234111 Agricultural Consultant,85,25
234111 Agricultural Consultant,55,36
234111 Agricultural Consultant,60,75
234111 Agricultural Consultant,50,16
234111 Agricultural Consultant,40,1
234111 Agricultural Consultant,45,6
234111 Agricultural Consultant,30,1
254418 Registered Nurse (Medical),65,454
254418 Registered Nurse (Medical),75,358
254418 Registered Nurse (Medical),70,406
254418 Registered Nurse (Medical),80,83
254418 Registered Nurse (Medical),90,6
254418 Registered Nurse (Medical),85,29
254418 Registered Nurse (Medical),55,77
254418 Registered Nurse (Medical),60,149
254418 Registered Nurse (Medical),50,34
254418 Registered Nurse (Medical),40,4
254418 Registered Nurse (Medical),45,6
254418 Registered Nurse (Medical),35,2
351311 Chef,65,2440
351311 Chef,75,2019
351311 Chef,70,2435
351311 Chef,80,1128
351311 Chef,95,72
351311 Chef,90,266
351311 Chef,85,542
351311 Chef,55,549
351311 Chef,60,1244
351311 Chef,50,212
351311 Chef,100,8
351311 Chef,105,3
351311 Chef,40,8
351311 Chef,45,52
351311 Chef,30,1
351311 Chef,35,3
233411 Electronics Engineer,65,454
233411 Electronics Engineer,75,424
233411 Electronics Engineer,70,414
233411 Electronics Engineer,80,341
233411 Electronics Engineer,95,302
233411 Electronics Engineer,90,155
233411 Electronics Engineer,85,294
233411 Electronics Engineer,55,127
233411 Electronics Engineer,60,206
233411 Electronics Engineer,50,41
233411 Electronics Engineer,100,5
233411 Electronics Engineer,40,6
233411 Electronics Engineer,45,10
233411 Electronics Engineer,25,1
233411 Electronics Engineer,35,1
323212 Fitter and Turner,65,3
323212 Fitter and Turner,70,5
323212 Fitter and Turner,55,7
323212 Fitter and Turner,60,9
323212 Fitter and Turner,50,8
323212 Fitter and Turner,40,2
323212 Fitter and Turner,45,3
261112 Systems Analyst,65,476
261112 Systems Analyst,75,807
261112 Systems Analyst,70,642
261112 Systems Analyst,80,799
261112 Systems Analyst,95,470
261112 Systems Analyst,90,788
261112 Systems Analyst,85,767
261112 Systems Analyst,55,68
261112 Systems Analyst,60,149
261112 Systems Analyst,50,21
261112 Systems Analyst,110,1
261112 Systems Analyst,100,178
261112 Systems Analyst,105,9
261112 Systems Analyst,40,3
261112 Systems Analyst,45,5
261112 Systems Analyst,30,1
233912 Agricultural Engineer,65,45
233912 Agricultural Engineer,75,29
233912 Agricultural Engineer,70,23
233912 Agricultural Engineer,80,11
233912 Agricultural Engineer,95,2
233912 Agricultural Engineer,90,4
233912 Agricultural Engineer,85,6
233912 Agricultural Engineer,55,9
233912 Agricultural Engineer,60,10
