OccGroup,Score,Eng,n
2411 Early Childhood (Pre-primary School) Teachers,65,0,437
2411 Early Childhood (Pre-primary School) Teachers,65,20,81
2411 Early Childhood (Pre-primary School) Teachers,65,10,1349
2411 Early Childhood (Pre-primary School) Teachers,75,0,16
2411 Early Childhood (Pre-primary School) Teachers,75,20,639
2411 Early Childhood (Pre-primary School) Teachers,75,10,1814
2411 Early Childhood (Pre-primary School) Teachers,70,0,82
2411 Early Childhood (Pre-primary School) Teachers,70,20,285
2411 Early Childhood (Pre-primary School) Teachers,70,10,2313
2411 Early Childhood (Pre-primary School) Teachers,80,0,3
2411 Early Childhood (Pre-primary School) Teachers,80,20,1516
2411 Early Childhood (Pre-primary School) Teachers,80,10,489
2411 Early Childhood (Pre-primary School) Teachers,95,20,10
2411 Early Childhood (Pre-primary School) Teachers,95,10,1
2411 Early Childhood (Pre-primary School) Teachers,90,20,373
2411 Early Childhood (Pre-primary School) Teachers,90,10,1
2411 Early Childhood (Pre-primary School) Teachers,85,0,1
2411 Early Childhood (Pre-primary School) Teachers,85,20,1976
2411 Early Childhood (Pre-primary School) Teachers,85,10,25
2411 Early Childhood (Pre-primary School) Teachers,55,0,227
2411 Early Childhood (Pre-primary School) Teachers,55,20,1
2411 Early Childhood (Pre-primary School) Teachers,55,10,58
2411 Early Childhood (Pre-primary School) Teachers,60,0,466
2411 Early Childhood (Pre-primary School) Teachers,60,20,14
2411 Early Childhood (Pre-primary School) Teachers,60,10,324
2411 Early Childhood (Pre-primary School) Teachers,50,0,108
2411 Early Childhood (Pre-primary School) Teachers,50,10,13
2411 Early Childhood (Pre-primary School) Teachers,40,0,4
2411 Early Childhood (Pre-primary School) Teachers,40,10,1
2411 Early Childhood (Pre-primary School) Teachers,45,0,22
2411 Early Childhood (Pre-primary School) Teachers,45,10,1
2411 Early Childhood (Pre-primary School) Teachers,30,0,1
2411 Early Childhood (Pre-primary School) Teachers,125,20,1
2411 Early Childhood (Pre-primary School) Teachers,35,0,1
2611 ICT Business and Systems Analysts,65,0,627
2611 ICT Business and Systems Analysts,65,20,63
2611 ICT Business and Systems Analysts,65,10,643
2611 ICT Business and Systems Analysts,75,0,108
2611 ICT Business and Systems Analysts,75,20,361
2611 ICT Business and Systems Analysts,75,10,1594
2611 ICT Business and Systems Analysts,70,0,416
2611 ICT Business and Systems Analysts,70,20,175
2611 ICT Business and Systems Analysts,70,10,1064
2611 ICT Business and Systems Analysts,80,0,34
2611 ICT Business and Systems Analysts,80,20,681
2611 ICT Business and Systems Analysts,80,10,1289
2611 ICT Business and Systems Analysts,95,20,1077
2611 ICT Business and Systems Analysts,95,10,31
2611 ICT Business and Systems Analysts,90,0,1
2611 ICT Business and Systems Analysts,90,20,1723
2611 ICT Business and Systems Analysts,90,10,201
2611 ICT Business and Systems Analysts,85,0,7
2611 ICT Business and Systems Analysts,85,20,1244
2611 ICT Business and Systems Analysts,85,10,621
2611 ICT Business and Systems Analysts,55,0,128
2611 ICT Business and Systems Analysts,55,10,68
2611 ICT Business and Systems Analysts,60,0,228
2611 ICT Business and Systems Analysts,60,20,23
2611 ICT Business and Systems Analysts,60,10,145
2611 ICT Business and Systems Analysts,50,0,47
2611 ICT Business and Systems Analysts,50,10,13
2611 ICT Business and Systems Analysts,110,20,4
2611 ICT Business and Systems Analysts,100,20,406
2611 ICT Business and Systems Analysts,100,10,2
2611 ICT Business and Systems Analysts,105,20,22
2611 ICT Business and Systems Analysts,40,0,5
2611 ICT Business and Systems Analysts,40,10,3
2611 ICT Business and Systems Analysts,45,0,22
2611 ICT Business and Systems Analysts,45,10,3
2611 ICT Business and Systems Analysts,30,0,1
2211 Accountants,65,0,116
2211 Accountants,65,20,97
2211 Accountants,65,10,1240
2211 Accountants,75,0,54
2211 Accountants,75,20,386
2211 Accountants,75,10,1641
2211 Accountants,70,0,99
2211 Accountants,70,20,213
2211 Accountants,70,10,1744
2211 Accountants,80,0,18
2211 Accountants,80,20,816
2211 Accountants,80,10,902
2211 Accountants,95,20,515
2211 Accountants,95,10,23
2211 Accountants,90,0,3
2211 Accountants,90,20,875
2211 Accountants,90,10,95
2211 Accountants,85,0,5
2211 Accountants,85,20,1054
2211 Accountants,85,10,445
2211 Accountants,55,0,47
2211 Accountants,55,20,3
2211 Accountants,55,10,106
2211 Accountants,60,0,52
2211 Accountants,60,20,9
2211 Accountants,60,10,346
2211 Accountants,50,0,43
2211 Accountants,50,20,2
2211 Accountants,50,10,21
2211 Accountants,110,20,2
2211 Accountants,100,20,173
2211 Accountants,100,10,3
2211 Accountants,105,20,10
2211 Accountants,105,10,1
2211 Accountants,40,0,1
2211 Accountants,40,10,2
2211 Accountants,45,0,6
2211 Accountants,45,20,1
2211 Accountants,45,10,6
2211 Accountants,115,20,1
2211 Accountants,35,0,2
2211 Accountants,35,10,2
2344 Geologists Geophysicists and Hydrogeologists,65,0,3
2344 Geologists Geophysicists and Hydrogeologists,65,20,2
2344 Geologists Geophysicists and Hydrogeologists,65,10,15
2344 Geologists Geophysicists and Hydrogeologists,75,20,4
2344 Geologists Geophysicists and Hydrogeologists,75,10,19
2344 Geologists Geophysicists and Hydrogeologists,70,0,1
2344 Geologists Geophysicists and Hydrogeologists,70,20,3
2344 Geologists Geophysicists and Hydrogeologists,70,10,15
2344 Geologists Geophysicists and Hydrogeologists,80,20,2
2344 Geologists Geophysicists and Hydrogeologists,80,10,8
2344 Geologists Geophysicists and Hydrogeologists,90,20,4
2344 Geologists Geophysicists and Hydrogeologists,90,10,2
2344 Geologists Geophysicists and Hydrogeologists,85,20,2
2344 Geologists Geophysicists and Hydrogeologists,85,10,1
2344 Geologists Geophysicists and Hydrogeologists,55,0,7
2344 Geologists Geophysicists and Hydrogeologists,55,10,1
2344 Geologists Geophysicists and Hydrogeologists,60,0,7
2344 Geologists Geophysicists and Hydrogeologists,60,10,5
"2621 Database and Systems Administrators, and ICT Security Specialists",65,0,164
"2621 Database and Systems Administrators, and ICT Security Specialists",65,20,8
"2621 Database and Systems Administrators, and ICT Security Specialists",65,10,174
"2621 Database and Systems Administrators, and ICT Security Specialists",75,0,29
"2621 Database and Systems Administrators, and ICT Security Specialists",75,20,70
"2621 Database and Systems Administrators, and ICT Security Specialists",75,10,420
"2621 Database and Systems Administrators, and ICT Security Specialists",70,0,120
"2621 Database and Systems Administrators, and ICT Security Specialists",70,20,23
"2621 Database and Systems Administrators, and ICT Security Specialists",70,10,276
"2621 Database and Systems Administrators, and ICT Security Specialists",80,0,17
"2621 Database and Systems Administrators, and ICT Security Specialists",80,20,155
"2621 Database and Systems Administrators, and ICT Security Specialists",80,10,339
"2621 Database and Systems Administrators, and ICT Security Specialists",95,20,197
"2621 Database and Systems Administrators, and ICT Security Specialists",95,10,14
"2621 Database and Systems Administrators, and ICT Security Specialists",90,20,352
"2621 Database and Systems Administrators, and ICT Security Specialists",90,10,50
"2621 Database and Systems Administrators, and ICT Security Specialists",85,0,2
"2621 Database and Systems Administrators, and ICT Security Specialists",85,20,333
"2621 Database and Systems Administrators, and ICT Security Specialists",85,10,157
"2621 Database and Systems Administrators, and ICT Security Specialists",55,0,39
"2621 Database and Systems Administrators, and ICT Security Specialists",55,10,19
"2621 Database and Systems Administrators, and ICT Security Specialists",60,0,53
"2621 Database and Systems Administrators, and ICT Security Specialists",60,10,40
"2621 Database and Systems Administrators, and ICT Security Specialists",50,0,12
"2621 Database and Systems Administrators, and ICT Security Specialists",50,10,7
"2621 Database and Systems Administrators, and ICT Security Specialists",110,20,1
"2621 Database and Systems Administrators, and ICT Security Specialists",100,20,70
"2621 Database and Systems Administrators, and ICT Security Specialists",100,10,2
"2621 Database and Systems Administrators, and ICT Security Specialists",105,20,5
"2621 Database and Systems Administrators, and ICT Security Specialists",40,10,1
"2621 Database and Systems Administrators, and ICT Security Specialists",45,0,5
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,0,62
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,20,60
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,10,494
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,0,7
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,20,194
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,10,502
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,0,23
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,20,92
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,10,614
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,0,2
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,20,429
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,10,222
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,20,95
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,20,392
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,10,17
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,20,550
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,10,89
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,0,19
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,20,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,10,38
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,0,24
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,20,7
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,10,119
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,0,18
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,10,6
"2212 Auditors, Company Secretaries and Corporate Treasurers",100,20,18
"2212 Auditors, Company Secretaries and Corporate Treasurers",105,20,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",40,0,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",45,0,3
"2212 Auditors, Company Secretaries and Corporate Treasurers",45,10,2
2345 Life Scientists,65,0,68
2345 Life Scientists,65,20,11
2345 Life Scientists,65,10,132
2345 Life Scientists,75,0,21
2345 Life Scientists,75,20,65
2345 Life Scientists,75,10,169
2345 Life Scientists,70,0,36
2345 Life Scientists,70,20,39
2345 Life Scientists,70,10,135
2345 Life Scientists,80,0,22
2345 Life Scientists,80,20,76
2345 Life Scientists,80,10,86
2345 Life Scientists,95,20,34
2345 Life Scientists,95,10,19
2345 Life Scientists,90,0,1
2345 Life Scientists,90,20,109
2345 Life Scientists,90,10,49
2345 Life Scientists,85,0,5
2345 Life Scientists,85,20,124
2345 Life Scientists,85,10,68
2345 Life Scientists,55,0,43
2345 Life Scientists,55,10,8
2345 Life Scientists,60,0,44
2345 Life Scientists,60,20,1
2345 Life Scientists,60,10,35
2345 Life Scientists,50,0,8
2345 Life Scientists,50,10,1
2345 Life Scientists,110,20,2
2345 Life Scientists,100,20,12
2345 Life Scientists,100,10,1
2345 Life Scientists,105,20,5
2345 Life Scientists,105,10,1
2345 Life Scientists,45,0,11
"2335 Industrial, Mechanical and Production Engineers",65,0,552
"2335 Industrial, Mechanical and Production Engineers",65,20,71
"2335 Industrial, Mechanical and Production Engineers",65,10,816
"2335 Industrial, Mechanical and Production Engineers",75,0,87
"2335 Industrial, Mechanical and Production Engineers",75,20,408
"2335 Industrial, Mechanical and Production Engineers",75,10,1121
"2335 Industrial, Mechanical and Production Engineers",70,0,240
"2335 Industrial, Mechanical and Production Engineers",70,20,146
"2335 Industrial, Mechanical and Production Engineers",70,10,1077
"2335 Industrial, Mechanical and Production Engineers",80,0,28
"2335 Industrial, Mechanical and Production Engineers",80,20,655
"2335 Industrial, Mechanical and Production Engineers",80,10,568
"2335 Industrial, Mechanical and Production Engineers",95,20,232
"2335 Industrial, Mechanical and Production Engineers",95,10,13
"2335 Industrial, Mechanical and Production Engineers",90,0,1
"2335 Industrial, Mechanical and Production Engineers",90,20,591
"2335 Industrial, Mechanical and Production Engineers",90,10,99
"2335 Industrial, Mechanical and Production Engineers",85,0,8
"2335 Industrial, Mechanical and Production Engineers",85,20,889
"2335 Industrial, Mechanical and Production Engineers",85,10,278
"2335 Industrial, Mechanical and Production Engineers",55,0,265
"2335 Industrial, Mechanical and Production Engineers",55,20,3
"2335 Industrial, Mechanical and Production Engineers",55,10,56
"2335 Industrial, Mechanical and Production Engineers",60,0,431
"2335 Industrial, Mechanical and Production Engineers",60,20,7
"2335 Industrial, Mechanical and Production Engineers",60,10,210
"2335 Industrial, Mechanical and Production Engineers",50,0,108
"2335 Industrial, Mechanical and Production Engineers",50,10,10
"2335 Industrial, Mechanical and Production Engineers",100,20,48
"2335 Industrial, Mechanical and Production Engineers",100,10,4
"2335 Industrial, Mechanical and Production Engineers",105,20,3
"2335 Industrial, Mechanical and Production Engineers",40,0,12
"2335 Industrial, Mechanical and Production Engineers",45,0,36
"2335 Industrial, Mechanical and Production Engineers",45,10,1
"2335 Industrial, Mechanical and Production Engineers",30,0,2
"2335 Industrial, Mechanical and Production Engineers",25,0,1
"2335 Industrial, Mechanical and Production Engineers",35,0,3
"2335 Industrial, Mechanical and Production Engineers",35,10,1
2339 Other Engineering Professionals,65,0,506
2339 Other Engineering Professionals,65,20,62
2339 Other Engineering Professionals,65,10,812
2339 Other Engineering Professionals,75,0,79
2339 Other Engineering Professionals,75,20,374
2339 Other Engineering Professionals,75,10,946
2339 Other Engineering Professionals,70,0,188
2339 Other Engineering Professionals,70,20,178
2339 Other Engineering Professionals,70,10,1087
2339 Other Engineering Professionals,80,0,39
2339 Other Engineering Professionals,80,20,697
2339 Other Engineering Professionals,80,10,519
2339 Other Engineering Professionals,95,20,248
2339 Other Engineering Professionals,95,10,15
2339 Other Engineering Professionals,90,0,1
2339 Other Engineering Professionals,90,20,520
2339 Other Engineering Professionals,90,10,118
2339 Other Engineering Professionals,85,0,4
2339 Other Engineering Professionals,85,20,932
2339 Other Engineering Professionals,85,10,224
2339 Other Engineering Professionals,55,0,295
2339 Other Engineering Professionals,55,20,2
2339 Other Engineering Professionals,55,10,67
2339 Other Engineering Professionals,60,0,402
2339 Other Engineering Professionals,60,20,9
2339 Other Engineering Professionals,60,10,192
2339 Other Engineering Professionals,50,0,103
2339 Other Engineering Professionals,50,20,1
2339 Other Engineering Professionals,50,10,17
2339 Other Engineering Professionals,100,20,84
2339 Other Engineering Professionals,105,20,14
2339 Other Engineering Professionals,40,0,7
2339 Other Engineering Professionals,45,0,41
2339 Other Engineering Professionals,45,10,5
2339 Other Engineering Professionals,30,0,4
2339 Other Engineering Professionals,35,0,3
2341 Agricultural and Forestry Scientists,65,0,132
2341 Agricultural and Forestry Scientists,65,20,16
2341 Agricultural and Forestry Scientists,65,10,202
2341 Agricultural and Forestry Scientists,75,0,24
2341 Agricultural and Forestry Scientists,75,20,45
2341 Agricultural and Forestry Scientists,75,10,128
2341 Agricultural and Forestry Scientists,70,0,51
2341 Agricultural and Forestry Scientists,70,20,35
2341 Agricultural and Forestry Scientists,70,10,162
2341 Agricultural and Forestry Scientists,80,0,9
2341 Agricultural and Forestry Scientists,80,20,41
2341 Agricultural and Forestry Scientists,80,10,94
2341 Agricultural and Forestry Scientists,95,20,11
2341 Agricultural and Forestry Scientists,95,10,4
2341 Agricultural and Forestry Scientists,90,0,1
2341 Agricultural and Forestry Scientists,90,20,15
2341 Agricultural and Forestry Scientists,90,10,7
2341 Agricultural and Forestry Scientists,85,0,1
2341 Agricultural and Forestry Scientists,85,20,26
2341 Agricultural and Forestry Scientists,85,10,23
2341 Agricultural and Forestry Scientists,55,0,35
2341 Agricultural and Forestry Scientists,55,20,1
2341 Agricultural and Forestry Scientists,55,10,8
2341 Agricultural and Forestry Scientists,60,0,61
2341 Agricultural and Forestry Scientists,60,10,32
2341 Agricultural and Forestry Scientists,50,0,21
2341 Agricultural and Forestry Scientists,50,10,3
2341 Agricultural and Forestry Scientists,100,20,4
2341 Agricultural and Forestry Scientists,40,0,1
2341 Agricultural and Forestry Scientists,45,0,7
2341 Agricultural and Forestry Scientists,30,0,1
2544 Registered Nurses,65,0,435
2544 Registered Nurses,65,20,88
2544 Registered Nurses,65,10,2801
2544 Registered Nurses,75,0,24
2544 Registered Nurses,75,20,740
2544 Registered Nurses,75,10,3060
2544 Registered Nurses,70,0,159
2544 Registered Nurses,70,20,212
2544 Registered Nurses,70,10,3482
2544 Registered Nurses,80,0,2
2544 Registered Nurses,80,20,633
2544 Registered Nurses,80,10,585
2544 Registered Nurses,95,20,5
2544 Registered Nurses,90,20,53
2544 Registered Nurses,85,20,274
2544 Registered Nurses,85,10,39
2544 Registered Nurses,55,0,253
2544 Registered Nurses,55,20,7
2544 Registered Nurses,55,10,278
2544 Registered Nurses,60,0,353
2544 Registered Nurses,60,20,18
2544 Registered Nurses,60,10,669
2544 Registered Nurses,50,0,116
2544 Registered Nurses,50,20,1
2544 Registered Nurses,50,10,69
2544 Registered Nurses,110,20,1
2544 Registered Nurses,100,20,2
2544 Registered Nurses,105,20,1
2544 Registered Nurses,40,0,20
2544 Registered Nurses,40,10,6
2544 Registered Nurses,45,0,51
2544 Registered Nurses,45,10,10
2544 Registered Nurses,30,0,1
2544 Registered Nurses,120,20,1
2544 Registered Nurses,35,0,9
2544 Registered Nurses,35,10,2
3513 Chefs,65,0,1779
3513 Chefs,65,20,32
3513 Chefs,65,10,637
3513 Chefs,75,0,190
3513 Chefs,75,20,127
3513 Chefs,75,10,1703
3513 Chefs,70,0,1029
3513 Chefs,70,20,50
3513 Chefs,70,10,1360
3513 Chefs,80,0,13
3513 Chefs,80,20,225
3513 Chefs,80,10,899
3513 Chefs,95,20,69
3513 Chefs,95,10,3
3513 Chefs,90,20,238
3513 Chefs,90,10,28
3513 Chefs,85,20,315
3513 Chefs,85,10,228
3513 Chefs,55,0,508
3513 Chefs,55,20,1
3513 Chefs,55,10,40
3513 Chefs,60,0,1108
3513 Chefs,60,20,1
3513 Chefs,60,10,135
3513 Chefs,50,0,204
3513 Chefs,50,10,8
3513 Chefs,100,20,8
3513 Chefs,105,20,3
3513 Chefs,40,0,8
3513 Chefs,45,0,50
3513 Chefs,45,10,2
3513 Chefs,30,0,1
3513 Chefs,35,0,3
2334 Electronics Engineers,65,0,132
2334 Electronics Engineers,65,20,22
2334 Electronics Engineers,65,10,300
2334 Electronics Engineers,75,0,23
2334 Electronics Engineers,75,20,131
2334 Electronics Engineers,75,10,270
2334 Electronics Engineers,70,0,41
2334 Electronics Engineers,70,20,57
2334 Electronics Engineers,70,10,316
2334 Electronics Engineers,80,0,10
2334 Electronics Engineers,80,20,200
2334 Electronics Engineers,80,10,131
2334 Electronics Engineers,95,20,300
2334 Electronics Engineers,95,10,2
2334 Electronics Engineers,90,0,1
2334 Electronics Engineers,90,20,126
2334 Electronics Engineers,90,10,28
2334 Electronics Engineers,85,0,4
2334 Electronics Engineers,85,20,234
2334 Electronics Engineers,85,10,56
2334 Electronics Engineers,55,0,84
2334 Electronics Engineers,55,10,43
2334 Electronics Engineers,60,0,114
2334 Electronics Engineers,60,20,4
2334 Electronics Engineers,60,10,88
2334 Electronics Engineers,50,0,30
2334 Electronics Engineers,50,20,1
2334 Electronics Engineers,50,10,10
2334 Electronics Engineers,100,20,5
2334 Electronics Engineers,40,0,6
2334 Electronics Engineers,45,0,8
2334 Electronics Engineers,45,10,2
2334 Electronics Engineers,25,0,1
2334 Electronics Engineers,35,0,1
3232 Metal Fitters and Machinists,65,0,34
3232 Metal Fitters and Machinists,65,20,5
3232 Metal Fitters and Machinists,65,10,33
3232 Metal Fitters and Machinists,75,0,1
3232 Metal Fitters and Machinists,75,20,19
3232 Metal Fitters and Machinists,75,10,22
3232 Metal Fitters and Machinists,70,0,19
3232 Metal Fitters and Machinists,70,20,9
3232 Metal Fitters and Machinists,70,10,42
3232 Metal Fitters and Machinists,80,0,2
3232 Metal Fitters and Machinists,80,20,8
3232 Metal Fitters and Machinists,80,10,5
3232 Metal Fitters and Machinists,85,20,3
3232 Metal Fitters and Machinists,85,10,1
3232 Metal Fitters and Machinists,55,0,32
3232 Metal Fitters and Machinists,55,10,5
3232 Metal Fitters and Machinists,60,0,59
3232 Metal Fitters and Machinists,60,10,22
3232 Metal Fitters and Machinists,50,0,45
3232 Metal Fitters and Machinists,50,10,4
3232 Metal Fitters and Machinists,40,0,6
3232 Metal Fitters and Machinists,45,0,11
3232 Metal Fitters and Machinists,30,0,1
3232 Metal Fitters and Machinists,35,0,2
2631 Computer Network Professionals,65,0,210
2631 Computer Network Professionals,65,20,15
2631 Computer Network Professionals,65,10,188
2631 Computer Network Professionals,75,0,55
2631 Computer Network Professionals,75,20,147
2631 Computer Network Professionals,75,10,437
2631 Computer Network Professionals,70,0,122
2631 Computer Network Professionals,70,20,28
2631 Computer Network Professionals,70,10,337
2631 Computer Network Professionals,80,0,23
2631 Computer Network Professionals,80,20,156
2631 Computer Network Professionals,80,10,369
2631 Computer Network Professionals,95,20,228
2631 Computer Network Professionals,95,10,18
2631 Computer Network Professionals,90,20,381
2631 Computer Network Professionals,90,10,108
2631 Computer Network Professionals,85,0,5
2631 Computer Network Professionals,85,20,245
2631 Computer Network Professionals,85,10,262
2631 Computer Network Professionals,55,0,69
2631 Computer Network Professionals,55,20,2
2631 Computer Network Professionals,55,10,11
2631 Computer Network Professionals,60,0,76
2631 Computer Network Professionals,60,20,5
2631 Computer Network Professionals,60,10,60
2631 Computer Network Professionals,50,0,20
2631 Computer Network Professionals,50,10,6
2631 Computer Network Professionals,100,20,129
2631 Computer Network Professionals,105,20,6
2631 Computer Network Professionals,40,0,3
2631 Computer Network Professionals,40,10,1
2631 Computer Network Professionals,45,0,13
2631 Computer Network Professionals,30,0,2
2631 Computer Network Professionals,35,0,2
"2342 Chemists, and Food and Wine Scientists",65,0,116
"2342 Chemists, and Food and Wine Scientists",65,20,2
"2342 Chemists, and Food and Wine Scientists",65,10,163
"2342 Chemists, and Food and Wine Scientists",75,0,18
"2342 Chemists, and Food and Wine Scientists",75,20,59
"2342 Chemists, and Food and Wine Scientists",75,10,198
"2342 Chemists, and Food and Wine Scientists",70,0,51
"2342 Chemists, and Food and Wine Scientists",70,20,12
"2342 Chemists, and Food and Wine Scientists",70,10,162
"2342 Chemists, and Food and Wine Scientists",80,0,10
"2342 Chemists, and Food and Wine Scientists",80,20,88
"2342 Chemists, and Food and Wine Scientists",80,10,113
"2342 Chemists, and Food and Wine Scientists",95,20,11
"2342 Chemists, and Food and Wine Scientists",95,10,4
"2342 Chemists, and Food and Wine Scientists",90,20,41
"2342 Chemists, and Food and Wine Scientists",90,10,6
"2342 Chemists, and Food and Wine Scientists",85,20,99
"2342 Chemists, and Food and Wine Scientists",85,10,54
"2342 Chemists, and Food and Wine Scientists",55,0,35
"2342 Chemists, and Food and Wine Scientists",55,10,11
"2342 Chemists, and Food and Wine Scientists",60,0,50
"2342 Chemists, and Food and Wine Scientists",60,20,1
"2342 Chemists, and Food and Wine Scientists",60,10,29
"2342 Chemists, and Food and Wine Scientists",50,0,15
"2342 Chemists, and Food and Wine Scientists",50,10,2
"2342 Chemists, and Food and Wine Scientists",100,20,2
"2342 Chemists, and Food and Wine Scientists",40,0,3
"2342 Chemists, and Food and Wine Scientists",45,0,4
"2342 Chemists, and Food and Wine Scientists",25,0,1
2713 Solicitors,65,0,43
2713 Solicitors,65,20,7
2713 Solicitors,65,10,67
