OccGroup,Score,Eng,n
2613 Software and Applications Programmers,65,0,1119
2613 Software and Applications Programmers,65,20,89
2613 Software and Applications Programmers,65,10,1491
2613 Software and Applications Programmers,75,0,207
2613 Software and Applications Programmers,75,20,874
2613 Software and Applications Programmers,75,10,2940
2613 Software and Applications Programmers,70,0,561
2613 Software and Applications Programmers,70,20,327
2613 Software and Applications Programmers,70,10,2464
2613 Software and Applications Programmers,80,0,46
2613 Software and Applications Programmers,80,20,1688
2613 Software and Applications Programmers,80,10,1992
2613 Software and Applications Programmers,95,20,2065
2613 Software and Applications Programmers,95,10,60
2613 Software and Applications Programmers,90,20,3452
2613 Software and Applications Programmers,90,10,375
2613 Software and Applications Programmers,85,0,17
2613 Software and Applications Programmers,85,20,2646
2613 Software and Applications Programmers,85,10,965
2613 Software and Applications Programmers,55,0,319
2613 Software and Applications Programmers,55,20,4
2613 Software and Applications Programmers,55,10,96
2613 Software and Applications Programmers,60,0,497
2613 Software and Applications Programmers,60,20,31
2613 Software and Applications Programmers,60,10,366
2613 Software and Applications Programmers,50,0,113
2613 Software and Applications Programmers,50,10,47
2613 Software and Applications Programmers,110,20,11
2613 Software and Applications Programmers,110,10,2
2613 Software and Applications Programmers,100,0,1
2613 Software and Applications Programmers,100,20,810
2613 Software and Applications Programmers,100,10,15
2613 Software and Applications Programmers,105,20,107
2613 Software and Applications Programmers,105,10,1
2613 Software and Applications Programmers,40,0,11
2613 Software and Applications Programmers,45,0,36
2613 Software and Applications Programmers,45,10,12
2613 Software and Applications Programmers,30,0,2
2613 Software and Applications Programmers,30,20,5
2613 Software and Applications Programmers,25,0,1
2613 Software and Applications Programmers,25,10,1
2613 Software and Applications Programmers,120,20,2
2613 Software and Applications Programmers,115,20,1
2613 Software and Applications Programmers,125,20,1
2613 Software and Applications Programmers,35,0,2
3212 Motor Mechanics,65,0,557
3212 Motor Mechanics,65,20,8
3212 Motor Mechanics,65,10,165
3212 Motor Mechanics,75,0,28
3212 Motor Mechanics,75,20,35
3212 Motor Mechanics,75,10,522
3212 Motor Mechanics,70,0,291
3212 Motor Mechanics,70,20,8
3212 Motor Mechanics,70,10,454
3212 Motor Mechanics,80,0,4
3212 Motor Mechanics,80,20,54
3212 Motor Mechanics,80,10,306
3212 Motor Mechanics,95,20,21
3212 Motor Mechanics,90,20,56
3212 Motor Mechanics,90,10,5
3212 Motor Mechanics,85,20,85
3212 Motor Mechanics,85,10,55
3212 Motor Mechanics,55,0,139
3212 Motor Mechanics,55,10,17
3212 Motor Mechanics,60,0,332
3212 Motor Mechanics,60,10,36
3212 Motor Mechanics,50,0,47
3212 Motor Mechanics,50,10,3
3212 Motor Mechanics,100,20,2
3212 Motor Mechanics,40,0,3
3212 Motor Mechanics,45,0,14
3212 Motor Mechanics,45,10,1
3212 Motor Mechanics,30,0,1
3212 Motor Mechanics,125,20,1
3212 Motor Mechanics,35,0,2
2332 Civil Engineering Professionals,65,0,772
2332 Civil Engineering Professionals,65,20,42
2332 Civil Engineering Professionals,65,10,1109
2332 Civil Engineering Professionals,75,0,117
2332 Civil Engineering Professionals,75,20,327
2332 Civil Engineering Professionals,75,10,1555
2332 Civil Engineering Professionals,70,0,361
2332 Civil Engineering Professionals,70,20,152
2332 Civil Engineering Professionals,70,10,1553
2332 Civil Engineering Professionals,80,0,34
2332 Civil Engineering Professionals,80,20,705
2332 Civil Engineering Professionals,80,10,881
2332 Civil Engineering Professionals,95,0,1
2332 Civil Engineering Professionals,95,20,209
2332 Civil Engineering Professionals,95,10,18
2332 Civil Engineering Professionals,90,0,2
2332 Civil Engineering Professionals,90,20,554
2332 Civil Engineering Professionals,90,10,117
2332 Civil Engineering Professionals,85,0,7
2332 Civil Engineering Professionals,85,20,956
2332 Civil Engineering Professionals,85,10,300
2332 Civil Engineering Professionals,55,0,315
2332 Civil Engineering Professionals,55,20,1
2332 Civil Engineering Professionals,55,10,71
2332 Civil Engineering Professionals,60,0,447
2332 Civil Engineering Professionals,60,20,5
2332 Civil Engineering Professionals,60,10,221
2332 Civil Engineering Professionals,50,0,125
2332 Civil Engineering Professionals,50,10,9
2332 Civil Engineering Professionals,110,20,3
2332 Civil Engineering Professionals,100,20,49
2332 Civil Engineering Professionals,100,10,1
2332 Civil Engineering Professionals,105,20,4
2332 Civil Engineering Professionals,40,0,7
2332 Civil Engineering Professionals,45,0,40
2332 Civil Engineering Professionals,45,10,1
2332 Civil Engineering Professionals,30,0,1
2332 Civil Engineering Professionals,25,0,1
2332 Civil Engineering Professionals,120,20,1
2332 Civil Engineering Professionals,35,0,3
