StatusMonth,Score,n
2025-01,65,83
2025-01,75,339
2025-01,70,116
2025-01,80,183
2025-01,95,65
2025-01,90,213
2025-01,85,139
2025-01,55,4
2025-01,60,25
2025-01,50,3
2025-01,100,9
2024-09,65,261
2024-09,75,218
2024-09,70,157
2024-09,80,1110
2024-09,95,130
2024-09,90,86
2024-09,85,289
2024-09,55,3
2024-09,60,12
2024-09,110,1
2024-09,100,53
2024-09,105,6
2026-06,65,259
2026-06,75,259
2026-06,70,234
2026-06,80,1927
2026-06,95,106
2026-06,90,425
2026-06,85,1115
2026-06,55,20
2026-06,60,73
2026-06,50,6
2026-06,110,3
2026-06,100,35
2026-06,105,5
2024-02,65,1
2024-02,70,1
2024-02,80,1
2026-07,65,110
2026-07,75,104
2026-07,70,104
2026-07,80,803
2026-07,95,40
2026-07,90,136
2026-07,85,427
2026-07,55,6
2026-07,60,36
2026-07,50,4
2026-07,100,12
2026-07,105,5
2025-08,65,70
2025-08,75,51
2025-08,70,76
2025-08,80,284
2025-08,95,68
2025-08,90,158
2025-08,85,365
2025-08,55,4
2025-08,60,2
2025-08,50,1
2025-08,100,17
2025-08,105,3
2026-01,65,130
2026-01,75,247
2026-01,70,150
2026-01,80,314
2026-01,95,26
2026-01,90,119
2026-01,85,247
2026-01,55,6
2026-01,60,38
2026-01,50,4
2026-01,100,7
2026-01,105,1
2025-05,65,109
2025-05,75,110
2025-05,70,105
2025-05,80,92
2025-05,95,8
2025-05,90,33
2025-05,85,90
2025-05,55,8
2025-05,60,27
2025-05,50,3
2025-05,105,1
2025-09,65,215
2025-09,75,103
2025-09,70,213
2025-09,80,675
2025-09,95,114
2025-09,90,325
2025-09,85,613
2025-09,60,5
2025-09,110,1
2025-09,100,42
2025-09,105,11
2024-03,80,1
2024-12,65,89
2024-12,75,1011
2024-12,70,156
2024-12,80,322
2024-12,95,232
2024-12,90,661
2024-12,85,177
2024-12,55,11
2024-12,60,21
2024-12,50,3
2024-12,100,26
2025-02,65,83
2025-02,75,88
2025-02,70,116
2025-02,80,64
2025-02,95,7
2025-02,90,24
2025-02,85,76
2025-02,55,6
2025-02,60,18
2025-02,50,3
2025-02,100,3
2024-11,65,143
2024-11,75,1888
2024-11,70,264
2024-11,80,832
2024-11,95,527
2024-11,90,1258
2024-11,85,321
2024-11,55,10
2024-11,60,39
2024-11,50,3
2024-11,110,1
2024-11,100,67
2024-11,105,8
2024-10,65,187
2024-10,75,216
2024-10,70,128
2024-10,80,614
2024-10,95,74
2024-10,90,69
2024-10,85,199
2024-10,55,5
2024-10,60,22
2024-10,50,2
2024-10,100,32
2024-10,105,4
2025-03,65,103
2025-03,75,99
2025-03,70,139
2025-03,80,83
2025-03,95,5
2025-03,90,19
2025-03,85,50
2025-03,55,14
2025-03,60,32
2025-03,50,5
2025-03,100,1
2026-08,65,18
2026-08,75,28
2026-08,70,16
2026-08,80,97
2026-08,95,6
2026-08,90,13
2026-08,85,61
2026-08,55,2
2026-08,60,14
2026-08,50,1
2026-08,100,2
2024-05,80,1
2025-04,65,76
2025-04,75,81
2025-04,70,91
2025-04,80,59
2025-04,95,7
2025-04,90,17
2025-04,85,46
2025-04,55,6
2025-04,60,29
2025-04,50,2
2025-12,65,199
2025-12,75,607
2025-12,70,192
2025-12,80,672
2025-12,95,71
2025-12,90,351
2025-12,85,706
2025-12,55,3
2025-12,60,30
2025-12,50,1
2025-12,110,1
2025-12,100,13
2025-12,105,2
2025-11,65,99
2025-11,75,468
2025-11,70,73
2025-11,80,602
2025-11,95,78
2025-11,90,343
2025-11,85,675
2025-11,55,3
2025-11,60,5
2025-11,50,1
2025-11,100,8
2025-11,105,1
2026-02,65,99
2026-02,75,107
2026-02,70,85
2026-02,80,81
2026-02,95,16
2026-02,90,29
2026-02,85,51
2026-02,55,5
2026-02,60,33
2026-02,50,1
2026-02,100,4
2025-06,65,137
2025-06,75,144
2025-06,70,146
2025-06,80,92
2025-06,95,18
2025-06,90,44
2025-06,85,80
2025-06,55,12
2025-06,60,29
2025-06,50,3
2025-07,65,49
2025-07,75,43
2025-07,70,47
2025-07,80,46
2025-07,95,8
2025-07,90,26
2025-07,85,39
2025-07,55,9
2025-07,60,15
2025-07,50,6
2025-07,100,4
2025-10,65,112
2025-10,75,80
2025-10,70,83
2025-10,80,314
2025-10,95,66
2025-10,90,156
2025-10,85,292
2025-10,55,1
2025-10,60,10
2025-10,50,1
2025-10,110,1
2025-10,100,20
2025-10,105,3
2026-05,65,109
2026-05,75,142
2026-05,70,115
2026-05,80,127
2026-05,95,30
2026-05,90,81
2026-05,85,132
2026-05,55,23
2026-05,60,53
2026-05,50,4
2026-05,100,11
2026-05,105,2
2026-04,65,108
2026-04,75,115
2026-04,70,103
2026-04,80,108
2026-04,95,31
2026-04,90,75
2026-04,85,105
2026-04,55,15
2026-04,60,51
2026-04,50,13
2026-04,100,15
2026-04,105,1
2024-06,70,1
2026-03,65,101
2026-03,75,144
2026-03,70,152
2026-03,80,121
2026-03,95,30
2026-03,90,56
2026-03,85,92
2026-03,55,16
2026-03,60,56
2026-03,50,8
2026-03,100,4
2026-03,105,1
2023-07,75,1
2023-07,80,1
2024-01,90,1
2024-01,100,1
2023-10,70,1
2023-12,90,1
